Date,Open,High,Low,Close,Volume
1980-12-12,0.0991,0.0995,0.0991,0.0991,469033600
1980-12-15,0.0944,0.0944,0.0939,0.0939,175884800
1980-12-16,0.0874,0.0874,0.0870,0.0870,105728000
1980-12-17,0.0892,0.0896,0.0892,0.0892,86441600
1980-12-18,0.0918,0.0922,0.0918,0.0918,73449600
1980-12-19,0.0974,0.0978,0.0974,0.0974,48630400
1980-12-22,0.1021,0.1025,0.1021,0.1021,37363200
1980-12-23,0.1064,0.1068,0.1064,0.1064,46950400
1980-12-24,0.1120,0.1125,0.1120,0.1120,48003200
1980-12-26,0.1223,0.1228,0.1223,0.1223,55574400
1980-12-29,0.1241,0.1245,0.1241,0.1241,93161600
1980-12-30,0.1215,0.1215,0.1210,0.1210,68880000
1980-12-31,0.1180,0.1180,0.1176,0.1176,35750400
1981-01-02,0.1189,0.1198,0.1189,0.1189,21660800
1981-01-05,0.1167,0.1167,0.1163,0.1163,35728000
1981-01-06,0.1116,0.1116,0.1111,0.1111,45158400
1981-01-07,0.1068,0.1068,0.1064,0.1064,55686400
1981-01-08,0.1047,0.1047,0.1043,0.1043,39827200
1981-01-09,0.1099,0.1103,0.1099,0.1099,21504000
1981-01-12,0.1099,0.1099,0.1090,0.1090,23699200
1981-01-13,0.1056,0.1056,0.1051,0.1051,23049600
1981-01-14,0.1056,0.1060,0.1056,0.1056,14291200
1981-01-15,0.1077,0.1086,0.1077,0.1077,14067200
1981-01-16,0.1073,0.1073,0.1068,0.1068,13395200
1981-01-19,0.1133,0.1137,0.1133,0.1133,41574400
1981-01-20,0.1103,0.1103,0.1099,0.1099,30083200
1981-01-21,0.1120,0.1129,0.1120,0.1120,15904000
1981-01-22,0.1133,0.1142,0.1133,0.1133,35548800
1981-01-23,0.1133,0.1137,0.1129,0.1129,11222400
1981-01-26,0.1116,0.1116,0.1111,0.1111,24640000
1981-01-27,0.1111,0.1111,0.1103,0.1103,23699200
1981-01-28,0.1073,0.1073,0.1068,0.1068,28156800
1981-01-29,0.1034,0.1034,0.1029,0.1029,43904000
1981-01-30,0.0982,0.0982,0.0974,0.0974,46188800
1981-02-02,0.0922,0.0922,0.0918,0.0918,23766400
1981-02-03,0.0952,0.0956,0.0952,0.0952,19152000
1981-02-04,0.0986,0.0991,0.0986,0.0986,27865600
1981-02-05,0.0986,0.0995,0.0986,0.0986,7929600
1981-02-06,0.0991,0.0995,0.0991,0.0991,13865600
1981-02-09,0.0948,0.0948,0.0939,0.0939,16755200
1981-02-10,0.0939,0.0944,0.0939,0.0939,18345600
1981-02-11,0.0913,0.0913,0.0909,0.0909,13843200
1981-02-12,0.0905,0.0905,0.0901,0.0901,14560000
1981-02-13,0.0887,0.0887,0.0879,0.0879,11155200
