Date,Open,High,Low,Close,Volume
1983-04-06,0.7756,0.7756,0.7621,0.7668,3346800
1983-04-07,0.7668,0.7735,0.7621,0.7735,4804496
1983-04-08,0.7735,0.7804,0.7644,0.7690,6312208
1983-04-11,0.7691,0.7736,0.7646,0.7713,3143600
1983-04-12,0.7758,0.7827,0.7713,0.7781,8654000
1983-04-13,0.7805,0.7895,0.7805,0.7895,4747296
1983-04-14,0.8053,0.8121,0.8053,0.8053,12136304
1983-04-15,0.8098,0.8121,0.8007,0.8121,4327008
1983-04-18,0.8121,0.8121,0.8031,0.8074,3015200
1983-04-19,0.8074,0.8143,0.8007,0.8053,9541408
1983-04-20,0.8074,0.8279,0.8074,0.8279,5328400
1983-04-21,0.8279,0.8415,0.8234,0.8279,5855904
1983-04-22,0.8301,0.8438,0.8301,0.8391,4512208
1983-04-25,0.8415,0.8460,0.8348,0.8415,4711696
1983-04-26,0.8438,0.8574,0.8301,0.8550,3482000
1983-04-27,0.8505,0.8596,0.8415,0.8438,7966000
1983-04-28,0.8460,0.8505,0.8415,0.8483,3592704
1983-04-29,0.8460,0.8527,0.8369,0.8415,4355296
1983-05-02,0.8257,0.8369,0.8165,0.8188,4594208
1983-05-03,0.8143,0.8257,0.8074,0.8188,4772400
1983-05-04,0.8165,0.8234,0.8074,0.8098,2911808
1983-05-05,0.8143,0.8210,0.8074,0.8121,16470400
1983-05-06,0.8143,0.8324,0.8121,0.8257,15030400
1983-05-09,0.8301,0.8301,0.8210,0.8234,5221504
1983-05-10,0.8234,0.8324,0.8210,0.8234,4401808
1983-05-11,0.8165,0.8257,0.8165,0.8234,2697904
1983-05-12,0.8210,0.8279,0.8188,0.8210,3125600
1983-05-13,0.8234,0.8257,0.8188,0.8210,3004496
1983-05-16,0.8143,0.8143,0.8053,0.8121,2616000
1983-05-17,0.8143,0.8188,0.8074,0.8188,3767408
1983-05-18,0.8234,0.8301,0.8210,0.8234,7249600
1983-05-19,0.8234,0.8234,0.8053,0.8074,4084608
1983-05-20,0.8053,0.8074,0.7962,0.8053,4056000
1983-05-23,0.7781,0.8007,0.7781,0.7962,5007696
1983-05-24,0.7962,0.7962,0.7895,0.7939,5417600
1983-05-25,0.7939,0.7962,0.7895,0.7939,7085600
1983-05-26,0.7939,0.8007,0.7827,0.7962,5214400
1983-05-27,0.7917,0.8031,0.7895,0.7917,3517904
1983-05-31,0.7848,0.7895,0.7805,0.7848,8076400
1983-06-01,0.7827,0.7895,0.7736,0.7736,5531600
1983-06-02,0.7781,0.7827,0.7622,0.7669,9017504
1983-06-03,0.7669,0.7781,0.7646,0.7758,3026000
1983-06-06,0.7781,0.7872,0.7758,0.7827,4266304
1983-06-07,0.7872,0.8121,0.7872,0.7984,7071408
1983-06-08,0.7939,0.8007,0.7917,0.7917,5178800
1983-06-09,0.7917,0.7984,0.7781,0.7984,8176304
1983-06-10,0.7962,0.7962,0.7736,0.7736,4897200
1983-06-13,0.7736,0.7758,0.7646,0.7646,8803600
1983-06-14,0.7758,0.7848,0.7646,0.7827,7075008
1983-06-15,0.7827,0.8143,0.7805,0.8143,11337808
1983-06-16,0.8460,0.8460,0.8369,0.8460,12763408
1983-06-17,0.8460,0.8596,0.8438,0.8596,4373200
1983-06-20,0.8641,0.8664,0.8527,0.8550,3321808
1983-06-21,0.8415,0.8438,0.8257,0.8369,11120400
1983-06-22,0.8391,0.8415,0.8348,0.8369,8864096
1983-06-23,0.8369,0.8369,0.8188,0.8234,4850704
1983-06-24,0.8279,0.8822,0.8279,0.8753,13127104
1983-06-27,0.8753,0.8753,0.8574,0.8596,5535200
1983-06-28,0.8617,0.8641,0.8527,0.8617,4430096
1983-06-29,0.8617,0.8617,0.8505,0.8574,5089600
1983-06-30,0.8617,0.8891,0.8596,0.8710,2854896
1983-07-01,0.8686,0.8800,0.8664,0.8800,2149200
1983-07-05,0.8777,0.8800,0.8550,0.8641,3970400
1983-07-06,0.8664,0.8731,0.8617,0.8731,1732096
1983-07-07,0.8686,0.8753,0.8641,0.8641,2958304
1983-07-08,0.8686,0.8710,0.8550,0.8574,2216896
1983-07-11,0.8597,0.8642,0.8349,0.8371,3724400
1983-07-12,0.8371,0.8371,0.8211,0.8211,3842208
1983-07-13,0.8144,0.8144,0.8054,0.8123,10799696
1983-07-14,0.8325,0.8439,0.8235,0.8416,6030608
1983-07-15,0.8597,0.8642,0.8371,0.8552,4669008
1983-07-18,0.8528,0.8552,0.8439,0.8528,2922608
1983-07-19,0.8575,0.8801,0.8575,0.8754,4658304
1983-07-20,0.8823,0.8892,0.8823,0.8868,5317808
1983-07-21,0.8914,0.8981,0.8868,0.8981,4298400
1983-07-22,0.8948,0.8981,0.8914,0.8959,2968896
1983-07-25,0.8959,0.9028,0.8914,0.9004,2234608
1983-07-26,0.9049,0.9185,0.9028,0.9162,5909296
1983-07-27,0.9118,0.9185,0.8935,0.8959,7217504
1983-07-28,0.8959,0.8959,0.8733,0.8733,4433904
1983-07-29,0.8711,0.8823,0.8619,0.8801,5403200
1983-08-01,0.8754,0.8754,0.8575,0.8666,6012704
1983-08-02,0.8687,0.8687,0.8575,0.8575,3118496
1983-08-03,0.8642,0.8666,0.8552,0.8597,6354896
1983-08-04,0.8597,0.8597,0.8485,0.8575,5870096
1983-08-05,0.8575,0.8666,0.8552,0.8642,4665408
1983-08-08,0.8597,0.8619,0.8506,0.8506,5000608
1983-08-09,0.8461,0.8506,0.8280,0.8392,10525200
1983-08-10,0.8416,0.8597,0.8392,0.8597,5000608
1983-08-11,0.8687,0.8687,0.8575,0.8619,3378896
1983-08-12,0.8575,0.8597,0.8461,0.8485,1689408
1983-08-15,0.8687,0.8711,0.8528,0.8642,3221904
1983-08-16,0.8597,0.8642,0.8461,0.8552,4405296
1983-08-17,0.8552,0.8642,0.8528,0.8597,5991408
1983-08-18,0.8597,0.8687,0.8597,0.8619,2872608
1983-08-19,0.8666,0.8666,0.8597,0.8642,955104
1983-08-22,0.8687,0.8733,0.8619,0.8666,1528896
1983-08-23,0.8619,0.8711,0.8619,0.8687,2537696
1983-08-24,0.8642,0.8711,0.8642,0.8687,3207696
1983-08-25,0.8711,0.8733,0.8575,0.8575,5855904
1983-08-26,0.8528,0.8642,0.8439,0.8506,4939904
1983-08-29,0.8461,0.8485,0.8392,0.8439,1903200
1983-08-30,0.8439,0.8439,0.8371,0.8439,1450608
1983-08-31,0.8392,0.8552,0.8392,0.8506,1892400
1983-09-01,0.8506,0.8687,0.8506,0.8619,3371600
1983-09-02,0.8597,0.8711,0.8552,0.8642,2188400
1983-09-06,0.8711,0.8914,0.8711,0.8845,3179200
1983-09-07,0.8845,0.8892,0.8801,0.8823,5171696
1983-09-08,0.8845,0.8845,0.8711,0.8711,4031008
1983-09-09,0.8711,0.8801,0.8711,0.8778,1040608
1983-09-12,0.8868,0.8935,0.8552,0.8666,5389104
1983-09-13,0.8666,0.8666,0.8485,0.8528,3218400
1983-09-14,0.8528,0.8597,0.8506,0.8575,4348208
1983-09-15,0.8597,0.8597,0.8461,0.8461,3175600
1983-09-16,0.8485,0.8552,0.8439,0.8485,2149200
1983-09-19,0.8552,0.8754,0.8528,0.8733,6023504
1983-09-20,0.8801,0.9004,0.8801,0.9004,6736304
1983-09-21,0.9004,0.9028,0.8868,0.8935,2191904
1983-09-22,0.8935,0.9207,0.8868,0.9207,4551408
1983-09-23,0.9118,0.9185,0.9071,0.9140,4383904
1983-09-26,0.9207,0.9276,0.9118,0.9207,2601696
1983-09-27,0.9185,0.9185,0.9071,0.9095,1992208
1983-09-28,0.9140,0.9162,0.9028,0.9071,2341600
1983-09-29,0.9095,0.9095,0.8801,0.8801,3104400
1983-09-30,0.8823,0.8823,0.8711,0.8754,2131296
1983-10-03,0.8733,0.8981,0.8711,0.8868,4241296
1983-10-04,0.8981,0.9049,0.8914,0.8959,2787200
1983-10-05,0.8959,0.9095,0.8959,0.9049,2234608
1983-10-06,0.9095,0.9366,0.9049,0.9366,7955296
1983-10-07,0.9413,0.9481,0.9389,0.9434,8682304
1983-10-10,0.9434,0.9662,0.9434,0.9594,4797408
1983-10-11,0.9572,0.9572,0.9346,0.9346,6800496
1983-10-12,0.9322,0.9458,0.9322,0.9346,7253200
1983-10-13,0.9346,0.9346,0.9255,0.9277,2184800
1983-10-14,0.9322,0.9389,0.9277,0.9389,3581904
1983-10-17,0.9458,0.9548,0.9389,0.9503,7602496
1983-10-18,0.9503,0.9548,0.9346,0.9346,4651296
1983-10-19,0.9346,0.9367,0.9141,0.9299,8133504
1983-10-20,0.9322,0.9413,0.9255,0.9346,6522496
1983-10-21,0.9346,0.9346,0.9208,0.9277,3581904
1983-10-24,0.9255,0.9299,0.9163,0.9277,4540800
1983-10-25,0.9277,0.9389,0.9232,0.9322,3884896
1983-10-26,0.9367,0.9367,0.9277,0.9277,5303408
1983-10-27,0.9346,0.9346,0.9208,0.9232,3785104
1983-10-28,0.9186,0.9232,0.9163,0.9163,2348608
1983-10-31,0.9208,0.9232,0.9141,0.9163,3204208
1983-11-01,0.9232,0.9255,0.9119,0.9208,5096704
1983-11-02,0.9208,0.9322,0.9141,0.9277,5185904
1983-11-03,0.9141,0.9186,0.9051,0.9051,10810304
1983-11-04,0.9051,0.9072,0.8915,0.8982,4719008
1983-11-07,0.8982,0.8982,0.8824,0.8893,7741504
1983-11-08,0.8893,0.9005,0.8824,0.8982,5449504
1983-11-09,0.9005,0.9096,0.8893,0.8960,9940608
1983-11-10,0.8960,0.9005,0.8779,0.8893,10090208
1983-11-11,0.8893,0.8982,0.8846,0.8915,3856304
1983-11-14,0.8915,0.9072,0.8870,0.8982,5517200
1983-11-15,0.9029,0.9141,0.8982,0.9072,4248400
1983-11-16,0.9119,0.9141,0.8846,0.8915,11843808
1983-11-17,0.8870,0.8870,0.8643,0.8667,13294400
1983-11-18,0.8667,0.8667,0.8441,0.8486,13362208
1983-11-21,0.8462,0.8643,0.8462,0.8486,7570400
1983-11-22,0.8508,0.8553,0.8191,0.8236,15411808
1983-11-23,0.8260,0.8281,0.8077,0.8191,10810304
1983-11-25,0.8191,0.8191,0.8077,0.8146,6134000
1983-11-28,0.8124,0.8146,0.7874,0.8100,3902608
1983-11-29,0.8124,0.8191,0.7986,0.8167,9188608
1983-11-30,0.8146,0.8191,0.8033,0.8124,6711296
1983-12-01,0.8100,0.8146,0.7421,0.7648,20647504
1983-12-02,0.7783,0.7965,0.7783,0.7874,21528096
1983-12-05,0.7850,0.7941,0.7807,0.7919,5973504
1983-12-06,0.8010,0.8124,0.7986,0.8055,12293008
1983-12-07,0.8077,0.8303,0.8077,0.8167,13590400
1983-12-08,0.8191,0.8191,0.8055,0.8124,11041808
1983-12-09,0.8077,0.8236,0.8010,0.8055,8087104
1983-12-12,0.8010,0.8055,0.7919,0.8010,3492896
1983-12-13,0.8146,0.8236,0.8124,0.8167,12054096
1983-12-14,0.8167,0.8191,0.8055,0.8055,4390896
1983-12-15,0.8055,0.8124,0.7850,0.7850,8300896
1983-12-16,0.7850,0.8077,0.7850,0.8077,7288800
1983-12-19,0.8191,0.8303,0.8167,0.8281,5335504
