Date,Open,High,Low,Close,Volume
1984-09-07,0.0738,0.0756,0.0738,0.0738,62400
1984-09-10,0.0756,0.0756,0.0756,0.0756,172800
1984-09-11,0.0756,0.0756,0.0738,0.0738,177600
1984-09-12,0.0738,0.0756,0.0738,0.0738,139200
1984-09-13,0.0738,0.0756,0.0738,0.0738,830400
1984-09-14,0.0738,0.0756,0.0738,0.0738,508800
1984-09-17,0.0756,0.0756,0.0756,0.0756,5040000
1984-09-18,0.0756,0.0756,0.0756,0.0756,2904000
1984-09-19,0.0756,0.0756,0.0738,0.0738,508800
1984-09-20,0.0738,0.0756,0.0719,0.0719,192000
1984-09-21,0.0719,0.0738,0.0719,0.0738,326400
1984-09-24,0.0719,0.0719,0.0719,0.0719,105600
1984-09-25,0.0719,0.0738,0.0719,0.0719,1540800
1984-09-26,0.0719,0.0738,0.0719,0.0719,705600
1984-09-27,0.0719,0.0738,0.0719,0.0719,153600
1984-09-28,0.0719,0.0738,0.0719,0.0738,43200
1984-10-01,0.0738,0.0738,0.0719,0.0719,2275200
1984-10-02,0.0701,0.0701,0.0701,0.0701,120000
1984-10-03,0.0701,0.0701,0.0701,0.0701,1209600
1984-10-04,0.0701,0.0701,0.0682,0.0682,796800
1984-10-05,0.0682,0.0682,0.0664,0.0664,600000
1984-10-08,0.0682,0.0682,0.0682,0.0682,139200
1984-10-09,0.0664,0.0664,0.0647,0.0647,1401600
1984-10-10,0.0647,0.0664,0.0647,0.0647,1497600
1984-10-11,0.0664,0.0682,0.0664,0.0664,1176000
1984-10-12,0.0664,0.0682,0.0664,0.0682,451200
1984-10-15,0.0738,0.0738,0.0738,0.0738,2712000
1984-10-16,0.0738,0.0738,0.0701,0.0701,100800
1984-10-17,0.0701,0.0738,0.0682,0.0682,139200
1984-10-18,0.0682,0.0719,0.0682,0.0682,518400
1984-10-19,0.0682,0.0719,0.0682,0.0682,307200
1984-10-22,0.0719,0.0719,0.0719,0.0719,115200
1984-10-23,0.0719,0.0719,0.0719,0.0719,43200
1984-10-24,0.0701,0.0701,0.0682,0.0682,844800
1984-10-25,0.0719,0.0719,0.0719,0.0719,384000
1984-10-26,0.0719,0.0719,0.0682,0.0719,1296000
1984-10-29,0.0719,0.0719,0.0701,0.0701,288000
1984-10-30,0.0701,0.0701,0.0701,0.0701,249600
1984-10-31,0.0701,0.0756,0.0664,0.0664,696000
1984-11-01,0.0682,0.0701,0.0682,0.0682,446400
1984-11-02,0.0682,0.0701,0.0664,0.0664,340800
1984-11-05,0.0664,0.0682,0.0664,0.0664,331200
1984-11-06,0.0664,0.0682,0.0664,0.0664,273600
1984-11-07,0.0664,0.0664,0.0664,0.0664,556800
1984-11-08,0.0664,0.0664,0.0664,0.0664,892800
1984-11-09,0.0664,0.0664,0.0647,0.0647,105600
1984-11-12,0.0647,0.0664,0.0647,0.0647,196800
1984-11-13,0.0647,0.0664,0.0647,0.0647,321600
1984-11-14,0.0647,0.0664,0.0627,0.0627,1132800
1984-11-15,0.0627,0.0627,0.0627,0.0627,1128000
1984-11-16,0.0610,0.0610,0.0591,0.0591,336000
1984-11-19,0.0591,0.0610,0.0534,0.0534,753600
1984-11-20,0.0591,0.0610,0.0591,0.0591,1416000
1984-11-21,0.0610,0.0610,0.0610,0.0610,960000
1984-11-23,0.0610,0.0664,0.0573,0.0627,1958400
1984-11-26,0.0664,0.0664,0.0664,0.0664,379200
1984-11-27,0.0664,0.0664,0.0664,0.0664,432000
1984-11-28,0.0664,0.0664,0.0647,0.0647,1003200
1984-11-29,0.0647,0.0664,0.0627,0.0627,2457600
1984-11-30,0.0627,0.0664,0.0627,0.0647,1003200
1984-12-03,0.0647,0.0664,0.0627,0.0627,465600
1984-12-04,0.0682,0.0701,0.0682,0.0682,1958400
1984-12-05,0.0682,0.0701,0.0664,0.0664,1785600
1984-12-06,0.0664,0.0664,0.0647,0.0647,811200
1984-12-07,0.0647,0.0664,0.0647,0.0664,902400
1984-12-10,0.0664,0.0664,0.0664,0.0664,1713600
1984-12-11,0.0664,0.0664,0.0664,0.0664,3124800
1984-12-12,0.0664,0.0701,0.0664,0.0664,1137600
1984-12-13,0.0682,0.0682,0.0682,0.0682,806400
1984-12-14,0.0682,0.0701,0.0664,0.0701,340800
1984-12-17,0.0701,0.0701,0.0664,0.0664,528000
1984-12-18,0.0664,0.0701,0.0664,0.0664,484800
1984-12-19,0.0664,0.0701,0.0664,0.0664,1718400
1984-12-20,0.0664,0.0701,0.0664,0.0664,710400
1984-12-21,0.0664,0.0682,0.0664,0.0664,475200
1984-12-24,0.0701,0.0738,0.0701,0.0701,1056000
1984-12-26,0.0738,0.0738,0.0738,0.0738,796800
1984-12-27,0.0738,0.0738,0.0738,0.0738,249600
1984-12-28,0.0738,0.0738,0.0701,0.0701,436800
1984-12-31,0.0738,0.0738,0.0738,0.0738,768000
1985-01-02,0.0701,0.0701,0.0701,0.0701,96000
1985-01-03,0.0719,0.0719,0.0719,0.0719,648000
1985-01-04,0.0719,0.0719,0.0682,0.0719,1900800
1985-01-07,0.0719,0.0719,0.0719,0.0719,225600
1985-01-08,0.0682,0.0682,0.0682,0.0682,9600
1985-01-09,0.0701,0.0719,0.0701,0.0701,388800
1985-01-10,0.0701,0.0701,0.0701,0.0701,734400
1985-01-11,0.0701,0.0738,0.0701,0.0719,556800
1985-01-14,0.0719,0.0719,0.0701,0.0701,230400
1985-01-15,0.0719,0.0738,0.0719,0.0719,504000
1985-01-16,0.0738,0.0738,0.0738,0.0738,772800
1985-01-17,0.0738,0.0738,0.0701,0.0701,470400
1985-01-18,0.0701,0.0738,0.0701,0.0738,100800
1985-01-21,0.0756,0.0756,0.0756,0.0756,3028800
1985-01-22,0.0756,0.0756,0.0738,0.0738,1180800
1985-01-23,0.0756,0.0775,0.0756,0.0756,1324800
1985-01-24,0.0831,0.0831,0.0831,0.0831,1564800
1985-01-25,0.0831,0.0977,0.0775,0.0960,4003200
1985-01-28,0.0997,0.1033,0.0997,0.0997,5121600
1985-01-29,0.1053,0.1053,0.1053,0.1053,3216000
1985-01-30,0.1070,0.1070,0.1070,0.1070,2918400
1985-01-31,0.1070,0.1070,0.1033,0.1033,955200
1985-02-01,0.1033,0.1053,0.0977,0.1033,2328000
1985-02-04,0.0997,0.0997,0.0997,0.0997,705600
1985-02-05,0.0997,0.0997,0.0960,0.0960,1900800
1985-02-06,0.0960,0.0977,0.0940,0.0940,806400
1985-02-07,0.0940,0.0960,0.0940,0.0940,1348800
1985-02-08,0.0923,0.0923,0.0904,0.0923,561600
1985-02-11,0.0923,0.0923,0.0904,0.0904,508800
1985-02-12,0.0904,0.0904,0.0886,0.0886,864000
1985-02-13,0.0904,0.0904,0.0904,0.0904,979200
1985-02-14,0.0904,0.0904,0.0868,0.0868,753600
1985-02-15,0.0868,0.0868,0.0831,0.0831,1425600
1985-02-19,0.0868,0.0868,0.0868,0.0868,1238400
1985-02-20,0.0868,0.0868,0.0849,0.0849,422400
1985-02-21,0.0868,0.0868,0.0868,0.0868,513600
1985-02-22,0.0868,0.0868,0.0849,0.0868,777600
1985-02-25,0.0868,0.0868,0.0849,0.0849,979200
1985-02-26,0.0849,0.0849,0.0849,0.0849,196800
1985-02-27,0.0849,0.0849,0.0849,0.0849,244800
1985-02-28,0.0849,0.0849,0.0812,0.0812,590400
1985-03-01,0.0812,0.0831,0.0812,0.0812,393600
1985-03-04,0.0831,0.0831,0.0831,0.0831,1972800
1985-03-05,0.0849,0.0868,0.0849,0.0849,2611200
1985-03-06,0.0868,0.0886,0.0868,0.0868,1833600
1985-03-07,0.0868,0.0868,0.0868,0.0868,302400
1985-03-08,0.0868,0.0868,0.0849,0.0849,91200
1985-03-11,0.0849,0.0868,0.0812,0.0812,787200
1985-03-12,0.0812,0.0849,0.0812,0.0812,787200
1985-03-13,0.0868,0.0868,0.0868,0.0868,1051200
1985-03-14,0.0868,0.0868,0.0868,0.0868,1737600
1985-03-15,0.0868,0.0868,0.0849,0.0849,984000
1985-03-18,0.0849,0.0868,0.0831,0.0831,1252800
1985-03-19,0.0831,0.0849,0.0812,0.0812,691200
1985-03-20,0.0831,0.0831,0.0831,0.0831,259200
1985-03-21,0.0831,0.0831,0.0775,0.0775,2145600
1985-03-22,0.0775,0.0812,0.0719,0.0738,796800
1985-03-25,0.0738,0.0756,0.0719,0.0719,1219200
1985-03-26,0.0738,0.0738,0.0738,0.0738,864000
1985-03-27,0.0756,0.0756,0.0756,0.0756,739200
1985-03-28,0.0812,0.0812,0.0812,0.0812,408000
1985-03-29,0.0812,0.0831,0.0775,0.0812,883200
1985-04-01,0.0812,0.0831,0.0812,0.0812,302400
1985-04-02,0.0812,0.0831,0.0812,0.0812,235200
1985-04-03,0.0812,0.0831,0.0812,0.0812,739200
1985-04-04,0.0812,0.0831,0.0812,0.0831,360000
1985-04-08,0.0831,0.0831,0.0812,0.0812,297600
1985-04-09,0.0812,0.0812,0.0775,0.0775,638400
