Date,Open,High,Low,Close,Volume
1991-12-12,85.8000,115.0000,85.8000,115.0000,48400
1991-12-13,110.0000,123.3333,110.0000,120.0000,13240
1991-12-16,123.3333,123.3333,118.3333,121.6667,5410
1991-12-17,118.3333,121.6667,111.6667,115.0000,8640
1991-12-18,116.6667,116.6667,108.3333,111.6667,6630
1991-12-19,111.6667,111.6667,106.6667,110.8000,4630
1991-12-20,108.3333,111.6667,108.3333,108.3333,7170
1991-12-23,108.3333,123.3333,108.3333,123.3333,4150
1991-12-24,125.0000,128.3333,123.3333,126.6667,2730
1991-12-26,131.6667,135.0000,128.3333,135.0000,4900
1991-12-27,135.0000,135.0000,130.8000,135.0000,2190
1991-12-30,135.0000,136.6667,131.6667,136.6667,5500
1991-12-31,138.3333,140.0000,132.5333,140.0000,3850
1992-01-02,136.6667,176.6667,136.6667,168.3333,13780
1992-01-03,168.3333,173.3333,163.3333,163.3333,3300
1992-01-06,163.3333,173.3333,150.0000,155.0000,1830
1992-01-07,156.6667,156.6667,151.6667,151.6667,120
1992-01-08,146.6667,146.6667,146.6667,146.6667,100
1992-01-09,146.6667,156.6667,146.6667,146.6667,280
1992-01-10,150.0000,155.0000,141.6667,150.0000,11910
1992-01-13,140.0000,146.6667,140.0000,140.0000,1740
1992-01-14,140.0000,143.3333,140.0000,141.6667,5530
1992-01-15,151.6667,151.6667,146.6667,151.6667,1320
1992-01-16,143.3333,151.6667,143.3333,151.6667,3750
1992-01-17,151.6667,151.6667,145.0000,150.0000,630
1992-01-20,143.3333,148.3333,124.2000,146.6667,29860
1992-01-21,153.3333,155.0000,143.3333,143.3333,1570
1992-01-22,140.0000,140.0000,140.0000,140.0000,60
1992-01-23,140.0000,146.6667,140.0000,146.6667,9250
1992-01-24,140.0000,148.3333,140.0000,144.2000,4600
1992-01-27,141.6667,145.0000,141.6667,145.0000,1870
1992-01-28,148.3333,153.3333,143.3333,153.3333,12600
1992-01-29,155.0000,155.0000,146.6667,153.3333,2580
1992-01-30,155.0000,155.0000,143.3333,143.3333,7180
1992-01-31,146.6667,148.3333,143.3333,143.3333,7660
1992-02-03,150.0000,150.0000,143.3333,148.3333,1770
