Date,Close,Volume,Open,High,Low
11/22/2024,56.21,9841142,54.80,56.52,54.52
11/21/2024,54.77,8010883,55.77,55.77,54.04
11/20/2024,55.28,8058147,55.86,56.185,54.4899
11/19/2024,55.92,6920482,54.51,55.93,54.33
11/18/2024,55.11,10507420,54.52,55.28,53.69
11/15/2024,53.46,10842800,53.85,53.85,52.77
11/14/2024,53.85,12937790,55.95,56.00,53.80
11/13/2024,55.84,13525000,57.35,58.35,55.485
11/12/2024,56.81,14567910,57.19,58.22,56.37
11/11/2024,57.85,23746930,55.98,58.38,55.78
11/08/2024,54.07,8869372,52.25,54.15,52.13
11/07/2024,52.69,7232772,52.22,53.02,52.21
11/06/2024,52.14,16002280,50.78,52.18,50.12
11/05/2024,48.19,6987949,46.89,48.385,46.81
11/04/2024,46.68,3726613,46.27,47.1499,45.97
11/01/2024,46.64,5466386,46.06,46.759,46.02
10/31/2024,45.89,9058944,47.57,47.705,45.71
10/30/2024,48.23,4180226,48.03,48.915,47.96
10/29/2024,48.41,3293873,48.40,48.52,47.89
10/28/2024,48.40,5083815,48.15,48.876,48.09
10/25/2024,47.67,6306107,47.50,48.205,47.42
10/24/2024,47.38,7985687,46.93,47.42,46.69
10/23/2024,45.76,8289962,46.86,47.08,45.345
10/22/2024,47.15,5187126,47.06,47.28,46.82
10/21/2024,47.38,6911681,47.74,47.775,46.96
10/18/2024,48.03,4640173,47.38,48.04,47.305
10/17/2024,47.04,3629238,47.70,47.77,46.91
10/16/2024,47.69,3493220,47.56,47.85,47.09
10/15/2024,47.29,4208009,47.29,47.78,46.48
10/14/2024,47.37,4885390,46.91,47.445,46.35
10/11/2024,46.64,4359667,45.54,46.79,45.51
10/10/2024,46.17,3867745,45.97,46.48,45.45
10/09/2024,46.65,3133477,46.62,46.9499,46.36
10/08/2024,46.64,3855619,45.64,46.6699,45.61
10/07/2024,45.91,4028322,46.32,46.51,45.68
10/04/2024,46.55,6957192,46.26,46.55,45.645
10/03/2024,45.39,4789938,45.40,46.01,45.115
10/02/2024,45.87,4557325,45.75,46.15,45.46
10/01/2024,46.18,7446231,47.66,47.76,45.665
09/30/2024,47.53,5112457,47.60,48.0601,47.02
09/27/2024,47.88,4036202,47.62,48.07,47.41
09/26/2024,47.27,6838436,47.55,47.65,46.47
09/25/2024,46.86,4347613,47.35,47.57,46.79
09/24/2024,47.45,3826011,47.24,47.54,46.53
09/23/2024,46.94,3530622,47.095,47.36,46.86
09/20/2024,46.90,5751716,47.10,47.22,46.31
09/19/2024,47.42,7075350,47.69,48.11,47.16
09/18/2024,46.18,9655707,46.13,47.65,45.91
09/17/2024,46.06,4820691,46.18,46.74,45.875
09/16/2024,45.69,4271858,45.53,45.935,44.97
09/13/2024,45.76,5711484,45.14,45.85,45.07
09/12/2024,44.98,4905047,44.43,45.195,43.97
09/11/2024,44.23,7164546,43.13,44.27,42.49
09/10/2024,43.29,5733570,42.94,43.295,42.17
09/09/2024,42.64,5809475,42.17,43.0625,42.08
09/06/2024,41.59,10392530,44.04,44.17,41.355
09/05/2024,43.60,6052848,43.04,44.055,42.98
09/04/2024,42.87,7890395,42.63,43.71,42.425
09/03/2024,42.98,9582667,44.54,44.78,42.82
08/30/2024,44.82,6622000,44.89,45.0384,44.09
08/29/2024,44.68,6657991,44.77,45.6351,44.63
08/28/2024,44.27,9604352,45.21,45.30,43.765
08/27/2024,45.42,4287707,45.36,45.648,44.93
08/26/2024,45.73,4373397,46.19,46.405,45.49
08/23/2024,46.24,11504470,44.84,46.31,44.75
08/22/2024,44.25,5996523,45.68,45.77,44.17
08/21/2024,45.61,5335198,44.74,45.62,44.54
08/20/2024,44.54,4753827,45.12,45.38,44.23
08/19/2024,45.09,5995519,44.17,45.09,44.08
08/16/2024,44.09,4383486,43.60,44.30,43.60
08/15/2024,43.92,8355704,42.75,44.00,42.75
08/14/2024,41.91,5358844,42.83,42.88,41.63
08/13/2024,42.59,7470732,41.35,42.67,41.03
08/12/2024,40.92,5402164,41.48,41.5579,40.68
08/09/2024,41.46,5427845,41.48,41.795,41.02
08/08/2024,41.29,7710751,40.18,41.42,39.77
08/07/2024,39.47,10883370,41.11,41.485,39.43
08/06/2024,40.20,7607877,40.24,40.87,39.275
08/05/2024,39.59,15053640,36.992,40.485,36.85
08/02/2024,41.21,14706070,42.11,42.23,40.82
08/01/2024,43.21,12734130,45.37,45.62,42.865
07/31/2024,45.53,8636684,45.46,46.56,45.36
07/30/2024,44.96,6237641,45.99,46.33,44.585
07/29/2024,45.93,5145460,46.24,46.68,45.38
07/26/2024,45.78,7211692,45.87,46.37,45.24
07/25/2024,45.19,11275910,44.60,46.44,44.32
07/24/2024,44.71,12303350,46.70,46.75,44.70
07/23/2024,47.76,5351834,47.51,48.22,47.462
07/22/2024,47.66,5318246,47.09,47.6995,46.56
07/19/2024,46.63,11128500,46.57,47.035,46.28
07/18/2024,46.57,11949730,48.47,48.96,46.305
07/17/2024,48.43,12734010,48.44,49.555,47.95
07/16/2024,49.40,10343150,48.03,49.455,47.68
07/15/2024,47.70,12771090,47.37,48.17,46.995
07/12/2024,46.79,12111970,45.86,46.97,45.84
07/11/2024,45.71,11690370,46.56,47.51,45.605
07/10/2024,45.95,4884138,46.14,46.27,45.30
07/09/2024,46.05,4827684,45.84,46.23,45.46
07/08/2024,45.89,4505506,46.02,46.235,45.48
07/05/2024,45.95,6361512,45.47,45.96,44.94
07/03/2024,45.61,7347462,44.96,45.94,44.96
07/02/2024,44.82,6426309,44.55,44.975,44.45
07/01/2024,44.45,9780025,44.05,44.705,44.05
06/28/2024,43.95,9033316,44.16,44.34,43.51
06/27/2024,44.01,5397360,43.35,44.065,43.14
06/26/2024,43.58,4631181,43.15,43.73,43.13
06/25/2024,43.33,5723370,43.24,43.54,42.97
06/24/2024,43.24,7288282,43.32,43.92,42.90
06/21/2024,43.32,5174976,43.20,43.39,42.89
06/20/2024,43.37,7628685,43.60,43.60,42.83
06/18/2024,43.68,5110173,43.97,44.04,43.61
