Date,Open,High,Low,Close,Volume
1999-11-29,34.6305,34.6305,33.6218,33.9580,30700
1999-11-30,33.9580,34.8860,33.8773,33.8773,218800
1999-12-01,33.8773,33.8773,31.2683,31.6045,818400
1999-12-02,16.3066,16.3940,15.9704,16.2662,682200
1999-12-03,16.7302,16.7302,16.3469,16.6025,425600
1999-12-06,16.3469,16.6025,16.3066,16.6025,319400
1999-12-07,16.3469,16.3469,15.8426,15.9300,419900
1999-12-08,16.0107,16.0578,15.4257,15.4257,563100
1999-12-09,15.5938,15.6341,15.2172,15.2576,411100
1999-12-10,14.9214,15.2979,14.9214,15.2979,559800
1999-12-13,15.0491,15.2172,14.7533,14.9617,337900
1999-12-14,14.8810,14.8810,14.3767,14.5448,524700
1999-12-15,14.0405,14.6255,13.8724,14.2086,1119200
1999-12-16,14.2086,14.5851,13.7446,14.5851,2292800
1999-12-17,14.5851,14.8339,14.4574,14.7533,681800
1999-12-20,14.6255,14.7129,14.2489,14.4977,639700
1999-12-21,14.4574,14.4977,13.6572,13.6572,423700
1999-12-22,13.7043,14.1212,13.6168,13.9531,313100
1999-12-23,14.0405,14.2086,14.0405,14.1615,323400
1999-12-27,14.2489,14.2893,13.7446,13.7446,248100
1999-12-28,13.7043,14.3296,13.7043,14.2893,235900
1999-12-29,14.2086,14.8339,14.2086,14.7936,160500
1999-12-30,14.7129,15.2576,14.7129,14.7936,307800
1999-12-31,14.9617,15.1298,14.7936,15.0895,100000
2000-01-03,15.0021,15.1298,14.8743,14.9214,401800
2000-01-04,15.0895,15.8426,15.0021,15.3853,572100
2000-01-05,15.3853,15.9704,15.2979,15.9300,452800
2000-01-06,15.8023,15.9300,15.7216,15.8023,506100
2000-01-07,15.7619,15.9704,15.6745,15.8023,197800
2000-01-10,15.7619,15.9704,15.5938,15.6745,334100
2000-01-11,15.4660,15.5064,15.3383,15.3383,393900
2000-01-12,15.4257,15.4257,15.2172,15.3383,391400
2000-01-13,15.4660,15.5535,15.2576,15.3383,373300
2000-01-14,15.1702,15.8023,15.1702,15.7619,521100
2000-01-18,15.5064,15.7619,15.1298,15.7216,345600
2000-01-19,15.6341,15.6745,15.2979,15.2979,236300
2000-01-20,15.2979,15.4660,15.1298,15.1298,384500
2000-01-21,15.3853,15.3853,14.8339,14.8339,358100
2000-01-24,15.2979,15.2979,14.4170,14.4574,207700
2000-01-25,14.3767,14.5448,14.2489,14.5448,375800
2000-01-26,14.4574,14.5448,14.3296,14.5448,188900
2000-01-27,14.3767,14.6255,14.3296,14.4170,255400
2000-01-28,14.3296,14.4977,14.2086,14.2086,172900
2000-01-31,14.1615,14.2893,13.9531,14.0405,302500
2000-02-01,13.9934,13.9934,13.5765,13.9531,380100
2000-02-02,13.8656,13.9127,13.1125,13.1125,594800
2000-02-03,13.1529,13.1529,12.4401,12.6956,651800
2000-02-04,12.8166,12.8166,12.4401,12.5208,395800
2000-02-07,12.4804,12.6082,12.1039,12.4804,315700
2000-02-08,12.7763,12.9041,11.9761,12.2316,453900
2000-02-09,12.2316,12.6082,12.1039,12.3123,617600
2000-02-10,12.2316,12.2720,11.9761,12.0232,259800
2000-02-11,11.7676,12.0232,11.1826,11.6399,377200
2000-02-14,11.4718,11.8080,11.4314,11.6399,331600
2000-02-15,11.6869,11.9357,11.5995,11.8551,315600
2000-02-16,11.7676,11.8954,11.6399,11.8080,211900
2000-02-17,12.0232,12.0232,11.5995,11.8080,258800
2000-02-18,11.6399,11.7273,11.3507,11.6869,332100
2000-02-22,11.5995,12.2316,11.4314,11.8954,297300
2000-02-23,11.9357,12.1039,11.3911,11.9761,437400
2000-02-24,11.9961,11.9961,10.9754,11.4381,545600
2000-02-25,11.2680,11.6559,11.1864,11.3565,296200
2000-02-28,11.3565,11.8260,11.3157,11.6559,242000
2000-02-29,11.5674,11.6083,11.3565,11.5266,412600
2000-03-01,11.3565,11.7375,11.0571,11.6083,314000
2000-03-02,11.6083,12.0369,11.5266,11.9961,305300
2000-03-03,12.0778,12.6765,12.0778,12.4180,478100
2000-03-06,12.3771,12.3771,12.0778,12.2479,717700
2000-03-07,12.2070,12.2479,11.9961,12.0369,452000
2000-03-08,11.9485,11.9485,11.3973,11.5266,424400
2000-03-09,11.5266,11.5266,11.1864,11.3157,441000
2000-03-10,11.2680,12.0369,11.2680,12.0369,201100
2000-03-13,12.2070,12.3363,11.5674,11.6083,520800
2000-03-14,11.5674,11.8668,11.5266,11.8260,312100
2000-03-15,11.7375,12.3363,11.6967,12.2070,544400
2000-03-16,12.3771,12.7582,12.2887,12.7174,580700
2000-03-17,12.4588,12.6765,12.1662,12.3363,501600
2000-03-20,12.5064,12.8875,12.4588,12.6765,296800
2000-03-21,12.3363,12.5064,12.3363,12.5064,473500
2000-03-22,12.5064,12.5064,12.1662,12.2479,300400
2000-03-23,12.4180,12.8466,12.3363,12.6765,327100
2000-03-24,12.5064,12.6765,12.4180,12.5881,408500
2000-03-27,12.5881,12.9283,12.2887,12.2887,323200
2000-03-28,12.3771,12.8875,12.2479,12.3363,243700
2000-03-29,12.2479,12.7174,12.2479,12.4588,173700
2000-03-30,12.5881,13.7380,12.5473,13.2685,300600
2000-03-31,13.0984,13.9898,13.0984,13.6496,455100
2000-04-03,13.6496,13.8197,13.5271,13.7788,367500
2000-04-04,14.0374,14.0782,13.3093,13.5679,252900
2000-04-05,13.8197,13.8673,13.5679,13.8197,294800
2000-04-06,13.9081,13.9490,13.5679,13.6972,362300
2000-04-07,13.7380,13.7380,13.5271,13.5679,168600
2000-04-10,13.7788,13.7788,13.5679,13.6087,246400
2000-04-11,13.6087,13.8197,13.4386,13.6087,251600
2000-04-12,13.6972,14.3776,13.6496,14.2483,338800
2000-04-13,14.7178,14.7178,14.2892,14.5001,245300
2000-04-14,14.5886,14.5886,13.2277,13.4386,236800
2000-04-17,13.4795,13.8673,13.0984,13.8197,260500
2000-04-18,13.7380,14.1191,13.7380,13.9898,533100
2000-04-19,13.9898,14.5001,13.9898,14.2075,320300
2000-04-20,14.1191,14.6294,14.1191,14.1599,202900
2000-04-24,14.0374,14.2075,13.5883,13.6087,185100
2000-04-25,14.1191,14.2075,13.9898,14.1191,229600
2000-04-26,14.4593,15.6909,14.2483,15.6909,743200
2000-04-27,15.7385,16.1195,15.6092,15.9494,702400
2000-04-28,15.9494,16.6707,15.9494,16.4598,526500
2000-05-01,16.5006,17.0109,16.5006,16.9293,244200
2000-05-02,17.0994,17.3103,16.8408,16.9701,554600
2000-05-03,17.0517,17.2695,16.8816,17.1810,192300
2000-05-04,17.1402,17.3511,16.9701,17.3103,305100
2000-05-05,17.3511,17.4804,17.0109,17.2219,409400
2000-05-08,17.0109,17.2219,16.8408,17.1402,176800
2000-05-09,17.0994,17.1402,16.8000,16.8000,233300
2000-05-10,16.8816,16.9701,16.6299,16.8000,317700
2000-05-11,16.7592,17.7798,16.7115,17.4396,337000
2000-05-12,17.5212,17.9023,17.3103,17.3103,270100
2000-05-15,17.3920,17.6097,17.3511,17.3511,192900
2000-05-16,17.3511,17.3920,16.7592,17.2219,348100
2000-05-17,16.5414,16.7592,16.0787,16.6707,1091100
2000-05-18,16.7115,17.6097,16.7115,16.9701,246800
2000-05-19,16.7115,18.2425,16.6707,17.8615,440100
2000-05-22,17.7798,18.2017,17.7798,17.9499,360700
2000-05-23,17.6914,17.7798,16.3305,16.6707,550100
2000-05-24,17.0109,17.0994,16.8408,16.9293,236300
2000-05-25,16.9003,16.9415,16.2965,16.2965,631300
2000-05-26,16.4680,16.6395,15.8710,15.9945,345100
2000-05-30,15.9122,16.2141,15.9122,16.2141,457600
2000-05-31,16.1249,16.2553,15.9534,16.1249,500300
2000-06-01,15.7407,15.8710,15.1368,15.4799,342900
2000-06-02,15.4388,15.6995,15.4388,15.5691,272600
2000-06-05,15.8230,15.8230,15.1849,15.3976,213500
2000-06-06,15.3564,15.6995,15.2260,15.2260,178900
2000-06-07,15.1849,15.1849,14.4507,14.4507,286200
2000-06-08,14.5399,14.7526,14.4987,14.4987,153900
2000-06-09,14.4987,14.6702,14.4095,14.4987,136300
2000-06-12,14.5810,14.7526,14.5810,14.5810,147200
2000-06-13,14.7114,14.7526,14.5810,14.6702,203800
2000-06-14,14.5810,14.7526,14.5810,14.6702,135400
2000-06-15,14.8418,14.8418,14.2380,14.2380,173000
2000-06-16,13.8949,14.2791,13.8949,13.8949,303400
2000-06-19,13.8949,13.8949,13.5106,13.5106,196600
2000-06-20,13.3391,13.5518,13.0783,13.1264,231700
2000-06-21,13.0372,13.6822,13.0372,13.5930,211500
2000-06-22,13.6410,13.7233,13.3391,13.3391,172000
2000-06-23,13.4214,13.7233,13.3803,13.6410,125000
2000-06-26,13.5518,13.9841,13.5518,13.9360,233200
2000-06-27,13.7645,13.9841,13.7645,13.8949,206000
2000-06-28,13.9360,13.9360,13.2087,13.3048,227500
2000-06-29,13.4695,13.6410,13.3391,13.3803,231500
2000-06-30,13.2979,13.3803,12.3373,12.3510,447200
2000-07-03,12.4402,13.5518,12.4402,13.5106,247600
2000-07-05,13.7645,13.7645,13.2979,13.4214,184500
2000-07-06,13.3803,13.5518,13.3391,13.4214,81800
2000-07-07,13.5930,13.7233,13.2499,13.3803,229900
2000-07-10,13.3803,14.0664,13.3803,13.6822,142800
2000-07-11,13.7233,14.1968,13.7233,13.8949,98400
2000-07-12,13.8949,14.0664,13.7645,13.7645,80900
2000-07-13,13.8537,14.0664,13.8537,13.9841,62100
2000-07-14,13.9360,14.1556,13.6410,13.6822,150000
2000-07-17,13.7233,13.8125,13.5930,13.6410,70600
2000-07-18,13.3803,13.8537,13.3803,13.7645,133500
2000-07-19,13.7645,13.9360,13.5518,13.6410,115800
2000-07-20,13.5518,13.8125,13.5518,13.6410,135400
2000-07-21,13.6410,13.7645,13.6410,13.7233,120000
