Date,Open,High,Low,Close,Volume
2009-08-06,1.1926,1.2222,1.1247,1.1695,241978000
2009-08-07,1.1673,1.2114,1.1586,1.1875,24543000
2009-08-10,1.2020,1.2020,1.1283,1.1543,24210000
2009-08-11,1.1550,1.1565,1.1203,1.1326,23054000
2009-08-12,1.1673,1.1709,1.1319,1.1565,14513000
2009-08-13,1.1565,1.2085,1.1565,1.1962,11506000
2009-08-14,1.1926,1.2287,1.1745,1.1998,6378000
2009-08-17,1.1760,1.1832,1.1709,1.1724,2544000
2009-08-18,1.1912,1.2432,1.1818,1.2338,14467000
2009-08-19,1.2172,1.2967,1.2143,1.2931,20708000
2009-08-20,1.2974,1.2974,1.2497,1.2837,18821000
2009-08-21,1.2858,1.2989,1.2707,1.2880,8636000
2009-08-24,1.2663,1.2902,1.2504,1.2649,10216000
2009-08-25,1.2757,1.2938,1.2685,1.2902,5308000
2009-08-26,1.2786,1.2902,1.2396,1.2902,7086000
2009-08-27,1.2902,1.3162,1.2685,1.3126,11611000
2009-08-28,1.3082,1.3733,1.3010,1.3350,12950000
2009-08-31,1.3263,1.3299,1.2873,1.3155,10048000
2009-09-01,1.3191,1.3328,1.2244,1.2902,13835000
2009-09-02,1.2837,1.3191,1.2634,1.2779,12934000
2009-09-03,1.2989,1.2989,1.2287,1.2613,36577000
2009-09-04,1.2830,1.3009,1.2642,1.2837,11586000
2009-09-08,1.2837,1.2960,1.2613,1.2793,5749000
2009-09-09,1.2902,1.2902,1.2446,1.2475,5512000
2009-09-10,1.2295,1.2620,1.2251,1.2324,4152000
2009-09-11,1.2287,1.2526,1.1955,1.2201,6203000
2009-09-14,1.2027,1.2215,1.1789,1.2034,16145000
2009-09-15,1.2468,1.2540,1.2020,1.2418,19869000
2009-09-16,1.2577,1.2830,1.2367,1.2707,20211000
2009-09-17,1.2764,1.2938,1.1948,1.2027,14464000
2009-09-18,1.1977,1.2302,1.1695,1.1709,8999000
2009-09-21,1.1767,1.2020,1.1471,1.2006,5530000
2009-09-22,1.2259,1.2555,1.2157,1.2468,11141000
2009-09-23,1.2736,1.2858,1.2504,1.2577,5303000
