Date,Open,High,Low,Close,Volume
2006-03-27,12.6772,12.7658,12.3117,12.7658,1065200
2006-03-28,12.4446,12.4446,12.1289,12.3947,1556100
2006-03-29,12.2397,12.8156,12.2120,12.6495,641300
2006-03-30,12.7381,12.7935,12.5720,12.5996,293600
2006-03-31,12.6440,12.6993,12.3781,12.6993,113600
2006-04-03,12.7381,12.7935,12.5553,12.5720,160200
2006-04-04,12.6827,13.0704,12.6827,13.0704,454600
2006-04-05,13.0704,13.1535,12.9596,12.9596,84400
2006-04-06,12.8489,12.9043,12.5664,12.5664,60000
2006-04-07,12.5996,12.6550,12.4889,12.4889,21400
2006-04-10,12.6273,12.6273,12.1787,12.2397,104300
2006-04-11,12.2064,12.2397,12.0237,12.1067,558900
2006-04-12,12.1621,12.5110,12.1178,12.1843,351800
2006-04-13,12.2230,12.5941,12.1178,12.4335,270600
2006-04-17,12.4390,12.6384,12.4390,12.5443,138100
2006-04-18,12.5720,12.9043,12.4889,12.9043,339300
2006-04-19,12.9319,12.9319,12.8156,12.8323,118200
2006-04-20,12.7935,12.7935,12.6273,12.6827,164900
2006-04-21,12.7104,12.7381,12.6550,12.7326,80200
2006-04-24,12.7326,12.7326,12.5609,12.5996,131400
2006-04-25,12.4889,12.8267,12.4889,12.7658,302100
2006-04-26,12.7935,12.9319,12.7824,12.8932,77700
2006-04-27,12.8932,12.8932,12.6827,12.8212,30500
2006-04-28,12.8046,12.8489,12.6495,12.8323,38800
2006-05-01,12.8489,12.9043,12.8489,12.9043,3800
2006-05-02,12.8655,13.0150,12.8212,12.9873,226800
2006-05-03,12.9319,13.1535,12.9209,13.0593,365700
2006-05-04,13.1258,13.1535,13.0150,13.0150,188900
2006-05-05,12.9873,13.1535,12.8766,13.1535,274800
2006-05-08,13.1701,13.3196,13.0981,13.1535,58400
2006-05-09,13.1812,13.6741,13.1535,13.5689,267400
2006-05-10,13.5412,13.6242,13.5412,13.5910,14000
2006-05-11,13.5689,13.5965,13.1812,13.1978,12700
2006-05-12,13.1424,13.1812,12.4889,12.4889,422500
2006-05-15,12.4501,12.4501,11.9351,11.9904,189700
