Date,Open,High,Low,Close,Volume
1994-10-27,2.6487,2.6487,2.6316,2.6487,332800
1994-10-28,2.6487,2.6674,2.6487,2.6674,257200
1994-10-31,2.6674,2.6674,2.6487,2.6487,133400
1994-11-01,2.6674,2.6674,2.6316,2.6316,44200
1994-11-02,2.6129,2.6129,2.5958,2.5958,724600
1994-11-03,2.6129,2.6129,2.5772,2.5958,117800
1994-11-04,2.5958,2.5958,2.5958,2.5958,6600
1994-11-07,2.5772,2.5772,2.5600,2.5600,43000
1994-11-08,2.5772,2.6129,2.5772,2.6129,40200
1994-11-09,2.6316,2.6316,2.6129,2.6316,71800
1994-11-10,2.6316,2.6316,2.6129,2.6129,55200
1994-11-11,2.6129,2.6129,2.5958,2.5958,10800
1994-11-14,2.6129,2.6316,2.6129,2.6129,22400
1994-11-15,2.6316,2.6316,2.6129,2.6316,98400
1994-11-16,2.6316,2.6316,2.5958,2.5958,2400
1994-11-17,2.6129,2.6129,2.5958,2.5958,4800
1994-11-18,2.6129,2.6129,2.5600,2.5772,264600
1994-11-21,2.5772,2.5772,2.5600,2.5600,60200
1994-11-22,2.5772,2.5772,2.5414,2.5414,132200
1994-11-23,2.5772,2.6487,2.5772,2.6487,22400
1994-11-25,2.6674,2.6845,2.6674,2.6845,6400
1994-11-28,2.6845,2.6845,2.6487,2.6487,6200
1994-11-29,2.6316,2.6674,2.6316,2.6674,13400
1994-11-30,2.6487,2.6674,2.6316,2.6487,89400
1994-12-01,2.6487,2.6487,2.6129,2.6316,35200
1994-12-02,2.6129,2.6487,2.6129,2.6487,26400
1994-12-05,2.6674,2.7389,2.6674,2.7032,32000
1994-12-06,2.7032,2.7032,2.6487,2.6487,88400
1994-12-07,2.6316,2.6487,2.6316,2.6487,7200
1994-12-08,2.6316,2.6316,2.6129,2.6316,2600
1994-12-09,2.6129,2.6129,2.5958,2.5958,93200
1994-12-12,2.6129,2.6316,2.6129,2.6316,3800
1994-12-13,2.6487,2.6845,2.6487,2.6674,20600
1994-12-14,2.6674,2.7032,2.6674,2.6674,28200
1994-12-15,2.6845,2.7032,2.6674,2.6674,16600
1994-12-16,2.6845,2.6845,2.6674,2.6845,3000
1994-12-19,2.6674,2.6674,2.6487,2.6487,16600
1994-12-20,2.6674,2.7032,2.6674,2.7032,11400
1994-12-21,2.7032,2.7203,2.7032,2.7203,9600
1994-12-22,2.7203,2.7561,2.7203,2.7389,12000
1994-12-23,2.7389,2.7561,2.7203,2.7203,22800
1994-12-27,2.7389,2.7389,2.7389,2.7389,200
1994-12-28,2.7389,2.7389,2.7203,2.7203,800
1994-12-29,2.7032,2.7032,2.6487,2.6487,10800
1994-12-30,2.6674,2.6674,2.6487,2.6674,15200
1995-01-03,2.6674,2.6674,2.6316,2.6674,49000
1995-01-04,2.6487,2.6674,2.6316,2.6316,32000
1995-01-05,2.6487,2.6674,2.6487,2.6487,35600
1995-01-06,2.6316,2.6674,2.6316,2.6674,57800
1995-01-09,2.6487,2.6487,2.6316,2.6316,25200
1995-01-10,2.6316,2.6316,2.5958,2.5958,25600
1995-01-11,2.5772,2.5772,2.5242,2.5414,38600
1995-01-12,2.5242,2.5242,2.4698,2.5056,10200
1995-01-13,2.4884,2.5056,2.4884,2.5056,81800
1995-01-16,2.5414,2.5772,2.5414,2.5772,11800
1995-01-17,2.5414,2.5600,2.5056,2.5414,19600
1995-01-18,2.5242,2.5600,2.5242,2.5600,11200
1995-01-19,2.5600,2.5772,2.5414,2.5600,21600
1995-01-20,2.5600,2.5600,2.4698,2.4884,41800
1995-01-23,2.4526,2.4884,2.4526,2.4784,110600
1995-01-24,2.4884,2.5242,2.4884,2.5056,26800
1995-01-25,2.4884,2.5772,2.4884,2.5600,10200
1995-01-26,2.5772,2.5772,2.5414,2.5414,10400
1995-01-27,2.5414,2.5414,2.5414,2.5414,7800
1995-01-30,2.5600,2.5600,2.5414,2.5414,9400
1995-01-31,2.5600,2.6129,2.5600,2.5958,38600
1995-02-01,2.6129,2.6487,2.6129,2.6316,9600
1995-02-02,2.6129,2.6316,2.5958,2.6316,6400
1995-02-03,2.6487,2.7389,2.6487,2.7389,127200
1995-02-06,2.7389,2.7561,2.7203,2.7389,105600
1995-02-07,2.7389,2.7389,2.7203,2.7203,83800
1995-02-08,2.7032,2.7203,2.7032,2.7203,159400
1995-02-09,2.7561,2.7747,2.7389,2.7561,203200
1995-02-10,2.7389,2.7389,2.7203,2.7203,17000
1995-02-13,2.7203,2.7203,2.7032,2.7203,59600
1995-02-14,2.7203,2.7561,2.7203,2.7389,20400
1995-02-15,2.7389,2.7747,2.7389,2.7747,90600
1995-02-16,2.7747,2.7747,2.7203,2.7389,31800
1995-02-17,2.7203,2.7203,2.7203,2.7203,9800
1995-02-21,2.7561,2.7561,2.7389,2.7389,181600
1995-02-22,2.7561,2.7919,2.7561,2.7747,151800
1995-02-23,2.8105,2.8463,2.8105,2.8277,174400
1995-02-24,2.8105,2.8105,2.7747,2.7747,98600
1995-02-27,2.7389,2.7747,2.7389,2.7747,17600
1995-02-28,2.8105,2.8105,2.7919,2.7919,16000
1995-03-01,2.7919,2.7919,2.7561,2.7919,18600
1995-03-02,2.7561,2.7561,2.7389,2.7389,53600
1995-03-03,2.7561,2.7561,2.7389,2.7389,23400
1995-03-06,2.7389,2.7389,2.7203,2.7203,52000
1995-03-07,2.7389,2.7389,2.7203,2.7203,51400
1995-03-08,2.7203,2.7747,2.7203,2.7747,14600
1995-03-09,2.7747,2.7747,2.7561,2.7561,1000
1995-03-10,2.7747,2.8105,2.7747,2.7747,19200
1995-03-13,2.7919,2.7919,2.7919,2.7919,8200
1995-03-14,2.7747,2.7919,2.7747,2.7919,12400
1995-03-15,2.8105,2.8105,2.7747,2.7919,8400
1995-03-16,2.7919,2.7919,2.7919,2.7919,200
1995-03-17,2.7747,2.7747,2.7747,2.7747,800
1995-03-20,2.7747,2.7919,2.7747,2.7747,2800
1995-03-21,2.7747,2.7919,2.7747,2.7919,2800
1995-03-22,2.7919,2.7919,2.7747,2.7747,1800
1995-03-23,2.7747,2.7919,2.7747,2.7747,6600
1995-03-24,2.7747,2.7747,2.7747,2.7747,400
1995-03-27,2.7747,2.7919,2.7747,2.7747,18600
1995-03-28,2.7747,2.7919,2.7747,2.7747,0
1995-03-29,2.7747,2.7919,2.7747,2.7747,2000
1995-03-30,2.7919,2.7919,2.7561,2.7747,17800
1995-03-31,2.7561,2.7561,2.7203,2.7561,9200
1995-04-03,2.7561,2.7561,2.7032,2.7203,33600
1995-04-04,2.7389,2.7389,2.7203,2.7389,48000
1995-04-05,2.7561,2.7747,2.7561,2.7747,26600
1995-04-06,2.7561,2.7561,2.7389,2.7389,12000
1995-04-07,2.7561,2.7561,2.7203,2.7203,20600
1995-04-10,2.7389,2.7919,2.7389,2.7919,13000
1995-04-11,2.8105,2.8105,2.7919,2.8105,9400
1995-04-12,2.8463,2.8635,2.8463,2.8463,29000
1995-04-13,2.8463,2.8821,2.8463,2.8635,34200
1995-04-17,2.8821,2.9537,2.8821,2.8993,32000
1995-04-18,2.9179,2.9179,2.8821,2.8993,9600
1995-04-19,2.8993,2.8993,2.8463,2.8463,8400
1995-04-20,2.8635,2.8635,2.8463,2.8463,4800
1995-04-21,2.8277,2.8635,2.8277,2.8635,14000
1995-04-24,2.8463,2.8635,2.8463,2.8635,3200
1995-04-25,2.8635,2.8821,2.8635,2.8821,1200
1995-04-26,2.8821,2.9179,2.8821,2.9179,12400
1995-04-27,2.8821,2.8993,2.8821,2.8993,11200
1995-04-28,2.8821,2.8993,2.8821,2.8993,4600
1995-05-01,2.9179,2.9351,2.9179,2.9351,800
1995-05-02,2.9537,2.9709,2.9351,2.9537,4000
1995-05-03,2.8993,2.9179,2.8993,2.9179,6200
1995-05-04,2.9179,2.9179,2.8993,2.8993,14800
1995-05-05,2.9351,2.9351,2.9351,2.9351,5400
1995-05-08,2.9537,2.9709,2.9537,2.9709,7800
1995-05-09,2.9537,2.9895,2.9537,2.9537,6400
1995-05-10,2.9537,3.0067,2.9537,3.0067,12800
1995-05-11,3.0067,3.0067,2.9709,2.9895,18000
1995-05-12,2.9537,2.9895,2.9537,2.9709,7800
1995-05-15,2.9537,2.9709,2.9351,2.9709,9800
1995-05-16,2.9709,3.0067,2.9709,3.0067,5200
1995-05-17,3.0067,3.0253,3.0067,3.0067,6200
1995-05-18,3.0425,3.0425,3.0067,3.0067,15600
1995-05-19,3.0067,3.0067,2.9895,2.9895,1000
1995-05-22,2.9709,2.9709,2.9709,2.9709,1800
1995-05-23,2.9537,3.0067,2.9537,2.9895,8000
1995-05-24,2.9895,3.0783,2.9709,3.0253,45600
1995-05-25,3.0067,3.0253,3.0067,3.0067,14400
1995-05-26,2.9895,3.0067,2.9537,2.9709,40000
1995-05-30,2.9895,2.9895,2.9351,2.9537,18400
1995-05-31,2.9895,3.0067,2.9895,3.0067,12600
1995-06-01,2.9895,3.0067,2.9895,2.9895,31400
1995-06-02,3.0067,3.0611,3.0067,3.0611,21200
1995-06-05,3.0783,3.0969,3.0425,3.0783,45200
1995-06-06,3.0969,3.0969,3.0611,3.0783,17200
1995-06-07,3.0783,3.0969,3.0783,3.0783,8600
1995-06-08,3.0969,3.1141,3.0611,3.0969,22600
1995-06-09,3.0969,3.1141,3.0783,3.0969,42200
1995-06-12,3.1141,3.1141,3.0783,3.0783,1800
1995-06-13,3.0783,3.0969,3.0425,3.0969,32800
1995-06-14,3.0969,3.0969,3.0783,3.0783,2000
1995-06-15,3.0611,3.0611,3.0611,3.0611,7400
1995-06-16,3.0425,3.0425,3.0253,3.0425,6200
1995-06-19,3.0067,3.0783,3.0067,3.0783,27200
1995-06-20,3.0611,3.0611,3.0425,3.0611,5200
1995-06-21,3.0783,3.0969,3.0611,3.0611,8800
1995-06-22,3.0425,3.0611,3.0425,3.0425,3200
1995-06-23,3.0611,3.0611,3.0425,3.0425,3800
1995-06-26,3.0611,3.0611,3.0425,3.0425,3000
1995-06-27,3.0611,3.0611,3.0067,3.0253,11800
