Date,Open,High,Low,Close,Volume
1962-01-02,1.3457,1.3587,1.3324,1.3457,163200
1962-01-03,1.3457,1.3587,1.3324,1.3587,155196
1962-01-04,1.3894,1.4331,1.3894,1.3940,355200
1962-01-05,1.3940,1.4244,1.3894,1.4069,163200
1962-01-08,1.4069,1.4286,1.3982,1.4156,203196
1962-01-09,1.4156,1.4418,1.4027,1.4286,289596
1962-01-10,1.4286,1.4373,1.4069,1.4111,182400
1962-01-11,1.4111,1.4331,1.3982,1.4331,384000
1962-01-12,1.4331,1.4593,1.4156,1.4418,351996
1962-01-15,1.4418,1.4506,1.4156,1.4373,279996
1962-01-16,1.4244,1.4244,1.4069,1.4156,163200
1962-01-17,1.4156,1.4331,1.4069,1.4111,159996
1962-01-18,1.4111,1.4418,1.4111,1.4418,260796
1962-01-19,1.4418,1.4681,1.4156,1.4681,356796
1962-01-22,1.4681,1.4855,1.4635,1.4635,260796
1962-01-23,1.4635,1.4768,1.4331,1.4331,222396
1962-01-24,1.4331,1.4331,1.3982,1.4244,120000
1962-01-25,1.4244,1.4464,1.4202,1.4331,150396
1962-01-26,1.4331,1.4464,1.4156,1.4331,107196
1962-01-29,1.4331,1.4464,1.4286,1.4464,121596
1962-01-30,1.4418,1.4418,1.4202,1.4244,120000
1962-01-31,1.4244,1.4464,1.4244,1.4331,188796
1962-02-01,1.4331,1.4681,1.4331,1.4593,111996
1962-02-02,1.4593,1.4635,1.4464,1.4506,198396
1962-02-05,1.4506,1.4551,1.4464,1.4464,96000
1962-02-06,1.4506,1.4635,1.4506,1.4551,105600
1962-02-07,1.4551,1.4635,1.4373,1.4373,121596
1962-02-08,1.4373,1.4418,1.4373,1.4373,140796
1962-02-09,1.4373,1.4418,1.4202,1.4202,115200
1962-02-12,1.4202,1.4244,1.4027,1.4244,97596
1962-02-13,1.4244,1.4286,1.4111,1.4202,86400
1962-02-14,1.4202,1.4202,1.3982,1.4069,177600
1962-02-15,1.4027,1.4027,1.3807,1.3982,59196
1962-02-16,1.3982,1.4156,1.3719,1.4069,87996
1962-02-19,1.4069,1.4202,1.3940,1.4069,169596
1962-02-20,1.4069,1.4111,1.3982,1.4027,67200
1962-02-21,1.4027,1.4027,1.3632,1.3719,97596
1962-02-23,1.3719,1.3894,1.3632,1.3719,96000
1962-02-26,1.3982,1.4244,1.3982,1.4244,158400
1962-02-27,1.4244,1.4331,1.4069,1.4111,116796
1962-02-28,1.4111,1.4286,1.3982,1.4111,139200
1962-03-01,1.4111,1.4286,1.4111,1.4111,73596
1962-03-02,1.4111,1.4156,1.3982,1.4156,105600
1962-03-05,1.4156,1.4202,1.3982,1.4156,78396
1962-03-06,1.4156,1.4286,1.3982,1.4069,97596
1962-03-07,1.4069,1.4069,1.3807,1.3894,172800
1962-03-08,1.3894,1.3940,1.3719,1.3761,97596
1962-03-09,1.3761,1.3807,1.3719,1.3719,86400
1962-03-12,1.3719,1.3761,1.3545,1.3545,96000
1962-03-13,1.3545,1.3719,1.3324,1.3632,140796
1962-03-14,1.3677,1.3940,1.3677,1.3940,116796
1962-03-15,1.3940,1.3940,1.3719,1.3807,139200
1962-03-16,1.3807,1.3940,1.3807,1.3940,78396
1962-03-19,1.3940,1.4111,1.3849,1.3940,105600
1962-03-20,1.3982,1.4244,1.3982,1.4244,177600
1962-03-21,1.4244,1.4286,1.3807,1.3894,231996
1962-03-22,1.3982,1.4202,1.3982,1.4111,268800
1962-03-23,1.4111,1.4244,1.4027,1.4111,188796
1962-03-26,1.4111,1.4156,1.3894,1.4027,124800
1962-03-27,1.4027,1.4069,1.3982,1.4027,111996
1962-03-28,1.4027,1.4286,1.4027,1.4286,145596
1962-03-29,1.4286,1.4286,1.4069,1.4111,91200
1962-03-30,1.4111,1.4286,1.4069,1.4286,86400
1962-04-02,1.4244,1.4244,1.3940,1.4027,230400
1962-04-03,1.4027,1.4202,1.3940,1.3982,168000
1962-04-04,1.3982,1.4111,1.3940,1.4027,115200
1962-04-05,1.4027,1.4156,1.3982,1.4156,192000
1962-04-06,1.4111,1.4111,1.3940,1.4111,148800
1962-04-09,1.4111,1.4111,1.3940,1.3940,124800
1962-04-10,1.3940,1.4069,1.3849,1.4069,120000
1962-04-11,1.4069,1.4202,1.3894,1.4027,182400
1962-04-12,1.3940,1.3940,1.3719,1.3894,158400
1962-04-13,1.3849,1.3849,1.3545,1.3545,38400
1962-04-16,1.3503,1.3503,1.3020,1.3195,129600
1962-04-17,1.3237,1.3587,1.3237,1.3370,172800
1962-04-18,1.3370,1.3545,1.3282,1.3457,131196
1962-04-19,1.3457,1.3632,1.3457,1.3457,81600
1962-04-23,1.3415,1.3415,1.2933,1.2978,135996
1962-04-24,1.3020,1.3195,1.3020,1.3195,102396
1962-04-25,1.3108,1.3108,1.2846,1.2846,120000
1962-04-26,1.2891,1.3237,1.2891,1.3020,163200
1962-04-27,1.3020,1.3062,1.2758,1.2933,182400
1962-04-30,1.2933,1.2933,1.2321,1.2409,187200
1962-05-01,1.2409,1.2538,1.1972,1.2496,227196
1962-05-02,1.2496,1.2713,1.2496,1.2583,139200
1962-05-03,1.2583,1.3153,1.2538,1.3153,78396
1962-05-04,1.3153,1.3282,1.3020,1.3020,76800
1962-05-07,1.3020,1.3108,1.2933,1.3020,182400
1962-05-08,1.3020,1.3195,1.2978,1.3020,129600
1962-05-09,1.3020,1.3108,1.2583,1.2933,96000
1962-05-10,1.2891,1.2891,1.2321,1.2367,15996
1962-05-11,1.2367,1.2367,1.2188,1.2367,140796
1962-05-14,1.2367,1.2846,1.2146,1.2146,145596
1962-05-15,1.2583,1.2891,1.2583,1.2800,131196
1962-05-16,1.2800,1.2800,1.2629,1.2713,102396
1962-05-17,1.2713,1.2758,1.2583,1.2671,179196
1962-05-18,1.2758,1.3020,1.2758,1.2891,187200
1962-05-21,1.2891,1.2891,1.2671,1.2758,131196
1962-05-22,1.2758,1.2846,1.2583,1.2583,116796
1962-05-23,1.2583,1.2629,1.2188,1.2276,255996
1962-05-24,1.2276,1.2538,1.2104,1.2146,336000
1962-05-25,1.2146,1.2234,1.1972,1.2104,155196
1962-05-28,1.2104,1.2104,1.1447,1.1447,148800
1962-05-29,1.1447,1.2059,1.0836,1.1360,451200
1962-05-31,1.1710,1.2104,1.1710,1.2014,196800
1962-06-01,1.2014,1.2188,1.1884,1.2188,148800
1962-06-04,1.1972,1.1972,1.1622,1.1664,158400
