Date,Open,High,Low,Close,Volume
2017-05-24,1.3800,1.3800,1.3333,1.3460,323376
2017-05-25,1.3633,1.3800,1.3133,1.3253,635952
2017-05-26,1.3267,1.3432,1.2334,1.2367,552048
2017-05-30,1.2667,1.3667,1.2533,1.3600,86391
2017-05-31,1.3700,1.4000,1.2367,1.3567,224901
2017-06-01,1.3333,1.3663,1.3333,1.3600,49932
2017-06-02,1.3300,1.3667,1.3267,1.3533,141270
2017-06-05,1.4167,1.4167,1.3100,1.3600,91881
2017-06-06,1.4000,1.4572,1.3833,1.3867,298728
2017-06-07,1.4233,1.4398,1.3614,1.4217,89226
2017-06-08,1.4500,1.4500,1.3167,1.3333,179265
2017-06-09,1.4333,1.4333,1.3333,1.4333,188121
2017-06-12,1.4500,1.4500,1.3867,1.3900,64389
2017-06-13,1.4000,1.4000,1.3865,1.3900,32346
2017-06-14,1.3833,1.3905,1.3667,1.3667,47112
2017-06-15,1.3667,1.4000,1.3667,1.3700,19995
2017-06-16,1.3667,1.4000,1.3667,1.3667,51387
2017-06-19,1.3867,1.4967,1.3867,1.4667,395187
2017-06-20,1.4833,1.5813,1.4833,1.5337,493464
2017-06-21,1.5333,1.5933,1.4503,1.5933,263007
2017-06-22,1.5933,1.5933,1.5333,1.5500,110949
2017-06-23,1.5133,1.5400,1.4977,1.5333,199893
2017-06-26,1.5500,1.5666,1.5233,1.5300,55173
2017-06-27,1.5233,1.5233,1.4633,1.4867,163188
2017-06-28,1.4900,1.5000,1.4500,1.4533,134751
2017-06-29,1.4700,1.4700,1.4167,1.4500,140310
2017-06-30,1.4500,1.4500,1.4167,1.4167,49761
2017-07-03,1.4333,1.4567,1.4033,1.4133,54504
2017-07-05,1.4133,1.4133,1.3667,1.3867,98529
2017-07-06,1.3967,1.4767,1.3800,1.3833,227271
2017-07-07,1.3667,1.3950,1.3667,1.3667,44598
2017-07-10,1.3667,1.3767,1.3667,1.3667,21882
2017-07-11,1.3767,1.4033,1.3700,1.4033,26190
2017-07-12,1.4033,1.4033,1.3700,1.3767,24564
