"MacroTrends Data Download"
"CLS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-06-30,9.2800,9.4400,9.0300,9.3750,6420400
1998-07-01,9.4700,9.5600,9.2800,9.3100,983400
1998-07-02,9.4700,9.4700,8.9400,9.2800,1098000
1998-07-06,9.1550,9.3100,9.1550,9.3100,504000
1998-07-07,9.3100,9.6250,9.2800,9.5950,738400
1998-07-08,9.6550,9.6550,9.5000,9.5000,452200
1998-07-09,9.5000,9.6250,9.5000,9.5950,212200
1998-07-10,9.5300,9.5950,9.5000,9.5950,554400
1998-07-13,9.5300,9.6550,9.5300,9.6550,156400
1998-07-14,9.6900,10.0600,9.6900,10.0000,548600
1998-07-15,10.1550,10.8100,10.1550,10.5950,322400
1998-07-16,10.6550,11.8750,10.5600,11.7500,450200
1998-07-17,11.8450,12.1900,11.5600,11.7500,1014200
1998-07-20,11.7500,11.7500,11.2200,11.2200,630600
1998-07-21,11.2200,11.2500,11.1250,11.1900,281000
1998-07-22,11.1900,11.1900,10.5600,10.5950,352000
1998-07-23,10.5600,10.5600,9.8750,10.0000,437600
1998-07-24,10.0600,10.4700,10.0600,10.4700,997200
1998-07-27,10.4050,10.8750,10.3100,10.5000,203600
1998-07-28,10.6900,11.0000,10.6900,10.9050,654200
1998-07-29,10.9400,11.3100,10.9400,11.2500,169600
1998-07-30,11.2500,11.2800,11.0600,11.0950,264000
1998-07-31,11.0950,11.0950,10.7800,10.8450,165000
1998-08-03,10.7200,10.7200,10.4700,10.4700,143800
1998-08-04,10.3750,10.5000,9.7500,9.8100,280600
1998-08-05,9.8100,9.8450,9.3750,9.4400,236800
1998-08-06,9.3750,9.3750,8.5600,8.7500,262600
1998-08-07,8.8750,9.2500,8.7800,8.9400,453800
1998-08-10,9.0000,9.0000,8.4050,8.5600,110000
1998-08-11,8.4050,8.4050,7.8750,8.0000,250200
1998-08-12,8.0000,8.3450,7.9700,8.1900,931400
1998-08-13,8.1900,8.5000,8.1900,8.3750,306400
1998-08-14,8.4400,8.6250,8.3750,8.5000,251200
1998-08-17,8.4400,8.7800,8.4400,8.7800,40800
1998-08-18,8.8450,9.1900,8.8450,9.1900,134000
1998-08-19,9.1900,9.4050,9.0600,9.0950,74400
1998-08-20,9.1550,9.1550,8.7200,8.7800,61600
1998-08-21,8.6900,8.7500,8.2800,8.7200,92000
