Date,Open,High,Low,Close,Volume
1997-11-13,4.2921,4.3003,4.0537,4.1559,262835
1997-11-14,4.1899,4.2076,4.1395,4.1722,45491
1997-11-17,4.2581,4.2921,4.2240,4.2499,49939
1997-11-18,4.2662,4.2662,4.2322,4.2322,10716
1997-11-19,4.2240,4.2499,4.2158,4.2499,6065
1997-11-20,4.2581,4.3085,4.2581,4.2839,21835
1997-11-21,4.2921,4.3439,4.2921,4.3180,16377
1997-11-24,4.3003,4.3180,4.2839,4.2839,15770
1997-11-25,4.2758,4.2758,4.1218,4.2158,21229
1997-11-26,4.2240,4.2322,4.0455,4.0877,28912
1997-11-28,4.0877,4.0877,4.0796,4.0796,607
1997-12-01,4.1041,4.2921,4.1041,4.2921,19409
1997-12-02,4.2921,4.4202,4.2921,4.2921,22038
1997-12-03,4.3262,4.4120,4.2921,4.3344,34977
1997-12-04,4.3439,4.3766,4.3003,4.3003,35584
1997-12-05,4.2921,4.3766,4.2240,4.3684,29518
1997-12-08,4.3943,4.5306,4.3943,4.4706,16579
1997-12-09,4.4543,4.5483,4.4543,4.4965,17388
1997-12-10,4.4965,4.5047,4.4120,4.4447,32551
1997-12-11,4.4284,4.4284,4.3262,4.3521,15770
1997-12-12,4.3602,4.4202,4.3085,4.4202,35179
1997-12-15,4.4365,4.4706,4.3684,4.4284,20420
1997-12-16,4.4447,4.4802,4.3521,4.3943,16781
1997-12-17,4.4284,4.4447,4.3521,4.3766,30529
1997-12-18,4.3861,4.3943,4.3262,4.3439,17792
1997-12-19,4.3262,4.3262,4.2076,4.2499,30934
1997-12-22,4.2581,4.2581,4.2076,4.2158,14153
1997-12-23,4.2580,4.2580,4.1286,4.1286,339663
1997-12-24,4.1053,4.1414,4.0887,4.0887,22442
1997-12-26,4.1053,4.1317,4.1053,4.1317,3437
1997-12-29,4.1580,4.2619,4.1580,4.2619,34371
1997-12-30,4.2966,4.3742,4.2966,4.3742,15972
1997-12-31,4.3659,4.3659,4.3312,4.3312,10513
1998-01-02,4.3312,4.3659,4.3132,4.3396,27294
1998-01-05,4.3493,4.5045,4.3493,4.4879,40638
1998-01-06,4.4698,4.4698,4.4186,4.4269,23453
1998-01-07,4.4186,4.4186,4.2800,4.2800,26283
1998-01-08,4.2439,4.2536,4.2107,4.2190,36595
1998-01-09,4.1843,4.2010,4.0194,4.0194,16983
1998-01-12,3.8642,3.9335,3.7075,3.8545,73998
1998-01-13,3.9667,3.9764,3.9071,3.9238,16781
1998-01-14,3.9584,3.9931,3.8115,3.8808,55195
1998-01-15,3.8281,3.8281,3.7075,3.7075,44480
1998-01-16,3.7685,3.7685,3.6563,3.7256,39223
1998-01-20,3.7256,3.7256,3.6382,3.6895,25475
1998-01-21,3.6563,3.6646,3.6382,3.6466,35988
1998-01-22,3.6382,3.6382,3.3957,3.4650,45288
1998-01-23,3.8808,3.9335,3.5343,3.6646,106347
1998-01-26,3.6992,3.8974,3.6992,3.8808,68741
1998-01-27,3.8974,4.0457,3.8974,3.9931,17994
1998-01-28,3.9931,3.9931,3.8545,3.8808,48726
1998-01-29,3.8545,3.8545,3.8032,3.8378,16579
1998-01-30,3.8378,3.8378,3.7768,3.7768,28710
1998-02-02,3.8808,3.8974,3.8642,3.8725,24262
1998-02-03,3.8642,4.0194,3.8642,3.9847,19409
1998-02-04,3.9847,4.0360,3.9071,3.9071,26486
1998-02-05,3.9418,3.9764,3.9418,3.9501,15972
1998-02-06,4.0194,4.0624,4.0194,4.0457,43671
1998-02-09,4.0721,4.1150,4.0624,4.1053,25475
1998-02-10,4.1053,4.1843,4.0887,4.1580,38414
1998-02-11,4.1926,4.4005,4.1580,4.3312,266676
1998-02-12,4.2966,4.3922,4.2273,4.3493,331374
1998-02-13,4.3493,4.4186,4.2439,4.4186,61463
1998-02-17,4.4352,4.5308,4.4352,4.4352,62676
1998-02-18,4.4352,4.4352,4.3825,4.4186,20016
1998-02-19,4.4186,4.4186,4.2356,4.2619,41043
1998-02-20,4.2619,4.2966,4.1926,4.2619,32551
1998-02-23,4.2966,4.3825,4.2966,4.3825,14557
1998-02-24,4.3659,4.4089,4.2966,4.3576,18803
1998-02-25,4.3659,4.4186,4.3493,4.3922,23857
1998-02-26,4.3659,4.4879,4.3659,4.4435,33966
1998-02-27,4.4698,4.4698,4.4005,4.4089,19814
1998-03-02,4.4089,4.4186,4.3493,4.3493,43064
1998-03-03,4.3576,4.4089,4.3229,4.4089,9907
1998-03-04,4.3922,4.3922,4.3493,4.3493,17185
1998-03-05,4.3229,4.3825,4.2010,4.2966,36392
1998-03-06,4.3049,4.3576,4.2883,4.3049,23857
1998-03-09,4.3396,4.4962,4.3396,4.4435,23655
1998-03-10,4.4782,4.5738,4.4782,4.5738,33764
1998-03-11,4.5904,4.6431,4.5904,4.6348,23655
1998-03-12,4.6431,4.7470,4.5904,4.7470,39830
1998-03-13,4.7983,4.8510,4.6084,4.6084,47108
1998-03-16,4.6777,4.8080,4.6777,4.7983,26688
1998-03-17,4.7900,4.8676,4.7387,4.8593,18803
1998-03-18,4.8510,4.9120,4.8080,4.8344,32147
1998-03-19,4.8344,4.8510,4.7387,4.7651,26081
1998-03-20,4.7470,4.7900,4.7470,4.7900,16174
1998-03-23,4.7817,4.8163,4.7041,4.7775,63283
1998-03-24,4.8188,4.8718,4.7937,4.8718,26081
1998-03-25,4.9266,4.9533,4.9098,4.9098,17994
1998-03-26,4.9098,4.9448,4.8929,4.8929,49534
1998-03-27,4.8929,4.8929,4.8565,4.8663,9907
1998-03-30,4.8396,4.8663,4.8228,4.8228,15366
1998-03-31,4.8396,4.8831,4.8396,4.8565,22038
1998-04-01,4.8228,4.9014,4.8228,4.8663,53578
1998-04-02,4.8396,4.8396,4.7428,4.7863,26283
1998-04-03,4.8228,4.8565,4.7863,4.8565,67528
1998-04-06,4.9098,5.0332,4.9098,4.9967,54589
1998-04-07,5.0150,5.1370,5.0150,5.0669,18601
1998-04-08,5.0851,5.0851,5.0332,5.0332,81883
1998-04-09,5.0234,5.0669,5.0066,5.0585,92396
1998-04-13,5.1034,5.2773,5.1034,5.2605,49534
1998-04-14,5.2689,5.5943,5.2689,5.5943,51556
1998-04-15,5.7865,5.7949,5.4709,5.4709,112210
1998-04-16,5.4541,5.7080,5.3474,5.6462,78850
1998-04-17,5.6813,5.6813,5.3306,5.4007,95631
1998-04-20,5.3657,5.3657,5.0500,5.0500,161744
1998-04-21,5.0500,5.0935,4.9799,5.0585,47715
1998-04-22,5.0767,5.1118,4.9967,4.9967,59643
1998-04-23,4.9967,5.0066,4.8747,4.9448,35988
1998-04-24,4.9098,4.9098,4.8228,4.8663,53982
1998-04-27,4.7162,4.7863,4.6643,4.7779,47108
1998-04-28,4.8747,4.9364,4.8228,4.8312,42054
1998-04-29,4.8565,4.9631,4.8565,4.9448,10311
1998-04-30,4.9799,5.0500,4.9715,4.9715,53578
1998-05-01,4.9883,5.0332,4.9883,5.0150,19409
1998-05-04,5.0500,5.0500,4.9533,4.9631,78244
1998-05-05,4.9448,4.9883,4.8396,4.8565,20420
1998-05-06,4.8747,4.8747,4.8396,4.8396,7481
1998-05-07,4.8396,4.8480,4.8046,4.8396,19005
1998-05-08,4.8565,5.0066,4.8565,4.9631,41649
1998-05-11,4.9799,5.0669,4.9799,5.0332,18196
