Date,Open,High,Low,Close,Volume
2000-07-31,0.9984,0.9984,0.9767,0.9767,208000
2000-08-01,0.9809,0.9809,0.9613,0.9809,124800
2000-08-02,1.0159,1.0314,1.0159,1.0247,92800
2000-08-03,1.0247,1.0401,1.0226,1.0268,148800
2000-08-04,1.0247,1.0314,1.0159,1.0293,123200
2000-08-07,1.0247,1.0247,0.9984,1.0005,62400
2000-08-08,1.0314,1.0510,1.0226,1.0314,108800
2000-08-09,1.0268,1.0510,1.0268,1.0422,228800
2000-08-10,1.0597,1.0597,1.0531,1.0597,89600
2000-08-11,1.0597,1.0706,1.0597,1.0706,24000
2000-08-14,1.0773,1.0860,1.0773,1.0818,232000
2000-08-15,1.0969,1.0993,1.0751,1.0751,51200
2000-08-16,1.0727,1.1014,1.0727,1.0993,99200
2000-08-17,1.1102,1.1277,1.1102,1.1231,107200
2000-08-18,1.1252,1.1252,1.1077,1.1144,92800
2000-08-21,1.1189,1.1189,1.1102,1.1123,44800
2000-08-22,1.1123,1.1123,1.0993,1.1056,54400
2000-08-23,1.1102,1.1386,1.1102,1.1386,436800
2000-08-24,1.1344,1.1344,1.1252,1.1252,131200
2000-08-25,1.1365,1.1452,1.1319,1.1428,38400
2000-08-28,1.1428,1.1648,1.1407,1.1648,203200
2000-08-29,1.1669,1.1844,1.1344,1.1344,131200
2000-08-30,1.1277,1.1319,1.1277,1.1277,27200
2000-08-31,1.1365,1.1473,1.1365,1.1386,30400
2000-09-01,1.1386,1.1386,1.1210,1.1210,104000
2000-09-05,1.1319,1.1428,1.1252,1.1428,64000
2000-09-06,1.1386,1.1778,1.1344,1.1736,97600
2000-09-07,1.1778,1.1911,1.1736,1.1844,115200
2000-09-08,1.1715,1.1715,1.1694,1.1694,33600
2000-09-11,1.1757,1.1911,1.1757,1.1823,64000
2000-09-12,1.1999,1.2349,1.1911,1.2349,126400
2000-09-13,1.2437,1.2570,1.2370,1.2524,187200
2000-09-14,1.2524,1.2570,1.2395,1.2395,118400
2000-09-15,1.2458,1.3050,1.2458,1.3050,204800
2000-09-18,1.3050,1.3270,1.2654,1.2920,225600
2000-09-19,1.3029,1.3029,1.2766,1.2808,137600
2000-09-20,1.3158,1.3158,1.2612,1.2612,110400
2000-09-21,1.2174,1.2261,1.2128,1.2174,60800
2000-09-22,1.1844,1.2174,1.1648,1.1736,179200
2000-09-25,1.1540,1.1540,1.1277,1.1540,254400
2000-09-26,1.1778,1.1778,1.1757,1.1757,12800
2000-09-27,1.1911,1.1911,1.1757,1.1778,27200
2000-09-28,1.1582,1.1715,1.1582,1.1669,1049600
2000-09-29,1.1603,1.1736,1.1561,1.1736,48000
2000-10-02,1.1911,1.2044,1.1736,1.1999,60800
2000-10-03,1.1999,1.2107,1.1844,1.1844,32000
2000-10-04,1.1999,1.2020,1.1869,1.1978,107200
2000-10-05,1.1757,1.1757,1.1519,1.1519,30400
2000-10-06,1.1473,1.1473,1.1277,1.1277,108800
2000-10-09,1.1365,1.1365,1.1344,1.1344,12800
2000-10-10,1.1452,1.1694,1.1452,1.1494,152000
2000-10-11,1.1582,1.1648,1.1561,1.1561,48000
