Date,Open,High,Low,Close,Volume
1986-07-09,6.3917,6.6160,6.3170,6.5786,1116801
1986-07-10,6.6160,6.6534,6.3917,6.5412,595600
1986-07-11,6.5039,6.5412,6.3170,6.3170,800400
1986-07-14,6.3544,6.3544,6.0553,6.1301,738000
1986-07-15,6.0927,6.0927,5.5694,5.9432,2059201
1986-07-16,5.9432,6.2796,5.9432,6.0553,1160401
1986-07-17,6.0553,6.1301,5.9806,6.0927,1046002
1986-07-18,6.0927,6.1869,5.9806,6.1301,1420002
1986-07-21,6.1301,6.1675,6.0927,6.1301,322802
1986-07-22,6.1301,6.1495,6.0927,6.0927,390800
1986-07-23,6.1301,6.1301,5.9806,6.0179,1004001
1986-07-24,6.0179,6.0553,5.8684,5.9432,1071599
1986-07-25,5.9432,6.0553,5.9058,6.0179,688401
1986-07-28,6.0179,6.1301,5.9626,6.0553,414802
1986-07-29,5.9806,6.0927,5.9806,6.0927,278401
1986-07-30,6.0179,6.0553,5.9058,6.0553,459199
1986-07-31,6.0553,6.1301,5.9806,6.0179,1213598
1986-08-01,5.9806,6.0553,5.8311,5.8311,1117999
1986-08-04,5.8684,5.8684,5.7010,5.8311,892400
1986-08-05,5.8311,5.8311,5.6815,5.7189,868799
1986-08-06,5.7189,5.7563,5.4573,5.4573,550401
1986-08-07,5.3825,5.4199,4.8592,5.0087,7560000
1986-08-08,5.0461,5.3451,5.0087,5.3078,2801998
1986-08-11,5.3825,5.4573,5.3078,5.4573,1428001
1986-08-12,5.4573,5.6442,5.4573,5.6068,1155199
1986-08-13,5.6442,6.0374,5.6068,5.7937,865601
1986-08-14,5.8311,5.8684,5.6068,5.6815,761998
1986-08-15,5.6815,5.6815,5.4946,5.6068,654400
1986-08-18,5.6442,5.9058,5.5320,5.7937,606801
1986-08-19,5.8311,5.8311,5.6815,5.7189,2743999
1986-08-20,5.7189,5.7189,5.6068,5.6815,500001
1986-08-21,5.6815,5.7189,5.6442,5.6442,353200
1986-08-22,5.6815,5.7189,5.6068,5.6068,285999
1986-08-25,5.6815,5.6815,5.4573,5.5320,766399
1986-08-26,5.4946,5.6068,5.4946,5.6068,408798
1986-08-27,5.6068,5.6068,5.4946,5.5694,686402
1986-08-28,5.5694,5.5694,5.4573,5.4946,285999
1986-08-29,5.4573,5.5320,5.4199,5.4573,1128800
1986-09-02,5.4946,5.4946,5.1956,5.2330,916798
1986-09-03,5.2330,5.3451,5.1956,5.3451,684402
1986-09-04,5.3825,5.5694,5.3078,5.5694,576800
1986-09-05,5.5694,5.6442,5.3825,5.3825,961600
1986-09-08,5.4573,5.4573,5.1582,5.2330,1793200
1986-09-09,5.1956,5.2330,5.0835,5.1582,387998
1986-09-10,5.1582,5.1582,5.0835,5.0835,802400
1986-09-11,5.1209,5.1209,4.6349,4.7471,6240002
1986-09-12,4.7097,4.7471,4.5228,4.5602,2066799
1986-09-15,4.5602,4.6349,4.4480,4.5602,1746799
1986-09-16,4.5228,4.5602,4.3733,4.4480,1547201
1986-09-17,4.4854,4.4854,4.2238,4.4107,997601
1986-09-18,4.4107,5.2330,4.4107,5.2330,833198
1986-09-19,5.2330,5.2330,4.8966,5.1209,928000
1986-09-22,5.1209,5.1956,5.0087,5.0835,464000
1986-09-23,5.1209,5.1209,4.8218,4.9340,436399
1986-09-24,4.9340,5.1209,4.8592,5.0835,649599
1986-09-25,5.0835,5.0835,4.9713,4.9713,305601
1986-09-26,4.9713,5.0461,4.9340,4.9713,278401
1986-09-29,5.0087,5.0087,4.8218,4.9340,724799
1986-09-30,4.8966,5.2330,4.8966,5.1209,773200
1986-10-01,5.1956,5.2330,5.1209,5.1209,668399
1986-10-02,5.1209,5.1582,5.1209,5.1209,592001
1986-10-03,5.1582,5.1582,4.9340,5.0087,228000
1986-10-06,5.0835,5.0835,4.9713,5.0461,467599
1986-10-07,5.0087,5.0835,5.0087,5.0461,176001
1986-10-08,5.0835,5.1582,5.0461,5.1582,558801
1986-10-09,5.1582,5.1582,5.0087,5.0461,243202
1986-10-10,5.0461,5.0461,4.9340,4.9713,238400
1986-10-13,5.0087,5.0087,4.8218,4.8218,362798
1986-10-14,4.8218,5.1582,4.8218,5.0835,611999
1986-10-15,5.1209,5.2704,5.0835,5.2330,606801
1986-10-16,5.2330,5.2704,5.1956,5.1956,269199
1986-10-17,5.2330,5.2330,5.0461,5.0835,216001
1986-10-20,5.0461,5.0835,4.8218,4.9713,595199
1986-10-21,4.9713,4.9713,4.8966,4.8966,327198
1986-10-22,4.9713,4.9713,4.8966,4.9340,396002
1986-10-23,4.9713,4.9713,4.9340,4.9534,1358400
1986-10-24,4.9713,5.0087,4.9340,4.9713,809601
1986-10-27,5.0087,5.0087,4.9340,4.9713,305200
1986-10-28,4.9340,5.0835,4.9340,5.0835,329202
1986-10-29,5.0835,5.3825,5.0835,5.3078,835599
1986-10-30,5.3078,5.4946,5.2704,5.4199,973198
1986-10-31,5.4199,5.4199,5.3078,5.3825,632398
1986-11-03,5.3078,5.4199,5.3078,5.3825,408798
1986-11-04,5.3451,5.4199,5.3451,5.3451,283202
1986-11-05,5.3825,5.3825,5.3078,5.3078,231198
1986-11-06,5.3078,5.3451,5.1209,5.2704,433998
1986-11-07,5.2704,5.3451,5.2330,5.2524,517202
1986-11-10,5.2704,5.2704,5.1582,5.2330,503199
1986-11-11,5.2704,5.3451,5.1956,5.3451,142000
1986-11-12,5.3451,5.4019,5.3078,5.3646,669602
1986-11-13,5.3451,5.3825,5.0087,5.0087,578800
1986-11-14,4.9713,5.0461,4.8966,5.0087,805998
1986-11-17,5.0087,5.0461,4.9340,5.0087,734402
1986-11-18,5.0461,5.0461,4.8966,4.9340,605599
1986-11-19,4.9713,5.0087,4.8966,4.9713,495600
1986-11-20,4.9713,5.0835,4.9713,5.0835,828401
1986-11-21,5.1209,5.3825,5.0835,5.3451,666800
1986-11-24,5.2704,5.5320,5.2704,5.4573,715602
1986-11-25,5.3825,5.4573,5.3451,5.3825,423999
1986-11-26,5.3451,5.4199,5.3451,5.4199,171600
