Date,Open,High,Low,Close,Volume
1970-01-02,3.0788,3.1469,3.0788,3.1469,526400
1970-01-05,3.1469,3.1848,3.1391,3.1619,1121600
1970-01-06,3.1619,3.1770,3.1017,3.1168,553600
1970-01-07,3.1168,3.1246,3.0788,3.1089,451200
1970-01-08,3.1469,3.1921,3.1469,3.1692,635200
1970-01-09,3.1692,3.1770,3.1547,3.1770,515200
1970-01-12,3.1770,3.1993,3.1318,3.1547,334400
1970-01-13,3.1547,3.1547,3.1017,3.1089,372800
1970-01-14,3.1089,3.1089,2.9885,3.0114,1124800
1970-01-15,3.0114,3.0264,2.9885,3.0041,336000
1970-01-16,3.0041,3.0114,2.9740,3.0041,425600
1970-01-19,3.0041,3.0041,2.9740,2.9963,508800
1970-01-20,2.9963,2.9963,2.9584,2.9662,588800
1970-01-21,2.9662,2.9740,2.9361,2.9439,454400
1970-01-22,2.9439,2.9813,2.9210,2.9511,640000
1970-01-23,2.9511,2.9511,2.9210,2.9361,427200
1970-01-26,2.9361,2.9361,2.8680,2.9138,732800
1970-01-27,2.9060,2.9060,2.8379,2.9060,540800
1970-01-28,2.9060,2.9210,2.8078,2.8078,499200
1970-01-29,2.8078,2.8307,2.7705,2.8006,696000
1970-01-30,2.8006,2.8307,2.7554,2.7777,817600
1970-02-02,2.7777,2.8006,2.7554,2.7705,937600
1970-02-03,2.7705,2.7777,2.7404,2.7476,1971200
1970-02-04,2.7476,2.7777,2.7476,2.7705,534400
1970-02-05,2.7705,2.7705,2.7476,2.7705,337600
1970-02-06,2.7705,2.7705,2.7476,2.7554,272000
1970-02-09,2.7554,2.7705,2.7476,2.7476,558400
1970-02-10,2.7476,2.7632,2.6048,2.6048,996800
1970-02-11,2.6048,2.6651,2.5446,2.6651,878400
1970-02-12,2.6651,2.6952,2.5747,2.6048,816000
1970-02-13,2.6048,2.6572,2.5669,2.6199,492800
1970-02-16,2.6199,2.6500,2.5970,2.6500,488000
1970-02-17,2.6500,2.6572,2.6127,2.6350,451200
1970-02-18,2.6500,2.7102,2.6500,2.7030,1028800
1970-02-19,2.7102,2.7554,2.7102,2.7331,824000
1970-02-20,2.7331,2.7705,2.7331,2.7705,1166400
1970-02-24,2.7705,2.7705,2.7476,2.7705,1043200
1970-02-25,2.7855,2.8608,2.7855,2.8608,593600
1970-02-26,2.8608,2.9138,2.8536,2.8909,862400
1970-02-27,2.8909,2.9210,2.8608,2.8608,1246400
1970-03-02,2.8608,2.8608,2.7855,2.8078,518400
1970-03-03,2.8078,2.8307,2.7476,2.7934,544000
1970-03-04,2.7934,2.8235,2.7632,2.7705,422400
1970-03-05,2.7632,2.7632,2.7331,2.7554,684800
1970-03-06,2.7554,2.7777,2.7404,2.7777,481600
1970-03-09,2.7777,2.8156,2.7404,2.7632,524800
1970-03-10,2.7632,2.7934,2.7476,2.7777,430400
1970-03-11,2.7777,2.7934,2.7705,2.7777,843200
1970-03-12,2.7777,2.7777,2.7476,2.7632,539200
1970-03-13,2.7632,2.7632,2.6952,2.7253,688000
1970-03-16,2.7030,2.7030,2.6048,2.7030,732800
1970-03-17,2.7030,2.7175,2.6651,2.7030,564800
1970-03-18,2.7030,2.7554,2.6874,2.7253,436800
1970-03-19,2.7253,2.7253,2.6572,2.6572,827200
1970-03-20,2.6572,2.6651,2.6350,2.6651,372800
1970-03-23,2.6500,2.6500,2.6127,2.6350,539200
1970-03-24,2.6350,2.6801,2.6199,2.6572,355200
1970-03-25,2.6729,2.7632,2.6729,2.7102,987200
1970-03-26,2.7030,2.7030,2.6199,2.6500,1644800
1970-03-30,2.6500,2.6500,2.6271,2.6428,628800
1970-03-31,2.6428,2.6874,2.6350,2.6801,579200
1970-04-01,2.6801,2.7331,2.6801,2.7331,1028800
