Date,Close,Volume,Open,High,Low
11/22/2024,26.51,926376,26.48,26.65,26.46
11/21/2024,26.31,331879,26.34,26.35,26.235
11/20/2024,26.36,435208,26.21,26.36,26.11
11/19/2024,26.22,441400,26.07,26.22,26.0231
11/18/2024,26.08,350297,25.90,26.09,25.84
11/15/2024,26.00,294833,25.94,26.0451,25.90
11/14/2024,25.89,496526,25.92,26.04,25.84
11/13/2024,25.67,298913,25.71,25.75,25.58
11/12/2024,25.59,215696,25.56,25.625,25.515
11/11/2024,25.38,681013,25.35,25.42,25.23
11/08/2024,25.47,538790,25.65,25.685,25.39
11/07/2024,25.71,266138,25.34,25.74,25.34
11/06/2024,25.15,258706,24.93,25.1601,24.86
11/05/2024,25.34,160339,25.40,25.40,25.29
11/04/2024,25.34,184262,25.34,25.50,25.26
11/01/2024,25.32,192124,25.55,25.55,25.2951
10/31/2024,25.50,236513,25.55,25.55,25.33
10/30/2024,25.53,238302,25.26,25.5399,25.24
10/29/2024,25.33,341029,25.17,25.44,25.17
10/28/2024,25.04,171679,24.98,25.06,24.90
10/25/2024,24.84,125864,24.83,24.93,24.80
10/24/2024,24.81,254922,24.95,25.06,24.78
10/23/2024,25.20,305357,25.03,25.22,25.03
10/22/2024,25.26,517007,25.14,25.26,25.04
10/21/2024,25.36,221809,25.29,25.49,25.29
10/18/2024,25.40,190861,25.56,25.60,25.395
10/17/2024,25.67,183139,25.57,25.77,25.20
10/16/2024,25.73,290790,25.89,25.97,25.68
10/15/2024,25.99,252839,25.79,26.005,25.66
10/14/2024,25.81,306983,25.90,25.98,25.7598
10/11/2024,25.96,287600,25.97,26.085,25.8677
10/10/2024,25.76,355281,25.59,25.85,25.53
10/09/2024,25.57,381621,25.45,25.61,25.43
10/08/2024,25.34,648699,25.34,25.38,25.20
10/07/2024,25.19,224054,25.20,25.2515,25.09
10/04/2024,25.39,181796,25.39,25.478,25.335
10/03/2024,25.55,333093,25.52,25.632,25.38
10/02/2024,25.53,228026,25.38,25.6299,25.36
10/01/2024,25.51,419613,25.67,25.67,25.465
09/30/2024,26.09,219273,26.03,26.157,25.97
09/27/2024,26.55,140538,26.32,26.56,26.32
09/26/2024,26.44,336982,26.76,27.10,26.375
09/25/2024,26.32,218758,26.03,26.32,26.02
09/24/2024,26.14,391379,26.00,26.19,26.00
09/23/2024,25.95,226341,25.83,25.96,25.82
09/20/2024,25.46,243477,25.53,25.5345,25.355
09/19/2024,25.63,776397,25.66,25.78,25.61
09/18/2024,25.64,334120,25.59,25.70,25.48
09/17/2024,25.47,343123,25.26,25.49,25.23
09/16/2024,25.34,217239,25.40,25.515,25.255
09/13/2024,25.19,492281,24.99,25.40,24.99
09/12/2024,24.95,138839,25.02,25.06,24.89
09/11/2024,25.02,457104,24.77,25.05,24.76
09/10/2024,24.49,347225,24.60,24.60,24.45
09/09/2024,24.65,223509,24.46,24.725,24.4509
09/06/2024,24.22,242548,24.51,24.69,24.19
09/05/2024,24.49,197602,24.41,24.575,24.37
09/04/2024,24.31,309297,24.34,24.3701,24.2506
09/03/2024,24.68,378893,24.68,24.77,24.51
08/30/2024,24.88,227722,24.90,25.045,24.83
08/29/2024,24.87,230436,24.71,24.8961,24.69
08/28/2024,24.93,203971,25.02,25.14,24.86
08/27/2024,25.02,229565,24.95,25.13,24.94
08/26/2024,24.97,276672,24.74,24.9702,24.68
08/23/2024,24.68,296383,24.54,24.72,24.49
08/22/2024,24.48,147978,24.26,24.49,24.20
08/21/2024,24.47,282169,24.48,24.595,24.42
08/20/2024,24.46,328987,24.31,24.54,24.31
08/19/2024,24.28,256653,24.00,24.295,24.00
08/16/2024,23.85,284815,23.86,23.985,23.74
08/15/2024,23.74,160834,23.93,24.0173,23.74
08/14/2024,23.76,134985,23.53,23.85,23.53
08/13/2024,23.75,173917,23.90,23.90,23.625
08/12/2024,23.98,208633,24.06,24.1514,23.78
08/09/2024,24.21,139989,24.22,24.29,23.945
08/08/2024,23.78,231231,24.02,24.02,23.62
08/07/2024,24.07,392501,24.16,24.25,23.98
08/06/2024,23.72,397910,23.61,23.8083,23.57
08/05/2024,23.54,352371,22.99,23.57,22.79
08/02/2024,23.29,210418,23.20,23.35,23.16
08/01/2024,23.26,278582,23.58,23.61,23.222
07/31/2024,23.74,368027,23.87,23.90,23.693
07/30/2024,23.83,135624,23.68,23.91,23.68
07/29/2024,23.63,332181,23.70,23.76,23.52
07/26/2024,23.90,101687,23.98,23.99,23.88
07/25/2024,23.93,149790,23.84,24.02,23.76
07/24/2024,24.09,223616,24.17,24.3404,24.062
07/23/2024,24.27,137842,24.34,24.3561,24.22
07/22/2024,24.27,252196,23.95,24.38,23.95
07/19/2024,23.64,259136,23.94,24.08,23.615
07/18/2024,23.95,139300,23.99,24.05,23.88
07/17/2024,23.90,276711,23.84,23.9801,23.79
07/16/2024,23.90,249859,24.00,24.09,23.85
07/15/2024,24.24,310957,24.11,24.43,24.055
07/12/2024,24.38,215984,24.39,24.46,24.19
07/11/2024,24.49,712451,24.26,24.59,24.26
07/10/2024,24.06,248958,24.18,24.24,23.97
07/09/2024,24.36,420576,24.19,24.49,24.14
07/08/2024,24.01,381462,24.17,24.28,23.855
07/05/2024,24.19,305265,23.96,24.26,23.96
07/03/2024,24.03,550174,24.07,24.23,23.91
07/02/2024,23.97,290586,23.67,24.115,23.67
07/01/2024,23.62,738714,23.53,23.65,23.24
06/28/2024,23.80,534599,23.77,24.05,23.7495
06/27/2024,23.64,435007,24.00,24.0513,23.54
06/26/2024,23.91,311705,23.86,24.07,23.60
06/25/2024,23.96,548448,23.81,24.12,23.715
06/24/2024,24.26,520268,24.09,24.295,23.99
06/21/2024,24.59,594306,25.32,25.32,24.535
