Date,Open,High,Low,Close,Volume
2019-09-19,40.3500,41.4400,36.0300,37.5500,22073186
2019-09-20,38.5900,39.2000,36.1500,36.1500,3330499
2019-09-23,36.5800,38.1500,35.7500,36.1100,2247259
2019-09-24,36.0100,37.1200,34.0600,34.5000,3210350
2019-09-25,34.6000,35.6000,34.2000,35.2500,3027990
2019-09-26,36.0000,36.2900,32.3000,32.4400,2659939
2019-09-27,33.0000,33.5100,30.4700,32.2700,2478506
2019-09-30,32.6400,34.2000,32.0000,33.9100,1386510
2019-10-01,34.2500,34.4800,31.2500,32.3900,1292118
2019-10-02,31.6500,31.9000,30.0100,31.1000,1877242
2019-10-03,31.1800,34.8000,30.5000,32.8900,2438925
2019-10-04,33.0500,35.0800,32.7986,34.7200,920602
2019-10-07,34.9000,37.9700,34.4000,36.8100,1985558
2019-10-08,36.5000,36.7000,34.9200,35.4500,1217655
2019-10-09,35.8500,37.4900,35.6100,36.7500,1168145
2019-10-10,36.7500,37.3500,35.1500,35.6000,1350759
2019-10-11,35.9300,36.4800,35.3700,35.6700,2170433
2019-10-14,35.6500,36.2500,32.9500,33.0900,2195955
2019-10-15,33.1700,34.8500,32.5100,34.8000,1473859
2019-10-16,33.5600,33.7700,31.9000,32.2000,1989053
2019-10-17,32.3000,34.1600,32.3000,33.9600,1489115
2019-10-18,33.8400,33.8750,31.4600,31.5700,1305019
2019-10-21,31.9000,32.1000,29.7000,30.0100,1981540
2019-10-22,30.0500,30.3100,28.0100,28.0400,1965514
2019-10-23,27.9000,29.2500,27.5500,28.7600,2784196
2019-10-24,29.1600,33.4600,29.1500,32.5000,3816517
2019-10-25,32.8600,34.5000,32.4000,34.3000,2120438
2019-10-28,35.0000,35.4365,33.1100,33.2800,1906369
2019-10-29,33.1900,34.0800,32.6000,33.6500,716797
2019-10-30,33.7900,34.8700,33.3800,34.8100,920110
2019-10-31,34.8200,34.9900,33.1200,33.5900,966134
2019-11-01,33.7000,34.4800,33.6300,34.0200,806279
2019-11-04,34.5300,34.8700,33.3600,34.4400,870609
2019-11-05,34.5000,35.2500,33.2100,34.9100,1021240
2019-11-06,34.5600,34.7600,32.8900,33.0600,1258054
2019-11-07,33.3000,33.7400,31.0000,31.2900,1016958
2019-11-08,31.1100,32.8300,30.2600,32.8100,932115
2019-11-11,32.7600,34.0000,32.3600,33.5500,1665146
2019-11-12,33.8100,35.2000,33.8000,34.4000,3258699
2019-11-13,38.8200,41.9200,38.2500,40.1900,10607668
2019-11-14,40.1800,41.7200,39.3800,41.3700,2569896
2019-11-15,41.7500,42.9600,40.4300,40.6300,2121844
2019-11-18,40.7200,41.4800,39.7500,40.3200,1154269
2019-11-19,40.4500,40.8800,37.5300,39.1500,1891274
2019-11-20,38.8300,39.9378,37.6000,38.4000,1161008
2019-11-21,38.2400,40.1700,38.1800,40.0300,1419813
2019-11-22,41.3500,42.7000,39.7100,41.0400,2671902
2019-11-25,41.5000,44.0900,41.4671,42.8100,2301411
2019-11-26,43.1000,43.7000,39.8100,40.5500,1785738
2019-11-27,40.8000,42.2000,39.7200,41.8600,1278542
2019-11-29,41.8200,42.2000,40.5600,40.7700,574803
2019-12-02,41.1100,41.3200,37.8400,39.6000,2049242
2019-12-03,37.5800,38.7218,37.5000,37.7700,2120278
2019-12-04,38.0000,38.2498,36.0900,36.9200,1662643
2019-12-05,36.8300,36.8300,35.8100,35.8600,2032686
2019-12-06,35.9300,36.3300,35.6000,35.9100,2883933
2019-12-09,34.6300,36.0400,34.1000,35.1600,3171903
2019-12-10,34.3300,36.2500,34.2600,34.8100,5371024
2019-12-11,34.8100,35.6800,33.0600,35.5500,3372408
2019-12-12,35.4500,36.6100,35.1400,35.7300,2065617
2019-12-13,36.2000,39.1300,36.0100,38.7900,4403967
2019-12-16,38.9100,39.0200,37.1300,38.7900,2943717
2019-12-17,37.8600,38.2400,36.0200,37.1800,5174117
2019-12-18,37.6600,38.7500,36.8100,38.2100,3146196
2019-12-19,37.5100,38.4400,37.5000,38.1000,1524479
2019-12-20,37.7100,38.8700,37.6000,38.5100,3420699
2019-12-23,38.8500,39.6400,37.4100,37.8000,2284500
2019-12-24,37.7200,37.7967,36.6200,37.0900,783631
2019-12-26,37.3000,38.2000,37.0000,37.9600,1377971
2019-12-27,37.9000,37.9520,35.6107,36.1100,3473770
2019-12-30,36.7200,37.2000,35.4000,37.1300,1611179
2019-12-31,36.9000,37.9500,36.7701,37.7800,1460168
2020-01-02,38.2200,38.2500,36.6000,36.7000,1784775
2020-01-03,36.1100,37.6990,35.9584,37.4200,1573566
2020-01-06,37.5100,40.0700,37.3800,39.9000,5558476
2020-01-07,39.9500,41.5400,39.2000,40.0600,4079920
2020-01-08,40.3000,41.0800,39.1500,39.9500,1958317
2020-01-09,40.4500,40.9650,39.8800,40.2100,1628221
2020-01-10,40.5500,40.8800,39.8417,40.1600,1675832
2020-01-13,40.7200,43.5200,40.6000,40.9400,5291224
2020-01-14,41.1600,41.3992,38.8200,39.2700,2403957
2020-01-15,39.5700,41.4900,39.4000,40.2300,2098295
2020-01-16,40.7400,41.7772,39.9600,40.6100,2021217
2020-01-17,41.2000,41.7200,40.6100,41.1900,1377612
2020-01-21,41.1800,42.2749,40.4700,41.1300,2184877
2020-01-22,41.4800,42.6700,41.2552,42.2400,1167468
2020-01-23,42.3300,43.2500,40.9300,42.8100,1799947
2020-01-24,43.4900,44.0300,40.8100,42.0500,2572285
2020-01-27,40.0000,41.3300,39.2500,41.2550,2053832
2020-01-28,41.5800,42.2100,40.5800,42.1600,1229611
2020-01-29,42.9000,44.9900,42.1600,43.9200,2818084
2020-01-30,43.4900,47.2000,43.0811,47.0400,2830758
2020-01-31,47.1300,47.2600,45.7387,46.2100,1708920
2020-02-03,46.6200,47.4800,43.5100,45.2600,2275921
2020-02-04,46.2100,48.4900,45.7300,47.6000,1780497
2020-02-05,48.8800,49.0762,43.7700,45.7300,2455196
2020-02-06,45.7500,46.3000,44.1010,46.0500,1081525
2020-02-07,46.5000,47.9800,46.1500,47.1800,1765853
2020-02-10,47.5200,49.0000,47.5000,47.9500,1537097
2020-02-11,48.6200,49.4200,47.3400,47.8100,1884386
2020-02-12,48.2500,50.1200,48.0500,50.0100,2199441
2020-02-13,49.3500,49.4700,47.7100,48.5000,3361781
2020-02-14,45.9100,48.6900,44.2500,47.0300,8374759
2020-02-18,47.2900,48.5800,46.6050,47.0800,3049789
2020-02-19,47.2000,47.8600,46.4100,47.3000,2877410
2020-02-20,45.6800,47.0300,44.0800,45.9900,5201779
2020-02-21,45.6400,45.7900,43.7240,45.6800,2696208
2020-02-24,43.0000,45.3500,42.3300,44.9600,3187413
2020-02-25,45.4000,45.6020,43.0000,44.3100,4406094
2020-02-26,44.0600,45.3900,43.5000,43.9100,2819511
2020-02-27,42.1200,46.5800,41.7200,45.8900,7190094
2020-02-28,43.8000,45.8400,43.5000,45.1500,4483196
2020-03-02,45.0000,45.7800,43.6100,44.7900,5881164
2020-03-03,44.8000,44.8600,42.3600,43.4000,4483680
2020-03-04,44.3300,44.9000,43.1300,44.5250,2239971
2020-03-05,43.3100,48.1200,43.3100,47.3000,5074317
2020-03-06,46.0100,46.4400,43.0800,43.6200,3987390
2020-03-09,38.7800,40.0000,37.3700,38.8200,9120827
2020-03-10,39.7500,39.8500,36.4500,38.0000,13106274
2020-03-11,37.3100,37.7100,34.7900,35.5600,6010386
2020-03-12,32.4600,34.9300,31.0000,33.1000,6687304
2020-03-13,36.0000,36.6000,32.0000,35.2600,5704742
