Date,Open,High,Low,Close,Volume
1990-03-26,0.5348,0.5348,0.5196,0.5196,51200
1990-03-27,0.5196,0.5269,0.5122,0.5269,532800
1990-03-28,0.5196,0.5348,0.5196,0.5348,65600
1990-03-29,0.5196,0.5348,0.5196,0.5269,227200
1990-03-30,0.5196,0.5348,0.5196,0.5196,555200
1990-04-02,0.5348,0.5348,0.5269,0.5269,86400
1990-04-03,0.5348,0.5734,0.5348,0.5575,1124800
1990-04-04,0.5734,0.5734,0.5501,0.5575,3081600
1990-04-05,0.5654,0.5807,0.5501,0.5654,500800
1990-04-06,0.6113,0.7262,0.6113,0.7262,10040000
1990-04-09,0.7262,0.7262,0.6724,0.6877,5342400
1990-04-10,0.6877,0.6877,0.6650,0.6724,3008000
1990-04-11,0.6797,0.6797,0.6571,0.6571,513600
1990-04-12,0.6491,0.6650,0.6418,0.6571,2334400
1990-04-16,0.6571,0.7182,0.6571,0.7103,3945600
1990-04-17,0.7103,0.7182,0.6877,0.7029,3857600
1990-04-18,0.7182,0.7335,0.7029,0.7262,1016000
1990-04-19,0.7182,0.7946,0.7182,0.7946,3273600
1990-04-20,0.7946,0.8020,0.7567,0.7641,2622400
1990-04-23,0.7793,0.7793,0.7488,0.7567,3491200
1990-04-24,0.7714,0.7873,0.7567,0.7714,1857600
1990-04-25,0.7873,0.7946,0.7714,0.7793,2246400
1990-04-26,0.7946,0.8252,0.7946,0.8099,1059200
1990-04-27,0.8252,0.8252,0.8020,0.8020,1984000
1990-04-30,0.8179,0.8790,0.8020,0.8710,3134400
1990-05-01,0.8863,0.8936,0.8710,0.8710,848000
1990-05-02,0.8863,0.8863,0.8558,0.8558,1889600
1990-05-03,0.8790,0.8863,0.8631,0.8631,441600
1990-05-04,0.8710,0.8790,0.8558,0.8631,740800
1990-05-07,0.8631,0.8936,0.8631,0.8710,1096000
1990-05-08,0.8936,0.9401,0.8790,0.9401,2844800
1990-05-09,0.9322,0.9401,0.9242,0.9322,3497600
1990-05-10,0.9242,0.9401,0.9169,0.9242,3310400
1990-05-11,0.9242,0.9322,0.9095,0.9242,3145600
1990-05-14,0.9401,0.9548,0.9322,0.9548,4852800
1990-05-15,0.9474,0.9548,0.9322,0.9322,2092800
1990-05-16,0.9322,0.9474,0.9322,0.9401,302400
1990-05-17,0.9401,0.9474,0.9322,0.9474,1232000
1990-05-18,0.9401,0.9474,0.9322,0.9322,2961600
1990-05-21,0.9322,0.9474,0.9095,0.9169,2056000
1990-05-22,0.9095,0.9242,0.9095,0.9242,1004800
1990-05-23,0.9095,0.9322,0.9095,0.9322,3284800
1990-05-24,0.9322,0.9707,0.9169,0.9707,4632000
1990-05-25,0.9548,1.0159,0.9548,1.0086,3019200
1990-05-29,1.0086,1.0159,0.9933,1.0012,1246400
1990-05-30,1.0086,1.0318,1.0086,1.0086,2716800
1990-05-31,1.0238,1.0238,1.0086,1.0159,1691200
1990-06-01,1.0159,1.0159,0.9780,0.9933,1136000
1990-06-04,1.0012,1.0012,0.9780,0.9853,257600
1990-06-05,0.9853,1.0012,0.9322,0.9322,880000
1990-06-06,0.9322,0.9322,0.8863,0.8863,1577600
1990-06-07,0.8863,0.9095,0.8325,0.8484,1921600
1990-06-08,0.8325,0.8484,0.8020,0.8179,1019200
1990-06-11,0.8252,0.9016,0.8252,0.8936,2772800
1990-06-12,0.8936,0.9548,0.8863,0.9474,5424000
1990-06-13,0.9627,0.9707,0.9322,0.9401,1921600
1990-06-14,0.9548,0.9548,0.9242,0.9401,940800
1990-06-15,0.9401,0.9401,0.9242,0.9242,344000
1990-06-18,0.9322,0.9401,0.8710,0.8863,1372800
1990-06-19,0.8710,0.8863,0.8710,0.8863,361600
1990-06-20,0.8631,0.9095,0.8631,0.9016,657600
1990-06-21,0.9095,0.9095,0.8790,0.8863,1320000
1990-06-22,0.8936,0.9401,0.8936,0.9169,2358400
1990-06-25,0.9169,0.9169,0.8790,0.9016,603200
1990-06-26,0.9016,0.9242,0.9016,0.9169,1251200
1990-06-27,0.9169,0.9242,0.9016,0.9169,657600
1990-06-28,0.9322,0.9707,0.9242,0.9322,1929600
1990-06-29,0.9474,1.0238,0.9474,1.0238,4801600
1990-07-02,1.0238,1.0238,1.0012,1.0012,859200
1990-07-03,1.0012,1.0086,1.0012,1.0086,132800
1990-07-05,1.0012,1.0086,0.9853,0.9853,801600
1990-07-06,0.9853,0.9853,0.9548,0.9707,672000
1990-07-09,0.9707,0.9707,0.9242,0.9242,332800
1990-07-10,0.9169,0.9322,0.8863,0.9169,3113600
1990-07-11,0.8936,0.9401,0.8936,0.9242,1582400
1990-07-12,0.9401,1.0159,0.9242,1.0086,2736000
1990-07-13,1.0159,1.0159,1.0012,1.0086,1851200
1990-07-16,1.0086,1.0159,0.9933,1.0086,1905600
1990-07-17,0.9933,1.0086,0.9401,0.9474,1681600
1990-07-18,0.9242,0.9401,0.8710,0.8863,2244800
1990-07-19,0.8790,0.8936,0.8631,0.8710,560000
1990-07-20,0.8710,0.8710,0.8325,0.8558,1156800
1990-07-23,0.8325,0.8484,0.7103,0.7793,2945600
1990-07-24,0.7873,0.8558,0.7488,0.8405,2808000
1990-07-25,0.8631,0.8790,0.8484,0.8790,2036800
1990-07-26,0.8710,0.8790,0.8558,0.8710,673600
1990-07-27,0.8710,0.8710,0.7946,0.8099,1918400
1990-07-30,0.7873,0.8020,0.7641,0.7873,608000
1990-07-31,0.7873,0.7873,0.7567,0.7567,385600
1990-08-01,0.7567,0.8020,0.7567,0.7873,2187200
1990-08-02,0.7641,0.7946,0.7641,0.7946,907200
1990-08-03,0.7946,0.7946,0.7714,0.7946,1904000
1990-08-06,0.7641,0.7641,0.7182,0.7335,1448000
1990-08-07,0.7408,0.7714,0.7408,0.7488,1214400
1990-08-08,0.7714,0.8020,0.7714,0.7793,1200000
1990-08-09,0.7873,0.7873,0.7714,0.7714,1019200
1990-08-10,0.7641,0.7793,0.7488,0.7488,406400
1990-08-13,0.7567,0.7793,0.7408,0.7793,747200
1990-08-14,0.7793,0.7793,0.7641,0.7793,299200
1990-08-15,0.7793,0.7793,0.7488,0.7488,667200
1990-08-16,0.7488,0.7488,0.6877,0.6956,1473600
1990-08-17,0.6724,0.6956,0.6491,0.6491,1145600
1990-08-20,0.6491,0.6650,0.6265,0.6345,561600
