Date,Open,High,Low,Close,Volume
1992-02-25,2.0405,2.0405,1.9021,1.9021,26197
1992-02-26,1.9021,2.0405,1.9021,2.0405,411703
1992-02-27,2.0405,2.0405,1.9367,1.9367,9403
1992-02-28,2.0405,2.0405,1.9367,2.0405,3301
1992-03-02,1.9893,2.2134,1.9367,2.2134,195001
1992-03-03,2.0405,2.2134,2.0239,2.1788,163897
1992-03-04,2.2134,2.2134,1.9893,2.0059,195703
1992-03-05,2.1442,2.1442,1.9713,2.0059,200401
1992-03-06,1.9713,1.9713,1.9713,1.9713,6703
1992-03-09,1.9367,1.9367,1.9367,1.9367,6001
1992-03-10,2.1442,2.1442,2.1442,2.1442,67500
1992-03-11,1.9367,1.9893,1.9367,1.9893,19501
1992-03-12,1.9367,1.9713,1.9367,1.9713,618901
1992-03-13,2.1442,2.1442,2.1442,2.1442,1897
1992-03-16,1.9713,2.1442,1.9713,2.1442,9403
1992-03-17,1.9713,2.0059,1.9713,2.0059,4597
1992-03-18,2.0059,2.0059,2.0059,2.0059,0
1992-03-19,2.0750,2.0750,2.0405,2.0405,67500
1992-03-20,2.0059,2.0059,2.0059,2.0059,10800
1992-03-23,2.0405,2.0750,2.0059,2.0059,245700
1992-03-24,2.0059,2.0059,2.0059,2.0059,0
1992-03-25,2.1788,2.1788,2.1788,2.1788,4003
1992-03-26,2.0059,2.1788,2.0059,2.1788,122101
1992-03-27,2.0750,2.0750,2.0059,2.0059,13500
1992-03-30,1.9713,1.9713,1.9021,1.9713,82897
1992-03-31,1.9021,2.1096,1.9021,2.1096,84301
1992-04-01,2.0750,2.0750,1.9367,2.0405,82303
1992-04-02,2.0239,2.0750,1.9367,1.9367,22903
1992-04-03,1.9367,2.1096,1.9367,2.0916,193003
1992-04-06,2.0916,2.0916,2.0916,2.0916,0
1992-04-07,2.0916,2.0916,2.0916,2.0916,0
1992-04-08,1.9367,1.9367,1.9367,1.9367,601
1992-04-09,1.9367,1.9367,1.9367,1.9367,18900
1992-04-10,1.9367,2.0750,1.9367,2.0750,16801
1992-04-13,2.0750,2.0750,1.9367,2.0750,14803
1992-04-14,2.0750,2.0750,2.0750,2.0750,0
1992-04-15,1.9367,1.9367,1.7292,1.7292,42397
1992-04-16,1.7292,1.7292,1.7292,1.7292,3301
1992-04-20,1.9367,1.9367,1.7292,1.7292,2700
1992-04-21,1.9367,1.9367,1.7292,1.7292,4003
1992-04-22,1.9367,1.9367,1.9367,1.9367,601
1992-04-23,1.9367,1.9367,1.9021,1.9021,4003
1992-04-24,1.9367,1.9367,1.7984,1.8855,521701
1992-04-27,1.9713,1.9713,1.8675,1.8675,15397
1992-04-28,1.8675,1.8675,1.8675,1.8675,0
1992-04-29,1.7984,1.8675,1.6600,1.6600,95803
1992-04-30,1.7638,1.7638,1.7638,1.7638,17503
1992-05-01,1.8675,1.8675,1.7984,1.8495,90403
1992-05-04,1.6946,1.6946,1.6946,1.6946,4597
1992-05-05,1.6946,1.6946,1.6946,1.6946,0
1992-05-06,1.8150,1.8675,1.8150,1.8675,20797
1992-05-07,1.8675,1.8675,1.8675,1.8675,1303
1992-05-08,1.7638,1.7638,1.7458,1.7458,40500
1992-05-11,1.7458,1.7458,1.7458,1.7458,0
1992-05-12,1.8675,1.8675,1.6946,1.6946,15397
1992-05-13,1.6946,1.6946,1.6946,1.6946,0
1992-05-14,1.6946,1.6946,1.6946,1.6946,0
1992-05-15,1.7984,1.7984,1.6946,1.6946,57301
1992-05-18,1.7984,1.7984,1.7984,1.7984,3301
1992-05-19,1.6946,1.6946,1.6946,1.6946,3301
1992-05-20,1.6946,1.6946,1.6946,1.6946,0
1992-05-21,1.6946,1.6946,1.6946,1.6946,0
1992-05-22,1.6946,1.6946,1.6946,1.6946,9997
1992-05-26,1.6946,1.6946,1.6946,1.6946,0
1992-05-27,1.6946,1.6946,1.6946,1.6946,601
1992-05-28,1.6946,1.6946,1.6946,1.6946,4003
1992-05-29,1.6946,1.6946,1.6946,1.6946,3301
1992-06-01,1.6946,1.6946,1.6946,1.6946,12697
1992-06-02,1.8329,1.8329,1.6946,1.7638,144403
1992-06-03,1.7984,1.8150,1.6946,1.7984,1096200
1992-06-04,1.7984,1.7984,1.7984,1.7984,0
1992-06-05,1.7984,1.7984,1.7984,1.7984,0
1992-06-08,1.9021,1.9021,1.9021,1.9021,6703
1992-06-09,1.7292,1.7638,1.7292,1.7638,363103
1992-06-10,1.9021,1.9021,1.9021,1.9021,1303
1992-06-11,1.7292,1.7292,1.7292,1.7292,4003
1992-06-12,1.7292,1.7292,1.7292,1.7292,0
1992-06-15,1.7292,1.7458,1.7292,1.7458,216000
1992-06-16,1.8675,1.8675,1.8675,1.8675,1897
1992-06-17,1.7292,1.7292,1.7292,1.7292,1897
1992-06-18,1.7292,1.7292,1.7292,1.7292,0
1992-06-19,1.7292,1.7292,1.7292,1.7292,0
1992-06-22,1.7292,1.7292,1.7292,1.7292,0
1992-06-23,1.7292,1.7292,1.7292,1.7292,0
1992-06-24,1.7292,1.7292,1.7292,1.7292,0
1992-06-25,1.6600,1.6780,1.6600,1.6780,1350000
1992-06-26,1.6946,1.6946,1.6946,1.6946,16200
1992-06-29,1.7984,1.7984,1.6600,1.7984,43801
1992-06-30,1.7984,1.7984,1.7984,1.7984,6703
1992-07-01,1.6600,1.7984,1.6600,1.7984,18097
1992-07-02,1.7292,1.7292,1.7292,1.7292,18097
1992-07-06,1.6600,1.6600,1.6600,1.6600,18900
1992-07-07,1.6600,1.6600,1.6600,1.6600,4597
1992-07-08,1.6600,1.6780,1.6600,1.6780,594000
1992-07-09,1.8329,1.8329,1.8329,1.8329,1897
1992-07-10,1.6254,1.6254,1.6254,1.6254,37800
1992-07-13,1.7638,1.7638,1.6254,1.6254,9403
1992-07-14,1.6254,1.6254,1.6254,1.6254,0
1992-07-15,1.6254,1.6254,1.6254,1.6254,13500
1992-07-16,1.7638,1.7638,1.6254,1.7638,15397
1992-07-17,1.7638,1.7638,1.7638,1.7638,0
1992-07-20,1.7638,1.7638,1.7638,1.7638,0
1992-07-21,1.7638,1.7638,1.7638,1.7638,0
1992-07-22,1.6254,1.6600,1.6254,1.6600,8100
1992-07-23,1.6254,1.6254,1.6254,1.6254,36403
1992-07-24,1.7638,1.7638,1.7638,1.7638,1303
1992-07-27,1.7638,1.7638,1.7638,1.7638,0
1992-07-28,1.7638,1.7638,1.7638,1.7638,0
1992-07-29,1.6254,1.6254,1.6254,1.6254,1897
1992-07-30,1.7984,1.7984,1.6254,1.7984,7297
1992-07-31,1.6254,1.6434,1.6254,1.6434,24300
1992-08-03,1.6254,1.7984,1.6254,1.7984,19501
1992-08-04,1.6600,1.7292,1.6600,1.7292,76903
1992-08-05,1.7292,1.7292,1.7292,1.7292,0
1992-08-06,1.7292,1.7292,1.7292,1.7292,0
1992-08-07,1.7292,1.7292,1.7292,1.7292,0
1992-08-10,1.7292,1.7292,1.7292,1.7292,0
1992-08-11,1.7292,1.7292,1.7292,1.7292,0
1992-08-12,1.6600,1.7292,1.6600,1.6600,188197
1992-08-13,1.6600,1.6600,1.6600,1.6600,0
1992-08-14,1.7638,1.7638,1.6254,1.6254,62100
1992-08-17,1.5563,1.5563,1.5563,1.5563,6703
1992-08-18,1.5660,1.5660,1.5660,1.5660,0
1992-08-19,1.5660,1.5660,1.5660,1.5660,0
1992-08-20,1.5660,1.5660,1.5660,1.5660,9997
1992-08-21,1.5660,1.5660,1.5660,1.5660,0
1992-08-24,1.5660,1.5660,1.5660,1.5660,601
1992-08-25,1.5660,1.5660,1.5660,1.5660,0
1992-08-26,1.5660,1.5660,1.5660,1.5660,0
1992-08-27,1.5660,1.5660,1.5660,1.5660,0
1992-08-28,1.5660,1.5660,1.5660,1.5660,2700
1992-08-31,1.5660,1.5660,1.5660,1.5660,0
1992-09-01,1.6537,1.6537,1.6537,1.6537,4003
1992-09-02,1.6537,1.6537,1.6537,1.6537,0
1992-09-03,1.7400,1.7400,1.7400,1.7400,13500
1992-09-04,1.7400,1.7400,1.5660,1.5660,4003
1992-09-08,1.5660,1.5660,1.5660,1.5660,0
1992-09-09,1.5660,1.5660,1.5660,1.5660,0
1992-09-10,1.5660,1.5660,1.5660,1.5660,1303
1992-09-11,1.5660,1.5660,1.5660,1.5660,5400
1992-09-14,1.7400,1.7400,1.7400,1.7400,3301
1992-09-15,1.5841,1.5841,1.5841,1.5841,4597
1992-09-16,1.7400,1.7400,1.7400,1.7400,4003
1992-09-17,1.7400,1.7400,1.7400,1.7400,0
1992-09-18,1.6537,1.6537,1.6537,1.6537,10800
1992-09-21,1.6537,1.6537,1.6537,1.6537,0
1992-09-22,1.5660,1.5660,1.5660,1.5660,3301
1992-09-23,1.5660,1.5660,1.5660,1.5660,0
1992-09-24,1.5660,1.5660,1.5660,1.5660,0
1992-09-25,1.5660,1.5660,1.5660,1.5660,8100
1992-09-28,1.5312,1.5312,1.5312,1.5312,2700
1992-09-29,1.6356,1.6356,1.5312,1.5660,108000
1992-09-30,1.5312,1.7052,1.4964,1.7052,23497
1992-10-01,1.4964,1.4964,1.4964,1.4964,13500
1992-10-02,1.4964,1.4964,1.4964,1.4964,6001
1992-10-05,1.4964,1.4964,1.4964,1.4964,0
1992-10-06,1.4964,1.4964,1.4964,1.4964,0
1992-10-07,1.4964,1.4964,1.4964,1.4964,0
1992-10-08,1.6704,1.6704,1.6704,1.6704,601
1992-10-09,1.4964,1.4964,1.4964,1.4964,601
1992-10-12,1.4964,1.4964,1.4964,1.4964,601
1992-10-13,1.4964,1.4964,1.4616,1.4964,1436400
1992-10-14,1.4964,1.4964,1.4964,1.4964,0
1992-10-15,1.5312,1.5312,1.4616,1.4616,22903
1992-10-16,1.4964,1.4964,1.3920,1.4616,29700
1992-10-19,1.4616,1.4616,1.4616,1.4616,0
1992-10-20,1.4616,1.4616,1.3920,1.4616,8100
1992-10-21,1.3920,1.3920,1.3224,1.3224,33001
1992-10-22,1.3224,1.3224,1.3224,1.3224,0
1992-10-23,1.3920,1.3920,1.3920,1.3920,2700
1992-10-26,1.3224,1.3920,1.3224,1.3224,20797
1992-10-27,1.3224,1.3224,1.3224,1.3224,0
1992-10-28,1.3224,1.3224,1.3224,1.3224,1897
1992-10-29,1.3920,1.3920,1.3224,1.3920,24300
1992-10-30,1.3920,1.3920,1.3920,1.3920,0
1992-11-02,1.3920,1.3920,1.3920,1.3920,20203
1992-11-03,1.4616,1.4616,1.3224,1.4616,21600
1992-11-04,1.4616,1.4616,1.4616,1.4616,0
1992-11-05,1.5312,1.5312,1.4449,1.4449,75600
1992-11-06,1.5660,1.6356,1.5312,1.6356,575701
1992-11-09,1.6356,1.6356,1.4964,1.6356,112597
1992-11-10,1.6356,1.6356,1.5660,1.6356,9997
1992-11-11,1.6356,1.6356,1.5660,1.5660,58597
1992-11-12,1.5660,1.7052,1.5660,1.7052,1303
1992-11-13,1.7052,1.7052,1.7052,1.7052,0
1992-11-16,1.6356,1.7748,1.6356,1.7052,233503
