Date,Open,High,Low,Close,Volume
1997-06-27,12.8687,12.9733,12.6676,12.8687,2807400
1997-06-30,12.8687,12.8687,12.5148,12.5711,498600
1997-07-01,12.6676,13.2709,12.4666,13.1181,530900
1997-07-02,13.2226,13.2226,12.5711,12.7722,327200
1997-07-03,12.8687,13.2709,12.7722,13.1744,131800
1997-07-07,13.2709,13.6730,12.9733,13.6730,45500
1997-07-08,13.7776,13.9786,13.6730,13.6730,167700
1997-07-09,13.6730,13.7213,13.3754,13.4237,96300
1997-07-10,13.6730,13.7213,13.3754,13.4719,79900
1997-07-11,13.4719,13.7695,13.3674,13.4719,145000
1997-07-14,13.6730,13.7776,13.5765,13.6730,124700
1997-07-15,14.0752,14.0752,13.7213,13.9223,53100
1997-07-16,14.2762,14.3245,14.0269,14.2280,144200
1997-07-17,14.4773,14.6784,14.4291,14.6301,185800
1997-07-18,14.6784,14.7266,14.1797,14.4773,179700
1997-07-21,14.3808,14.4773,14.0752,14.0752,79100
1997-07-22,14.1797,14.3808,14.1797,14.2280,64700
1997-07-23,14.4773,14.4773,14.1797,14.1797,92400
1997-07-24,14.3808,14.5256,14.3245,14.4291,46300
1997-07-25,14.4773,14.9840,14.4773,14.6784,150600
1997-07-28,14.4773,14.6784,14.2762,14.2762,46800
1997-07-29,14.3808,14.4773,14.2280,14.2762,68000
1997-07-30,14.3808,14.4773,14.1797,14.1797,76200
1997-07-31,14.5819,14.5819,14.1797,14.3808,71000
1997-08-01,14.3245,14.5819,14.0752,14.5819,66800
1997-08-04,14.4773,14.5256,14.3808,14.4773,77200
1997-08-05,14.5819,15.7883,14.5256,15.7883,76800
1997-08-06,15.7883,16.0859,15.4344,15.6355,48700
1997-08-07,15.6838,15.8366,15.2816,15.8366,222200
1997-08-08,15.7320,15.7320,15.2333,15.3299,91600
1997-08-11,15.3862,15.3862,14.8795,15.1851,35400
1997-08-12,15.2816,15.6838,15.0805,15.1851,50100
1997-08-13,14.9840,15.1851,14.2762,14.4773,51600
1997-08-14,14.4291,14.6784,13.6730,14.2762,71200
1997-08-15,14.2762,14.3808,13.9786,14.0752,39000
1997-08-18,13.9786,14.3808,13.8741,14.3808,23100
1997-08-19,14.5819,14.7266,14.1797,14.7266,16400
1997-08-20,14.8312,14.8312,14.5819,14.5819,16000
1997-08-21,14.6784,15.1851,14.6301,15.0323,43000
1997-08-22,14.8312,15.2816,14.7829,15.2816,14300
1997-08-25,15.1851,15.2333,14.4773,14.7266,65300
1997-08-26,14.6784,14.7266,14.0752,14.1797,19000
1997-08-27,14.1797,14.2280,13.9786,14.1797,20600
1997-08-28,14.1797,14.4291,14.0752,14.2762,39700
1997-08-29,14.2762,14.3245,14.2280,14.3245,41300
1997-09-02,14.4291,14.6784,14.3808,14.5819,46700
1997-09-03,14.6784,14.8795,14.4773,14.8795,63100
1997-09-04,15.2816,15.9894,14.9840,15.5872,91100
1997-09-05,15.6838,16.0859,15.5872,16.0859,46300
1997-09-08,16.0376,16.0859,15.8848,16.0859,33900
1997-09-09,15.6838,16.0859,15.6838,16.0376,61400
1997-09-10,16.0376,16.1342,15.8848,16.0859,57100
1997-09-11,15.9331,16.0859,15.9331,15.9894,2200
1997-09-12,16.0859,16.2387,15.9894,16.0859,48100
1997-09-15,16.0376,16.1342,15.9894,15.9894,10000
1997-09-16,15.9894,16.1905,15.9894,16.1342,4600
1997-09-17,16.1905,16.5363,15.9894,16.4880,24400
1997-09-18,16.4880,16.7937,16.4880,16.6409,57600
1997-09-19,16.5926,16.7374,16.4880,16.5363,14700
1997-09-22,16.6409,16.8902,16.4880,16.7937,27300
1997-09-23,16.8902,17.2441,16.7937,16.8419,156600
1997-09-24,17.1395,17.3406,16.9948,17.1395,115700
1997-09-25,17.1395,17.1958,16.3915,16.3915,38700
1997-09-26,16.2870,16.2870,15.4344,15.4344,28200
1997-09-29,15.4827,15.5309,14.5256,14.8312,127900
1997-09-30,14.9840,15.4827,14.8795,15.3862,300000
1997-10-01,15.5309,15.5309,14.8795,15.1288,43200
1997-10-02,15.2333,15.2333,14.7829,14.7829,67600
1997-10-03,14.9277,15.2333,14.8795,15.1288,59600
1997-10-06,15.0805,15.2333,14.9840,15.1288,77400
1997-10-07,15.0805,15.2816,14.9840,14.9840,58300
1997-10-08,15.0805,15.3862,15.0323,15.3299,29600
1997-10-09,15.5309,16.1342,15.2816,15.7883,47200
1997-10-10,15.6355,15.6838,15.0805,15.0805,55700
1997-10-13,15.1288,15.2816,14.9840,15.0323,109100
