Date,Close,Volume,Open,High,Low
11/25/2024,499.82,692956,517.57,520.37,492.07
11/22/2024,509.00,653073,502.20,510.24,499.68
11/21/2024,506.42,1179797,517.23,519.48,486.226
11/20/2024,507.02,790271,514.19,514.72,485.92
11/19/2024,512.28,652943,477.86,513.80,477.4506
11/18/2024,485.56,537177,477.94,492.4312,470.6901
11/15/2024,477.60,1022104,500.64,501.49,467.22
11/14/2024,518.31,644949,528.37,532.13,515.7801
11/13/2024,527.37,835732,525.78,543.77,519.33
11/12/2024,525.72,626660,516.86,527.36,511.63
11/11/2024,514.57,692534,514.09,515.9799,501.275
11/08/2024,513.49,609797,519.50,522.88,506.8381
11/07/2024,523.20,1023840,496.00,525.79,494.45
11/06/2024,488.33,1166409,470.91,489.00,467.615
11/05/2024,453.00,618930,437.00,454.25,437.00
11/04/2024,430.34,541853,432.57,442.0399,425.3399
11/01/2024,437.32,695127,429.00,445.56,427.09
10/31/2024,423.60,1209177,451.99,452.3399,419.3114
10/30/2024,470.00,830703,481.59,484.15,466.0601
10/29/2024,471.52,693431,450.89,475.91,446.28
10/28/2024,449.59,678179,460.00,460.64,448.30
10/25/2024,448.65,994827,450.95,465.80,445.00
10/24/2024,443.68,665344,442.73,445.4999,434.46
10/23/2024,432.13,897810,458.00,460.0899,424.32
10/22/2024,464.26,621038,454.33,469.15,450.92
10/21/2024,461.20,595010,448.92,461.96,446.53
10/18/2024,453.23,513310,453.20,456.81,449.00
10/17/2024,437.00,652248,449.51,450.85,435.395
10/16/2024,433.89,492793,433.54,435.04,419.69
10/15/2024,433.89,723616,454.18,454.18,424.45
10/14/2024,452.38,583126,460.04,467.4999,449.37
10/11/2024,450.66,587949,447.50,454.00,441.11
10/10/2024,450.76,754283,434.39,453.00,433.57
10/09/2024,440.57,606473,429.86,442.44,421.665
10/08/2024,429.86,746769,414.00,431.67,411.955
10/07/2024,404.90,845745,417.64,422.1273,402.0001
10/04/2024,424.18,875485,416.50,424.49,404.30
10/03/2024,401.20,607681,390.80,406.22,389.41
10/02/2024,396.15,575558,387.68,400.20,383.22
10/01/2024,389.17,1089016,410.52,411.5762,382.2405
09/30/2024,409.58,666111,399.50,410.355,395.64
09/27/2024,404.75,647798,414.70,414.70,400.88
09/26/2024,413.20,942861,430.60,430.80,402.50
09/25/2024,416.13,511351,413.52,424.43,413.00
09/24/2024,418.43,715315,416.20,420.23,399.30
09/23/2024,412.64,478458,417.00,421.10,409.60
09/20/2024,416.69,755901,420.84,423.98,403.55
09/19/2024,421.02,1087717,409.00,426.62,406.73
09/18/2024,382.00,1256626,390.06,402.6727,379.74
09/17/2024,387.69,782802,394.00,399.4399,380.4013
09/16/2024,383.80,659144,384.92,385.1599,373.42
09/13/2024,394.00,837154,386.30,395.85,384.00
09/12/2024,388.31,1176572,373.00,390.50,368.5559
09/11/2024,370.53,1159603,347.57,372.9863,327.00
09/10/2024,344.42,828389,335.50,346.65,328.36
09/09/2024,329.99,869983,328.72,334.56,318.00
09/06/2024,316.80,1257701,360.18,361.67,315.30
09/05/2024,362.80,1604583,348.55,376.16,348.03
09/04/2024,349.50,765919,338.06,360.00,337.64
09/03/2024,346.63,1727338,379.63,381.60,339.62
08/30/2024,387.61,671467,380.41,388.0571,370.00
08/29/2024,369.40,1023950,376.83,393.84,366.09
08/28/2024,371.08,823081,387.10,389.39,359.7705
08/27/2024,388.79,524601,386.12,395.9101,378.23
08/26/2024,391.20,558575,402.00,405.46,383.35
08/23/2024,404.50,964118,399.77,412.3799,389.39
08/22/2024,389.15,1228910,429.58,432.61,386.3387
08/21/2024,433.61,813950,427.80,438.445,422.58
08/20/2024,427.35,956779,428.53,438.8971,422.355
08/19/2024,428.28,669616,409.31,428.58,406.145
08/16/2024,407.00,703906,397.67,412.4232,395.45
08/15/2024,402.50,1017763,385.74,405.5699,385.54
08/14/2024,375.95,1009989,380.28,383.50,362.99
08/13/2024,377.04,1069979,354.41,377.735,354.41
08/12/2024,344.60,897654,346.67,351.19,338.0726
08/09/2024,344.00,859075,329.35,345.9699,328.61
08/08/2024,334.74,1311286,320.51,337.4848,308.6075
08/07/2024,302.03,1444183,331.07,338.50,301.29
08/06/2024,313.78,1368455,308.90,330.8071,295.3901
08/05/2024,301.79,2283223,258.01,320.4999,254.04
08/02/2024,343.00,1627637,346.71,357.378,327.29
08/01/2024,376.20,1541729,418.88,429.72,365.28
07/31/2024,410.46,1333944,395.00,414.7758,392.50
07/30/2024,370.85,1061515,396.82,399.00,359.82
07/29/2024,392.05,808755,394.02,402.755,384.70
07/26/2024,384.87,974426,389.77,393.6999,376.00
07/25/2024,378.30,1786537,387.07,406.36,357.82
07/24/2024,384.09,1755824,420.94,423.53,383.52
07/23/2024,460.30,641115,460.93,473.94,459.00
07/22/2024,458.56,1005352,449.79,465.69,445.85
07/19/2024,431.00,764118,448.21,457.39,428.82
07/18/2024,446.06,1126771,468.64,469.30,437.28
07/17/2024,451.50,1150277,473.50,476.00,448.00
07/16/2024,502.74,971050,515.26,519.79,487.46
07/15/2024,503.82,1097870,510.89,528.98,498.37
07/12/2024,499.80,1288469,489.00,514.21,483.0164
07/11/2024,501.43,1796791,558.50,563.9093,491.63
07/10/2024,559.53,805754,553.17,563.7399,540.825
07/09/2024,546.65,896389,547.50,555.88,540.3716
07/08/2024,541.36,764522,543.39,551.8907,532.74
07/05/2024,543.03,1002261,527.18,545.58,525.69
07/03/2024,521.80,704148,497.99,522.50,497.19
07/02/2024,497.78,1016089,473.66,498.00,473.00
07/01/2024,473.35,1002362,452.28,475.00,442.07
06/28/2024,445.11,855935,459.50,472.0988,442.94
06/27/2024,455.03,709631,446.66,459.00,444.19
06/26/2024,446.05,754444,423.57,447.69,423.57
06/25/2024,424.98,668188,413.05,426.695,408.8802
06/24/2024,407.60,666537,424.30,431.08,406.60
06/21/2024,428.00,515907,430.68,437.09,423.10
06/20/2024,434.25,1067041,455.99,457.79,426.52
06/18/2024,451.91,727325,457.72,457.7371,444.00
06/17/2024,457.29,1056399,438.80,466.50,434.70
06/14/2024,434.27,577276,426.75,436.3899,423.45
06/13/2024,426.00,1053255,434.11,438.26,420.51
06/12/2024,408.21,1362810,398.65,416.92,396.10
06/11/2024,387.06,748736,375.90,387.6907,368.63
06/10/2024,374.40,520435,371.95,378.2579,368.0093
06/07/2024,372.54,565671,374.81,380.50,370.11
06/06/2024,375.72,659788,377.38,382.815,370.63
06/05/2024,376.00,896043,361.43,376.67,356.10
06/04/2024,353.48,723539,350.24,356.13,343.82
06/03/2024,351.00,855099,352.26,357.5273,338.97
05/31/2024,343.04,988740,353.01,354.2999,324.88
05/30/2024,351.93,699006,369.79,370.1899,348.00
05/29/2024,374.24,601117,366.96,379.2899,366.96
05/28/2024,376.00,615810,372.87,376.9939,367.12
05/24/2024,369.82,694183,359.08,373.2499,357.50
05/23/2024,353.40,1082271,379.00,379.54,348.01
05/22/2024,361.00,651383,366.81,369.36,354.69
05/21/2024,368.80,436219,356.36,369.74,355.14
05/20/2024,360.88,604861,353.26,363.28,353.0791
05/17/2024,352.05,450310,354.32,356.13,346.6301
05/16/2024,352.91,549791,356.31,361.9899,352.55
05/15/2024,357.50,1153360,348.89,359.40,339.09
05/14/2024,343.96,917821,331.31,345.20,331.31
05/13/2024,333.80,476496,330.36,333.80,325.75
05/10/2024,328.43,911409,332.39,335.7989,322.80
05/09/2024,328.67,705579,331.15,333.225,324.245
05/08/2024,331.19,923171,321.87,335.9299,321.44
05/07/2024,332.02,915476,335.12,336.47,328.40
05/06/2024,337.18,1033171,323.50,337.60,321.00
05/03/2024,319.55,1219779,316.33,321.21,310.97
05/02/2024,299.94,1047632,295.68,302.02,285.60
05/01/2024,287.67,1689053,293.47,308.75,284.91
04/30/2024,292.80,955658,307.15,315.20,291.02
04/29/2024,314.51,1184013,315.775,317.46,306.10
04/26/2024,305.55,1438450,301.10,308.90,295.027
04/25/2024,281.50,2161138,258.67,283.00,255.66
04/24/2024,286.57,1576190,294.25,296.66,278.74
04/23/2024,280.13,1087945,269.33,282.2599,268.21
04/22/2024,262.80,945928,259.25,268.49,252.3301
04/19/2024,257.95,1610528,281.38,281.7199,253.46
04/18/2024,290.00,895844,296.24,303.00,288.50
04/17/2024,297.19,1254294,314.20,315.00,294.28
04/16/2024,309.18,917528,307.27,315.0126,304.79
04/15/2024,310.40,1370134,342.98,342.98,309.0454
04/12/2024,336.73,1325703,341.74,347.4899,332.50
04/11/2024,352.69,1445751,332.62,354.87,327.56
04/10/2024,327.05,923531,320.20,329.23,318.88
04/09/2024,332.25,975394,337.00,338.10,322.1519
04/08/2024,331.00,526504,334.05,337.99,326.41
04/05/2024,329.20,997871,321.32,336.54,319.00
04/04/2024,316.05,1092949,336.60,346.32,315.50
04/03/2024,328.60,586840,317.01,331.915,317.01
04/02/2024,323.15,693413,315.00,323.89,311.54
04/01/2024,332.60,683051,328.57,338.50,325.92
03/28/2024,327.00,407478,330.90,332.23,325.00
03/27/2024,331.36,631836,340.51,340.51,323.80
03/26/2024,333.11,539553,343.41,347.20,332.50
03/25/2024,337.20,488624,332.45,340.30,330.4892
