Date,Close,Volume,Open,High,Low
11/22/2024,10.08,38330,9.86,10.09,9.81
11/21/2024,9.83,47855,9.74,9.93,9.69
11/20/2024,9.82,60277,9.76,9.83,9.65
11/19/2024,9.76,102768,9.57,9.76,9.52
11/18/2024,9.62,48299,9.74,9.74,9.55
11/15/2024,9.65,81908,10.20,10.20,9.65
11/14/2024,10.20,28123,10.62,10.65,10.20
11/13/2024,10.60,61563,10.68,10.835,10.60
11/12/2024,10.57,32481,10.81,10.8251,10.5309
11/11/2024,10.89,39506,10.87,11.09,10.87
11/08/2024,10.77,32216,10.84,10.84,10.69
11/07/2024,10.86,24401,10.92,11.01,10.80
11/06/2024,10.79,41188,10.93,10.93,10.68
11/05/2024,10.69,38999,10.56,10.71,10.47
11/04/2024,10.62,39416,10.51,10.65,10.39
11/01/2024,10.49,28818,10.42,10.51,10.37
10/31/2024,10.38,39010,10.53,10.55,10.3755
10/30/2024,10.5773,31581,10.56,10.698,10.56
10/29/2024,10.5978,17353,10.63,10.63,10.55
10/28/2024,10.653,18786,10.56,10.73,10.56
10/25/2024,10.49,23481,10.58,10.6299,10.49
10/24/2024,10.51,25585,10.64,10.655,10.50
10/23/2024,10.64,30652,10.76,10.79,10.57
10/22/2024,10.80,39881,10.73,10.80,10.71
10/21/2024,10.77,21334,10.97,10.97,10.71
10/18/2024,10.975,23819,10.95,11.00,10.90
10/17/2024,10.90,32890,11.12,11.12,10.90
10/16/2024,11.12,12081,11.02,11.12,11.00
10/15/2024,10.98,27020,11.12,11.12,10.9699
10/14/2024,11.13,50867,11.00,11.13,10.88
10/11/2024,10.986,31381,10.69,11.00,10.69
10/10/2024,10.70,54116,10.67,10.725,10.59
10/09/2024,10.7796,95358,10.88,10.89,10.74
10/08/2024,10.90,37044,10.86,10.96,10.85
10/07/2024,10.88,24169,10.99,10.99,10.83
10/04/2024,11.02,25375,11.00,11.02,10.935
10/03/2024,10.86,47188,11.03,11.03,10.83
10/02/2024,11.10,34922,11.05,11.11,10.94
10/01/2024,11.12,75292,11.27,11.27,10.94
09/30/2024,11.25,25806,11.14,11.29,11.13
09/27/2024,11.149,110038,11.10,11.23,11.09
09/26/2024,11.02,121447,11.04,11.13,10.87
09/25/2024,10.86,94483,11.05,11.08,10.84
09/24/2024,11.0559,68090,11.10,11.14,11.00
09/23/2024,11.06,21006,11.33,11.33,11.06
09/20/2024,11.32,22570,11.54,11.54,11.27
09/19/2024,11.56,46029,11.62,11.679,11.52
09/18/2024,11.35,12195,11.42,11.65,11.35
09/17/2024,11.44,71614,11.36,11.53,11.35
09/16/2024,11.25,30237,11.35,11.36,11.235
09/13/2024,11.3406,15623,11.05,11.3406,11.05
09/12/2024,11.00,14447,10.94,11.06,10.81
09/11/2024,10.98,14386,10.91,10.98,10.76
09/10/2024,10.92,10174,10.83,10.9391,10.77
09/09/2024,10.84,14024,10.71,10.88,10.71
09/06/2024,10.68,25114,10.96,11.03,10.59
09/05/2024,10.98,35803,10.98,11.03,10.88
09/04/2024,10.97,21698,11.00,11.09,10.91
09/03/2024,11.07,142414,11.33,11.41,11.03
08/30/2024,11.38,47966,11.46,11.50,11.2799
