Date,Open,High,Low,Close,Volume
1999-05-04,54.5552,55.4525,50.2482,50.5210,22320900
1999-05-05,50.1621,50.1621,47.5564,49.6237,7565700
1999-05-06,48.8126,49.8032,48.1378,48.7695,2905700
1999-05-07,48.7695,53.7512,47.9153,53.2129,4862300
1999-05-10,52.6745,52.7606,50.4277,50.7435,2589400
1999-05-11,50.2482,51.1024,49.8893,50.7005,1839800
1999-05-12,50.9661,53.7512,49.6237,52.7606,2659300
1999-05-13,52.5812,54.0168,52.0428,53.2990,1142900
1999-05-14,51.1455,51.8633,49.5735,50.3846,2058400
1999-05-17,49.6237,50.4277,48.8126,49.2648,2075000
1999-05-18,48.9920,50.5641,48.9059,49.2648,1407100
1999-05-19,49.8032,50.1118,49.3509,49.7529,727400
1999-05-20,49.9324,50.3415,49.0853,49.0853,520800
1999-05-21,48.9059,49.3940,48.4536,48.4536,936200
1999-05-24,48.0947,48.2742,46.6591,46.8816,1493000
1999-05-25,46.0346,47.3338,45.9412,46.3002,1662400
1999-05-26,47.1113,47.8291,45.2665,47.4200,1602900
1999-05-27,46.6591,48.6331,46.4365,48.6331,1220500
1999-05-28,48.6331,49.3940,48.0947,48.7695,901900
1999-06-01,47.8291,47.8291,45.6254,46.0776,953900
1999-06-02,45.7618,45.9843,44.5056,45.4029,2204300
1999-06-03,45.9412,46.0776,45.3167,45.6756,852600
1999-06-04,46.1638,48.0947,46.1638,46.9318,1357400
1999-06-07,46.7955,48.6331,46.7955,47.3338,891900
1999-06-08,46.9318,47.1544,45.7618,45.7618,571700
1999-06-09,46.1207,47.0180,45.6756,47.0180,611400
1999-06-10,46.5729,46.6160,45.4459,45.4962,664200
1999-06-11,45.8982,46.1638,44.7281,45.1803,969300
1999-06-14,45.5823,45.9412,43.4288,43.9672,821100
1999-06-15,45.1373,45.4962,44.6850,45.0439,831700
1999-06-16,45.8982,46.9749,45.8982,46.8385,690300
1999-06-17,46.3002,48.0086,46.3002,46.6591,955700
1999-06-18,46.1207,46.5729,45.5823,46.5227,613900
1999-06-21,47.8722,50.2052,47.7789,49.8893,1811000
1999-06-22,50.3415,50.3415,48.6331,48.8126,1165900
1999-06-23,48.1378,48.4106,46.5729,46.6591,1351700
1999-06-24,47.4200,47.7358,46.3002,46.7021,1408900
1999-06-25,47.0180,47.9583,46.9318,47.5564,1111500
1999-06-28,47.6927,48.4536,47.1974,47.7789,784600
1999-06-29,47.3769,49.1715,47.3769,48.6331,629800
1999-06-30,49.1715,51.8633,47.4702,51.8633,2127600
1999-07-01,51.2388,51.2819,50.0688,50.8297,813600
1999-07-02,50.6502,51.1024,50.0257,50.9230,536900
1999-07-06,50.2482,51.1024,49.7099,50.6071,747600
1999-07-07,49.9324,50.2482,48.8126,48.8126,648800
1999-07-08,48.8126,49.4443,48.2311,48.2742,424400
1999-07-09,48.4106,48.9490,48.2742,48.2742,312700
1999-07-12,48.8126,49.4873,48.7264,49.0853,547700
1999-07-13,48.9920,49.3079,48.5470,48.7264,969600
1999-07-14,48.3675,48.6331,48.3173,48.5470,888200
1999-07-15,48.8126,48.8126,48.4536,48.7695,864700
1999-07-16,48.6331,49.3509,48.6331,48.8556,476700
1999-07-19,48.9920,50.7866,48.9920,49.8462,646100
1999-07-20,49.6237,50.5641,48.7264,48.9059,886100
1999-07-21,48.8126,48.8556,48.1881,48.7264,626100
1999-07-22,48.9059,48.9920,47.7358,47.7358,579500
1999-07-23,47.6497,47.6497,45.9412,45.9843,767200
1999-07-26,46.1207,46.4796,45.3598,45.4029,749500
1999-07-27,46.1207,47.1974,45.4459,47.0180,592200
1999-07-28,46.8385,47.6497,45.9412,47.4200,584800
1999-07-29,47.0180,47.0180,46.3002,46.6591,646000
1999-07-30,46.6591,46.6591,45.6756,46.1638,629600
1999-08-02,46.1207,46.3432,44.7783,45.0870,566400
1999-08-03,45.0870,45.0870,43.6083,43.6514,837700
1999-08-04,43.4719,44.1467,43.0699,43.0699,1281600
1999-08-05,42.9335,43.0699,41.4979,42.5315,1539900
1999-08-06,42.3090,42.3090,40.1986,40.3780,1308500
1999-08-09,40.5575,41.2753,40.0622,40.0622,1347500
1999-08-10,40.4630,41.1392,39.7005,41.0026,1817400
1999-08-11,41.6356,44.2828,41.3191,44.2396,1369200
1999-08-12,44.1964,44.7359,43.5634,43.6569,832800
1999-08-13,44.9158,45.4984,44.6424,45.4121,557400
1999-08-16,45.3186,45.3186,43.7936,45.2323,762600
1999-08-17,45.4984,46.3976,45.0525,45.3186,936900
1999-08-18,45.3186,45.3186,43.9231,44.8223,819300
1999-08-19,44.3331,44.9589,43.7433,44.3763,624600
1999-08-20,44.4626,102.8661,44.3331,44.9158,439600
1999-08-23,45.1819,45.9013,45.0525,45.7718,837200
1999-08-24,45.7214,46.7573,45.1819,45.6351,894200
1999-08-25,45.4121,46.2610,44.8223,46.0380,449900
1999-08-26,46.0380,46.6710,45.1388,45.1388,378400
1999-08-27,45.3186,45.3186,44.2396,44.2828,265300
1999-08-30,44.4194,44.4194,42.6642,42.6642,438100
1999-08-31,42.8009,43.5203,42.2182,43.0239,496600
1999-09-01,43.5634,43.6569,43.0239,43.3836,560100
1999-09-02,42.8009,43.4771,42.3549,42.6211,727600
1999-09-03,43.7001,45.4121,43.7001,45.4121,754900
1999-09-07,45.3186,46.3545,44.9158,44.9589,813600
1999-09-08,44.9158,45.7718,44.6928,45.0021,732100
1999-09-09,44.9589,45.0021,43.8799,44.4194,448800
1999-09-10,44.8726,45.3834,44.3331,45.3834,636300
1999-09-13,44.7359,45.1819,44.5993,44.6928,250700
1999-09-14,44.1533,44.1533,42.2614,42.7146,1160600
1999-09-15,43.2541,43.2541,41.7651,41.9449,970200
1999-09-16,42.1247,42.5348,41.3191,41.4989,753200
1999-09-17,42.1751,43.2037,42.0816,43.2037,1116700
1999-09-20,43.2037,43.7001,42.8009,43.7001,721800
1999-09-21,43.5634,44.4194,41.9952,42.5348,2369100
1999-09-22,43.1174,44.5993,42.4844,44.1029,1534700
1999-09-23,44.4194,44.7791,43.7001,43.7433,889800
1999-09-24,43.9231,44.7359,43.7936,44.5561,831400
1999-09-27,44.5993,45.0525,44.0598,44.2828,624700
1999-09-28,44.1029,44.7791,43.9231,44.7791,819900
1999-09-29,44.8726,45.1388,43.9734,44.1964,800900
1999-09-30,44.5561,44.9589,43.8799,43.8799,1113400
1999-10-01,43.8799,44.0598,41.9449,42.5779,793300
1999-10-04,42.8009,44.3763,42.8009,44.3763,739400
1999-10-05,44.6928,45.4984,44.1533,44.7791,1040500
1999-10-06,44.6928,46.0380,44.4626,46.0380,944200
1999-10-07,46.0380,46.1315,45.4553,45.4553,366300
1999-10-08,44.9589,45.9948,44.5129,45.9948,488800
1999-10-11,45.8581,45.9948,45.6783,45.8150,229300
1999-10-12,45.8150,45.8581,45.1388,45.2755,644200
1999-10-13,44.8726,45.0525,43.6569,43.8799,393000
1999-10-14,43.5203,45.0021,42.3549,44.5993,1016000
1999-10-15,43.5203,43.6138,41.9017,42.9807,1088000
1999-10-18,43.3404,43.3404,41.6787,42.6211,732700
1999-10-19,42.8009,43.8799,42.8009,43.4339,1082700
1999-10-20,43.5203,44.8726,43.5203,44.4194,499800
1999-10-21,44.1453,44.5489,44.0588,44.5489,281900
1999-10-22,45.2264,47.3886,45.1832,47.2084,1644700
1999-10-25,46.8048,46.8481,45.5868,46.1273,665000
1999-10-26,45.7670,46.5309,44.5489,44.5489,650200
1999-10-27,44.7291,46.6679,44.6859,46.4012,1412500
1999-10-28,46.4877,52.2536,46.4877,51.8933,3983400
1999-10-29,51.9365,53.1545,50.5887,51.1725,2490500
1999-11-01,50.8121,51.1725,49.9545,50.0049,949300
