Date,Close,Volume,Open,High,Low
11/25/2024,44736.57,826661363,44385.49,44815.67,44385.49
11/22/2024,44296.51,533019024,43871.63,44323.95,43871.63
11/21/2024,43870.35,712122885,43538.70,44020.31,43345.58
11/20/2024,43408.47,559014606,43296.05,43465.77,43074.86
11/19/2024,43268.94,497970429,43243.27,43380.97,42938.87
11/18/2024,43389.60,527185309,43431.89,43505.66,43297.57
11/15/2024,43444.99,664320356,43587.93,43647.53,43350.43
11/14/2024,43750.86,545093598,44032.38,44080.78,43704.82
11/13/2024,43958.19,518842039,43880.46,44141.33,43829.98
11/12/2024,43910.98,482720587,44359.21,44405.73,43887.27
11/11/2024,44293.13,451949024,44057.65,44486.70,44057.65
11/08/2024,43988.99,454574895,43768.53,44157.29,43733.86
11/07/2024,43729.34,437519634,43718.92,43823.10,43641.92
11/06/2024,43729.93,555808505,42850.40,43778.78,42850.40
11/05/2024,42221.88,283999978,41835.49,42258.84,41766.96
11/04/2024,41794.60,341507920,42004.66,42035.87,41647.30
11/01/2024,42052.19,531359667,41869.82,42326.31,41869.82
10/31/2024,41763.46,523873896,41956.34,41991.91,41704.63
10/30/2024,42141.54,377428503,42249.81,42457.92,42141.54
10/29/2024,42233.05,373552597,42323.48,42491.86,42171.65
10/28/2024,42387.57,284779780,42264.54,42476.46,42264.54
10/25/2024,42114.40,314003698,42477.51,42594.64,42051.39
10/24/2024,42374.36,282684226,42522.55,42522.55,42191.83
10/23/2024,42514.95,356619189,42834.40,42834.40,42293.17
10/22/2024,42924.89,335203037,42876.84,43041.05,42718.26
10/21/2024,42931.60,273596816,43222.21,43310.87,42877.57
10/18/2024,43275.91,295507803,43187.12,43325.09,43036.35
10/17/2024,43239.05,276012986,43119.81,43289.76,43119.81
10/16/2024,43077.70,297512296,42706.49,43100.84,42692.37
10/15/2024,42740.42,360882409,43240.17,43277.78,42703.17
10/14/2024,43065.22,240056108,42800.89,43139.00,42707.14
10/11/2024,42863.86,265334505,42507.53,42899.75,42507.53
10/10/2024,42454.12,245575493,42511.37,42511.37,42308.04
10/09/2024,42512.00,267405837,42070.32,42562.01,41993.35
10/08/2024,42080.37,286520154,42022.65,42128.56,41874.72
10/07/2024,41954.24,307238418,42289.51,42293.64,41831.74
10/04/2024,42352.75,296550279,42248.26,42361.38,41972.11
10/03/2024,42011.59,267267687,42099.53,42125.84,41847.81
10/02/2024,42196.52,301769827,42125.14,42259.52,41968.79
10/01/2024,42156.97,380241557,42262.97,42322.36,41945.63
09/30/2024,42330.15,354434160,42289.75,42347.66,41929.07
09/27/2024,42313.00,329846328,42227.95,42628.32,42227.95
09/26/2024,42175.11,361211989,42113.42,42224.15,42036.28
09/25/2024,41914.75,385161670,42236.09,42299.64,41859.73
09/24/2024,42208.22,401024885,42234.99,42281.06,42056.82
09/23/2024,42124.65,455202916,42060.40,42190.05,42012.22
09/20/2024,42063.36,1218059219,41959.43,42138.41,41865.95
09/19/2024,42025.19,436228728,41972.56,42160.91,41832.09
09/18/2024,41503.10,383601673,41628.91,41981.97,41449.00
09/17/2024,41606.18,448617758,41723.78,41835.28,41470.69
09/16/2024,41622.08,408678489,41435.17,41733.97,41435.17
09/13/2024,41393.78,276806020,41153.70,41533.84,41128.70
09/12/2024,41096.77,289301268,40862.11,41107.35,40665.53
09/11/2024,40861.71,356047581,40638.76,40903.68,39993.07
09/10/2024,40736.96,360956851,40916.50,40916.50,40417.48
09/09/2024,40829.59,376722729,40555.11,41000.24,40518.06
09/06/2024,40345.41,370443461,40756.81,41009.39,40297.33
09/05/2024,40755.75,331259918,41056.33,41084.78,40519.08
