Date,Open,High,Low,Close,Volume
1993-08-11,1.6875,1.9375,1.5000,1.9375,1454400
1993-08-12,1.9375,1.9375,1.7500,1.9375,289200
1993-08-13,1.9375,1.9375,1.6875,1.6875,190800
1993-08-16,1.8750,1.8750,1.6875,1.6875,183600
1993-08-17,1.6875,1.8125,1.3750,1.8125,468000
1993-08-18,1.5950,1.8125,1.5950,1.8125,228000
1993-08-19,1.8125,1.8125,1.6250,1.8125,120000
1993-08-20,1.6250,1.8125,1.6250,1.6250,378000
1993-08-23,1.6250,1.8125,1.6250,1.6875,187200
1993-08-24,1.6250,1.7500,1.6250,1.7200,344400
1993-08-25,1.6250,1.6875,1.5950,1.5950,319200
1993-08-26,1.6550,1.7500,1.5950,1.6250,326400
1993-08-27,1.7200,1.7200,1.6250,1.6250,85200
1993-08-30,1.6250,1.7200,1.6250,1.6250,116400
1993-08-31,1.6250,1.7200,1.6250,1.7200,330000
1993-09-01,1.6250,1.7500,1.6175,1.6250,240000
1993-09-02,1.6250,1.7500,1.5950,1.6875,126000
1993-09-03,1.5950,1.6875,1.5950,1.6875,19200
1993-09-07,1.6875,1.6875,1.5950,1.6875,168000
1993-09-08,1.5950,1.6550,1.5000,1.6250,105600
1993-09-09,1.5000,1.6250,1.5000,1.6250,123600
1993-09-10,1.5000,1.6250,1.5000,1.6250,63600
1993-09-13,1.5000,1.6250,1.5000,1.6250,200400
1993-09-14,1.5000,1.6250,1.5000,1.6250,98400
1993-09-15,1.5000,1.6250,1.5000,1.5000,106800
1993-09-16,1.5000,1.6250,1.5000,1.5625,90000
1993-09-17,1.5000,1.5625,1.4700,1.4700,102000
1993-09-20,1.4700,1.6875,1.4700,1.6875,314400
1993-09-21,1.6875,1.7500,1.5300,1.5300,90000
1993-09-22,1.5300,1.7500,1.5300,1.6550,102000
1993-09-23,1.5300,1.7500,1.5300,1.5300,91200
1993-09-24,1.5300,1.6875,1.5300,1.6875,108000
1993-09-27,1.6250,1.6875,1.5300,1.6250,85200
1993-09-28,1.5300,1.6550,1.5300,1.5300,114000
1993-09-29,1.5300,1.6550,1.5300,1.6550,205200
1993-09-30,1.5300,1.8125,1.5300,1.8125,421200
1993-10-01,1.6250,1.8125,1.6250,1.8125,120000
1993-10-04,1.6250,1.7800,1.6250,1.6250,82800
1993-10-05,1.7800,1.7800,1.6250,1.6250,92400
1993-10-06,1.7800,1.7800,1.6250,1.7500,96000
1993-10-07,1.7800,1.7800,1.5950,1.7800,188400
1993-10-08,1.5950,1.7800,1.5300,1.5950,163200
1993-10-11,1.7800,1.7800,1.5950,1.7800,45600
1993-10-12,1.7800,1.7800,1.5950,1.5950,146400
1993-10-13,1.5950,1.7800,1.5950,1.5950,92400
1993-10-14,1.5950,1.7800,1.5950,1.5950,123600
1993-10-15,1.7800,1.7800,1.5950,1.7800,88800
1993-10-18,1.5950,1.7800,1.5950,1.5950,27600
1993-10-19,1.5950,1.7800,1.5950,1.7800,78000
1993-10-20,1.5950,1.7800,1.5950,1.5950,46800
1993-10-21,1.5950,1.7800,1.5950,1.7800,66000
1993-10-22,1.5950,1.7800,1.5950,1.7800,80400
1993-10-25,1.5950,1.7800,1.5950,1.6550,85200
1993-10-26,1.5950,1.7800,1.5950,1.6550,124800
1993-10-27,1.5950,1.7800,1.5950,1.7500,129600
1993-10-28,1.7500,1.7500,1.5950,1.5950,99600
1993-10-29,1.7500,2.0000,1.5950,2.0000,230400
1993-11-01,2.0000,2.0000,1.6875,1.6875,70800
1993-11-02,1.8125,1.9375,1.6550,1.6875,94800
1993-11-03,1.6875,1.9375,1.6875,1.9375,97200
1993-11-04,1.6875,2.0000,1.6875,2.0000,126000
1993-11-05,1.8750,2.0000,1.6875,2.0000,248400
1993-11-08,1.9375,2.0000,1.7500,1.7500,39600
1993-11-09,1.7500,2.0000,1.7500,1.9375,63600
1993-11-10,1.8750,2.0000,1.7500,2.0000,130800
1993-11-11,1.7500,2.0000,1.7500,2.0000,132000
1993-11-12,1.8750,2.0000,1.7800,2.0000,129600
1993-11-15,2.0000,2.0000,1.7500,1.7500,80400
1993-11-16,1.7500,2.0000,1.7500,2.0000,25200
1993-11-17,1.7500,2.0000,1.6875,1.7500,146400
1993-11-18,2.0000,2.0000,1.7500,2.0000,116400
1993-11-19,1.8125,2.0000,1.7500,2.0000,194400
1993-11-22,1.7500,2.0000,1.7500,1.7500,56400
1993-11-23,1.7500,2.0000,1.7500,1.8450,147600
1993-11-24,1.7500,2.0000,1.7500,2.0000,91200
