Date,Open,High,Low,Close,Volume
1980-03-17,0.1815,0.1844,0.1815,0.1815,10924800
1980-03-18,0.1815,0.1830,0.1801,0.1801,17068800
1980-03-19,0.1844,0.1873,0.1844,0.1844,18508800
1980-03-20,0.1844,0.1866,0.1837,0.1837,11174400
1980-03-21,0.1801,0.1801,0.1771,0.1771,12172800
1980-03-24,0.1764,0.1764,0.1735,0.1735,8966400
1980-03-25,0.1742,0.1771,0.1742,0.1742,11347200
1980-03-26,0.1742,0.1757,0.1728,0.1728,16262400
1980-03-27,0.1699,0.1699,0.1670,0.1670,26918400
1980-03-28,0.1735,0.1764,0.1735,0.1735,20102400
1980-03-31,0.1793,0.1822,0.1793,0.1793,9004800
1980-04-01,0.1801,0.1830,0.1801,0.1801,8179200
1980-04-02,0.1815,0.1844,0.1815,0.1815,12556800
1980-04-03,0.1808,0.1808,0.1779,0.1779,6988800
1980-04-07,0.1764,0.1764,0.1735,0.1735,13478400
1980-04-08,0.1742,0.1771,0.1742,0.1742,29184000
1980-04-09,0.1735,0.1735,0.1706,0.1706,11558400
1980-04-10,0.1706,0.1728,0.1699,0.1699,14784000
1980-04-11,0.1699,0.1728,0.1699,0.1699,9523200
1980-04-14,0.1713,0.1742,0.1713,0.1713,8025600
1980-04-15,0.1713,0.1721,0.1692,0.1692,10598400
1980-04-16,0.1655,0.1655,0.1626,0.1626,10752000
1980-04-17,0.1626,0.1626,0.1597,0.1597,17702400
1980-04-18,0.1619,0.1648,0.1619,0.1619,18739200
1980-04-21,0.1619,0.1634,0.1604,0.1604,9043200
1980-04-22,0.1677,0.1706,0.1677,0.1677,20428800
1980-04-23,0.1779,0.1808,0.1779,0.1779,14822400
1980-04-24,0.1786,0.1815,0.1786,0.1786,8832000
1980-04-25,0.1786,0.1786,0.1757,0.1757,7104000
1980-04-28,0.1757,0.1771,0.1742,0.1742,6931200
1980-04-29,0.1757,0.1786,0.1757,0.1757,6297600
1980-04-30,0.1779,0.1808,0.1779,0.1779,7065600
1980-05-01,0.1786,0.1815,0.1786,0.1786,7008000
1980-05-02,0.1815,0.1844,0.1815,0.1815,5510400
1980-05-05,0.1837,0.1866,0.1837,0.1837,3513600
1980-05-06,0.1837,0.1859,0.1830,0.1830,6988800
1980-05-07,0.1830,0.1859,0.1830,0.1830,6393600
1980-05-08,0.1830,0.1837,0.1808,0.1808,7468800
1980-05-09,0.1830,0.1859,0.1830,0.1830,16684800
1980-05-12,0.1830,0.1851,0.1822,0.1822,8582400
1980-05-13,0.1859,0.1888,0.1859,0.1859,7372800
1980-05-14,0.1888,0.1917,0.1888,0.1888,4742400
1980-05-15,0.1902,0.1931,0.1902,0.1902,8102400
1980-05-16,0.1924,0.1953,0.1924,0.1924,4838400
1980-05-19,0.1931,0.1960,0.1931,0.1931,8640000
1980-05-20,0.1931,0.1938,0.1909,0.1909,21811200
1980-05-21,0.1895,0.1895,0.1866,0.1866,10540800
1980-05-22,0.1866,0.1873,0.1844,0.1844,5318400
1980-05-23,0.1909,0.1938,0.1909,0.1909,29779200
1980-05-27,0.1909,0.1931,0.1902,0.1902,8332800
1980-05-28,0.1946,0.1975,0.1946,0.1946,6700800
1980-05-29,0.1946,0.1975,0.1946,0.1946,7660800
1980-05-30,0.1975,0.2004,0.1975,0.1975,5721600
1980-06-02,0.1982,0.2011,0.1982,0.1982,6355200
1980-06-03,0.1960,0.1960,0.1931,0.1931,15244800
1980-06-04,0.1960,0.1989,0.1960,0.1960,7680000
1980-06-05,0.1960,0.1989,0.1960,0.1960,6470400
1980-06-06,0.1960,0.1975,0.1946,0.1946,28723200
1980-06-09,0.1946,0.1960,0.1931,0.1931,7545600
1980-06-10,0.1953,0.1982,0.1953,0.1953,17280000
1980-06-11,0.1975,0.2004,0.1975,0.1975,3206400
1980-06-12,0.1975,0.1975,0.1946,0.1946,10809600
1980-06-13,0.1946,0.1975,0.1946,0.1946,3590400
1980-06-16,0.1946,0.1975,0.1946,0.1946,7987200
1980-06-17,0.1946,0.1967,0.1938,0.1938,12864000
1980-06-18,0.1938,0.1953,0.1924,0.1924,8064000
1980-06-19,0.1917,0.1917,0.1888,0.1888,13689600
1980-06-20,0.1895,0.1924,0.1895,0.1895,7027200
1980-06-23,0.1895,0.1924,0.1895,0.1895,9888000
1980-06-24,0.1895,0.1924,0.1895,0.1895,9676800
1980-06-25,0.1917,0.1946,0.1917,0.1917,15494400
1980-06-26,0.1917,0.1946,0.1917,0.1917,10156800
1980-06-27,0.1924,0.1953,0.1924,0.1924,6912000
1980-06-30,0.1924,0.1938,0.1909,0.1909,5337600
1980-07-01,0.1938,0.1967,0.1938,0.1938,9811200
1980-07-02,0.1953,0.1982,0.1953,0.1953,6585600
1980-07-03,0.1967,0.1997,0.1967,0.1967,4550400
1980-07-07,0.2040,0.2055,0.2040,0.2040,19545600
1980-07-08,0.2084,0.2098,0.2084,0.2084,13190400
1980-07-09,0.2084,0.2091,0.2084,0.2084,9388800
1980-07-10,0.2113,0.2120,0.2113,0.2113,14092800
1980-07-11,0.2113,0.2120,0.2105,0.2105,9888000
1980-07-14,0.2127,0.2142,0.2127,0.2127,15052800
1980-07-15,0.2193,0.2200,0.2193,0.2193,20678400
1980-07-16,0.2229,0.2236,0.2229,0.2229,11692800
1980-07-17,0.2280,0.2294,0.2280,0.2280,15456000
1980-07-18,0.2338,0.2345,0.2338,0.2338,12576000
1980-07-21,0.2338,0.2345,0.2338,0.2338,14208000
1980-07-22,0.2323,0.2323,0.2309,0.2309,14150400
1980-07-23,0.2294,0.2294,0.2287,0.2287,8371200
1980-07-24,0.2280,0.2280,0.2272,0.2272,11616000
1980-07-25,0.2258,0.2258,0.2251,0.2251,22156800
1980-07-28,0.2272,0.2287,0.2272,0.2272,7372800
1980-07-29,0.2374,0.2389,0.2374,0.2374,11424000
1980-07-30,0.2447,0.2454,0.2447,0.2447,12614400
1980-07-31,0.2461,0.2476,0.2461,0.2461,24384000
1980-08-01,0.2447,0.2447,0.2425,0.2425,9523200
1980-08-04,0.2461,0.2483,0.2461,0.2461,5721600
1980-08-05,0.2476,0.2490,0.2476,0.2476,6720000
1980-08-06,0.2476,0.2476,0.2454,0.2454,11193600
1980-08-07,0.2483,0.2490,0.2483,0.2483,8812800
1980-08-08,0.2519,0.2534,0.2519,0.2519,5817600
1980-08-11,0.2679,0.2694,0.2679,0.2679,7276800
1980-08-12,0.2686,0.2715,0.2686,0.2686,22406400
1980-08-13,0.2650,0.2650,0.2635,0.2635,12153600
1980-08-14,0.2635,0.2643,0.2635,0.2635,8793600
1980-08-15,0.2614,0.2614,0.2599,0.2599,41011200
1980-08-18,0.2534,0.2534,0.2527,0.2527,7699200
1980-08-19,0.2497,0.2497,0.2490,0.2490,8889600
1980-08-20,0.2541,0.2556,0.2541,0.2541,11808000
1980-08-21,0.2570,0.2577,0.2570,0.2570,11251200
1980-08-22,0.2585,0.2592,0.2585,0.2585,38515200
1980-08-25,0.2585,0.2592,0.2585,0.2585,11174400
1980-08-26,0.2585,0.2592,0.2585,0.2585,20160000
1980-08-27,0.2585,0.2585,0.2577,0.2577,3513600
1980-08-28,0.2563,0.2563,0.2556,0.2556,6451200
1980-08-29,0.2548,0.2548,0.2541,0.2541,15552000
1980-09-02,0.2577,0.2585,0.2577,0.2577,6816000
1980-09-03,0.2657,0.2672,0.2657,0.2657,9292800
1980-09-04,0.2679,0.2694,0.2679,0.2679,16147200
1980-09-05,0.2672,0.2672,0.2664,0.2664,6259200
1980-09-08,0.2606,0.2606,0.2592,0.2592,4300800
1980-09-09,0.2599,0.2606,0.2599,0.2599,13632000
1980-09-10,0.2585,0.2585,0.2570,0.2570,10099200
1980-09-11,0.2585,0.2592,0.2585,0.2585,5990400
1980-09-12,0.2585,0.2585,0.2577,0.2577,4800000
1980-09-15,0.2556,0.2556,0.2548,0.2548,5337600
1980-09-16,0.2621,0.2628,0.2621,0.2621,9139200
1980-09-17,0.2737,0.2744,0.2737,0.2737,11577600
1980-09-18,0.2744,0.2752,0.2744,0.2744,14227200
1980-09-19,0.2766,0.2773,0.2766,0.2766,6086400
1980-09-22,0.2737,0.2737,0.2723,0.2723,8313600
1980-09-23,0.2628,0.2628,0.2621,0.2621,7142400
1980-09-24,0.2606,0.2606,0.2592,0.2592,10022400
1980-09-25,0.2570,0.2570,0.2563,0.2563,11520000
1980-09-26,0.2541,0.2541,0.2527,0.2527,9312000
1980-09-29,0.2534,0.2541,0.2534,0.2534,3801600
1980-09-30,0.2585,0.2599,0.2585,0.2585,6086400
1980-10-01,0.2614,0.2621,0.2614,0.2614,5971200
1980-10-02,0.2614,0.2621,0.2606,0.2606,4281600
1980-10-03,0.2694,0.2701,0.2694,0.2694,5068800
1980-10-06,0.2860,0.2875,0.2860,0.2860,10060800
1980-10-07,0.2868,0.2882,0.2868,0.2868,9158400
1980-10-08,0.2817,0.2817,0.2810,0.2810,25036800
1980-10-09,0.2810,0.2817,0.2802,0.2802,4348800
1980-10-10,0.2788,0.2788,0.2773,0.2773,6624000
1980-10-13,0.2788,0.2802,0.2788,0.2788,3235200
1980-10-14,0.2802,0.2831,0.2802,0.2802,6652800
1980-10-15,0.2860,0.2875,0.2860,0.2860,4416000
1980-10-16,0.2860,0.2875,0.2846,0.2846,5942400
1980-10-17,0.2846,0.2846,0.2817,0.2817,6988800
1980-10-20,0.2802,0.2802,0.2788,0.2788,6489600
1980-10-21,0.2773,0.2773,0.2759,0.2759,8908800
1980-10-22,0.2788,0.2802,0.2788,0.2788,5136000
1980-10-23,0.2759,0.2759,0.2730,0.2730,3206400
1980-10-24,0.2686,0.2686,0.2672,0.2672,4204800
1980-10-27,0.2541,0.2541,0.2527,0.2527,5769600
1980-10-28,0.2599,0.2628,0.2599,0.2599,4473600
1980-10-29,0.2657,0.2672,0.2657,0.2657,6844800
1980-10-30,0.2410,0.2410,0.2381,0.2381,54960000
1980-10-31,0.2439,0.2454,0.2439,0.2439,16579200
1980-11-03,0.2439,0.2454,0.2439,0.2439,18777600
1980-11-05,0.2614,0.2628,0.2614,0.2614,16108800
1980-11-06,0.2468,0.2468,0.2454,0.2454,20659200
1980-11-07,0.2497,0.2527,0.2497,0.2497,7334400
1980-11-10,0.2497,0.2512,0.2483,0.2483,8390400
1980-11-11,0.2527,0.2541,0.2527,0.2527,8620800
1980-11-12,0.2614,0.2628,0.2614,0.2614,13440000
1980-11-13,0.2672,0.2686,0.2672,0.2672,9753600
1980-11-14,0.2788,0.2817,0.2788,0.2788,12028800
1980-11-17,0.2802,0.2817,0.2802,0.2802,8515200
1980-11-18,0.2875,0.2890,0.2875,0.2875,8467200
1980-11-19,0.2846,0.2846,0.2831,0.2831,10387200
1980-11-20,0.2817,0.2817,0.2802,0.2802,11251200
1980-11-21,0.2773,0.2773,0.2759,0.2759,10684800
1980-11-24,0.2744,0.2744,0.2715,0.2715,8688000
1980-11-25,0.2715,0.2730,0.2715,0.2715,5990400
1980-11-26,0.2730,0.2744,0.2730,0.2730,5654400
1980-11-28,0.2730,0.2730,0.2701,0.2701,5088000
1980-12-01,0.2527,0.2527,0.2497,0.2497,5328000
1980-12-02,0.2497,0.2527,0.2497,0.2497,12768000
1980-12-03,0.2527,0.2556,0.2527,0.2527,7478400
1980-12-04,0.2578,0.2599,0.2578,0.2578,9398400
1980-12-05,0.2425,0.2425,0.2410,0.2410,12278400
1980-12-08,0.2338,0.2338,0.2323,0.2323,13363200
1980-12-09,0.2425,0.2454,0.2425,0.2425,20572800
1980-12-10,0.2410,0.2410,0.2396,0.2396,17558400
1980-12-11,0.2352,0.2352,0.2323,0.2323,23481600
1980-12-12,0.2396,0.2410,0.2396,0.2396,12460800
1980-12-15,0.2396,0.2410,0.2396,0.2396,8544000
1980-12-16,0.2410,0.2439,0.2410,0.2410,16425600
1980-12-17,0.2381,0.2381,0.2367,0.2367,15753600
1980-12-18,0.2367,0.2381,0.2352,0.2352,18508800
1980-12-19,0.2265,0.2265,0.2236,0.2236,31900800
1980-12-22,0.2236,0.2251,0.2236,0.2236,19526400
1980-12-23,0.2280,0.2294,0.2280,0.2280,17145600
1980-12-24,0.2323,0.2352,0.2323,0.2323,11808000
1980-12-26,0.2381,0.2410,0.2381,0.2381,4300800
1980-12-29,0.2323,0.2323,0.2309,0.2309,15782400
1980-12-30,0.2338,0.2352,0.2338,0.2338,8131200
1980-12-31,0.2338,0.2367,0.2338,0.2338,6624000
1981-01-02,0.2338,0.2367,0.2338,0.2338,7795200
1981-01-05,0.2425,0.2454,0.2425,0.2425,9187200
1981-01-06,0.2381,0.2381,0.2367,0.2367,16099200
1981-01-07,0.2309,0.2309,0.2294,0.2294,16857600
1981-01-08,0.2265,0.2265,0.2251,0.2251,12556800
1981-01-09,0.2251,0.2265,0.2251,0.2251,8332800
1981-01-12,0.2222,0.2222,0.2207,0.2207,13574400
1981-01-13,0.2207,0.2207,0.2193,0.2193,14630400
1981-01-14,0.2207,0.2236,0.2207,0.2207,5702400
1981-01-15,0.2222,0.2251,0.2222,0.2222,10051200
1981-01-16,0.2323,0.2338,0.2323,0.2323,12768000
1981-01-19,0.2323,0.2338,0.2323,0.2323,7180800
1981-01-20,0.2265,0.2265,0.2251,0.2251,7017600
1981-01-21,0.2251,0.2251,0.2236,0.2236,8976000
1981-01-22,0.2236,0.2265,0.2236,0.2236,7286400
1981-01-23,0.2280,0.2294,0.2280,0.2280,8803200
1981-01-26,0.2236,0.2236,0.2222,0.2222,11760000
1981-01-27,0.2222,0.2222,0.2207,0.2207,10070400
1981-01-28,0.2207,0.2222,0.2207,0.2207,6681600
1981-01-29,0.2207,0.2222,0.2207,0.2207,7516800
1981-01-30,0.2178,0.2178,0.2164,0.2164,8956800
1981-02-02,0.2105,0.2105,0.2091,0.2091,17433600
1981-02-03,0.2178,0.2193,0.2178,0.2178,11328000
1981-02-04,0.2236,0.2265,0.2236,0.2236,8448000
1981-02-05,0.2294,0.2309,0.2294,0.2294,11702400
1981-02-06,0.2323,0.2352,0.2323,0.2323,10963200
1981-02-09,0.2323,0.2352,0.2323,0.2323,9312000
1981-02-10,0.2352,0.2367,0.2352,0.2352,7132800
1981-02-11,0.2323,0.2323,0.2309,0.2309,6374400
1981-02-12,0.2251,0.2251,0.2236,0.2236,6873600
1981-02-13,0.2236,0.2251,0.2236,0.2236,5577600
1981-02-17,0.2294,0.2323,0.2294,0.2294,4819200
1981-02-18,0.2309,0.2323,0.2309,0.2309,11040000
1981-02-19,0.2309,0.2323,0.2309,0.2309,13948800
1981-02-20,0.2222,0.2222,0.2207,0.2207,16099200
1981-02-23,0.2193,0.2193,0.2178,0.2178,12768000
1981-02-24,0.2178,0.2178,0.2164,0.2164,18921600
1981-02-25,0.1975,0.1975,0.1946,0.1946,77721600
1981-02-26,0.1931,0.1931,0.1917,0.1917,32524800
1981-02-27,0.2033,0.2047,0.2033,0.2033,36057600
1981-03-02,0.2091,0.2120,0.2091,0.2091,19113600
1981-03-03,0.2062,0.2062,0.2047,0.2047,21110400
1981-03-04,0.2033,0.2033,0.2018,0.2018,17625600
1981-03-05,0.1975,0.1975,0.1960,0.1960,8361600
1981-03-06,0.1960,0.1975,0.1960,0.1960,14342400
1981-03-09,0.1960,0.1975,0.1960,0.1960,10041600
1981-03-10,0.1989,0.2004,0.1989,0.1989,10646400
1981-03-11,0.1931,0.1931,0.1902,0.1902,16310400
1981-03-12,0.2004,0.2033,0.2004,0.2004,9216000
1981-03-13,0.2033,0.2047,0.2033,0.2033,10569600
1981-03-16,0.2047,0.2062,0.2047,0.2047,13670400
1981-03-17,0.1975,0.1975,0.1960,0.1960,17577600
1981-03-18,0.1989,0.2004,0.1989,0.1989,20755200
1981-03-19,0.1989,0.1989,0.1975,0.1975,8572800
1981-03-20,0.2033,0.2047,0.2033,0.2033,14764800
1981-03-23,0.2047,0.2076,0.2047,0.2047,8054400
1981-03-24,0.2062,0.2076,0.2062,0.2062,14227200
1981-03-25,0.2149,0.2164,0.2149,0.2149,11875200
1981-03-26,0.2134,0.2134,0.2120,0.2120,15964800
1981-03-27,0.2120,0.2134,0.2120,0.2120,17241600
1981-03-30,0.2120,0.2134,0.2120,0.2120,5318400
1981-03-31,0.2120,0.2120,0.2105,0.2105,4742400
1981-04-01,0.2120,0.2134,0.2120,0.2120,8246400
1981-04-02,0.2134,0.2149,0.2134,0.2134,9792000
1981-04-03,0.2134,0.2134,0.2105,0.2105,13968000
1981-04-06,0.2105,0.2105,0.2091,0.2091,10358400
1981-04-07,0.2076,0.2076,0.2047,0.2047,19910400
1981-04-08,0.2062,0.2076,0.2062,0.2062,33004800
1981-04-09,0.2062,0.2062,0.2047,0.2047,14505600
1981-04-10,0.2091,0.2120,0.2091,0.2091,12000000
1981-04-13,0.2222,0.2236,0.2222,0.2222,8256000
