Date,Open,High,Low,Close,Volume
2016-01-11,10.4800,10.5400,9.4700,9.8800,725589
2016-01-12,9.5300,10.0500,8.0500,8.4300,1367144
2016-01-13,8.3700,8.7900,8.1800,8.2300,792967
2016-01-14,8.2400,9.0750,7.5600,8.9300,835908
2016-01-15,8.6400,9.2000,8.2600,9.0500,888523
2016-01-19,9.0000,9.1500,8.1600,8.3700,766817
2016-01-20,8.2100,8.9450,7.9000,8.6700,723576
2016-01-21,8.7100,9.7800,8.5100,9.4700,494446
2016-01-22,9.6600,10.4100,9.4200,9.9700,395962
2016-01-25,9.8600,10.4900,9.7500,9.8500,278238
2016-01-26,9.7900,10.1400,9.3900,9.9700,280951
2016-01-27,9.9200,10.1000,9.5400,9.6100,442364
2016-01-28,9.7400,10.1400,9.0910,9.2200,325089
2016-01-29,9.1700,10.0200,9.1250,10.0200,572198
2016-02-01,9.9400,10.0000,9.4700,9.8200,791221
2016-02-02,9.6300,9.9000,9.3800,9.6900,1166971
2016-02-03,9.6900,9.7910,8.9300,9.1000,1148188
2016-02-04,10.9200,11.7200,10.0000,11.1000,2309502
2016-02-05,11.0500,11.7300,10.3385,11.0300,1619867
2016-02-08,10.9300,11.2200,10.4100,11.0000,657768
2016-02-09,10.8500,11.2700,10.5150,10.9800,653836
2016-02-10,10.8200,11.2200,10.5600,10.9300,887562
2016-02-11,9.9500,11.1800,9.4700,11.1300,531570
2016-02-12,11.2800,12.1100,10.9200,11.9900,857181
2016-02-16,12.4800,12.8900,12.0900,12.6400,1095051
2016-02-17,12.7100,13.2100,12.7000,12.8500,708803
2016-02-18,12.8400,12.9900,11.8900,11.9700,894178
2016-02-19,11.9100,12.4900,11.6900,12.2800,573347
2016-02-22,12.5000,12.5000,10.8400,11.2700,1131735
2016-02-23,11.2500,11.7200,11.1600,11.4200,529289
2016-02-24,11.2400,11.5600,10.8000,11.4400,538893
2016-02-25,11.4500,11.6000,10.9200,11.5300,325091
2016-02-26,11.6300,11.9200,11.5150,11.6200,380611
2016-02-29,11.5100,12.0100,11.0400,11.7200,607897
2016-03-01,11.7400,11.9400,11.1300,11.4800,1277491
2016-03-02,11.5800,12.0570,11.1400,11.9300,726582
2016-03-03,11.9500,12.3100,11.8900,12.1300,420235
2016-03-04,12.1700,12.4700,11.8400,12.0200,407983
2016-03-07,11.9800,12.6000,11.9500,12.5300,523964
2016-03-08,12.5100,12.5100,11.9900,11.9900,351095
2016-03-09,12.0400,12.3800,11.8200,12.2000,660919
2016-03-10,12.3000,12.3300,11.0400,12.0500,309109
2016-03-11,12.1400,12.4400,11.9650,12.4200,541033
2016-03-14,12.2500,12.5900,11.6700,12.2600,842905
2016-03-15,12.1600,12.2700,11.2200,11.3600,670687
2016-03-16,11.3700,11.6300,11.0200,11.2600,584804
2016-03-17,11.2300,11.3600,11.0200,11.1600,632079
2016-03-18,11.2400,12.3200,11.2050,12.2300,2131441
2016-03-21,12.1800,12.4500,11.9800,12.1200,431474
2016-03-22,12.1100,12.3600,11.8900,12.2000,541734
2016-03-23,12.3200,12.4300,11.7000,11.7600,522754
2016-03-24,11.6300,12.1800,11.4500,11.8400,534273
2016-03-28,11.9200,12.0850,11.3400,11.6500,979179
2016-03-29,11.5500,12.3000,11.4200,12.2900,1366731
2016-03-30,12.4100,12.6115,12.1000,12.3800,1337283
2016-03-31,12.4000,12.7300,12.3550,12.5900,768510
2016-04-01,12.4800,13.0000,12.2950,12.8300,1039476
2016-04-04,12.9000,13.4500,12.8800,13.2100,849766
2016-04-05,13.1200,13.4700,12.7911,13.2700,506873
2016-04-06,13.2400,13.7600,13.1600,13.5000,554676
2016-04-07,13.4600,13.6900,13.3200,13.4300,922176
2016-04-08,13.5200,13.5200,13.0700,13.1800,388128
2016-04-11,13.2500,13.4800,12.8200,12.9200,395856
2016-04-12,12.8900,13.1800,12.5500,13.0900,378087
2016-04-13,13.1300,13.3900,12.9800,13.1600,880641
2016-04-14,13.2000,13.4190,12.8800,13.3000,489457
2016-04-15,13.3600,13.4700,13.1300,13.4000,615606
