Date,Open,High,Low,Close,Volume
1970-01-02,0.3868,0.3879,0.3772,0.3772,1195200
1970-01-05,0.3772,0.3782,0.3675,0.3680,964800
1970-01-06,0.3680,0.3750,0.3664,0.3750,1036800
1970-01-07,0.3750,0.3761,0.3723,0.3734,331200
1970-01-08,0.3734,0.3793,0.3734,0.3761,460800
1970-01-09,0.3782,0.3836,0.3782,0.3782,748800
1970-01-12,0.3782,0.3782,0.3718,0.3718,864000
1970-01-13,0.3729,0.3782,0.3729,0.3750,849600
1970-01-14,0.3750,0.3815,0.3750,0.3804,619200
1970-01-15,0.3804,0.3815,0.3798,0.3809,1209600
1970-01-16,0.3809,0.3809,0.3793,0.3804,734400
1970-01-19,0.3798,0.3798,0.3750,0.3755,1180800
1970-01-20,0.3755,0.3755,0.3691,0.3755,763200
1970-01-21,0.3755,0.3772,0.3745,0.3772,878400
1970-01-22,0.3772,0.3782,0.3750,0.3782,360000
1970-01-23,0.3782,0.3793,0.3755,0.3761,979200
1970-01-26,0.3761,0.3761,0.3739,0.3761,979200
1970-01-27,0.3745,0.3745,0.3718,0.3718,532800
1970-01-28,0.3686,0.3686,0.3514,0.3514,1497600
1970-01-29,0.3503,0.3503,0.3320,0.3438,3585600
1970-01-30,0.3396,0.3396,0.3331,0.3396,2808000
1970-02-02,0.3433,0.3567,0.3433,0.3567,1612800
1970-02-03,0.3567,0.3718,0.3546,0.3546,2692800
1970-02-04,0.3508,0.3508,0.3347,0.3390,2793600
1970-02-05,0.3390,0.3546,0.3379,0.3546,1886400
1970-02-06,0.3524,0.3524,0.3481,0.3503,705600
1970-02-09,0.3589,0.3686,0.3589,0.3659,1684800
1970-02-10,0.3718,0.3761,0.3718,0.3729,2505600
1970-02-11,0.3718,0.3718,0.3680,0.3696,2232000
1970-02-12,0.3696,0.3696,0.3538,0.3562,3369600
1970-02-13,0.3549,0.3549,0.3438,0.3481,1540800
1970-02-16,0.3488,0.3504,0.3480,0.3480,820800
1970-02-17,0.3480,0.3483,0.3380,0.3413,1915200
1970-02-18,0.3423,0.3450,0.3423,0.3439,878400
1970-02-19,0.3439,0.3439,0.3407,0.3415,576000
1970-02-20,0.3407,0.3407,0.3337,0.3351,1396800
1970-02-24,0.3351,0.3364,0.3256,0.3278,3744000
1970-02-25,0.3278,0.3402,0.3262,0.3402,2822400
1970-02-26,0.3370,0.3370,0.3300,0.3337,1353600
1970-02-27,0.3359,0.3445,0.3359,0.3431,1627200
1970-03-02,0.3431,0.3483,0.3402,0.3402,1051200
1970-03-03,0.3402,0.3407,0.3348,0.3407,1468800
1970-03-04,0.3407,0.3466,0.3407,0.3439,734400
1970-03-05,0.3439,0.3450,0.3423,0.3434,892800
1970-03-06,0.3434,0.3434,0.3375,0.3386,907200
1970-03-09,0.3375,0.3375,0.3348,0.3364,273600
1970-03-10,0.3348,0.3348,0.3308,0.3337,1353600
1970-03-11,0.3337,0.3380,0.3326,0.3364,432000
1970-03-12,0.3367,0.3391,0.3367,0.3375,388800
1970-03-13,0.3359,0.3359,0.3337,0.3337,1339200
1970-03-16,0.3337,0.3337,0.3278,0.3283,806400
1970-03-17,0.3283,0.3294,0.3267,0.3267,1267200
1970-03-18,0.3273,0.3300,0.3273,0.3300,748800
1970-03-19,0.3310,0.3326,0.3310,0.3310,1123200
1970-03-20,0.3310,0.3310,0.3289,0.3310,518400
1970-03-23,0.3305,0.3305,0.3273,0.3283,216000
1970-03-24,0.3281,0.3281,0.3230,0.3264,1670400
1970-03-25,0.3294,0.3413,0.3294,0.3370,2275200
1970-03-26,0.3370,0.3391,0.3359,0.3370,936000
1970-03-30,0.3370,0.3386,0.3348,0.3353,1368000
1970-03-31,0.3337,0.3337,0.3305,0.3326,676800
1970-04-01,0.3316,0.3316,0.3294,0.3302,820800
1970-04-02,0.3283,0.3283,0.3240,0.3248,792000
1970-04-03,0.3248,0.3267,0.3248,0.3262,1008000
1970-04-06,0.3262,0.3278,0.3170,0.3176,2275200
1970-04-07,0.3170,0.3170,0.3079,0.3084,1526400
1970-04-08,0.3084,0.3090,0.3063,0.3079,734400
1970-04-09,0.3079,0.3154,0.3079,0.3149,820800
1970-04-10,0.3149,0.3197,0.3135,0.3143,3312000
1970-04-13,0.3143,0.3143,0.3100,0.3122,878400
1970-04-14,0.3122,0.3176,0.3079,0.3170,835200
1970-04-15,0.3170,0.3224,0.3165,0.3187,2217600
1970-04-16,0.3187,0.3187,0.3149,0.3151,1252800
1970-04-17,0.3151,0.3154,0.3143,0.3149,950400
1970-04-20,0.3149,0.3154,0.3127,0.3143,1425600
1970-04-21,0.3143,0.3165,0.3122,0.3125,518400
1970-04-22,0.3122,0.3122,0.3100,0.3103,561600
1970-04-23,0.3103,0.3106,0.3004,0.3011,763200
1970-04-24,0.3011,0.3014,0.2996,0.2998,792000
1970-04-27,0.2996,0.2996,0.2960,0.2966,705600
1970-04-28,0.2966,0.2971,0.2950,0.2950,676800
1970-04-29,0.2950,0.3057,0.2896,0.3057,2534400
1970-04-30,0.3057,0.3122,0.3057,0.3079,532800
1970-05-01,0.3079,0.3079,0.3057,0.3063,316800
1970-05-04,0.3025,0.3025,0.2966,0.2966,576000
1970-05-05,0.2955,0.2955,0.2934,0.2934,950400
1970-05-06,0.2934,0.2982,0.2934,0.2982,1166400
1970-05-07,0.2993,0.3036,0.2993,0.3025,1137600
1970-05-08,0.3025,0.3047,0.2960,0.2982,921600
1970-05-11,0.2941,0.2941,0.2907,0.2907,705600
1970-05-12,0.2907,0.2982,0.2901,0.2928,763200
1970-05-13,0.2917,0.2917,0.2901,0.2909,360000
1970-05-14,0.2909,0.2912,0.2842,0.2880,1094400
1970-05-15,0.2907,0.3014,0.2907,0.3014,676800
1970-05-18,0.3133,0.3133,0.3052,0.3052,187200
1970-05-19,0.3052,0.3068,0.2890,0.2890,657600
1970-05-20,0.2890,0.2907,0.2850,0.2850,542400
1970-05-21,0.2810,0.2810,0.2689,0.2745,1881600
1970-05-22,0.2750,0.2799,0.2653,0.2734,777600
1970-05-25,0.2718,0.2718,0.2540,0.2540,1718400
1970-05-26,0.2540,0.2556,0.2411,0.2419,1536000
1970-05-27,0.2491,0.2605,0.2491,0.2605,2001600
1970-05-28,0.2605,0.2669,0.2572,0.2653,3168000
1970-05-29,0.2653,0.2815,0.2621,0.2815,1872000
1970-06-01,0.2815,0.2912,0.2799,0.2912,1555200
1970-06-02,0.2912,0.2944,0.2831,0.2880,1190400
1970-06-03,0.2880,0.3001,0.2855,0.3001,1185600
1970-06-04,0.3001,0.3098,0.2977,0.2977,1948800
1970-06-05,0.2977,0.2977,0.2888,0.2904,796800
1970-06-08,0.2904,0.2936,0.2831,0.2928,523200
1970-06-09,0.2928,0.2936,0.2847,0.2912,652800
1970-06-10,0.2912,0.2969,0.2904,0.2904,744000
1970-06-11,0.2904,0.2969,0.2880,0.2961,628800
1970-06-12,0.2961,0.2977,0.2928,0.2961,696000
1970-06-15,0.2961,0.3025,0.2944,0.3009,374400
1970-06-16,0.3042,0.3284,0.3042,0.3236,912000
1970-06-17,0.3236,0.3236,0.3122,0.3171,974400
1970-06-18,0.3171,0.3236,0.3139,0.3236,556800
1970-06-19,0.3236,0.3284,0.3171,0.3171,1238400
1970-06-22,0.3171,0.3220,0.3042,0.3171,393600
1970-06-23,0.3139,0.3139,0.3042,0.3058,715200
1970-06-24,0.3058,0.3058,0.2977,0.3017,532800
1970-06-25,0.3017,0.3106,0.3009,0.3017,388800
1970-06-26,0.3017,0.3025,0.2928,0.2977,484800
1970-06-29,0.2977,0.3001,0.2920,0.2977,283200
1970-06-30,0.2977,0.3090,0.2977,0.3017,417600
1970-07-01,0.3017,0.3025,0.2977,0.3025,921600
1970-07-02,0.3025,0.3033,0.2985,0.2985,216000
1970-07-06,0.2993,0.3066,0.2993,0.3025,672000
1970-07-07,0.3025,0.3058,0.2912,0.2912,916800
1970-07-08,0.2912,0.3017,0.2904,0.3009,408000
1970-07-09,0.3025,0.3106,0.3025,0.3042,427200
1970-07-10,0.3042,0.3139,0.3042,0.3114,336000
1970-07-13,0.3114,0.3179,0.3082,0.3082,403200
1970-07-14,0.3082,0.3106,0.3033,0.3074,552000
1970-07-15,0.3082,0.3139,0.3082,0.3106,912000
1970-07-16,0.3106,0.3146,0.3090,0.3090,763200
1970-07-17,0.3122,0.3203,0.3122,0.3203,849600
1970-07-20,0.3203,0.3268,0.3203,0.3227,1224000
1970-07-21,0.3227,0.3260,0.3220,0.3220,1800000
1970-07-22,0.3220,0.3243,0.3203,0.3203,1872000
1970-07-23,0.3203,0.3252,0.3171,0.3187,1804800
1970-07-24,0.3179,0.3179,0.3139,0.3139,667200
1970-07-27,0.3130,0.3130,0.3058,0.3058,436800
1970-07-28,0.3074,0.3155,0.3074,0.3139,772800
1970-07-29,0.3155,0.3236,0.3155,0.3211,326400
1970-07-30,0.3211,0.3227,0.3171,0.3187,542400
1970-07-31,0.3187,0.3220,0.3187,0.3196,484800
1970-08-03,0.3187,0.3187,0.3066,0.3139,816000
1970-08-04,0.3122,0.3122,0.3074,0.3106,542400
1970-08-05,0.3106,0.3139,0.3058,0.3066,633600
1970-08-06,0.3074,0.3106,0.3074,0.3082,470400
1970-08-07,0.3082,0.3114,0.3049,0.3066,811200
1970-08-10,0.3049,0.3049,0.2944,0.2944,672000
1970-08-11,0.2944,0.2961,0.2912,0.2928,849600
1970-08-12,0.2936,0.2977,0.2936,0.2936,288000
1970-08-13,0.2936,0.2936,0.2815,0.2864,1833600
1970-08-14,0.2839,0.2839,0.2791,0.2807,998400
1970-08-17,0.2812,0.2836,0.2772,0.2820,1108800
1970-08-18,0.2917,0.2999,0.2917,0.2925,753600
1970-08-19,0.2925,0.2999,0.2925,0.2925,624000
1970-08-20,0.2925,0.2999,0.2885,0.2950,816000
