Date,Open,High,Low,Close,Volume
1983-12-30,2.5221,2.5508,2.4935,2.5221,211500
1984-01-03,2.5187,2.5365,2.5004,2.5221,385502
1984-01-04,2.5703,2.6293,2.5365,2.6293,292500
1984-01-05,2.6832,2.7159,2.6511,2.7159,344102
1984-01-06,2.6872,2.7159,2.6586,2.6872,194400
1984-01-09,2.6941,2.7159,2.6723,2.6941,216302
1984-01-10,2.7337,2.7658,2.7010,2.7445,143100
1984-01-11,2.7445,2.8087,2.7159,2.8013,397800
1984-01-12,2.8013,2.8449,2.7875,2.8300,297900
1984-01-13,2.8586,2.8804,2.8374,2.8449,591300
1984-01-16,2.8300,2.8449,2.8162,2.8162,103802
1984-01-17,2.8162,2.8162,2.7514,2.7658,134100
1984-01-18,2.8053,2.8374,2.7732,2.8300,1352700
1984-01-19,2.8300,2.8449,2.8162,2.8300,245102
1984-01-20,2.8300,2.8300,2.7944,2.8087,168300
1984-01-23,2.8340,2.8517,2.8162,2.8449,246002
1984-01-24,2.8626,2.8804,2.8449,2.8804,292500
1984-01-25,2.9199,2.9377,2.9016,2.9091,243000
1984-01-26,2.9091,2.9165,2.8735,2.8804,212400
1984-01-27,2.8804,2.8804,2.8449,2.8661,183002
1984-01-30,2.8517,2.8586,2.8449,2.8517,99900
1984-01-31,2.8517,2.9377,2.8517,2.8947,352202
1984-02-01,2.8947,2.9234,2.8449,2.8517,225302
1984-02-02,2.8517,2.8586,2.8300,2.8300,230702
1984-02-03,2.8661,2.8947,2.8374,2.8517,319802
1984-02-06,2.8053,2.8449,2.7658,2.7875,67500
1984-02-07,2.7514,2.7732,2.7296,2.7514,212400
1984-02-08,2.7514,2.8013,2.7296,2.7658,395100
1984-02-09,2.7658,2.7801,2.7371,2.7514,196502
1984-02-10,2.7514,2.7875,2.7514,2.7875,232502
1984-02-13,2.7875,2.8087,2.7801,2.7801,324000
1984-02-14,2.7801,2.8374,2.7732,2.8374,135000
1984-02-15,2.8374,2.8947,2.8231,2.8804,543600
1984-02-16,2.8804,2.9452,2.8661,2.9234,362102
1984-02-17,2.9234,2.9303,2.8735,2.8735,654300
1984-02-21,2.8735,2.8873,2.8449,2.8449,108000
1984-02-22,2.8449,2.8586,2.7658,2.7658,197402
1984-02-23,2.7658,2.7732,2.7010,2.7371,466200
1984-02-24,2.7371,2.7658,2.7228,2.7514,66600
1984-02-27,2.7514,2.7875,2.7010,2.7875,613202
1984-02-28,2.7623,2.7801,2.7296,2.7514,294300
1984-02-29,2.7514,2.8013,2.7445,2.7658,210002
1984-03-01,2.7371,2.7514,2.7228,2.7371,273600
1984-03-02,2.7371,2.8374,2.7371,2.8087,205502
1984-03-05,2.8087,2.8231,2.7514,2.7658,532800
1984-03-06,2.7658,2.7801,2.7371,2.7371,218102
1984-03-07,2.7371,2.7371,2.6941,2.6941,150602
1984-03-08,2.6941,2.7371,2.6941,2.7371,120902
1984-03-09,2.6798,2.6941,2.6654,2.6654,381902
1984-03-12,2.6654,2.6872,2.5938,2.5938,427500
1984-03-13,2.6259,2.6511,2.6007,2.6437,280202
1984-03-14,2.6116,2.6368,2.5869,2.6081,327902
1984-03-15,2.6081,2.6437,2.5938,2.6368,358502
1984-03-16,2.7228,2.7514,2.6941,2.7159,230702
1984-03-19,2.6763,2.7084,2.6437,2.6723,196200
1984-03-20,2.6941,2.7228,2.6654,2.7228,227700
1984-03-21,2.7228,2.7514,2.7228,2.7514,90302
1984-03-22,2.7514,2.7732,2.7228,2.7228,125402
1984-03-23,2.7228,2.7445,2.7010,2.7010,51300
1984-03-26,2.7010,2.7159,2.6872,2.7010,75600
1984-03-27,2.7010,2.7084,2.6723,2.6941,527702
1984-03-28,2.6941,2.7084,2.6872,2.6941,97502
1984-03-29,2.6941,2.7084,2.6654,2.6654,125100
1984-03-30,2.6654,2.6654,2.6007,2.6007,207900
1984-04-02,2.6224,2.6437,2.6007,2.6007,253202
1984-04-03,2.6007,2.6293,2.5508,2.5508,105602
1984-04-04,2.5508,2.5720,2.5365,2.5365,281700
1984-04-05,2.5365,2.5508,2.4866,2.4866,290102
1984-04-06,2.4866,2.4866,2.4505,2.4579,65700
1984-04-09,2.4579,2.4791,2.4218,2.4430,215402
1984-04-10,2.4648,2.4791,2.4505,2.4505,57902
1984-04-11,2.4648,2.4717,2.4579,2.4717,86702
1984-04-12,2.4717,2.5720,2.4293,2.5720,372902
1984-04-13,2.5720,2.5938,2.5720,2.5720,136202
1984-04-16,2.5365,2.5683,2.5150,2.5468,50601
1984-04-17,2.5468,2.6010,2.5468,2.5795,137100
1984-04-18,2.5795,2.6010,2.5683,2.5683,55800
1984-04-19,2.5683,2.6010,2.5683,2.5795,111900
1984-04-23,2.5795,2.5795,2.5150,2.5795,73500
1984-04-24,2.5795,2.6439,2.5795,2.6121,186000
1984-04-25,2.6551,2.6869,2.6224,2.6654,184200
1984-04-26,2.6654,2.7084,2.6328,2.6869,203400
1984-04-27,2.6869,2.7411,2.6654,2.7084,206700
1984-04-30,2.7084,2.7299,2.6869,2.7196,88800
1984-05-01,2.7196,2.7617,2.7084,2.7617,225000
1984-05-02,2.8426,2.8589,2.8262,2.8262,138000
1984-05-03,2.8262,2.8589,2.8047,2.8262,111900
1984-05-04,2.8262,2.8262,2.7617,2.7729,102300
1984-05-07,2.7729,2.8159,2.7729,2.7729,47700
1984-05-08,2.8159,2.8374,2.7944,2.8047,331200
1984-05-09,2.8047,2.8047,2.6654,2.6869,290100
1984-05-10,2.6869,2.7196,2.6654,2.6869,282900
1984-05-11,2.6276,2.6654,2.5365,2.5580,273000
1984-05-14,2.5313,2.5468,2.5150,2.5261,241200
1984-05-15,2.5261,2.5906,2.5261,2.5795,248400
1984-05-16,2.5795,2.5795,2.5468,2.5683,114000
1984-05-17,2.5683,2.5795,2.5261,2.5365,188100
1984-05-18,2.5365,2.5795,2.5365,2.5683,62700
1984-05-21,2.5683,2.5683,2.5261,2.5261,622500
1984-05-22,2.4832,2.5038,2.3645,2.4290,105600
1984-05-23,2.4290,2.4617,2.3542,2.3542,221100
1984-05-24,2.3972,2.5150,2.3645,2.3748,4020000
1984-05-25,2.3748,2.4075,2.3327,2.3645,230100
1984-05-29,2.3645,2.3748,2.2355,2.2785,217500
1984-05-30,2.1495,2.2570,2.1281,2.1599,1063200
1984-05-31,2.1599,2.1710,2.0206,2.0747,388800
1984-06-01,2.0747,2.0962,2.0206,2.0636,741000
1984-06-04,2.1495,2.2355,2.1066,2.1814,584700
1984-06-05,2.1814,2.2037,2.1281,2.1599,5370300
1984-06-06,2.1599,2.2037,2.1599,2.2037,365700
1984-06-07,2.2037,2.2140,2.1814,2.2037,904800
1984-06-08,2.2140,2.2355,2.1925,2.2355,708000
1984-06-11,2.1814,2.1814,2.1066,2.1281,198900
1984-06-12,2.1066,2.1066,2.0421,2.1066,691500
1984-06-13,2.1169,2.1392,2.0851,2.0962,424500
1984-06-14,2.0851,2.0851,2.0206,2.0524,614700
1984-06-15,2.0636,2.0962,2.0421,2.0636,358500
1984-06-18,2.0851,2.1710,2.0636,2.1710,235200
1984-06-19,2.1710,2.2140,2.1599,2.2037,170700
1984-06-20,2.1814,2.2785,2.1599,2.2785,340200
1984-06-21,2.2785,2.3430,2.2570,2.3215,424800
1984-06-22,2.3000,2.3000,2.2570,2.2682,179100
1984-06-25,2.2458,2.2888,2.2355,2.2458,123900
1984-06-26,2.2252,2.2252,2.2037,2.2140,346800
1984-06-27,2.1925,2.2140,2.1599,2.1710,100500
1984-06-28,2.1710,2.1710,2.1066,2.1392,195900
1984-06-29,2.0524,2.0962,2.0206,2.0636,724500
1984-07-02,2.0636,2.1169,2.0421,2.0962,532500
1984-07-03,2.1169,2.1925,2.1169,2.1710,528000
1984-07-05,2.1710,2.2037,2.1710,2.2037,87900
1984-07-06,2.1814,2.1925,2.1599,2.1710,112200
1984-07-09,2.1599,2.2785,2.1599,2.2785,159600
1984-07-10,2.2682,2.3000,2.2355,2.2682,237600
1984-07-11,2.2570,2.2682,2.2355,2.2458,354300
1984-07-12,2.2458,2.2458,2.1814,2.2140,106200
1984-07-13,2.2140,2.2355,2.1925,2.2355,125400
1984-07-16,2.2252,2.2355,2.2037,2.2252,63000
1984-07-17,2.2458,2.3327,2.2355,2.3215,283500
1984-07-18,2.3215,2.3430,2.2570,2.2570,225000
1984-07-19,2.2570,2.2570,2.1392,2.1599,287400
1984-07-20,2.1599,2.2140,2.1281,2.1392,327900
1984-07-23,2.1281,2.1495,2.1066,2.1392,260400
1984-07-24,2.1281,2.1281,2.0747,2.1169,647700
1984-07-25,2.0962,2.1392,2.0962,2.1281,726300
1984-07-26,2.1281,2.2037,2.1281,2.2037,90000
1984-07-27,2.2140,2.3542,2.2037,2.3542,325800
1984-07-30,2.3000,2.3215,2.2682,2.2785,153300
1984-07-31,2.2785,2.2888,2.2570,2.2785,151200
1984-08-01,2.2355,2.3430,2.2037,2.3103,428100
1984-08-02,2.3000,2.3430,2.2785,2.3430,1133400
1984-08-03,2.3645,2.4290,2.3542,2.3972,1203000
1984-08-06,2.4505,2.4617,2.3972,2.4178,896100
1984-08-07,2.4178,2.4393,2.3972,2.4075,264300
1984-08-08,2.4075,2.4393,2.3972,2.3972,267000
1984-08-09,2.4178,2.4720,2.3972,2.4720,1067400
1984-08-10,2.5795,2.6010,2.4935,2.5365,783000
1984-08-13,2.5365,2.5365,2.4935,2.5150,80100
1984-08-14,2.5261,2.5261,2.4505,2.4832,211800
1984-08-15,2.4720,2.4720,2.3645,2.3860,151500
1984-08-16,2.3645,2.4720,2.3542,2.4393,372900
1984-08-17,2.4505,2.4617,2.4393,2.4505,173700
1984-08-20,2.4505,2.4505,2.4178,2.4505,170700
1984-08-21,2.4290,2.5038,2.4075,2.4935,668700
1984-08-22,2.5150,2.5150,2.4505,2.5038,356100
1984-08-23,2.5038,2.5261,2.4832,2.5038,328200
1984-08-24,2.4935,2.5038,2.4505,2.4832,141900
1984-08-27,2.4832,2.4832,2.4178,2.4617,141300
1984-08-28,2.4617,2.4935,2.4505,2.4617,166500
1984-08-29,2.4720,2.4720,2.4393,2.4505,258600
1984-08-30,2.4290,2.4290,2.3972,2.4075,118500
1984-08-31,2.3645,2.3860,2.3327,2.3645,140700
1984-09-04,2.3860,2.3860,2.3327,2.3542,1391700
1984-09-05,2.3542,2.3645,2.3215,2.3430,203400
1984-09-06,2.3430,2.3860,2.3327,2.3860,499200
1984-09-07,2.3860,2.4178,2.3860,2.3972,1620900
1984-09-10,2.3327,2.3748,2.3327,2.3645,840900
1984-09-11,2.5150,2.5150,2.4393,2.4935,776700
1984-09-12,2.4832,2.5150,2.4617,2.5038,286800
1984-09-13,2.5150,2.6654,2.5150,2.6551,938400
1984-09-14,2.7084,2.7299,2.6869,2.7084,564300
1984-09-17,2.6869,2.7514,2.6654,2.7514,365100
1984-09-18,2.7514,2.7514,2.6973,2.7196,117000
1984-09-19,2.6654,2.6973,2.6439,2.6654,407100
1984-09-20,2.6654,2.8159,2.6654,2.7729,398400
1984-09-21,2.7944,2.8047,2.7196,2.7299,612300
1984-09-24,2.7299,2.7411,2.6121,2.6551,105300
1984-09-25,2.6224,2.6551,2.6010,2.6439,155700
1984-09-26,2.6654,2.6654,2.6121,2.6224,299100
1984-09-27,2.6439,2.6758,2.6439,2.6758,408600
