Date,Open,High,Low,Close,Volume
2004-06-09,2.2419,2.2419,2.2147,2.2180,4600
2004-06-10,2.2392,2.2414,2.2115,2.2256,2500
2004-06-14,2.2278,2.2283,2.2278,2.2283,300
2004-06-15,2.2202,2.2202,2.2147,2.2147,300
2004-06-16,2.2044,2.2044,2.2012,2.2012,1100
2004-06-17,2.1984,2.1984,2.1952,2.1952,900
2004-06-18,2.1935,2.1941,2.1903,2.1903,1100
2004-06-21,2.1876,2.1995,2.1876,2.1881,500
2004-06-22,2.1876,2.1876,2.1767,2.1767,1300
2004-06-23,2.1745,2.1746,2.1745,2.1746,900
2004-06-24,2.1745,2.1745,2.1675,2.1675,1700
2004-06-25,2.1685,2.1685,2.1474,2.1474,2700
2004-06-28,2.1495,2.1495,2.1490,2.1490,1100
2004-06-29,2.1490,2.1522,2.1196,2.1392,10100
2004-06-30,2.1463,2.2267,2.1082,2.2267,86400
2004-07-01,2.2289,2.2289,2.2028,2.2028,1700
2004-07-02,2.2017,2.2017,2.1984,2.2001,2100
2004-07-06,2.1985,2.1985,2.1854,2.1854,1700
2004-07-07,2.1849,2.1859,2.1849,2.1849,1900
2004-07-08,2.1745,2.2099,2.1566,2.2099,7700
2004-07-09,2.1990,2.2175,2.1990,2.2142,1100
2004-07-12,2.2093,2.2175,2.1968,2.1968,2900
2004-07-13,2.1968,2.1968,2.1968,2.1968,0
2004-07-14,2.2061,2.2061,2.2061,2.2061,100
2004-07-15,2.2158,2.2164,2.2050,2.2050,1700
2004-07-16,2.2175,2.2186,2.2175,2.2186,300
2004-07-19,2.2251,2.2251,2.2251,2.2251,300
2004-07-20,2.2256,2.2262,2.2256,2.2262,300
2004-07-21,2.2267,2.2338,2.2267,2.2338,2500
2004-07-22,2.2338,2.2338,2.2202,2.2202,900
2004-07-23,2.2251,2.2251,2.2093,2.2093,2500
2004-07-26,2.3195,2.3195,2.1930,2.1930,13400
2004-07-27,2.1981,2.1981,2.1930,2.1930,300
2004-07-28,2.1812,2.1812,2.1750,2.1750,1300
2004-07-29,2.1728,2.1728,2.1289,2.1289,11800
2004-07-30,2.1233,2.1233,2.1171,2.1171,1300
2004-08-02,2.1143,2.1143,2.0974,2.0974,2500
2004-08-03,2.0969,2.1177,2.0890,2.0890,3100
2004-08-04,2.0884,2.0884,2.0603,2.0603,4400
2004-08-05,2.0653,2.0653,2.0350,2.0351,12800
2004-08-06,2.0356,2.0356,2.0243,2.0243,2300
2004-08-09,2.0316,2.0316,1.9934,1.9934,14200
2004-08-10,1.9906,1.9923,1.9850,1.9883,9500
2004-08-11,1.9793,1.9827,1.9681,1.9737,7700
2004-08-12,1.9681,1.9681,1.9540,1.9540,5200
2004-08-13,1.9540,1.9906,1.9276,1.9641,30700
2004-08-16,1.9653,2.0215,1.9501,1.9681,23500
2004-08-17,1.9484,2.0277,1.9147,1.9906,37200
2004-08-18,1.9900,1.9962,1.9895,1.9934,22400
2004-08-19,1.9895,1.9934,1.9821,1.9934,7700
2004-08-20,1.9962,2.0524,1.9962,2.0524,7200
2004-08-23,2.0519,2.0862,2.0159,2.0609,30900
2004-08-24,2.0384,2.0384,2.0384,2.0384,100
2004-08-25,2.0333,2.0333,2.0322,2.0322,300
2004-08-26,2.0249,2.0350,2.0153,2.0153,1700
2004-08-27,2.0282,2.0282,1.9990,1.9990,2500
2004-08-30,1.9984,2.0041,1.9675,1.9675,13400
2004-08-31,1.9675,2.0243,1.9518,2.0041,91300
2004-09-01,2.0018,2.0108,1.9799,1.9850,8300
2004-09-02,2.0159,2.0659,2.0069,2.0468,28400
2004-09-03,2.0491,2.0552,2.0485,2.0552,2100
2004-09-07,2.0575,2.0575,2.0327,2.0327,3700
2004-09-08,2.0575,2.0805,2.0457,2.0805,25300
2004-09-09,2.0800,2.0834,2.0581,2.0834,4400
2004-09-10,2.0817,2.0839,2.0530,2.0839,5000
2004-09-13,2.0850,2.0862,2.0429,2.0665,7900
2004-09-14,2.0423,2.0721,2.0305,2.0581,11100
2004-09-15,2.0305,2.0575,2.0305,2.0575,1300
2004-09-16,2.0581,2.0715,2.0581,2.0715,1100
2004-09-17,2.0547,2.0547,2.0541,2.0541,300
2004-09-20,2.0710,2.0710,2.0164,2.0164,2900
2004-09-21,2.0187,2.0187,2.0024,2.0136,2700
2004-09-22,2.0029,2.0277,1.9990,2.0114,5600
2004-09-23,2.0114,2.0114,2.0047,2.0047,700
2004-09-24,1.9990,1.9996,1.9962,1.9962,5200
2004-09-27,1.9962,1.9962,1.9962,1.9962,0
2004-09-28,2.0131,2.0434,1.9911,2.0136,19200
2004-09-29,2.0142,2.0142,2.0142,2.0142,100
2004-09-30,1.9906,2.0401,1.9821,2.0401,3800
2004-10-01,2.0350,2.0744,2.0350,2.0744,3700
2004-10-04,2.0772,2.0912,2.0760,2.0912,1700
2004-10-05,2.0912,2.1165,2.0912,2.1165,4000
2004-10-06,2.1171,2.1896,2.1171,2.1896,12800
2004-10-07,2.1891,2.1964,2.1626,2.1638,4000
2004-10-08,2.1643,2.1643,2.1424,2.1424,2700
2004-10-11,2.1430,2.1430,2.1148,2.1148,3500
2004-10-12,2.1362,2.1784,2.1227,2.1683,7200
2004-10-13,2.1784,2.1834,2.1677,2.1677,1700
2004-10-14,2.1677,2.1677,2.1357,2.1357,2500
2004-10-15,2.1334,2.1334,2.1148,2.1148,1900
2004-10-18,2.1120,2.1120,2.0856,2.0918,3300
2004-10-19,2.0867,2.0952,2.0805,2.0805,1300
2004-10-20,2.0811,2.1503,2.0727,2.1306,7200
2004-10-21,2.1576,2.1750,2.1441,2.1441,6000
