Date,Open,High,Low,Close,Volume
1972-06-01,1.4725,1.4746,1.4578,1.4662,456000
1972-06-02,1.4691,1.4832,1.4691,1.4832,640000
1972-06-05,1.4805,1.4805,1.4578,1.4632,464000
1972-06-06,1.4632,1.4632,1.4492,1.4492,796800
1972-06-07,1.4492,1.4691,1.4465,1.4662,584000
1972-06-08,1.4662,1.4718,1.4465,1.4492,726400
1972-06-09,1.4519,1.4691,1.4519,1.4662,296000
1972-06-12,1.4662,1.4775,1.4549,1.4632,473600
1972-06-13,1.4662,1.4832,1.4662,1.4775,478400
1972-06-14,1.4832,1.5144,1.4832,1.5085,795200
1972-06-15,1.5171,1.5341,1.5171,1.5171,836800
1972-06-16,1.5171,1.5199,1.4945,1.5002,267200
1972-06-19,1.5002,1.5085,1.4718,1.4888,1001600
1972-06-20,1.4945,1.5085,1.4945,1.5085,345600
1972-06-21,1.5085,1.5144,1.4918,1.4945,556800
1972-06-22,1.4945,1.5085,1.4888,1.5058,321600
1972-06-23,1.5058,1.5144,1.5058,1.5115,212800
1972-06-26,1.5115,1.5285,1.4972,1.5285,278400
1972-06-27,1.5285,1.5371,1.5115,1.5199,268800
1972-06-28,1.5144,1.5144,1.4888,1.4945,433600
1972-06-29,1.4945,1.5031,1.4859,1.4859,313600
1972-06-30,1.4888,1.5115,1.4888,1.5058,404800
1972-07-03,1.5058,1.5257,1.5031,1.5228,240000
1972-07-05,1.5341,1.5511,1.5341,1.5398,734400
1972-07-06,1.5597,1.5765,1.5597,1.5681,809600
1972-07-07,1.5710,1.6050,1.5710,1.6050,595200
1972-07-10,1.6050,1.6077,1.5851,1.5878,316800
1972-07-11,1.5878,1.6050,1.5878,1.5937,232000
1972-07-12,1.5964,1.6218,1.5964,1.6077,1132800
1972-07-13,1.6077,1.6247,1.5907,1.6077,790400
1972-07-14,1.6104,1.6417,1.6104,1.6360,950400
1972-07-17,1.6360,1.6360,1.6077,1.6077,187200
1972-07-18,1.5991,1.5991,1.5907,1.5964,385600
1972-07-19,1.5964,1.6360,1.5964,1.6134,636800
1972-07-20,1.6134,1.6304,1.6134,1.6304,326400
1972-07-21,1.6360,1.6557,1.6360,1.6557,340800
1972-07-24,1.6557,1.7039,1.6530,1.6842,811200
1972-07-25,1.6842,1.7010,1.6700,1.6700,312000
1972-07-26,1.6983,1.7182,1.6983,1.7123,816000
1972-07-27,1.7123,1.7236,1.6983,1.7123,422400
1972-07-28,1.7123,1.7153,1.7096,1.7096,208000
1972-07-31,1.7039,1.7039,1.6870,1.6897,174400
1972-08-01,1.6897,1.7096,1.6870,1.7096,368000
1972-08-02,1.7096,1.7153,1.6983,1.7039,384000
1972-08-03,1.7039,1.7096,1.6870,1.7096,355200
1972-08-04,1.7096,1.7096,1.6983,1.6983,193600
1972-08-07,1.6983,1.7096,1.6983,1.6983,204800
1972-08-08,1.6983,1.7096,1.6926,1.7039,243200
1972-08-09,1.7039,1.7039,1.6956,1.6983,126400
1972-08-10,1.7010,1.7096,1.7010,1.7069,184000
1972-08-11,1.7069,1.7096,1.7010,1.7096,180800
1972-08-14,1.7153,1.7492,1.7153,1.7409,308800
1972-08-15,1.7409,1.7409,1.6956,1.7153,420800
1972-08-16,1.7096,1.7096,1.6813,1.6897,268800
1972-08-17,1.6897,1.6956,1.6756,1.6842,348800
1972-08-18,1.6897,1.7209,1.6897,1.7123,185600
1972-08-21,1.7266,1.7635,1.7266,1.7492,316800
1972-08-22,1.7492,1.7662,1.7436,1.7576,580800
1972-08-23,1.7549,1.7549,1.7409,1.7436,353600
1972-08-24,1.7436,1.7549,1.7236,1.7236,179200
1972-08-25,1.7153,1.7153,1.6897,1.6897,371200
1972-08-28,1.6897,1.7096,1.6842,1.6842,177600
1972-08-29,1.6842,1.6983,1.6784,1.6983,238400
1972-08-30,1.6983,1.6983,1.6897,1.6926,177600
1972-08-31,1.6926,1.6926,1.6870,1.6926,137600
1972-09-01,1.6956,1.6983,1.6956,1.6983,163200
1972-09-05,1.6983,1.6983,1.6870,1.6870,124800
1972-09-06,1.6870,1.6897,1.6784,1.6784,228800
1972-09-07,1.6784,1.6870,1.6784,1.6813,356800
1972-09-08,1.6813,1.6870,1.6587,1.6643,160000
1972-09-11,1.6643,1.6729,1.6390,1.6390,104000
1972-09-12,1.6390,1.6390,1.5907,1.6134,291200
1972-09-13,1.6134,1.6276,1.6021,1.6021,499200
1972-09-14,1.6077,1.6473,1.6077,1.6417,331200
1972-09-15,1.6417,1.6473,1.6247,1.6331,102400
1972-09-18,1.6331,1.6390,1.6276,1.6276,273600
1972-09-19,1.6360,1.6643,1.6360,1.6503,288000
1972-09-20,1.6503,1.6643,1.6473,1.6503,260800
1972-09-21,1.6503,1.6616,1.6331,1.6331,132800
1972-09-22,1.6331,1.6417,1.6304,1.6304,51200
1972-09-25,1.6304,1.6360,1.6218,1.6247,198400
1972-09-26,1.6247,1.6417,1.6190,1.6190,369600
1972-09-27,1.6218,1.6304,1.6218,1.6218,129600
1972-09-28,1.6218,1.6390,1.6190,1.6276,299200
1972-09-29,1.6360,1.6503,1.6360,1.6360,516800
1972-10-02,1.6360,1.6417,1.6134,1.6134,120000
1972-10-03,1.6134,1.6190,1.6077,1.6190,172800
1972-10-04,1.6190,1.6247,1.6077,1.6077,428800
1972-10-05,1.6077,1.6104,1.5794,1.5794,356800
1972-10-06,1.5794,1.6077,1.5681,1.5824,560000
1972-10-09,1.5907,1.5991,1.5907,1.5991,35200
1972-10-10,1.5991,1.6050,1.5907,1.6021,140800
1972-10-11,1.6021,1.6021,1.5878,1.5907,172800
1972-10-12,1.5907,1.6021,1.5737,1.5937,408000
1972-10-13,1.5937,1.5937,1.5737,1.5851,337600
1972-10-16,1.5851,1.5851,1.5737,1.5737,185600
1972-10-17,1.5737,1.5907,1.5710,1.5907,174400
1972-10-18,1.6077,1.6304,1.6077,1.6304,492800
1972-10-19,1.6304,1.6643,1.6304,1.6643,193600
1972-10-20,1.6643,1.6842,1.6530,1.6842,195200
1972-10-23,1.6842,1.7096,1.6842,1.6842,252800
1972-10-24,1.6870,1.7522,1.6870,1.7379,414400
1972-10-25,1.7379,1.7522,1.7295,1.7436,540800
