Date,Open,High,Low,Close,Volume
1970-01-02,1.8832,1.8940,1.8811,1.8832,72000
1970-01-05,1.8854,1.8962,1.8854,1.8940,446400
1970-01-06,1.8940,1.9134,1.8918,1.9134,176000
1970-01-07,1.9134,1.9284,1.9090,1.9241,164800
1970-01-08,1.9241,1.9541,1.9198,1.9498,304000
1970-01-09,1.9498,1.9564,1.9347,1.9455,139200
1970-01-12,1.9455,1.9478,1.9327,1.9478,118400
1970-01-13,1.9478,1.9584,1.9413,1.9413,262400
1970-01-14,1.9433,1.9713,1.9433,1.9627,377600
1970-01-15,1.9541,1.9541,1.9241,1.9241,169600
1970-01-16,1.9241,1.9370,1.8768,1.9112,289600
1970-01-19,1.8897,1.8897,1.8639,1.8725,179200
1970-01-20,1.8725,1.8877,1.8639,1.8877,172800
1970-01-21,1.8877,1.8877,1.8705,1.8832,272000
1970-01-22,1.8832,1.8983,1.8791,1.8940,318400
1970-01-23,1.8940,1.9004,1.8746,1.8746,176000
1970-01-26,1.8746,1.8877,1.8554,1.8660,278400
1970-01-27,1.8660,1.8682,1.8081,1.8081,217600
1970-01-28,1.8081,1.8253,1.7952,1.7973,344000
1970-01-29,1.7952,1.7952,1.7695,1.7695,296000
1970-01-30,1.7695,1.7695,1.7114,1.7245,430400
1970-02-02,1.7245,1.7265,1.7114,1.7245,340800
1970-02-03,1.7245,1.7781,1.7245,1.7695,692800
1970-02-04,1.7695,1.7695,1.7222,1.7330,392000
1970-02-05,1.7330,1.7330,1.7179,1.7265,292800
1970-02-06,1.7265,1.7330,1.7179,1.7222,313600
1970-02-09,1.7245,1.7502,1.7245,1.7394,283200
1970-02-10,1.7394,1.7480,1.7308,1.7458,267200
1970-02-11,1.7458,1.7543,1.7394,1.7416,392000
1970-02-12,1.7543,1.7738,1.7543,1.7738,217600
1970-02-13,1.7738,1.7846,1.7674,1.7801,148800
1970-02-16,1.7866,1.8167,1.7866,1.8167,142400
1970-02-17,1.8253,1.8574,1.8253,1.8402,158400
1970-02-18,1.8468,1.8877,1.8468,1.8682,683200
1970-02-19,1.8682,1.8811,1.8597,1.8682,272000
1970-02-20,1.8682,1.8854,1.8511,1.8554,584000
1970-02-24,1.8554,1.8554,1.8402,1.8402,193600
1970-02-25,1.8402,1.8854,1.8402,1.8854,299200
1970-02-26,1.8854,1.8854,1.8597,1.8791,270400
1970-02-27,1.8791,1.8832,1.8597,1.8725,152000
1970-03-02,1.8725,1.8854,1.8682,1.8682,112000
1970-03-03,1.8682,1.8705,1.8425,1.8511,128000
1970-03-04,1.8511,1.8725,1.8468,1.8660,331200
1970-03-05,1.8639,1.8639,1.8317,1.8382,168000
1970-03-06,1.8382,1.8425,1.8210,1.8296,172800
1970-03-09,1.8296,1.8339,1.8081,1.8145,120000
1970-03-10,1.8145,1.8275,1.7952,1.8275,444800
1970-03-11,1.8275,1.8382,1.8167,1.8253,201600
1970-03-12,1.8253,1.8296,1.8124,1.8210,80000
1970-03-13,1.8210,1.8275,1.7973,1.8210,155200
1970-03-16,1.7952,1.7952,1.7523,1.7566,388800
1970-03-17,1.7566,1.7932,1.7566,1.7695,228800
1970-03-18,1.7695,1.7781,1.7588,1.7652,236800
1970-03-19,1.7652,1.7760,1.7588,1.7715,126400
1970-03-20,1.7695,1.7695,1.7394,1.7523,251200
1970-03-23,1.7523,1.7566,1.7222,1.7265,393600
1970-03-24,1.7351,1.7502,1.7351,1.7416,204800
1970-03-25,1.7523,1.8018,1.7523,1.7801,436800
1970-03-26,1.7801,1.7995,1.7695,1.7760,254400
1970-03-30,1.7760,1.7866,1.7629,1.7866,198400
1970-03-31,1.7866,1.8081,1.7781,1.7952,224000
1970-04-01,1.8038,1.8361,1.8038,1.8231,241600
1970-04-02,1.8231,1.8361,1.8231,1.8317,86400
1970-04-03,1.8317,1.8317,1.8210,1.8275,121600
1970-04-06,1.8210,1.8210,1.7887,1.7909,136000
1970-04-07,1.7909,1.7995,1.7674,1.7909,681600
1970-04-08,1.7909,1.7909,1.7695,1.7738,148800
1970-04-09,1.7738,1.7866,1.7695,1.7801,225600
