Date,Open,High,Low,Close,Volume
2000-06-30,11.9279,12.7421,10.9604,12.3102,3518000
2000-07-03,12.4052,12.4052,11.5824,11.8782,778800
2000-07-05,11.7163,11.8782,10.7984,11.1353,2986000
2000-07-06,11.1504,11.2303,9.1246,9.8265,3596000
2000-07-07,9.8546,10.4485,9.2866,10.3405,1938800
2000-07-10,10.2585,11.7832,9.8265,10.7725,2824400
2000-07-11,10.5824,11.6623,10.0166,10.4485,2786800
2000-07-12,10.8114,12.6212,10.4744,12.5542,4570400
2000-07-13,12.9041,13.7680,11.6752,13.0401,5894400
2000-07-14,13.0661,13.0661,11.7703,11.9322,1805200
2000-07-17,12.0402,13.0941,11.2303,12.7831,1578000
2000-07-18,12.5261,13.9710,12.1482,13.5520,2166000
2000-07-19,13.6600,14.6858,13.1200,14.2820,3068800
2000-07-20,14.5908,15.2257,14.1999,14.7679,1586400
2000-07-21,14.6858,14.9968,13.2820,13.2950,1402000
2000-07-24,14.2668,14.2668,11.8782,11.8782,3320800
2000-07-25,12.2022,12.5542,11.3923,12.2303,1588400
2000-07-26,12.2562,12.2562,10.9604,11.3793,1924400
2000-07-27,11.2843,11.2843,10.0425,10.4334,2432000
2000-07-28,10.6645,10.6904,9.7186,10.6904,1814000
2000-07-31,10.7574,10.8265,9.8265,9.8676,1662000
2000-08-01,10.0425,10.1505,9.2866,9.3277,894400
2000-08-02,9.3147,10.0425,8.9907,9.9345,1896800
2000-08-03,9.7186,11.5824,9.5695,11.5824,1499200
2000-08-04,11.3254,12.4721,11.3254,12.4721,1474800
2000-08-07,12.7011,12.7421,11.5132,11.8782,492400
2000-08-08,11.9322,12.2843,11.6623,11.6623,323600
2000-08-09,11.8912,12.0942,11.2303,11.3664,369200
2000-08-10,11.5132,11.5132,10.7984,11.2303,300400
2000-08-11,11.2303,11.3923,10.7034,11.2044,134000
2000-08-14,11.0684,11.2303,10.6904,10.7725,593200
2000-08-15,10.7444,11.0964,10.5824,11.0144,204000
2000-08-16,11.0554,11.9063,11.0144,11.8782,740800
2000-08-17,11.8782,11.9322,11.0684,11.4204,575200
2000-08-18,11.4204,11.6623,11.0144,11.2800,198800
2000-08-21,11.2843,11.9862,11.0684,11.8782,263200
2000-08-22,11.6623,12.5002,11.6623,12.0683,379600
2000-08-23,12.0683,12.1072,11.3923,11.5543,454400
2000-08-24,11.5068,12.0942,11.4463,11.9063,1924000
2000-08-25,12.0402,12.3512,11.4744,11.9603,1748000
2000-08-28,12.2303,12.6341,11.9862,12.6341,1642800
2000-08-29,12.5261,14.9968,12.5002,14.6599,3262000
2000-08-30,14.2668,16.1306,14.2539,15.1717,1767200
2000-08-31,15.1458,15.9687,15.0638,15.4158,850800
2000-09-01,15.6857,15.8326,15.1458,15.4957,467600
2000-09-05,15.2538,16.7915,15.1717,16.1717,1028000
2000-09-06,16.0896,18.4113,16.0896,17.9253,2685600
2000-09-07,17.9664,21.0029,17.6014,20.6249,2757200
2000-09-08,21.1929,21.8560,20.0850,20.4910,3938400
2000-09-11,20.0850,20.5040,18.6553,20.2751,3260400
2000-09-12,20.2751,22.3095,19.7611,21.3398,2206000
2000-09-13,21.1649,22.6766,20.9359,21.9207,1278400
2000-09-14,22.3311,23.7133,21.2728,21.5968,2366000
2000-09-15,21.9207,22.0287,20.8690,20.9618,563200
2000-09-18,20.2751,21.8991,19.3421,19.4112,1785200
2000-09-19,19.3421,19.7740,18.0333,19.4911,1632800
2000-09-20,19.4652,20.9489,19.3291,20.1930,1920800
2000-09-21,20.0850,20.2751,18.7223,19.8690,601200
2000-09-22,18.8022,19.6531,18.1694,19.3032,883200
2000-09-25,19.7891,20.4090,17.9253,18.6942,1111600
2000-09-26,18.2493,18.5732,16.4136,17.5215,1539600
2000-09-27,17.7634,18.1413,15.9816,16.3596,721200
2000-09-28,16.1976,17.3055,15.8736,16.7915,1638800
2000-09-29,16.7375,17.0615,16.1717,16.6576,1117600
2000-10-02,16.6576,17.9793,16.6425,17.1155,976800
2000-10-03,17.3854,17.8994,16.7375,16.7656,1291600
2000-10-04,16.4956,16.5626,15.3337,16.1436,1386400
2000-10-05,16.3293,16.8455,15.9017,16.4136,606000
2000-10-06,16.6295,16.6295,15.7397,15.7397,546400
2000-10-09,15.7397,17.4135,15.7397,17.2234,1023200
2000-10-10,17.1694,17.8454,17.0895,17.2515,1687200
2000-10-11,16.7915,18.9922,16.7656,17.9253,1465600
2000-10-12,18.8130,18.8173,17.6554,18.2622,708400
2000-10-13,18.2493,19.9770,18.2493,19.5991,640000
2000-10-16,19.7611,19.7654,17.0744,17.6554,540400
2000-10-17,13.7269,13.7269,11.9063,12.3231,24374000
2000-10-18,11.5003,11.8782,10.5824,10.9193,5658400
2000-10-19,11.6558,12.1482,11.4463,11.9452,4004000
2000-10-20,11.9862,13.4181,11.8782,13.0661,4702000
2000-10-23,12.9991,13.0121,12.1072,12.8911,1491200
2000-10-24,12.8134,13.0531,12.6752,12.7421,977200
2000-10-25,12.3102,12.3102,11.3793,11.6623,1446800
2000-10-26,11.8523,11.8523,10.9064,11.0684,2017600
2000-10-27,11.2541,12.2562,11.2303,11.6903,830000
2000-10-30,11.7163,11.7443,11.1223,11.3124,1358800
2000-10-31,11.4506,12.4052,11.3664,12.0402,1287600
2000-11-01,11.8782,11.9063,11.0424,11.2303,904400
2000-11-02,11.2843,11.7292,11.2843,11.4744,1970400
2000-11-03,11.6623,11.6623,11.3513,11.4463,662800
2000-11-06,11.5003,12.0942,11.4463,11.6364,400400
2000-11-07,10.9021,10.9064,10.4205,10.5414,1746000
2000-11-08,10.5867,10.7984,10.4485,10.4485,646000
2000-11-09,10.4485,10.4874,10.0555,10.4744,928400
2000-11-10,10.4161,10.4161,9.2326,9.9216,2156400
2000-11-13,9.8805,10.3125,9.3147,10.0555,403600
2000-11-14,10.3125,10.6904,10.1505,10.4485,350400
2000-11-15,10.7034,11.0144,10.2326,10.7444,611600
2000-11-16,10.4788,10.5025,9.5566,9.7466,2296000
2000-11-17,9.8006,9.9626,9.4767,9.8006,678800
2000-11-20,9.6106,9.6386,8.8547,9.0707,2574000
2000-11-21,9.0447,9.3687,8.5307,8.6927,686400
2000-11-22,8.5048,8.6927,7.4509,8.0578,518400
2000-11-24,8.0189,8.5178,7.7209,8.5048,143600
2000-11-27,8.6517,8.6797,6.8030,7.2760,817200
2000-11-28,7.2889,7.2889,5.9931,6.0471,1688400
2000-11-29,6.1011,6.2631,5.6562,5.9262,2391200
2000-11-30,5.7231,6.2091,5.3992,6.1832,1413600
2000-12-01,6.1551,6.6410,6.1011,6.3581,1346400
2000-12-04,6.3711,6.3711,5.6281,5.7642,1337200
2000-12-05,5.8311,6.5870,5.8311,6.5460,1512800
2000-12-06,6.6000,6.9110,6.0341,6.1551,540800
2000-12-07,6.2048,6.2048,5.8851,5.9672,1088800
2000-12-08,6.2631,6.9650,6.1141,6.8570,876000
2000-12-11,6.9239,7.3559,6.6281,7.1399,1400000
2000-12-12,6.9693,7.3429,6.9390,7.1269,1737600
2000-12-13,7.3300,7.3300,6.5201,6.5741,1656400
2000-12-14,6.5373,6.5611,5.9931,6.0341,1315200
2000-12-15,6.0601,6.1011,5.4532,5.6152,614800
2000-12-18,5.8311,5.8311,5.3452,5.3992,878800
2000-12-19,5.3754,5.6692,4.8722,4.9673,1436800
2000-12-20,4.9262,5.1573,4.2394,4.3474,1824800
2000-12-21,4.3474,4.6973,4.0364,4.1034,1304000
2000-12-22,4.2114,4.3258,3.9954,4.2654,866000
2000-12-26,4.0775,4.1293,3.3216,3.6715,3630000
2000-12-27,3.6995,4.2524,3.5376,4.1315,5408400
2000-12-28,3.9824,4.9003,3.9695,4.7923,3259600
2000-12-29,4.8874,4.8874,4.6433,4.7383,2409600
2001-01-02,4.5483,4.7513,4.5483,4.6174,2221600
2001-01-03,4.6714,4.8593,4.3194,4.6843,3264000
2001-01-04,4.7254,5.3452,4.6973,5.2372,4648000
2001-01-05,5.2653,5.2783,4.7815,4.8593,1514000
2001-01-08,4.8874,4.9673,4.7643,4.9262,1948800
2001-01-09,4.8463,5.0213,4.8463,4.9133,2123200
2001-01-10,4.8463,4.9543,4.4813,4.9262,3650800
2001-01-11,4.9241,5.8851,4.7513,5.4661,5093200
2001-01-12,5.5741,6.1011,5.2912,5.9391,2292800
