Date,Open,High,Low,Close,Volume
1993-02-23,3.6937,3.7514,3.5344,3.5782,40594800
1993-02-24,3.6360,3.7225,3.5921,3.6798,9426400
1993-02-25,3.6937,3.7652,3.6798,3.7652,5229200
1993-02-26,3.7652,3.8230,3.7075,3.8230,2761200
1993-03-01,3.7802,3.7953,3.6937,3.6937,3014400
1993-03-02,3.7225,3.8091,3.7075,3.7953,3022800
1993-03-03,3.7802,3.8380,3.7514,3.7802,2808800
1993-03-04,3.7652,3.8091,3.7652,3.7652,1783600
1993-03-05,3.7514,3.8530,3.6937,3.8380,3868800
1993-03-08,3.8091,3.8380,3.7802,3.8230,2516000
1993-03-09,3.8091,3.9822,3.8091,3.9384,2449200
1993-03-10,3.9107,4.1115,3.8957,4.0977,3192800
1993-03-11,4.1415,4.1415,4.0538,4.0977,1276400
1993-03-12,4.0688,4.1842,3.9245,4.1692,2958800
1993-03-15,4.1554,4.1554,4.0688,4.0977,1858400
1993-03-16,4.0688,4.1115,3.9961,4.0111,2182000
1993-03-17,4.0111,4.0538,3.9684,4.0538,2413600
1993-03-18,4.0400,4.1692,4.0400,4.1554,1765200
1993-03-19,4.1842,4.1842,4.1115,4.1115,2397600
1993-03-22,4.1265,4.1265,4.0538,4.0977,729200
1993-03-23,4.0977,4.0977,4.0111,4.0111,924000
1993-03-24,4.0111,4.0111,3.8530,3.9684,1787600
1993-03-25,3.9384,3.9684,3.8807,3.9684,1080400
1993-03-26,4.0977,4.2270,4.0838,4.2270,2376800
1993-03-29,4.1992,4.2708,4.1265,4.2708,1273600
1993-03-30,4.3285,4.4301,4.2847,4.4301,1463600
1993-03-31,4.4440,4.5305,4.4151,4.4301,1856000
1993-04-01,4.3724,4.3862,4.2420,4.2708,1410000
1993-04-02,4.2131,4.2847,4.1115,4.1115,1338800
1993-04-05,4.0977,4.1992,4.0977,4.1842,873200
1993-04-06,4.1992,4.2131,4.1265,4.1265,763200
1993-04-07,4.1115,4.1992,4.1115,4.1842,240400
1993-04-08,4.1842,4.1842,4.1554,4.1692,304000
1993-04-12,4.1692,4.2708,4.1692,4.2708,217600
1993-04-13,4.3285,4.4301,4.3285,4.4001,937600
1993-04-14,4.4001,4.5305,4.4001,4.5155,689600
1993-04-15,4.4578,4.4578,4.2708,4.3285,1319600
1993-04-16,4.3574,4.3862,4.2997,4.3147,1452400
1993-04-19,4.2847,4.3147,4.1992,4.2131,861600
1993-04-20,4.2570,4.2847,3.9961,4.0838,2764000
1993-04-21,4.0838,4.1415,4.0261,4.0261,1372800
1993-04-22,4.0261,4.0977,4.0111,4.0261,1387600
1993-04-23,4.0111,4.0261,3.9245,3.9684,660400
1993-04-26,3.9822,4.0111,3.8380,3.8807,1847200
1993-04-27,3.8380,3.9245,3.7652,3.9245,1674000
1993-04-28,3.9534,4.0111,3.9107,3.9961,726800
1993-04-29,3.9961,4.0261,3.9822,3.9822,228800
1993-04-30,3.9961,4.5017,3.9961,4.4728,3105600
1993-05-03,4.3862,4.3862,4.2131,4.2420,2001200
1993-05-04,4.2708,4.2997,4.2270,4.2708,826000
1993-05-05,4.2570,4.2570,4.2131,4.2270,512000
1993-05-06,4.2270,4.2270,4.1554,4.1992,183200
1993-05-07,4.2131,4.2420,4.1992,4.2131,245200
1993-05-10,4.2270,4.2997,4.2270,4.2708,708800
1993-05-11,4.2708,4.2708,4.2131,4.2570,568800
1993-05-12,4.2570,4.2847,4.2270,4.2570,258000
1993-05-13,4.2270,4.2270,4.1554,4.1554,163200
1993-05-14,4.1415,4.1415,3.9684,4.0400,848000
1993-05-17,4.0400,4.1415,4.0261,4.1115,382000
1993-05-18,4.0977,4.0977,4.0261,4.0688,883600
1993-05-19,4.0538,4.1415,4.0538,4.1115,514800
1993-05-20,4.1415,4.1415,4.0111,4.0400,936800
1993-05-21,4.0111,4.0111,3.9107,3.9245,834000
1993-05-24,3.9107,3.9961,3.8957,3.9961,262400
1993-05-25,4.0077,4.0227,3.9648,3.9938,662400
