Date,Open,High,Low,Close,Volume
1986-03-13,0.0548,0.0628,0.0548,0.0602,1031788800
1986-03-14,0.0602,0.0634,0.0602,0.0623,308160000
1986-03-17,0.0623,0.0639,0.0623,0.0634,133171200
1986-03-18,0.0634,0.0639,0.0612,0.0618,67766400
1986-03-19,0.0618,0.0623,0.0602,0.0607,47894400
1986-03-20,0.0607,0.0607,0.0585,0.0591,58435200
1986-03-21,0.0591,0.0602,0.0564,0.0575,59990400
1986-03-24,0.0575,0.0575,0.0553,0.0559,65289600
1986-03-25,0.0559,0.0569,0.0553,0.0569,32083200
1986-03-26,0.0569,0.0591,0.0564,0.0585,22752000
1986-03-27,0.0585,0.0596,0.0585,0.0596,16848000
1986-03-31,0.0596,0.0596,0.0580,0.0591,12873600
1986-04-01,0.0591,0.0591,0.0585,0.0585,11088000
1986-04-02,0.0585,0.0602,0.0585,0.0591,27014400
1986-04-03,0.0596,0.0612,0.0596,0.0596,23040000
1986-04-04,0.0596,0.0602,0.0596,0.0596,26582400
1986-04-07,0.0596,0.0602,0.0575,0.0585,16560000
1986-04-08,0.0585,0.0602,0.0585,0.0591,10252800
1986-04-09,0.0591,0.0607,0.0591,0.0602,12153600
1986-04-10,0.0602,0.0612,0.0591,0.0607,13881600
1986-04-11,0.0612,0.0628,0.0612,0.0618,17222400
1986-04-14,0.0618,0.0628,0.0618,0.0623,12153600
1986-04-15,0.0623,0.0623,0.0602,0.0623,9302400
1986-04-16,0.0623,0.0650,0.0618,0.0645,31910400
1986-04-17,0.0645,0.0650,0.0645,0.0650,22003200
1986-04-18,0.0650,0.0650,0.0623,0.0628,21628800
1986-04-21,0.0628,0.0634,0.0612,0.0628,22924800
1986-04-22,0.0628,0.0628,0.0618,0.0618,15552000
1986-04-23,0.0618,0.0623,0.0612,0.0620,15609600
1986-04-24,0.0620,0.0693,0.0618,0.0682,62352000
1986-04-25,0.0688,0.0755,0.0688,0.0725,85795200
1986-04-28,0.0725,0.0736,0.0720,0.0731,28886400
1986-04-29,0.0731,0.0731,0.0704,0.0709,30326400
1986-04-30,0.0709,0.0714,0.0677,0.0693,30902400
1986-05-01,0.0693,0.0693,0.0671,0.0682,54345600
1986-05-02,0.0682,0.0693,0.0677,0.0682,20246400
1986-05-05,0.0682,0.0682,0.0677,0.0677,3254400
1986-05-06,0.0682,0.0693,0.0682,0.0682,9734400
1986-05-07,0.0682,0.0688,0.0671,0.0682,5155200
1986-05-08,0.0682,0.0688,0.0677,0.0688,3542400
1986-05-09,0.0688,0.0688,0.0682,0.0682,6076800
1986-05-12,0.0682,0.0704,0.0682,0.0688,10483200
1986-05-13,0.0688,0.0698,0.0688,0.0693,3830400
1986-05-14,0.0693,0.0693,0.0688,0.0688,9302400
1986-05-15,0.0688,0.0698,0.0688,0.0688,3801600
1986-05-16,0.0688,0.0709,0.0688,0.0693,11952000
1986-05-19,0.0693,0.0693,0.0677,0.0682,11001600
1986-05-20,0.0682,0.0682,0.0671,0.0677,61977600
1986-05-21,0.0677,0.0682,0.0666,0.0666,8092800
1986-05-22,0.0666,0.0671,0.0666,0.0666,4406400
1986-05-23,0.0666,0.0677,0.0666,0.0666,4089600
1986-05-27,0.0666,0.0688,0.0666,0.0688,13881600
1986-05-28,0.0688,0.0709,0.0688,0.0709,15523200
1986-05-29,0.0709,0.0736,0.0704,0.0725,45676800
1986-05-30,0.0731,0.0763,0.0731,0.0752,27072000
1986-06-02,0.0752,0.0752,0.0731,0.0731,19728000
1986-06-03,0.0731,0.0731,0.0720,0.0731,5011200
1986-06-04,0.0731,0.0736,0.0720,0.0725,4723200
1986-06-05,0.0725,0.0736,0.0720,0.0736,13708800
1986-06-06,0.0736,0.0736,0.0725,0.0736,3427200
1986-06-09,0.0736,0.0736,0.0704,0.0704,12672000
1986-06-10,0.0704,0.0704,0.0693,0.0704,3427200
1986-06-11,0.0704,0.0704,0.0693,0.0704,2304000
1986-06-12,0.0704,0.0704,0.0671,0.0677,13708800
1986-06-13,0.0677,0.0682,0.0671,0.0677,7891200
1986-06-16,0.0677,0.0682,0.0666,0.0671,9590400
1986-06-17,0.0677,0.0693,0.0677,0.0682,13075200
1986-06-18,0.0682,0.0682,0.0666,0.0677,4348800
1986-06-19,0.0677,0.0682,0.0666,0.0671,8467200
1986-06-20,0.0671,0.0677,0.0671,0.0674,3801600
1986-06-23,0.0674,0.0682,0.0661,0.0682,46195200
1986-06-24,0.0682,0.0688,0.0671,0.0677,14572800
1986-06-25,0.0677,0.0682,0.0666,0.0666,15235200
1986-06-26,0.0666,0.0671,0.0645,0.0645,19152000
1986-06-27,0.0645,0.0650,0.0634,0.0639,10396800
1986-06-30,0.0639,0.0677,0.0634,0.0661,62352000
1986-07-01,0.0661,0.0661,0.0655,0.0661,47577600
1986-07-02,0.0661,0.0661,0.0655,0.0661,52617600
1986-07-03,0.0666,0.0677,0.0666,0.0671,14140800
1986-07-07,0.0671,0.0671,0.0645,0.0645,14054400
1986-07-08,0.0645,0.0645,0.0623,0.0628,14256000
1986-07-09,0.0628,0.0628,0.0596,0.0602,46137600
1986-07-10,0.0602,0.0607,0.0559,0.0585,46886400
1986-07-11,0.0585,0.0612,0.0585,0.0602,17395200
1986-07-14,0.0585,0.0607,0.0585,0.0593,28598400
1986-07-15,0.0593,0.0612,0.0585,0.0602,13190400
1986-07-16,0.0607,0.0623,0.0607,0.0623,9360000
1986-07-17,0.0623,0.0634,0.0618,0.0634,6940800
1986-07-18,0.0634,0.0645,0.0618,0.0639,12326400
