Date,Open,High,Low,Close,Volume
1998-06-11,8.0000,12.2500,7.9400,10.5650,10094000
1998-06-12,11.6900,12.1900,10.0000,10.4400,3321000
1998-06-15,10.2500,10.7500,9.3750,10.2200,1148000
1998-06-16,10.2500,10.6900,10.0650,10.3750,336000
1998-06-17,10.5650,11.5300,10.3750,11.4400,729000
1998-06-18,11.5650,13.3750,11.5000,13.0000,1081000
1998-06-19,13.4050,14.8750,13.0000,14.0650,1091000
1998-06-22,14.9400,15.5000,13.9400,14.0000,477000
1998-06-23,13.8750,14.0000,12.9400,13.0000,839000
1998-06-24,13.1250,13.3750,12.1250,12.6900,441000
1998-06-25,12.6900,13.0000,12.6900,12.9400,255000
1998-06-26,13.0000,13.7500,12.7500,13.6900,151000
1998-06-29,13.4400,14.2500,13.3750,14.2500,240000
1998-06-30,13.7500,14.6250,13.7500,14.1250,137000
1998-07-01,14.0950,14.3150,13.8750,13.8750,60000
1998-07-02,14.0950,14.0950,12.8750,13.1250,138000
1998-07-06,13.5650,14.2500,13.5000,14.1250,430000
1998-07-07,14.1550,14.3150,13.1250,13.7200,364000
1998-07-08,13.8750,14.1250,13.7500,13.9400,87000
1998-07-09,14.0650,14.1900,13.6900,14.0300,53000
1998-07-10,14.1250,15.6250,13.7500,15.6250,358000
1998-07-13,16.5000,20.3150,15.9400,19.6250,521000
1998-07-14,21.3150,22.2500,18.6900,19.5000,1286000
1998-07-15,19.7500,19.7500,17.5000,18.3750,425000
1998-07-16,18.2800,18.2800,16.7200,16.8150,398000
1998-07-17,17.5000,17.5650,16.5000,16.7500,159000
1998-07-20,17.2500,19.5000,17.1900,18.8450,441000
1998-07-21,19.3750,20.1250,18.5000,19.1250,370000
1998-07-22,19.0650,19.3150,18.0650,18.5000,72000
1998-07-23,18.2500,20.4700,18.2500,19.5000,251000
1998-07-24,20.0000,20.1250,17.6250,19.0000,173000
1998-07-27,18.7500,18.9050,17.2500,18.0000,260000
1998-07-28,18.1250,19.0000,17.5000,18.1250,66000
1998-07-29,18.7200,18.7200,17.5000,17.5000,132000
1998-07-30,18.8750,20.2500,17.9400,19.3750,369000
1998-07-31,19.5000,19.5000,18.0000,18.0000,86000
1998-08-03,18.0000,18.5650,17.8150,17.8150,163000
1998-08-04,18.1250,18.1550,15.7500,17.0650,352000
1998-08-05,16.9400,17.2500,16.3750,17.0650,417000
1998-08-06,17.0650,19.0000,17.0000,18.6900,140000
1998-08-07,19.0000,19.5000,18.3150,18.5000,71000
1998-08-10,18.6900,20.0000,18.5000,19.2500,142000
1998-08-11,19.1250,19.1250,17.0000,18.3750,395000
1998-08-12,18.5000,19.7500,18.5000,19.6250,408000
1998-08-13,19.0000,19.5650,19.0000,19.4400,209000
1998-08-14,19.8150,20.1250,19.4400,19.6900,260000
1998-08-17,19.4400,19.5650,18.2500,18.9400,321000
1998-08-18,19.4050,19.9400,18.7500,19.7500,210000
1998-08-19,20.0000,20.2500,19.4700,19.6900,284000
1998-08-20,19.6900,20.9400,19.2500,20.4400,274000
1998-08-21,20.3750,20.3750,19.0000,20.0000,150000
1998-08-24,20.3750,21.2500,20.2500,21.2500,148000
1998-08-25,21.0000,23.0000,21.0000,22.2500,272000
1998-08-26,22.2500,22.4050,20.9400,21.0650,142000
1998-08-27,20.9400,21.0650,19.1900,19.4050,307000
1998-08-28,19.9400,20.1900,15.7500,17.4400,804000
1998-08-31,17.7500,19.0950,13.5000,14.5950,441000
1998-09-01,15.1250,15.5000,13.7500,14.8750,481000
1998-09-02,15.6250,15.8750,14.2500,14.4050,386000
1998-09-03,14.5000,14.6250,12.5000,12.9400,406000
1998-09-04,13.5650,13.8750,11.8750,12.0650,1230000
1998-09-08,13.9050,14.3750,13.7500,14.3150,426000
1998-09-09,15.2500,15.3750,13.7500,13.8750,157000
1998-09-10,13.7500,13.7500,13.0000,13.1250,294000
1998-09-11,13.1900,14.7500,13.0650,14.1550,225000
1998-09-14,14.8750,17.2200,14.8750,16.7500,468000
1998-09-15,16.5000,19.3750,15.7500,18.1900,548000
1998-09-16,18.4050,19.2800,17.3750,18.3750,368000
1998-09-17,16.6250,18.7500,16.5650,18.1900,171000
1998-09-18,18.1900,19.6900,18.1250,19.0950,405000
1998-09-21,18.0000,19.9400,18.0000,19.1250,242000
1998-09-22,19.7500,20.6250,19.5000,20.0000,318000
1998-09-23,20.5000,21.0650,14.1900,19.0000,529000
1998-09-24,18.7500,19.5000,18.7500,19.2200,395000
1998-09-25,18.3750,20.0000,18.0650,20.0000,186000
1998-09-28,19.8750,20.0000,19.0000,19.0650,133000
1998-09-29,19.0650,19.8750,19.0650,19.5000,303000
1998-09-30,18.7800,19.5650,18.5650,18.7500,258000
1998-10-01,18.4400,18.5000,16.7500,16.9400,172000
1998-10-02,17.1900,17.1900,15.0000,16.0000,274000
1998-10-05,15.4700,15.5000,14.4050,14.6250,183000
1998-10-06,15.7500,15.7500,12.6900,12.9700,560000
1998-10-07,12.7500,13.1250,11.5000,11.7500,1158000
1998-10-08,12.0000,12.0650,10.2500,10.5000,915000
1998-10-09,10.9400,12.7500,10.6250,12.7500,675000
1998-10-12,14.2500,14.7500,13.1250,14.0000,635000
1998-10-13,14.2500,14.2500,12.2500,12.2800,454000
1998-10-14,12.8750,12.8750,12.0000,12.0000,204000
1998-10-15,12.2500,13.1250,11.9400,12.8750,551000
1998-10-16,13.4700,13.4700,11.9400,12.2500,511000
1998-10-19,12.6900,12.6900,10.7500,11.0950,360000
1998-10-20,11.5650,13.2500,11.5650,12.2500,378000
1998-10-21,12.3150,12.7500,11.6550,12.5000,323000
1998-10-22,12.8750,12.8750,11.9400,12.2500,290000
1998-10-23,12.3750,12.9400,12.0000,12.3150,213000
1998-10-26,12.6550,12.8750,12.1900,12.2500,554000
1998-10-27,12.5650,12.5650,12.0000,12.1900,522000
1998-10-28,12.0000,12.2500,11.9050,11.9400,387000
1998-10-29,12.8150,15.0000,12.6900,13.9050,1142000
1998-10-30,12.9400,13.0000,11.1900,12.1900,3671000
1998-11-02,12.4400,12.7500,11.7500,12.0000,876000
1998-11-03,12.0000,12.0000,11.0950,11.4700,629000
1998-11-04,12.2500,12.6250,11.6900,12.2500,822000
1998-11-05,12.1250,12.4400,11.7500,12.1250,161000
1998-11-06,13.0000,13.0650,12.2500,12.7500,334000
1998-11-09,12.8750,13.7500,12.8150,13.4700,1436000
1998-11-10,13.7200,13.7200,12.5000,13.5300,850000
1998-11-11,13.6250,13.8750,13.1250,13.4400,313000
1998-11-12,13.1900,13.5650,12.0650,12.6250,251000
1998-11-13,12.6250,12.6250,12.0650,12.3750,252000
1998-11-16,12.2500,12.4400,12.1250,12.3150,248000
1998-11-17,12.3750,12.9400,12.0650,12.0650,385000
1998-11-18,12.2500,12.3750,12.0650,12.1550,165000
1998-11-19,12.1900,12.1900,11.6250,11.7500,212000
1998-11-20,12.0000,12.0000,11.0650,11.1900,675000
1998-11-23,11.4700,13.0000,11.3150,11.7500,276000
1998-11-24,12.0000,12.1250,11.0000,11.2500,514000
1998-11-25,11.5650,11.5650,10.6250,11.5000,544000
1998-11-27,11.1900,11.6250,11.0650,11.5000,90000
1998-11-30,11.3750,11.8750,11.1250,11.2500,284000
1998-12-01,10.3750,11.3750,9.8750,10.7500,748000
1998-12-02,10.8750,11.3750,10.2500,10.3750,563000
1998-12-03,11.0000,11.0000,10.6250,10.7500,662000
1998-12-04,11.2500,11.3150,10.7500,11.3150,218000
1998-12-07,11.5000,11.6250,11.1250,11.1900,127000
1998-12-08,11.2500,11.2500,10.6250,10.7800,202000
1998-12-09,10.7200,11.2500,10.6900,11.1900,182000
1998-12-10,11.2500,11.8150,11.0300,11.7500,183000
