Date,Close,Open,High,Low
11/25/2024,4160.98,4183.75,4199.70,4142.48
11/22/2024,4155.25,4147.50,4159.45,4131.14
11/21/2024,4148.16,4155.05,4162.93,4087.36
11/20/2024,4133.42,4132.17,4135.30,4080.51
11/19/2024,4136.92,4087.14,4139.29,4084.70
11/18/2024,4107.84,4089.93,4124.46,4080.25
11/15/2024,4078.83,4136.00,4136.91,4063.02
11/14/2024,4179.33,4210.41,4213.51,4172.80
11/13/2024,4207.23,4209.93,4230.99,4191.05
11/12/2024,4214.16,4221.23,4228.93,4189.32
11/11/2024,4221.32,4234.26,4236.42,4198.70
11/08/2024,4223.44,4216.72,4231.00,4210.06
11/07/2024,4220.31,4179.31,4226.56,4179.28
11/06/2024,4156.27,4114.32,4161.41,4105.33
11/05/2024,4045.49,4008.51,4049.84,4008.51
11/04/2024,3992.72,4002.30,4021.40,3979.71
11/01/2024,4006.63,3991.20,4032.51,3990.20
10/31/2024,3978.08,4045.47,4045.47,3976.10
10/30/2024,4077.54,4102.21,4111.90,4075.74
10/29/2024,4110.13,4073.82,4120.01,4058.92
10/28/2024,4070.21,4091.00,4094.10,4068.96
10/25/2024,4070.40,4070.84,4110.56,4064.45
10/24/2024,4046.57,4039.52,4051.28,4023.38
10/23/2024,4013.39,4060.71,4062.56,3986.98
10/22/2024,4076.73,4051.38,4087.56,4043.77
10/21/2024,4072.29,4056.08,4077.34,4038.61
10/18/2024,4064.81,4057.67,4072.06,4054.66
10/17/2024,4038.08,4075.07,4075.59,4037.29
10/16/2024,4034.81,4034.57,4040.12,4007.35
10/15/2024,4031.97,4088.69,4096.86,4016.70
10/14/2024,4087.81,4073.34,4098.78,4071.01
10/11/2024,4054.39,4030.97,4062.64,4028.46
10/10/2024,4048.35,4033.05,4062.85,4023.44
10/09/2024,4053.77,4019.51,4056.88,4009.57
10/08/2024,4021.56,3980.45,4026.53,3976.22
10/07/2024,3960.15,3990.93,3998.02,3952.61
10/04/2024,4007.00,4005.03,4009.14,3965.90
10/03/2024,3958.67,3942.47,3980.54,3937.64
10/02/2024,3960.52,3945.15,3975.34,3926.18
10/01/2024,3954.66,4009.15,4011.03,3924.46
09/30/2024,4012.14,3991.86,4014.49,3970.57
09/27/2024,4001.72,4029.45,4030.51,3992.83
09/26/2024,4023.11,4054.66,4054.66,3993.40
09/25/2024,3994.52,3984.46,4008.69,3984.19
09/24/2024,3988.97,3983.51,3996.89,3947.91
09/23/2024,3970.44,3969.85,3978.55,3959.54
09/20/2024,3958.30,3963.26,3969.14,3926.55
09/19/2024,3967.97,3959.74,3990.36,3944.78
09/18/2024,3868.90,3895.71,3928.70,3866.16
09/17/2024,3886.48,3907.95,3919.27,3867.42
09/16/2024,3884.61,3882.61,3889.22,3858.84
09/13/2024,3902.92,3879.22,3911.36,3876.94
09/12/2024,3884.61,3847.26,3891.28,3833.36
09/11/2024,3847.46,3773.20,3853.29,3706.29
09/10/2024,3765.83,3744.61,3769.15,3714.13
09/09/2024,3732.16,3715.96,3738.77,3693.88
09/06/2024,3684.26,3780.61,3786.15,3680.19
09/05/2024,3786.07,3772.88,3820.47,3761.37
