Date,Open,High,Low,Close,Volume
1986-03-12,0.0515,0.0521,0.0515,0.0515,392979600
1986-03-13,0.0527,0.0533,0.0527,0.0527,125290800
1986-03-14,0.0546,0.0552,0.0546,0.0546,57866400
1986-03-17,0.0540,0.0540,0.0533,0.0533,28285200
1986-03-18,0.0527,0.0527,0.0521,0.0521,32335200
1986-03-19,0.0521,0.0521,0.0508,0.0508,22712400
1986-03-20,0.0508,0.0515,0.0508,0.0508,17787600
1986-03-21,0.0502,0.0502,0.0489,0.0489,16232400
1986-03-24,0.0489,0.0496,0.0489,0.0489,20736000
1986-03-25,0.0489,0.0496,0.0489,0.0489,21675600
1986-03-26,0.0496,0.0508,0.0496,0.0496,23328000
1986-03-27,0.0515,0.0527,0.0515,0.0515,21513600
1986-03-31,0.0521,0.0527,0.0521,0.0521,9882000
1986-04-01,0.0502,0.0502,0.0496,0.0496,20314800
1986-04-02,0.0496,0.0502,0.0489,0.0489,12960000
1986-04-03,0.0508,0.0521,0.0508,0.0508,11955600
1986-04-04,0.0508,0.0515,0.0502,0.0502,10659600
1986-04-07,0.0508,0.0515,0.0508,0.0508,9007200
1986-04-08,0.0508,0.0521,0.0508,0.0508,15001200
1986-04-09,0.0508,0.0515,0.0508,0.0508,8942400
1986-04-10,0.0508,0.0515,0.0508,0.0508,9428400
1986-04-11,0.0521,0.0527,0.0521,0.0521,18273600
1986-04-14,0.0521,0.0527,0.0521,0.0521,46785600
1986-04-15,0.0521,0.0527,0.0521,0.0527,12020400
1986-04-16,0.0527,0.0552,0.0521,0.0552,22550400
1986-04-17,0.0552,0.0602,0.0552,0.0602,19699200
1986-04-18,0.0602,0.0665,0.0602,0.0653,27799200
1986-04-21,0.0653,0.0725,0.0646,0.0715,33534000
1986-04-22,0.0715,0.0715,0.0671,0.0678,38264400
1986-04-23,0.0678,0.0678,0.0659,0.0659,4114800
1986-04-24,0.0659,0.0671,0.0659,0.0671,10789200
1986-04-25,0.0671,0.0684,0.0671,0.0684,4633200
1986-04-28,0.0684,0.0703,0.0684,0.0690,46008000
1986-04-29,0.0690,0.0697,0.0678,0.0684,2786400
1986-04-30,0.0671,0.0671,0.0628,0.0628,9720000
1986-05-01,0.0628,0.0646,0.0628,0.0640,21546000
1986-05-02,0.0640,0.0646,0.0602,0.0602,10627200
1986-05-05,0.0602,0.0615,0.0602,0.0615,4924800
1986-05-06,0.0615,0.0634,0.0602,0.0634,7257600
1986-05-07,0.0634,0.0646,0.0634,0.0646,11826000
1986-05-08,0.0646,0.0665,0.0640,0.0653,21254400
1986-05-09,0.0653,0.0665,0.0653,0.0665,7581600
1986-05-12,0.0665,0.0665,0.0653,0.0659,11404800
1986-05-13,0.0659,0.0678,0.0653,0.0678,35510400
1986-05-14,0.0678,0.0678,0.0659,0.0659,2559600
1986-05-15,0.0659,0.0671,0.0659,0.0671,939600
1986-05-16,0.0671,0.0678,0.0665,0.0678,3985200
1986-05-19,0.0678,0.0678,0.0640,0.0640,8974800
1986-05-20,0.0640,0.0653,0.0640,0.0640,4438800
1986-05-21,0.0640,0.0646,0.0640,0.0646,874800
1986-05-22,0.0646,0.0646,0.0621,0.0628,11599200
1986-05-23,0.0628,0.0634,0.0615,0.0615,4600800
1986-05-27,0.0615,0.0628,0.0609,0.0621,2430000
1986-05-28,0.0621,0.0621,0.0609,0.0621,1198800
1986-05-29,0.0609,0.0609,0.0596,0.0596,5086800
1986-05-30,0.0596,0.0609,0.0584,0.0590,20574000
1986-06-02,0.0590,0.0590,0.0558,0.0571,8845200
1986-06-03,0.0571,0.0587,0.0527,0.0587,62175600
1986-06-04,0.0587,0.0590,0.0577,0.0590,22582800
1986-06-05,0.0590,0.0653,0.0577,0.0628,28447200
1986-06-06,0.0628,0.0640,0.0628,0.0628,4341600
1986-06-09,0.0628,0.0634,0.0602,0.0621,6091200
1986-06-10,0.0621,0.0621,0.0596,0.0609,17917200
1986-06-11,0.0609,0.0628,0.0609,0.0628,10432800
1986-06-12,0.0628,0.0631,0.0621,0.0621,12700800
1986-06-13,0.0621,0.0640,0.0621,0.0628,19213200
1986-06-16,0.0628,0.0634,0.0621,0.0621,5378400
1986-06-17,0.0621,0.0631,0.0609,0.0615,18500400
1986-06-18,0.0615,0.0621,0.0609,0.0609,8164800
1986-06-19,0.0609,0.0621,0.0609,0.0618,5670000
1986-06-20,0.0618,0.0621,0.0606,0.0609,21384000
1986-06-23,0.0609,0.0621,0.0602,0.0621,18079200
1986-06-24,0.0621,0.0621,0.0602,0.0621,10659600
1986-06-25,0.0621,0.0621,0.0615,0.0615,550800
1986-06-26,0.0615,0.0628,0.0602,0.0621,5670000
1986-06-27,0.0621,0.0621,0.0609,0.0609,13867200
1986-06-30,0.0609,0.0621,0.0609,0.0612,7549200
1986-07-01,0.0612,0.0621,0.0609,0.0621,2721600
1986-07-02,0.0621,0.0621,0.0609,0.0609,972000
1986-07-03,0.0609,0.0621,0.0609,0.0609,4050000
1986-07-07,0.0609,0.0621,0.0596,0.0602,10303200
1986-07-08,0.0602,0.0602,0.0596,0.0596,6577200
1986-07-09,0.0596,0.0602,0.0596,0.0602,3304800
1986-07-10,0.0602,0.0615,0.0602,0.0602,2170800
1986-07-11,0.0602,0.0615,0.0596,0.0596,5605200
1986-07-14,0.0596,0.0609,0.0590,0.0609,19083600
1986-07-15,0.0596,0.0596,0.0533,0.0540,30747600
1986-07-16,0.0527,0.0527,0.0433,0.0446,112492800
1986-07-17,0.0452,0.0489,0.0452,0.0477,131900400
1986-07-18,0.0477,0.0483,0.0464,0.0471,20379600
1986-07-21,0.0471,0.0471,0.0458,0.0464,8910000
1986-07-22,0.0464,0.0464,0.0452,0.0452,8067600
1986-07-23,0.0452,0.0458,0.0446,0.0446,7776000
1986-07-24,0.0446,0.0452,0.0414,0.0420,16783200
1986-07-25,0.0414,0.0414,0.0395,0.0414,8618400
1986-07-28,0.0408,0.0408,0.0389,0.0408,7192800
1986-07-29,0.0408,0.0408,0.0389,0.0399,28609200
1986-07-30,0.0399,0.0402,0.0389,0.0402,9169200
1986-07-31,0.0402,0.0402,0.0389,0.0389,3078000
1986-08-01,0.0389,0.0402,0.0389,0.0389,5896800
1986-08-04,0.0389,0.0389,0.0364,0.0370,12376800
1986-08-05,0.0370,0.0383,0.0364,0.0364,3272400
1986-08-06,0.0364,0.0383,0.0364,0.0373,2559600
1986-08-07,0.0373,0.0383,0.0364,0.0383,5378400
1986-08-08,0.0383,0.0383,0.0364,0.0383,5767200
1986-08-11,0.0383,0.0383,0.0339,0.0364,44874000
1986-08-12,0.0370,0.0389,0.0370,0.0383,40014000
1986-08-13,0.0383,0.0408,0.0383,0.0399,37810800
1986-08-14,0.0399,0.0399,0.0383,0.0399,21157200
1986-08-15,0.0399,0.0408,0.0395,0.0399,15487200
1986-08-18,0.0399,0.0402,0.0395,0.0399,29905200
1986-08-19,0.0399,0.0402,0.0395,0.0402,6901200
1986-08-20,0.0402,0.0402,0.0383,0.0383,8715600
1986-08-21,0.0383,0.0395,0.0383,0.0383,1555200
1986-08-22,0.0383,0.0389,0.0383,0.0383,388800
1986-08-25,0.0383,0.0389,0.0383,0.0389,7646400
1986-08-26,0.0389,0.0389,0.0345,0.0364,3855600
1986-08-27,0.0364,0.0383,0.0364,0.0383,5799600
1986-08-28,0.0383,0.0395,0.0377,0.0395,56862000
1986-08-29,0.0395,0.0427,0.0395,0.0414,40856400
1986-09-02,0.0414,0.0433,0.0414,0.0427,20736000
1986-09-03,0.0427,0.0427,0.0414,0.0427,19213200
1986-09-04,0.0427,0.0427,0.0389,0.0402,89877600
1986-09-05,0.0402,0.0408,0.0383,0.0395,30391200
1986-09-08,0.0395,0.0395,0.0377,0.0389,1944000
1986-09-09,0.0389,0.0395,0.0383,0.0395,14774400
1986-09-10,0.0395,0.0395,0.0383,0.0383,37843200
1986-09-11,0.0383,0.0389,0.0339,0.0339,8586000
1986-09-12,0.0339,0.0364,0.0333,0.0364,19504800
1986-09-15,0.0364,0.0364,0.0351,0.0351,1198800
1986-09-16,0.0351,0.0377,0.0351,0.0377,28058400
1986-09-17,0.0383,0.0395,0.0383,0.0389,8910000
1986-09-18,0.0389,0.0395,0.0377,0.0377,4762800
1986-09-19,0.0377,0.0383,0.0370,0.0383,680400
1986-09-22,0.0383,0.0395,0.0377,0.0389,9784800
1986-09-23,0.0389,0.0408,0.0389,0.0402,66970800
1986-09-24,0.0402,0.0408,0.0395,0.0395,8910000
1986-09-25,0.0395,0.0402,0.0383,0.0395,3207600
1986-09-26,0.0395,0.0395,0.0358,0.0358,4989600
1986-09-29,0.0358,0.0370,0.0345,0.0345,4503600
1986-09-30,0.0345,0.0364,0.0326,0.0358,29905200
1986-10-01,0.0358,0.0358,0.0345,0.0358,7030800
1986-10-02,0.0358,0.0358,0.0345,0.0351,37195200
1986-10-03,0.0351,0.0358,0.0345,0.0345,2462400
1986-10-06,0.0345,0.0358,0.0345,0.0351,874800
1986-10-07,0.0351,0.0377,0.0351,0.0377,8262000
1986-10-08,0.0377,0.0446,0.0377,0.0433,205513200
1986-10-09,0.0433,0.0483,0.0427,0.0458,132678000
1986-10-10,0.0458,0.0458,0.0439,0.0446,55242000
1986-10-13,0.0446,0.0446,0.0427,0.0446,10659600
1986-10-14,0.0446,0.0452,0.0439,0.0439,24008400
1986-10-15,0.0439,0.0464,0.0439,0.0452,20379600
1986-10-16,0.0452,0.0458,0.0452,0.0458,1393200
1986-10-17,0.0458,0.0464,0.0452,0.0458,18792000
1986-10-20,0.0458,0.0464,0.0452,0.0458,3175200
1986-10-21,0.0458,0.0458,0.0446,0.0452,7905600
1986-10-22,0.0452,0.0452,0.0446,0.0446,3045600
1986-10-23,0.0446,0.0452,0.0446,0.0446,16297200
1986-10-24,0.0446,0.0458,0.0446,0.0452,8359200
1986-10-27,0.0449,0.0449,0.0433,0.0439,6123600
1986-10-28,0.0439,0.0458,0.0433,0.0452,17366400
1986-10-29,0.0452,0.0458,0.0446,0.0446,1360800
1986-10-30,0.0446,0.0452,0.0446,0.0452,8294400
1986-10-31,0.0452,0.0452,0.0439,0.0452,6739200
1986-11-03,0.0446,0.0446,0.0439,0.0446,388800
1986-11-04,0.0446,0.0489,0.0446,0.0483,76852800
1986-11-05,0.0483,0.0515,0.0483,0.0489,122569200
1986-11-06,0.0489,0.0502,0.0477,0.0489,5022000
1986-11-07,0.0489,0.0496,0.0477,0.0496,42087600
1986-11-10,0.0496,0.0496,0.0489,0.0489,4860000
1986-11-11,0.0489,0.0521,0.0489,0.0508,74584800
1986-11-12,0.0508,0.0527,0.0502,0.0515,27669600
1986-11-13,0.0515,0.0515,0.0502,0.0502,14644800
1986-11-14,0.0502,0.0508,0.0489,0.0508,12668400
1986-11-17,0.0508,0.0508,0.0489,0.0502,4309200
1986-11-18,0.0502,0.0508,0.0483,0.0483,7160400
1986-11-19,0.0483,0.0489,0.0477,0.0477,12150000
1986-11-20,0.0477,0.0489,0.0477,0.0489,3175200
1986-11-21,0.0489,0.0508,0.0489,0.0508,7743600
1986-11-24,0.0508,0.0515,0.0496,0.0515,70146000
1986-11-25,0.0515,0.0552,0.0515,0.0543,42573600
1986-11-26,0.0543,0.0546,0.0540,0.0540,14256000
1986-11-28,0.0540,0.0546,0.0527,0.0540,8683200
1986-12-01,0.0540,0.0540,0.0508,0.0521,4536000
1986-12-02,0.0521,0.0521,0.0508,0.0508,7030800
1986-12-03,0.0508,0.0508,0.0489,0.0489,17269200
1986-12-04,0.0489,0.0508,0.0489,0.0502,7192800
1986-12-05,0.0502,0.0508,0.0502,0.0502,9817200
1986-12-08,0.0502,0.0508,0.0502,0.0508,1296000
1986-12-09,0.0508,0.0508,0.0502,0.0508,7387200
1986-12-10,0.0508,0.0508,0.0502,0.0508,9817200
1986-12-11,0.0508,0.0508,0.0502,0.0502,7678800
1986-12-12,0.0502,0.0508,0.0496,0.0502,21546000
1986-12-15,0.0502,0.0508,0.0496,0.0496,2980800
1986-12-16,0.0496,0.0508,0.0496,0.0502,874800
1986-12-17,0.0502,0.0502,0.0489,0.0489,13964400
1986-12-18,0.0492,0.0496,0.0492,0.0496,972000
1986-12-19,0.0496,0.0502,0.0489,0.0496,16038000
1986-12-22,0.0496,0.0502,0.0483,0.0489,55242000
1986-12-23,0.0489,0.0496,0.0486,0.0489,5054400
1986-12-24,0.0489,0.0496,0.0489,0.0489,5961600
1986-12-26,0.0489,0.0496,0.0471,0.0477,14418000
1986-12-29,0.0477,0.0477,0.0471,0.0477,4147200
1986-12-30,0.0477,0.0496,0.0471,0.0483,122860800
1986-12-31,0.0492,0.0527,0.0492,0.0521,18565200
1987-01-02,0.0521,0.0536,0.0508,0.0521,6706800
1987-01-05,0.0527,0.0565,0.0527,0.0552,25401600
1987-01-06,0.0565,0.0596,0.0565,0.0565,27734400
1987-01-07,0.0565,0.0584,0.0521,0.0552,323870400
1987-01-08,0.0558,0.0577,0.0558,0.0577,68040000
1987-01-09,0.0590,0.0665,0.0590,0.0646,161838000
1987-01-12,0.0646,0.0646,0.0621,0.0621,32108400
1987-01-13,0.0621,0.0634,0.0615,0.0628,23976000
1987-01-14,0.0628,0.0690,0.0628,0.0678,93247200
1987-01-15,0.0678,0.0734,0.0678,0.0690,109965600
1987-01-16,0.0690,0.0697,0.0671,0.0671,16491600
1987-01-19,0.0671,0.0728,0.0646,0.0722,31298400
1987-01-20,0.0722,0.0747,0.0722,0.0728,131770800
1987-01-21,0.0715,0.0715,0.0678,0.0703,19213200
1987-01-22,0.0703,0.0740,0.0690,0.0740,25239600
1987-01-23,0.0740,0.0753,0.0690,0.0703,87804000
1987-01-26,0.0703,0.0709,0.0678,0.0684,11502000
1987-01-27,0.0684,0.0703,0.0671,0.0690,17204400
1987-01-28,0.0690,0.0690,0.0634,0.0659,74260800
1987-01-29,0.0659,0.0690,0.0659,0.0678,16394400
1987-01-30,0.0678,0.0678,0.0671,0.0678,6091200
1987-02-02,0.0678,0.0740,0.0671,0.0740,35186400
1987-02-03,0.0740,0.0766,0.0734,0.0734,98074800
1987-02-04,0.0734,0.0753,0.0722,0.0728,8877600
1987-02-05,0.0728,0.0734,0.0722,0.0734,8456400
1987-02-06,0.0734,0.0734,0.0722,0.0722,842400
1987-02-09,0.0722,0.0747,0.0722,0.0740,85082400
1987-02-10,0.0740,0.0747,0.0715,0.0747,50220000
1987-02-11,0.0747,0.0797,0.0728,0.0784,49312800
1987-02-12,0.0797,0.0866,0.0797,0.0860,129308400
1987-02-13,0.0860,0.0891,0.0847,0.0891,96292800
1987-02-17,0.0891,0.0929,0.0879,0.0916,75913200
1987-02-18,0.0916,0.0954,0.0910,0.0941,105008400
1987-02-19,0.0941,0.0941,0.0916,0.0922,83332800
1987-02-20,0.0922,0.0929,0.0904,0.0916,55857600
1987-02-23,0.0910,0.0910,0.0885,0.0885,25984800
1987-02-24,0.0891,0.0897,0.0891,0.0897,14450400
1987-02-25,0.0897,0.0897,0.0891,0.0891,24753600
1987-02-26,0.0891,0.0948,0.0891,0.0929,25758000
1987-02-27,0.0929,0.0973,0.0929,0.0966,34246800
1987-03-02,0.0966,0.0979,0.0960,0.0960,12344400
1987-03-03,0.0960,0.0985,0.0948,0.0985,15325200
1987-03-04,0.0985,0.1042,0.0985,0.1042,28414800
1987-03-05,0.1042,0.1104,0.1042,0.1086,63082800
1987-03-06,0.1086,0.1098,0.1035,0.1054,17852400
1987-03-09,0.1042,0.1042,0.0985,0.0991,32950800
1987-03-10,0.0991,0.1010,0.0991,0.0991,31752000
1987-03-11,0.0991,0.0998,0.0985,0.0991,17463600
1987-03-12,0.0991,0.0995,0.0966,0.0973,27475200
1987-03-13,0.0973,0.0979,0.0957,0.0960,28738800
1987-03-16,0.0960,0.0966,0.0941,0.0954,17236800
1987-03-17,0.0954,0.0966,0.0954,0.0954,19731600
1987-03-18,0.0979,0.1023,0.0979,0.1010,25628400
1987-03-19,0.1017,0.1067,0.1017,0.1054,27054000
1987-03-20,0.1054,0.1098,0.1054,0.1061,28544400
