Date,Close,Volume,Open,High,Low
11/25/2024,13.44,2456357,13.53,13.56,13.405
11/22/2024,13.63,2436483,13.53,13.655,13.52
11/21/2024,13.59,3145849,13.61,13.63,13.52
11/20/2024,13.52,2884102,13.55,13.56,13.4701
11/19/2024,13.50,3088879,13.51,13.5471,13.45
11/18/2024,13.46,2813862,13.29,13.495,13.28
11/15/2024,13.18,2213824,13.27,13.335,13.17
11/14/2024,13.24,2532567,13.35,13.36,13.22
11/13/2024,13.26,3910246,13.245,13.3274,13.163
11/12/2024,13.30,2290454,13.42,13.45,13.30
11/11/2024,13.38,2739500,13.41,13.43,13.3312
11/08/2024,13.60,1951448,13.68,13.685,13.55
11/07/2024,13.79,1919526,13.69,13.825,13.6545
11/06/2024,13.66,2960991,13.49,13.735,13.49
11/05/2024,13.79,1543687,13.81,13.85,13.74
11/04/2024,13.72,2385324,13.67,13.735,13.645
11/01/2024,13.53,2383719,13.71,13.725,13.51
10/31/2024,13.64,4129444,13.56,13.665,13.505
10/30/2024,13.56,1710453,13.47,13.57,13.435
10/29/2024,13.41,2062646,13.42,13.45,13.3301
10/28/2024,13.43,3455637,13.40,13.47,13.38
10/25/2024,13.76,1567494,13.72,13.795,13.70
10/24/2024,13.71,2384055,13.77,13.8087,13.604
10/23/2024,13.71,1810919,13.69,13.74,13.634
10/22/2024,13.75,2276157,13.64,13.79,13.64
10/21/2024,13.54,1596037,13.58,13.625,13.49
10/18/2024,13.47,3304231,13.51,13.53,13.411
10/17/2024,13.54,3360639,13.49,13.555,13.435
10/16/2024,13.54,2124287,13.54,13.57,13.46
10/15/2024,13.57,2570490,13.51,13.5863,13.47
10/14/2024,13.85,1880692,13.84,13.92,13.80
10/11/2024,14.05,2617616,14.03,14.095,14.01
10/10/2024,14.03,3445851,13.84,14.05,13.8264
10/09/2024,13.78,12524280,13.67,13.78,13.5931
10/08/2024,13.88,7072794,13.96,13.98,13.75
10/07/2024,14.23,4260385,14.06,14.25,14.06
10/04/2024,14.03,3770219,14.04,14.11,13.985
10/03/2024,13.99,3950201,13.81,14.02,13.77
10/02/2024,13.77,5195518,13.83,13.895,13.675
10/01/2024,13.66,4980668,13.39,13.7951,13.39
09/30/2024,13.43,3690310,13.43,13.506,13.375
09/27/2024,13.46,3987308,13.40,13.49,13.36
09/26/2024,13.41,4781590,13.43,13.515,13.37
09/25/2024,13.52,3009785,13.56,13.605,13.46
09/24/2024,13.62,2153589,13.60,13.64,13.554
09/23/2024,13.41,1878569,13.44,13.52,13.31
09/20/2024,13.41,2056945,13.39,13.43,13.33
09/19/2024,13.40,2619247,13.35,13.44,13.2951
09/18/2024,13.17,2337362,13.23,13.33,13.16
09/17/2024,13.25,2770427,13.16,13.275,13.14
09/16/2024,13.16,3081205,13.15,13.185,13.10
09/13/2024,13.05,5747451,13.08,13.155,13.01
09/12/2024,13.02,3937366,12.92,13.06,12.8733
09/11/2024,12.79,3165895,12.77,12.83,12.615
09/10/2024,12.67,3297811,12.84,12.8599,12.595
09/09/2024,12.87,5960195,12.79,12.89,12.7504
09/06/2024,12.81,3434985,13.01,13.0797,12.745
09/05/2024,12.99,3209229,13.06,13.125,12.95
09/04/2024,12.96,3714714,13.00,13.095,12.96
09/03/2024,13.08,7887991,13.13,13.13,13.025
08/30/2024,13.34,2323308,13.41,13.42,13.32
08/29/2024,13.50,1854099,13.42,13.5098,13.4138
08/28/2024,13.36,1968040,13.37,13.445,13.325
08/27/2024,13.52,1711276,13.53,13.57,13.49
08/26/2024,13.57,2493570,13.62,13.63,13.5525
08/23/2024,13.43,2201575,13.33,13.44,13.33
08/22/2024,13.20,1767287,13.18,13.255,13.1501
08/21/2024,13.20,2309681,13.31,13.345,13.15
08/20/2024,13.28,2639690,13.36,13.396,13.25
08/19/2024,13.34,1901738,13.41,13.45,13.29
08/16/2024,13.41,2185383,13.37,13.425,13.335
08/15/2024,13.47,1955074,13.45,13.54,13.445
08/14/2024,13.36,1851937,13.51,13.51,13.345
08/13/2024,13.46,1934348,13.54,13.55,13.4501
08/12/2024,13.59,3070835,13.50,13.635,13.46
08/09/2024,13.39,2209079,13.40,13.4299,13.3497
08/08/2024,13.32,3530553,13.23,13.36,13.23
08/07/2024,13.21,3459713,13.15,13.2699,13.135
08/06/2024,13.07,3481103,13.02,13.1699,13.02
08/05/2024,13.20,4475901,12.98,13.20,12.97
08/02/2024,13.22,10010410,13.31,13.31,13.14
08/01/2024,13.45,6727603,13.62,13.63,13.3934
07/31/2024,13.60,6938144,13.50,13.62,13.445
07/30/2024,13.30,7193169,13.28,13.30,13.2199
07/29/2024,13.35,4030082,13.44,13.48,13.30
07/26/2024,13.44,8321964,13.54,13.54,13.40
07/25/2024,13.56,2145139,13.47,13.59,13.41
07/24/2024,13.53,2515937,13.56,13.65,13.53
07/23/2024,13.56,5551497,13.585,13.61,13.51
07/22/2024,13.66,4524910,13.56,13.67,13.54
07/19/2024,13.66,3417493,13.775,13.8455,13.63
07/18/2024,13.85,1738004,13.90,13.92,13.8301
07/17/2024,13.93,1744386,13.94,13.98,13.9043
07/16/2024,13.90,2580202,13.85,13.94,13.84
07/15/2024,13.97,1436503,14.02,14.035,13.955
07/12/2024,14.05,1585228,14.08,14.0999,14.0451
07/11/2024,14.10,2528584,14.06,14.15,14.04
07/10/2024,14.06,1841400,14.05,14.12,14.00
07/09/2024,14.06,1731919,14.15,14.18,14.06
07/08/2024,14.18,1725940,14.24,14.26,14.16
07/05/2024,14.36,2092592,14.37,14.44,14.334
07/03/2024,14.30,1437840,14.27,14.33,14.24
07/02/2024,14.22,2313554,14.25,14.2967,14.20
07/01/2024,14.23,5775535,14.11,14.23,14.0726
06/28/2024,14.05,2868476,14.15,14.1564,14.02
06/27/2024,14.08,2882210,14.12,14.14,14.045
06/26/2024,14.02,1176107,14.03,14.09,13.98
06/25/2024,14.01,1566014,14.08,14.0899,13.99
06/24/2024,14.10,1762104,14.02,14.12,14.02
06/21/2024,14.04,1457577,14.12,14.13,14.004
06/20/2024,14.12,1887919,14.145,14.20,14.11
06/18/2024,14.08,3159604,13.97,14.0902,13.97
06/17/2024,13.97,1576874,13.91,13.99,13.8938
06/14/2024,13.94,3124044,14.03,14.0588,13.93
06/13/2024,13.98,2237443,14.05,14.065,13.955
06/12/2024,13.97,2497716,14.09,14.10,13.95
06/11/2024,13.92,1946505,13.92,13.9699,13.8799
06/10/2024,13.95,1678376,13.83,13.95,13.81
06/07/2024,13.75,3013121,13.84,13.845,13.74
06/06/2024,13.94,1588536,13.82,13.95,13.82
06/05/2024,13.75,2080005,13.73,13.76,13.655
06/04/2024,13.70,3931958,13.73,13.76,13.66
06/03/2024,13.84,6971830,14.04,14.045,13.83
05/31/2024,14.05,2721873,14.19,14.215,14.015
05/30/2024,14.13,1594831,14.21,14.2707,14.11
05/29/2024,14.32,1430711,14.42,14.42,14.31
05/28/2024,14.47,1700915,14.40,14.48,14.37
05/24/2024,14.21,1349058,14.18,14.2299,14.155
05/23/2024,14.14,2378310,14.32,14.3501,14.10
05/22/2024,14.23,2751557,14.34,14.34,14.21
05/21/2024,14.42,2206954,14.43,14.495,14.36
05/20/2024,14.46,2253397,14.37,14.48,14.345
05/17/2024,14.32,2451923,14.26,14.33,14.24
05/16/2024,14.19,3130284,14.18,14.205,14.13
05/15/2024,14.14,2305633,14.09,14.15,14.005
05/14/2024,14.09,1747332,14.08,14.14,14.0301
05/13/2024,14.17,1597356,14.09,14.18,14.09
05/10/2024,14.06,2120920,14.12,14.1401,14.04
05/09/2024,14.10,3060933,14.01,14.11,14.01
05/08/2024,14.04,3153702,13.97,14.05,13.94
05/07/2024,14.09,1943201,14.04,14.13,14.04
05/06/2024,14.09,6148460,14.01,14.14,14.01
05/03/2024,13.95,2739061,13.97,13.99,13.92
05/02/2024,13.91,13716180,13.90,13.97,13.83
05/01/2024,13.89,8723557,14.005,14.09,13.85
04/30/2024,14.10,5358255,14.20,14.20,14.03
04/29/2024,14.29,6534482,14.33,14.36,14.27
04/26/2024,14.29,1811243,14.35,14.37,14.2501
04/25/2024,14.29,1871520,14.18,14.29,14.14
04/24/2024,14.21,3174240,14.18,14.25,14.17
04/23/2024,14.22,7464941,14.02,14.23,14.02
04/22/2024,14.16,2862445,14.04,14.16,14.01
04/19/2024,14.15,1634602,14.11,14.22,14.09
04/18/2024,14.08,2189607,14.12,14.1475,14.05
04/17/2024,14.11,3047753,14.26,14.3075,14.06
04/16/2024,14.33,2913526,14.26,14.34,14.195
04/15/2024,14.33,3511792,14.29,14.34,14.165
04/12/2024,14.33,2889485,14.49,14.55,14.30
04/11/2024,14.29,1837186,14.32,14.32,14.21
04/10/2024,14.35,2612693,14.31,14.37,14.21
04/09/2024,14.30,2608401,14.38,14.40,14.25
04/08/2024,14.37,6939338,14.38,14.42,14.265
04/05/2024,14.37,3837336,14.38,14.45,14.33
04/04/2024,14.32,3498065,14.22,14.37,14.195
04/03/2024,14.27,6810454,14.20,14.27,14.20
04/02/2024,14.11,2939303,14.05,14.11,14.02
04/01/2024,13.97,6482840,13.93,13.99,13.8811
03/28/2024,13.87,5650461,13.79,13.91,13.76
03/27/2024,13.74,4791234,13.69,13.75,13.66
03/26/2024,13.73,3972075,13.84,13.84,13.71
03/25/2024,13.84,2973520,13.78,13.8864,13.78
03/22/2024,13.72,3026577,13.78,13.80,13.71
03/21/2024,13.81,2388968,13.82,13.84,13.72
03/20/2024,13.83,2198917,13.78,13.84,13.72
03/19/2024,13.89,1755427,13.84,13.90,13.84
03/18/2024,13.88,2026367,13.85,13.90,13.8021
03/15/2024,13.76,3912310,13.69,13.78,13.67
03/14/2024,13.69,4235924,13.64,13.70,13.62
03/13/2024,13.63,5587762,13.56,13.66,13.55
03/12/2024,13.46,3389814,13.45,13.52,13.42
03/11/2024,13.50,3756475,13.39,13.52,13.33
03/08/2024,13.39,3028777,13.40,13.40,13.31
03/07/2024,13.43,3123349,13.40,13.49,13.368
03/06/2024,13.39,2504365,13.40,13.47,13.37
03/05/2024,13.29,2883566,13.33,13.37,13.28
03/04/2024,13.38,3157933,13.42,13.4382,13.3325
03/01/2024,13.34,2100288,13.33,13.40,13.29
02/29/2024,13.26,3793420,13.25,13.35,13.23
02/28/2024,13.29,2035062,13.34,13.365,13.255
02/27/2024,13.34,2383472,13.31,13.37,13.305
02/26/2024,13.25,1596873,13.16,13.29,13.155
02/23/2024,13.13,2279167,13.19,13.195,13.1101
02/22/2024,13.33,1597121,13.21,13.33,13.21
02/21/2024,13.31,2479979,13.28,13.31,13.2399
02/20/2024,13.24,2524320,13.28,13.29,13.18
02/16/2024,13.31,1819890,13.25,13.33,13.24
02/15/2024,13.27,2798331,13.24,13.33,13.24
02/14/2024,13.22,1897370,13.39,13.425,13.22
02/13/2024,13.39,2230191,13.41,13.43,13.35
02/12/2024,13.45,2180301,13.40,13.465,13.40
02/09/2024,13.44,2210326,13.43,13.49,13.39
02/08/2024,13.41,2257431,13.35,13.43,13.34
02/07/2024,13.31,1570676,13.28,13.34,13.26
02/06/2024,13.27,1595378,13.27,13.31,13.22
02/05/2024,13.23,4239122,13.17,13.24,13.10
02/02/2024,13.18,3726774,13.20,13.23,13.15
02/01/2024,13.32,4065359,13.48,13.53,13.2998
01/31/2024,13.52,3744521,13.60,13.63,13.47
01/30/2024,13.63,2926618,13.52,13.65,13.50
01/29/2024,13.54,3110191,13.57,13.58,13.48
01/26/2024,13.65,4828152,13.54,13.66,13.45
01/25/2024,13.58,16018730,13.58,13.62,13.515
01/24/2024,13.49,2486042,13.46,13.52,13.395
01/23/2024,13.38,2845761,13.31,13.41,13.31
01/22/2024,13.32,4029434,13.21,13.36,13.2099
01/19/2024,13.25,2973650,13.32,13.34,13.215
01/18/2024,13.28,3178819,13.20,13.305,13.145
01/17/2024,13.18,1935932,13.11,13.20,13.1022
01/16/2024,13.22,5392977,13.35,13.35,13.21
01/12/2024,13.32,4612724,13.47,13.50,13.26
01/11/2024,13.27,6959349,13.34,13.378,13.24
01/10/2024,13.19,4706074,13.33,13.34,13.1615
01/09/2024,13.28,4039890,13.25,13.33,13.19
01/08/2024,13.16,5784284,13.10,13.18,13.05
