Date,Open,High,Low,Close,Volume
1995-10-16,2.4243,2.4506,2.4243,2.4506,124000
1995-10-17,2.4506,2.4506,2.4506,2.4506,106400
1995-10-18,2.4369,2.4643,2.4369,2.4506,144000
1995-10-19,2.4643,2.4643,2.4506,2.4506,10400
1995-10-20,2.4116,2.4116,2.3842,2.3842,32800
1995-10-23,2.3062,2.3062,2.2135,2.2135,68000
1995-10-24,2.1871,2.2535,2.1608,2.2535,100800
1995-10-25,2.2398,2.2398,2.2008,2.2008,131200
1995-10-26,2.2261,2.2261,2.1871,2.1871,126400
1995-10-27,2.1608,2.2788,2.1608,2.2788,290400
1995-10-30,2.3062,2.3189,2.2398,2.2788,130400
1995-10-31,2.3842,2.4243,2.3589,2.3716,176800
1995-11-01,2.3842,2.3842,2.3452,2.3589,90400
1995-11-02,2.3452,2.3979,2.3452,2.3979,26400
1995-11-03,2.4116,2.4116,2.3979,2.4116,70400
1995-11-06,2.3842,2.4243,2.3842,2.4243,220000
1995-11-07,2.3716,2.3979,2.3716,2.3979,33600
1995-11-08,2.3842,2.3842,2.3842,2.3842,67200
1995-11-09,2.3979,2.3979,2.3589,2.3589,24000
1995-11-10,2.3452,2.3589,2.3452,2.3589,22400
1995-11-13,2.3716,2.4116,2.3589,2.4116,28000
1995-11-14,2.3842,2.4116,2.3842,2.4116,25600
1995-11-15,2.3842,2.3842,2.3716,2.3716,11200
1995-11-16,2.4116,2.4116,2.3979,2.3979,9600
1995-11-17,2.3979,2.4116,2.3979,2.3979,22400
1995-11-20,2.3979,2.4243,2.3979,2.4116,20000
1995-11-21,2.4116,2.4116,2.4116,2.4116,0
1995-11-22,2.4243,2.4243,2.4243,2.4243,3200
1995-11-24,2.4369,2.4369,2.4369,2.4369,800
1995-11-27,2.4369,2.4506,2.4369,2.4506,16000
1995-11-28,2.4243,2.4369,2.4243,2.4369,13600
1995-11-29,2.4116,2.4116,2.4116,2.4116,18400
1995-11-30,2.4243,2.4243,2.4116,2.4243,37600
1995-12-01,2.4243,2.4643,2.4243,2.4506,50400
1995-12-04,2.4770,2.4770,2.4643,2.4770,11200
1995-12-05,2.5033,2.5033,2.4770,2.4770,32800
1995-12-06,2.4896,2.5033,2.4770,2.4896,84800
1995-12-07,2.4770,2.4770,2.4770,2.4770,9600
1995-12-08,2.4770,2.4770,2.4643,2.4770,15200
1995-12-11,2.4643,2.4643,2.4506,2.4506,5600
1995-12-12,2.3842,2.3979,2.3716,2.3716,28800
