Date,Close,Volume,Open,High,Low
11/22/2024,28.47,13173880,28.27,28.55,28.2001
11/21/2024,28.04,11030530,28.27,28.30,27.92
11/20/2024,28.10,11137950,28.39,28.4501,28.05
11/19/2024,28.50,12751080,28.46,28.53,28.29
11/18/2024,28.38,15763430,28.18,28.495,28.16
11/15/2024,27.57,18838440,28.04,28.075,27.50
11/14/2024,27.81,18059870,27.59,27.935,27.51
11/13/2024,27.61,16530470,28.25,28.28,27.595
11/12/2024,28.07,16561240,28.00,28.0887,27.79
11/11/2024,27.97,24582570,27.97,28.02,27.72
11/08/2024,28.48,20235200,28.97,29.0301,28.43
11/07/2024,29.11,21432200,28.921,29.2999,28.79
11/06/2024,28.43,33037960,28.19,28.6499,28.105
11/05/2024,29.75,12188520,29.95,30.015,29.6913
11/04/2024,29.63,13044450,29.80,29.885,29.43
11/01/2024,29.54,22164870,30.06,30.185,29.475
10/31/2024,29.81,33075020,30.34,30.36,29.62
10/30/2024,30.81,20900080,30.74,30.975,30.4546
10/29/2024,31.39,22508750,31.17,31.51,31.055
10/28/2024,30.73,16296860,30.71,30.99,30.615
10/25/2024,30.63,19517550,30.58,31.02,30.47
10/24/2024,30.69,29251540,31.19,31.23,30.295
10/23/2024,30.71,37351700,31.10,31.11,30.4801
10/22/2024,31.74,37066100,31.40,31.80,31.24
10/21/2024,30.85,36669690,31.13,31.23,30.5107
10/18/2024,30.64,45090390,29.47,30.72,29.419
10/17/2024,28.89,15369540,28.92,29.195,28.55
10/16/2024,28.91,17789700,29.12,29.35,28.77
10/15/2024,28.71,16871730,28.52,28.90,28.42
10/14/2024,28.54,13515670,28.47,28.755,28.295
10/11/2024,28.80,17096610,28.60,28.87,28.59
10/10/2024,28.38,18329140,27.97,28.43,27.92
10/09/2024,27.86,20157870,27.62,27.9899,27.56
10/08/2024,28.01,39037160,28.41,28.53,27.47
10/07/2024,28.93,20871950,29.01,29.08,28.705
10/04/2024,29.36,39104900,29.23,30.07,28.98
10/03/2024,29.23,18907410,28.91,29.37,28.79
10/02/2024,29.00,21103120,29.13,29.46,28.68
10/01/2024,28.58,23796390,28.78,29.06,28.545
09/30/2024,28.41,16606180,28.51,28.54,28.17
09/27/2024,28.86,27109630,29.34,29.465,28.59
09/26/2024,29.26,23692040,29.32,29.4597,28.9446
09/25/2024,29.06,26626990,29.10,29.416,28.80
09/24/2024,29.38,41629940,28.27,29.44,28.165
09/23/2024,27.98,24206300,28.23,28.30,27.93
09/20/2024,28.41,21649450,28.40,28.595,28.18
09/19/2024,28.09,18852820,28.25,28.39,27.92
09/18/2024,27.24,35165910,27.95,28.50,27.09
09/17/2024,27.96,15504330,28.02,28.27,27.835
09/16/2024,28.07,14701630,28.27,28.29,27.90
09/13/2024,28.02,28629440,27.87,28.205,27.7601
09/12/2024,27.27,22552650,26.64,27.28,26.565
09/11/2024,26.12,11052160,26.05,26.215,25.62
09/10/2024,25.94,9395367,25.96,25.96,25.575
09/09/2024,25.85,8774848,25.72,25.88,25.585
09/06/2024,25.48,23805420,26.25,26.345,25.27
09/05/2024,26.23,14573640,26.38,26.61,26.15
09/04/2024,25.68,11322410,25.62,25.8799,25.58
09/03/2024,25.58,17149090,25.83,25.846,25.2701
08/30/2024,26.35,15762110,26.68,26.80,26.185
08/29/2024,26.81,11793830,26.71,27.05,26.63
08/28/2024,26.69,11564230,26.86,26.86,26.53
08/27/2024,27.36,10591710,27.25,27.46,27.10
08/26/2024,27.32,8812373,27.40,27.42,27.125
08/23/2024,27.20,21713300,26.71,27.27,26.63
08/22/2024,26.39,23972700,26.92,26.93,26.2612
08/21/2024,26.95,18449500,26.92,27.1399,26.66
08/20/2024,26.87,20454480,27.30,27.355,26.73
08/19/2024,26.83,20102850,26.45,26.895,26.3701
08/16/2024,26.43,19315680,25.86,26.44,25.77
08/15/2024,25.86,17205980,25.80,26.0187,25.46
08/14/2024,25.13,14114370,25.26,25.41,24.8044
08/13/2024,25.42,11860540,25.21,25.44,25.1101
08/12/2024,25.49,15323080,25.38,25.60,25.12
08/09/2024,25.00,15934050,25.10,25.2499,24.88
08/08/2024,25.01,17704430,24.72,25.18,24.635
08/07/2024,24.33,12709860,24.68,24.77,24.25
08/06/2024,24.64,18307960,24.53,24.89,24.48
08/05/2024,24.86,36392880,24.63,25.0374,24.54
08/02/2024,26.04,25324990,26.44,26.4997,25.50
08/01/2024,26.03,19796810,26.53,26.555,25.75
07/31/2024,26.39,23227940,26.23,26.50,26.06
07/30/2024,25.83,14896290,25.57,25.935,25.33
07/29/2024,25.44,16616690,25.54,25.575,24.93
07/26/2024,25.48,12442430,25.39,25.525,25.21
07/25/2024,25.41,31711430,25.24,25.54,25.17
07/24/2024,26.43,12474500,26.73,26.89,26.41
07/23/2024,26.68,10184530,26.49,26.68,26.42
07/22/2024,26.63,12069800,26.44,26.66,26.31
07/19/2024,26.69,20111210,26.40,26.74,26.365
07/18/2024,27.20,15566200,27.76,27.79,27.1401
07/17/2024,27.67,34443430,28.25,28.36,27.43
07/16/2024,28.61,17280200,28.03,28.6797,27.98
07/15/2024,28.03,13426730,28.09,28.39,27.87
07/12/2024,28.12,15380040,28.00,28.3093,27.94
07/11/2024,28.68,20141470,28.75,28.91,28.4799
07/10/2024,28.16,13142640,28.29,28.46,27.99
