Date,Open,High,Low,Close,Volume
1993-12-01,0.7166,0.7243,0.7166,0.7243,33600
1993-12-02,0.7326,0.7326,0.7326,0.7326,17600
1993-12-03,0.7326,0.7326,0.7326,0.7326,0
1993-12-06,0.7403,0.7403,0.7403,0.7403,8000
1993-12-07,0.7403,0.7403,0.7403,0.7403,0
1993-12-08,0.7403,0.7403,0.7403,0.7403,0
1993-12-09,0.7723,0.7723,0.7723,0.7723,64000
1993-12-10,0.7646,0.7646,0.7525,0.7525,48000
1993-12-13,0.7445,0.7445,0.7445,0.7445,8000
1993-12-14,0.7365,0.7365,0.7326,0.7326,32000
1993-12-15,0.7326,0.7326,0.7326,0.7326,0
1993-12-16,0.7326,0.7326,0.7326,0.7326,0
1993-12-17,0.7326,0.7326,0.7326,0.7326,0
1993-12-20,0.7243,0.7243,0.7124,0.7124,51200
1993-12-21,0.7124,0.7124,0.7124,0.7124,0
1993-12-22,0.7166,0.7166,0.7166,0.7166,16000
1993-12-23,0.7166,0.7166,0.7166,0.7166,0
1993-12-27,0.7166,0.7166,0.7166,0.7166,0
1993-12-28,0.7166,0.7166,0.7166,0.7166,0
1993-12-29,0.7166,0.7166,0.7166,0.7166,0
1993-12-30,0.7166,0.7166,0.7166,0.7166,0
1993-12-31,0.7403,0.7403,0.7403,0.7403,16000
1994-01-03,0.7403,0.7403,0.7403,0.7403,0
1994-01-04,0.7403,0.7403,0.7403,0.7403,0
1994-01-05,0.7486,0.7605,0.7486,0.7605,64000
1994-01-06,0.7605,0.7605,0.7605,0.7605,0
1994-01-07,0.7605,0.7605,0.7605,0.7605,0
1994-01-10,0.7605,0.7605,0.7605,0.7605,0
1994-01-11,0.7605,0.7605,0.7605,0.7605,0
1994-01-12,0.7925,0.7925,0.7845,0.7845,40000
1994-01-13,0.7883,0.7883,0.7806,0.7806,9600
1994-01-14,0.7806,0.7806,0.7806,0.7806,0
1994-01-17,0.7806,0.7806,0.7806,0.7806,0
1994-01-18,0.7806,0.7806,0.7806,0.7806,0
1994-01-19,0.7925,0.7925,0.7925,0.7925,16000
1994-01-20,0.7925,0.7925,0.7925,0.7925,0
1994-01-21,0.7806,0.7845,0.7765,0.7765,36800
1994-01-24,0.7563,0.7563,0.7563,0.7563,20800
1994-01-25,0.7563,0.7563,0.7563,0.7563,0
1994-01-26,0.7563,0.7563,0.7563,0.7563,0
1994-01-27,0.7563,0.7563,0.7563,0.7563,0
1994-01-28,0.7563,0.7563,0.7563,0.7563,0
1994-01-31,0.7563,0.7563,0.7563,0.7563,0
1994-02-01,0.7563,0.7563,0.7563,0.7563,0
1994-02-02,0.7563,0.7563,0.7563,0.7563,0
1994-02-03,0.7563,0.7563,0.7563,0.7563,0
1994-02-04,0.7563,0.7563,0.7563,0.7563,0
1994-02-07,0.7525,0.7525,0.7525,0.7525,1600
1994-02-08,0.7525,0.7525,0.7525,0.7525,0
1994-02-09,0.7525,0.7525,0.7525,0.7525,0
1994-02-10,0.7445,0.7486,0.7445,0.7445,20800
1994-02-11,0.7326,0.7326,0.7326,0.7326,16000
1994-02-14,0.7205,0.7205,0.7124,0.7124,51200
1994-02-15,0.7044,0.7044,0.6884,0.6923,51200
1994-02-16,0.6964,0.6964,0.6964,0.6964,16000
1994-02-17,0.6964,0.6964,0.6964,0.6964,0
1994-02-18,0.6964,0.6964,0.6964,0.6964,0
1994-02-22,0.6964,0.6964,0.6964,0.6964,0
1994-02-23,0.6964,0.6964,0.6964,0.6964,0
1994-02-24,0.6964,0.6964,0.6964,0.6964,0
1994-02-25,0.6964,0.6964,0.6964,0.6964,0
1994-02-28,0.6964,0.6964,0.6964,0.6964,0
1994-03-01,0.6964,0.6964,0.6964,0.6964,0
1994-03-02,0.6884,0.6884,0.6884,0.6884,16000
1994-03-03,0.6884,0.6884,0.6884,0.6884,0
1994-03-04,0.6923,0.6923,0.6923,0.6923,9600
1994-03-07,0.6923,0.6923,0.6923,0.6923,0
1994-03-08,0.6923,0.6923,0.6923,0.6923,0
1994-03-09,0.6945,0.6945,0.6945,0.6945,3200
1994-03-10,0.6945,0.6945,0.6945,0.6945,0
1994-03-11,0.6864,0.6864,0.6864,0.6864,1600
1994-03-14,0.6864,0.6864,0.6864,0.6864,0
1994-03-15,0.6864,0.6864,0.6864,0.6864,0
1994-03-16,0.6864,0.6864,0.6864,0.6864,0
1994-03-17,0.6864,0.6864,0.6864,0.6864,0
1994-03-18,0.6945,0.6945,0.6945,0.6945,16000
1994-03-21,0.6984,0.6984,0.6984,0.6984,16000
1994-03-22,0.6984,0.6984,0.6984,0.6984,0
1994-03-23,0.7068,0.7268,0.7068,0.7268,64000
1994-03-24,0.7268,0.7268,0.7268,0.7268,0
1994-03-25,0.7187,0.7187,0.7107,0.7107,16000
1994-03-28,0.7026,0.7026,0.6864,0.6864,32000
1994-03-29,0.6864,0.6864,0.6864,0.6864,0
1994-03-30,0.6784,0.6784,0.6784,0.6784,8000
1994-03-31,0.6864,0.7026,0.6864,0.7026,64000
1994-04-04,0.7026,0.7026,0.7026,0.7026,0
