Date,Close,Volume,Open,High,Low
11/22/2024,34.64,1156512,33.86,34.73,33.86
11/21/2024,34.33,858626,34.31,34.81,34.23
11/20/2024,34.65,954718,33.83,34.68,33.79
11/19/2024,34.01,609108,34.19,34.49,33.97
11/18/2024,34.52,1140615,34.16,34.78,33.89
11/15/2024,34.31,1692872,35.40,35.88,34.28
11/14/2024,35.57,2179216,34.50,36.07,34.30
11/13/2024,34.84,1206116,34.88,35.29,34.48
11/12/2024,34.72,2060799,35.51,35.585,34.42
11/11/2024,36.14,1376101,36.03,36.25,35.675
11/08/2024,36.04,2176486,36.90,37.0402,35.74
11/07/2024,37.58,1510220,37.22,37.77,37.0667
11/06/2024,37.25,5905268,37.51,37.80,36.30
11/05/2024,41.79,1515475,40.79,41.88,40.58
11/04/2024,41.08,3056171,40.40,41.71,40.40
11/01/2024,39.79,954575,39.83,40.315,39.53
10/31/2024,39.83,707052,39.36,39.99,39.20
10/30/2024,38.88,1376312,38.26,39.28,38.04
10/29/2024,38.45,1370262,39.10,39.19,38.30
10/28/2024,39.88,1556868,39.20,40.17,39.10
10/25/2024,38.95,1862445,38.22,39.38,38.22
10/24/2024,37.21,488695,37.02,37.35,36.81
10/23/2024,37.04,1268926,37.29,37.84,36.86
10/22/2024,37.28,771402,37.10,37.5089,36.94
10/21/2024,36.90,900385,37.24,37.55,36.64
10/18/2024,37.34,921118,37.64,37.65,37.22
10/17/2024,37.02,760494,37.80,37.80,37.00
10/16/2024,37.75,485937,37.61,37.845,37.48
10/15/2024,37.51,1012400,38.33,38.345,37.35
10/14/2024,38.88,371928,39.04,39.33,38.588
10/11/2024,39.32,894533,38.31,39.53,38.31
10/10/2024,38.57,1100729,39.44,39.69,38.475
10/09/2024,40.05,675083,40.00,40.43,39.52
10/08/2024,40.54,987458,41.25,41.34,40.30
10/07/2024,42.89,716024,42.43,43.4206,42.324
10/04/2024,42.13,703524,42.34,42.545,41.82
10/03/2024,41.64,586304,41.56,42.0456,41.447
10/02/2024,42.45,587771,42.83,42.91,42.00
10/01/2024,42.67,630403,43.17,43.17,41.98
