Date,Close,Volume,Open,High,Low
11/22/2024,$51.20,2064621,$51.47,$51.47,$51.13
11/21/2024,$52.20,1921191,$52.24,$52.32,$52.02
11/20/2024,$52.41,2853392,$52.55,$52.70,$52.10
11/19/2024,$51.86,849855,$51.94,$51.98,$51.56
11/18/2024,$52.21,1383701,$52.00,$52.26,$51.72
11/15/2024,$51.65,2717087,$51.42,$51.83,$51.12
11/14/2024,$51.66,3337412,$51.65,$51.90,$51.56
11/13/2024,$50.13,3511096,$51.91,$51.93,$49.97
11/12/2024,$51.04,2982655,$51.80,$51.83,$50.79
11/11/2024,$52.50,2274080,$52.95,$52.95,$52.41
11/08/2024,$53.17,2592961,$53.91,$53.91,$52.86
11/07/2024,$56.07,2849317,$55.22,$56.35,$55.20
11/06/2024,$53.69,2526787,$53.44,$53.98,$53.05
11/05/2024,$54.92,1958836,$54.55,$54.93,$54.51
11/04/2024,$53.67,1514668,$53.80,$54.23,$53.63
11/01/2024,$53.60,1739494,$53.95,$54.12,$53.51
10/31/2024,$52.21,1961916,$52.35,$52.41,$51.96
10/30/2024,$52.90,1638041,$52.79,$53.18,$52.60
10/29/2024,$53.61,2512861,$54.25,$54.25,$53.59
10/28/2024,$54.08,2068534,$53.66,$54.25,$53.53
10/25/2024,$54.05,1604681,$54.20,$54.59,$54.04
10/24/2024,$54.21,1616784,$54.22,$54.36,$53.78
10/23/2024,$54.41,1446755,$54.85,$55.00,$54.41
10/22/2024,$54.54,2137653,$54.17,$54.75,$54.09
10/21/2024,$54.14,1114190,$54.00,$54.30,$53.70
10/18/2024,$55.04,2046277,$55.44,$55.44,$55.01
10/17/2024,$52.74,1713400,$53.05,$53.13,$52.40
10/16/2024,$53.76,2042789,$53.50,$54.11,$53.45
10/15/2024,$53.12,4515418,$54.00,$54.07,$52.84
10/14/2024,$55.86,1888516,$56.14,$56.91,$55.62
10/11/2024,$56.70,3036639,$55.61,$56.92,$55.40
10/10/2024,$56.15,3136116,$56.28,$56.70,$55.57
10/09/2024,$56.56,4742180,$55.85,$56.93,$55.77
10/08/2024,$57.34,6079772,$57.43,$57.92,$56.12
10/07/2024,$62.35,4485210,$61.43,$62.57,$60.94
10/04/2024,$60.77,4627249,$60.79,$60.95,$60.16
10/03/2024,$59.43,3014968,$59.03,$60.05,$58.92
10/02/2024,$60.66,5549983,$60.05,$60.73,$59.22
10/01/2024,$57.23,5501776,$56.10,$57.30,$55.49
09/30/2024,$55.40,7334043,$57.36,$57.36,$55.24
09/27/2024,$57.04,6504433,$56.55,$57.25,$56.07
09/26/2024,$57.27,9591190,$56.40,$57.30,$55.94
09/25/2024,$52.40,3562457,$52.55,$52.94,$52.33
09/24/2024,$53.64,6837107,$52.22,$53.88,$52.12
09/23/2024,$50.13,1541062,$49.66,$50.40,$49.66
09/20/2024,$49.47,1577911,$49.99,$49.99,$49.42
09/19/2024,$50.07,2438711,$49.72,$50.22,$49.57
09/18/2024,$48.40,1243257,$48.50,$48.80,$48.33
09/17/2024,$48.51,942267,$48.68,$48.84,$48.51
09/16/2024,$48.25,1155586,$48.19,$48.40,$48.19
09/13/2024,$47.82,1131098,$47.78,$47.98,$47.72
09/12/2024,$47.55,1278244,$47.63,$47.69,$47.38
09/11/2024,$47.63,1603709,$47.34,$47.78,$47.14
09/10/2024,$46.97,1320631,$47.01,$47.16,$46.70
09/09/2024,$47.52,1070145,$47.30,$47.86,$47.30
09/06/2024,$47.20,1253144,$47.75,$47.84,$47.15
09/05/2024,$47.82,1301217,$47.78,$48.05,$47.75
09/04/2024,$47.86,1416149,$47.78,$48.10,$47.78
09/03/2024,$48.14,1688400,$48.24,$48.33,$48.08
08/30/2024,$48.51,1305623,$48.73,$49.00,$48.24
08/29/2024,$48.25,1137571,$48.27,$48.37,$48.21
