Date,Open,High,Low,Close,Volume
1996-08-30,1.6609,1.6609,1.6498,1.6498,46800
1996-09-03,1.6284,1.6284,1.6181,1.6284,20000
1996-09-04,1.6387,1.6387,1.6387,1.6387,2000
1996-09-05,1.6387,1.6387,1.6181,1.6181,24800
1996-09-06,1.6284,1.6387,1.6284,1.6284,9600
1996-09-09,1.6387,1.6387,1.6387,1.6387,2000
1996-09-10,1.6387,1.6387,1.6387,1.6387,400
1996-09-11,1.6387,1.6609,1.6387,1.6609,30000
1996-09-12,1.6712,1.6926,1.6712,1.6926,154400
1996-09-13,1.6926,1.7244,1.6926,1.7244,220400
1996-09-16,1.7244,1.7355,1.7244,1.7244,85600
1996-09-17,1.7355,1.7355,1.7141,1.7244,18400
1996-09-18,1.7244,1.7466,1.7244,1.7466,24800
1996-09-19,1.7569,1.7672,1.7466,1.7672,187600
1996-09-20,1.7895,1.8101,1.7783,1.8101,148400
1996-09-23,1.8101,1.8101,1.8101,1.8101,67600
1996-09-24,1.8101,1.8426,1.8101,1.8323,93600
1996-09-25,1.8323,1.8323,1.8323,1.8323,36800
1996-09-26,1.8212,1.8323,1.7466,1.7466,79200
1996-09-27,1.7569,1.7569,1.6926,1.7355,66400
1996-09-30,1.7355,1.7466,1.7355,1.7466,15200
1996-10-01,1.7466,1.7466,1.7355,1.7466,363200
1996-10-02,1.7672,1.8101,1.7672,1.8101,239200
1996-10-03,1.8101,1.8212,1.7998,1.8212,104000
1996-10-04,1.8323,1.8641,1.8323,1.8641,135600
1996-10-07,1.8855,1.9069,1.8855,1.8855,62800
1996-10-08,1.8855,1.9069,1.8855,1.8958,112000
1996-10-09,1.8958,1.8958,1.8855,1.8855,35600
1996-10-10,1.8905,1.9224,1.8905,1.9112,172800
1996-10-11,1.9224,1.9440,1.9224,1.9440,31200
1996-10-14,1.9440,1.9656,1.9440,1.9656,30400
1996-10-15,1.9872,1.9872,1.9112,1.9224,126400
1996-10-16,1.9112,1.9224,1.8905,1.9112,73600
1996-10-17,1.9112,1.9224,1.9008,1.9224,130400
1996-10-18,1.9224,1.9656,1.9112,1.9544,124400
1996-10-21,1.9440,1.9769,1.9440,1.9769,209600
1996-10-22,1.9769,2.0201,1.9656,1.9872,344400
1996-10-23,1.9976,1.9976,1.9656,1.9976,598000
1996-10-24,1.9976,2.0088,1.9872,1.9872,298800
1996-10-25,1.9976,2.0088,1.9872,1.9976,77600
1996-10-28,1.9976,2.0201,1.9872,1.9872,105200
1996-10-29,1.9976,2.0088,1.9872,1.9976,565600
1996-10-30,1.9976,2.0088,1.9872,1.9976,121600
1996-10-31,1.9976,2.0201,1.9976,2.0201,36400
1996-11-01,2.0201,2.0840,2.0201,2.0736,536400
1996-11-04,2.0840,2.1497,2.0840,2.1497,152000
1996-11-05,2.2032,2.2680,2.1816,2.2361,699200
1996-11-06,2.2361,2.3328,2.2361,2.3000,490000
1996-11-07,2.3000,2.3000,2.2361,2.2464,314400
1996-11-08,2.2568,2.2568,2.2136,2.2361,143600
1996-11-11,2.2361,2.2464,2.2136,2.2464,61200
