Date,Open,High,Low,Close,Volume
1987-09-01,6.3675,6.3675,6.1860,6.1860,50500
1987-09-02,6.1570,6.1570,5.9440,5.9440,175601
1987-09-03,5.9755,6.0045,5.9150,5.9440,39299
1987-09-04,6.0045,6.0360,5.9755,5.9755,49501
1987-09-08,5.9150,5.9440,5.6124,5.7649,93700
1987-09-09,5.7334,5.7334,5.6124,5.6439,78401
1987-09-10,5.5519,5.7939,5.4914,5.7939,547300
1987-09-11,5.7939,6.0360,5.7939,6.0360,60899
1987-09-14,6.0650,6.0650,5.8835,5.9440,55299
1987-09-15,6.0360,6.0360,5.8835,5.9150,54101
1987-09-16,5.9755,6.0360,5.9150,5.9150,173401
1987-09-17,6.0360,6.0360,5.7939,5.8230,83700
1987-09-18,5.8230,5.8544,5.6729,5.6729,22201
1987-09-21,5.6439,5.7939,5.6439,5.6729,49899
1987-09-22,5.6729,5.7044,5.6124,5.6124,149401
1987-09-23,5.6729,5.7649,5.6729,5.7649,141001
1987-09-24,5.7334,5.7939,5.7044,5.7334,249301
1987-09-25,5.7044,5.7044,5.6439,5.6439,45401
1987-09-28,5.7044,5.7334,5.6729,5.6729,257101
1987-09-29,5.6439,5.6729,5.6439,5.6439,61601
1987-09-30,5.6729,5.6729,5.5834,5.6439,176101
1987-10-01,5.7044,5.7334,5.6729,5.7334,93099
1987-10-02,5.7334,5.7334,5.7044,5.7334,18900
1987-10-05,5.7334,5.7334,5.7044,5.7044,27901
1987-10-06,5.6729,5.7044,5.6439,5.6439,119701
1987-10-07,5.6439,5.6439,5.5229,5.5229,29801
1987-10-08,5.4914,5.5519,5.4624,5.4914,154001
1987-10-09,5.4624,5.4624,5.4019,5.4019,95401
1987-10-12,5.3414,5.3414,5.2204,5.2204,91800
1987-10-13,5.3414,5.4019,5.2809,5.3704,137700
1987-10-14,5.3099,5.3099,5.2518,5.3099,39299
1987-10-15,5.2809,5.2809,5.1599,5.2518,52599
1987-10-16,5.1913,5.1913,4.6468,4.6782,172901
1987-10-19,4.3442,4.4362,3.9836,3.9836,544600
1987-10-20,3.9836,4.1046,3.4391,3.8336,630399
1987-10-21,3.8917,4.1046,3.6811,3.8336,306399
1987-10-22,3.8626,3.8626,3.5601,3.6811,315900
1987-10-23,3.4996,3.5916,3.4706,3.5601,420701
1987-10-26,3.4391,3.4391,2.8970,2.8970,315401
1987-10-27,2.8970,3.0785,2.7760,2.8970,521201
