Date,Open,High,Low,Close,Volume
1997-10-09,14.2733,16.5895,14.2733,15.9876,10201100
1997-10-10,17.7341,17.7986,16.0897,16.7238,10668500
1997-10-13,16.7615,16.7615,16.2885,16.3584,3043100
1997-10-14,16.2241,16.2563,15.2460,15.6867,2549200
1997-10-15,14.7086,15.2836,14.6763,15.2460,3166400
1997-10-16,15.2460,15.2460,14.7086,14.7785,1770200
1997-10-17,14.1067,14.1389,13.4672,13.4994,3286800
1997-10-20,11.2854,12.0915,11.2531,11.8228,11499100
1997-10-21,12.3602,13.4994,12.2903,13.4994,6924100
1997-10-22,12.4246,12.4623,11.8872,11.9249,4457800
1997-10-23,11.5541,11.5541,10.7480,11.2155,12493100
1997-10-24,11.4842,11.5541,10.3449,10.6136,9498000
1997-10-27,10.3449,10.3449,9.1680,9.2056,4904100
1997-10-28,8.4640,11.2854,8.3942,11.2854,10416700
1997-10-29,10.3449,10.6459,10.2106,10.2428,7547200
1997-10-30,9.6732,10.0762,9.6409,9.9741,2796300
1997-10-31,10.3449,10.8501,10.3127,10.6136,3610300
1997-11-03,11.5541,12.3602,11.5541,12.1936,6204800
1997-11-04,12.0915,12.3279,11.8550,12.1936,3144600
1997-11-05,12.4246,13.2684,12.4246,13.1663,3978700
1997-11-06,13.6338,13.7037,12.9620,13.0964,3649300
1997-11-07,12.1559,12.8653,12.0915,12.7955,4470300
1997-11-10,13.3006,13.3651,12.8277,12.8653,2434700
1997-11-11,12.6289,12.8277,12.5590,12.5966,2194000
1997-11-12,12.1936,12.1936,11.8550,11.8872,3904600
1997-11-13,12.0216,12.4623,11.6186,11.7905,2481600
1997-11-14,12.0216,12.1936,11.6186,11.7905,2205400
1997-11-17,12.5966,12.6289,12.3602,12.6289,3289800
1997-11-18,12.2258,12.2258,11.7529,11.8228,2240200
1997-11-19,11.6884,11.6884,11.3499,11.4842,1442300
1997-11-20,11.2531,11.4197,11.1833,11.2155,2577600
1997-11-21,11.2854,11.7905,11.2854,11.7905,4222500
1997-11-24,11.2155,11.5541,11.2155,11.5218,2254300
1997-11-25,11.5863,11.9894,11.5863,11.8228,1083200
1997-11-26,11.6884,11.7207,11.4842,11.6186,1135900
1997-11-28,11.8228,11.8228,11.7905,11.8228,1082600
1997-12-01,11.2854,11.2854,11.1188,11.2854,2364500
1997-12-02,11.3875,11.4842,11.2531,11.2854,2202400
1997-12-03,11.4842,11.4842,11.1833,11.3499,2782900
1997-12-04,11.8872,11.9894,11.8228,11.8228,2720900
1997-12-05,11.8228,11.9571,11.7529,11.8550,1795800
1997-12-08,12.2903,12.6289,12.2903,12.3602,2019400
1997-12-09,12.0915,12.0915,11.8228,11.8228,1486400
1997-12-10,11.9894,11.9894,11.2854,11.3176,1393400
1997-12-11,10.8125,10.8501,10.6459,10.8125,3127800
1997-12-12,10.7802,10.9468,10.7157,10.7157,2271400
1997-12-15,10.6459,10.6459,9.8075,9.8075,5162100
1997-12-16,9.8075,10.2751,9.7377,10.1085,3736000
1997-12-17,10.1407,10.2428,9.7377,9.7753,3309500
1997-12-18,9.7054,9.7054,9.4045,9.4045,1022400
1997-12-19,9.3346,10.1085,9.2701,9.9741,3055400
1997-12-22,9.9096,10.0762,9.7753,9.8720,1265700
1997-12-23,9.7054,9.7054,9.5388,9.5711,812800
1997-12-24,9.5711,9.7054,9.5066,9.5388,742100
1997-12-26,9.5388,9.7054,9.5388,9.6732,291800
1997-12-29,9.8075,9.8720,9.7054,9.7377,950500
1997-12-30,9.8075,10.0762,9.8075,10.0762,1464600
1997-12-31,10.0762,10.0762,9.6732,9.7753,916800
1998-01-02,9.7377,9.9096,9.7054,9.9096,568200
1998-01-05,9.9096,9.9741,9.7054,9.8720,1748900
1998-01-06,9.7753,9.7753,9.6409,9.6732,1503200
1998-01-07,9.4690,9.4690,8.7327,8.7327,1336000
1998-01-08,8.5984,8.6306,8.3297,8.3297,4583300
1998-01-09,8.3297,8.3619,7.7923,7.8245,5332000
1998-01-12,7.6579,8.1953,7.1850,8.0932,3468600
1998-01-13,8.4318,9.1035,8.3942,9.0337,2123100
1998-01-14,9.5711,9.5711,8.9692,9.2056,2802700
1998-01-15,9.1358,9.2056,8.9316,9.0713,1833200
1998-01-16,9.4367,9.4367,9.3346,9.3722,2318800
1998-01-20,9.6033,10.0440,9.6033,9.9096,3269800
1998-01-21,9.8720,10.1407,9.8398,10.1085,2870500
1998-01-22,10.1085,10.4094,9.9419,10.3772,1797800
1998-01-23,10.6459,10.6781,10.4094,10.6136,1194700
1998-01-26,11.3499,11.4197,11.1188,11.4197,3287300
1998-01-27,11.4842,11.8228,11.4520,11.7529,2171100
1998-01-28,11.8228,12.3602,11.8228,12.3602,3174400
1998-01-29,12.3602,12.3602,11.8228,11.8228,3232400
1998-01-30,11.9571,12.8277,11.9249,12.7632,4948800
1998-02-02,12.9620,13.3006,12.9298,13.1663,2353300
1998-02-03,13.7037,14.0745,13.5371,14.0368,5174100
1998-02-04,13.8380,13.8380,13.0964,13.2684,2419200
1998-02-05,13.8380,13.9724,13.3329,13.3651,1633700
1998-02-06,13.2684,13.3651,12.9298,13.3006,1084000
1998-02-09,13.3006,13.3651,12.7955,12.8277,1853700
1998-02-10,13.0319,13.4027,12.9997,13.2307,1728000
1998-02-11,13.6714,13.6714,13.3651,13.6338,3018100
1998-02-12,13.9401,14.2411,13.8702,14.2411,3441600
1998-02-13,14.0368,14.0368,13.8380,13.9025,1758900
1998-02-17,14.4399,14.5742,14.3432,14.4076,2099300
1998-02-18,14.4399,14.6763,14.4076,14.6441,1625200
1998-02-19,14.9773,14.9773,14.8429,14.9773,1119900
1998-02-20,15.0472,15.0472,14.5420,14.5742,1715800
1998-02-23,14.5098,14.5742,14.1712,14.2411,1025800
1998-02-24,14.3754,14.6441,14.2733,14.5420,2524300
1998-02-25,14.7785,15.8210,14.7462,15.6168,3694200
1998-02-26,16.3208,16.3208,15.9177,15.9876,1549000
1998-02-27,15.7834,15.7834,15.2460,15.4180,980400
1998-03-02,15.4180,15.4502,15.1493,15.1493,776400
1998-03-03,14.9773,15.1815,14.7086,15.0149,2349700
1998-03-04,14.3754,14.5098,14.2411,14.2733,1771800
1998-03-05,13.4027,13.4350,12.9298,12.9620,2941500
1998-03-06,13.4672,14.4076,13.4672,14.1712,2973300
1998-03-09,13.5693,13.9401,13.4350,13.7681,865800
1998-03-10,13.8380,14.0745,13.8380,14.0745,1177000
1998-03-11,14.6441,14.7785,14.6119,14.6441,1090000
1998-03-12,14.6441,14.6441,14.2411,14.4399,471100
1998-03-13,14.5742,14.6119,14.3055,14.4399,890400
1998-03-16,14.6441,14.6441,14.3754,14.3754,1241600
1998-03-17,14.4076,14.4076,13.7681,13.8058,2249700
1998-03-18,13.6338,13.6338,13.4672,13.4994,2121500
1998-03-19,13.6338,13.9025,13.6338,13.8380,1309400
1998-03-20,13.8702,13.9724,13.7359,13.8058,1987500
1998-03-23,13.4027,13.4994,13.3651,13.4350,726400
1998-03-24,13.7037,13.9724,13.7037,13.9025,930300
1998-03-25,14.5098,14.6441,14.3754,14.5098,2439100
1998-03-26,14.3754,14.4399,14.3055,14.4076,907100
1998-03-27,14.5098,14.5742,14.3055,14.3754,705300
1998-03-30,14.3055,14.3432,14.0368,14.1389,665700
1998-03-31,14.1389,14.1389,13.8702,13.9025,3265200
1998-04-01,13.8380,13.8380,13.6714,13.8058,1166500
1998-04-02,13.7681,13.8058,13.4672,13.7681,1445900
1998-04-03,13.7681,13.7681,13.5693,13.6338,599500
1998-04-06,13.6714,13.7681,13.6016,13.6016,330000
1998-04-07,13.4350,13.4350,13.1663,13.1663,1164300
1998-04-08,13.2684,13.4350,13.2684,13.3006,1172000
1998-04-09,13.0319,13.3006,13.0319,13.1985,828800
1998-04-13,12.9298,12.9298,12.4945,12.5966,1349800
1998-04-14,12.5268,12.8277,12.4246,12.8277,1474500
1998-04-15,12.9298,13.0319,12.8277,12.9620,1157900
1998-04-16,12.7310,12.7310,12.4246,12.5590,1010700
1998-04-17,12.2903,12.3279,12.1559,12.2258,1129700
1998-04-20,12.1936,12.2258,11.9571,12.1559,1067400
1998-04-21,12.2903,12.6933,12.2903,12.6289,1178200
1998-04-22,12.8976,13.3651,12.7310,13.3329,2118900
1998-04-23,13.0964,13.1985,13.0319,13.0642,2294100
1998-04-24,13.1663,13.3651,13.1663,13.3329,1253300
1998-04-27,12.9997,12.9997,12.6289,12.7310,881500
1998-04-28,13.0319,13.1663,13.0319,13.1340,1608800
1998-04-29,12.9997,13.0964,12.8277,13.0964,818400
1998-04-30,13.3006,13.3006,13.1663,13.1985,1225000
1998-05-01,13.0964,13.1340,12.9298,13.0319,358400
1998-05-04,12.9620,13.3329,12.9620,13.1985,926100
1998-05-05,12.8653,12.9620,12.8653,12.9620,714400
1998-05-06,13.0319,13.1663,12.8653,12.9997,849900
