Date,Open,High,Low,Close,Volume
2019-05-10,42.0000,45.0000,41.0600,41.5700,186254638
2019-05-13,38.7900,39.2400,36.0800,37.1000,79442420
2019-05-14,38.3100,39.9600,36.8500,39.9600,46607888
2019-05-15,39.3700,41.8800,38.9500,41.2900,36071760
2019-05-16,41.4800,44.0600,41.2500,43.0000,38093776
2019-05-17,41.9800,43.2900,41.2700,41.9100,20225687
2019-05-20,41.1900,41.6800,39.4600,41.5900,29208382
2019-05-21,42.0000,42.2400,41.2500,41.5000,10802851
2019-05-22,41.0500,41.2800,40.5000,41.2500,9075151
2019-05-23,40.8000,41.0900,40.0200,40.4700,11101276
2019-05-24,41.2800,41.5100,40.5000,41.5100,8780651
2019-05-28,41.7000,41.8000,40.6000,40.9500,13391605
2019-05-29,40.5200,40.7100,39.1473,39.9400,14060447
2019-05-30,40.0700,40.3800,39.5000,39.8000,26314878
2019-05-31,41.1500,41.5700,39.4100,40.4100,23198165
2019-06-03,40.7435,41.8500,40.2400,41.2500,16590425
2019-06-04,42.5600,42.8800,40.7000,42.7500,23415522
2019-06-05,42.8700,45.6600,42.5000,45.0000,28609604
2019-06-06,45.0000,45.7500,44.2800,44.9200,16387509
2019-06-07,44.9200,45.6700,44.1300,44.1600,12624757
2019-06-10,44.0200,44.5900,42.5300,42.6100,11610634
2019-06-11,43.2200,43.6500,41.8000,42.4500,9090029
2019-06-12,42.5200,42.6500,41.7100,42.1700,5958515
2019-06-13,43.0500,44.3500,42.8000,44.3100,10122699
2019-06-14,44.7500,44.8000,43.1100,43.2300,7902223
2019-06-17,43.2800,44.0790,42.9300,43.7800,6550494
2019-06-18,44.3000,44.8900,43.7500,43.8600,7310970
2019-06-19,44.4600,45.5000,43.9500,44.8600,10311824
2019-06-20,45.0300,45.2900,43.5100,43.8600,9552136
2019-06-21,43.8500,44.1400,43.3800,44.0000,4973987
2019-06-24,44.0000,44.0700,42.8200,43.0900,5981989
2019-06-25,43.2800,43.7900,42.4431,43.0900,5753367
2019-06-26,43.2500,43.4000,42.3600,42.5000,8109056
2019-06-27,43.3500,45.3000,43.2000,45.1300,20141210
2019-06-28,45.1000,47.0800,45.0800,46.3800,28645240
2019-07-01,46.9800,47.0400,44.0600,44.2700,17676999
2019-07-02,44.5500,44.6800,43.7500,44.0000,11881274
2019-07-03,44.0000,44.4600,43.7900,44.2300,3380003
2019-07-05,44.3100,44.5500,43.0100,43.5300,8238715
2019-07-08,43.5900,43.8500,42.7500,42.9500,9304101
2019-07-09,43.1800,44.2300,42.9800,44.2000,5247689
2019-07-10,44.4800,44.8000,43.5600,43.7000,9740956
2019-07-11,44.1000,44.2900,43.3100,43.9900,8041197
2019-07-12,44.1600,44.2400,43.3900,43.9900,8744144
2019-07-15,44.2000,44.7000,43.9700,44.5300,5811160
2019-07-16,44.6000,44.9800,44.0200,44.1300,5610638
2019-07-17,44.0600,44.3500,43.5200,43.6200,5847079
2019-07-18,43.5000,43.8500,43.1900,43.7100,4122506
2019-07-19,43.9000,44.0860,43.1600,43.1800,4014468
2019-07-22,43.2500,43.7200,43.0100,43.6900,3816116
2019-07-23,43.7500,44.3100,43.1100,43.3600,5108261
2019-07-24,43.3600,43.8700,43.3600,43.7600,3775677
2019-07-25,43.7200,43.9600,43.2100,43.4000,4408957
2019-07-26,43.4200,44.9600,43.3900,44.5200,7596118
2019-07-29,45.0000,45.6270,43.1200,43.8800,8644502
2019-07-30,43.7100,43.7400,42.4900,42.5900,7680718
2019-07-31,42.6000,42.9800,41.8400,42.1400,5970774
2019-08-01,42.1400,42.5355,41.0000,41.3100,7347629
2019-08-02,41.0300,41.0600,39.9500,40.4000,8225677
2019-08-05,39.3500,39.4200,38.4325,39.0500,9781153
2019-08-06,39.6800,40.8080,38.3600,39.1500,8567849
2019-08-07,39.0600,39.9900,38.3200,39.7000,8870789
2019-08-08,41.9800,43.0000,41.2500,42.9700,29511022
2019-08-09,39.5600,40.6800,38.7100,40.0500,35118199
2019-08-12,39.8300,39.9500,37.0000,37.0000,25890804
2019-08-13,37.0000,37.4600,36.1200,36.4500,19025452
2019-08-14,36.0000,36.2999,33.3600,33.9600,24462444
2019-08-15,34.5200,34.5500,32.9200,33.2200,13265793
2019-08-16,33.4600,35.4800,33.4000,35.2300,13870802
2019-08-19,35.5300,35.8000,34.3700,34.6100,10849189
2019-08-20,34.4800,36.0700,34.3900,35.2900,10762902
2019-08-21,35.5000,35.8300,34.7500,34.9100,7933398
2019-08-22,34.8000,34.9100,33.5200,34.0000,8514098
2019-08-23,33.6500,34.2300,33.1200,33.4300,8181962
2019-08-26,33.6700,33.8300,33.0600,33.3100,5666530
2019-08-27,33.6900,34.2400,32.9800,33.1100,6596129
2019-08-28,32.5600,33.0500,32.2600,32.5900,6261038
2019-08-29,32.9000,33.3000,32.6000,32.7600,5798938
2019-08-30,33.0000,33.1300,32.0400,32.5700,6634224
2019-09-03,32.1000,32.5300,30.6650,30.7000,12180380
2019-09-04,30.9100,32.3600,30.8500,31.9900,10361778
2019-09-05,32.3300,33.0300,32.2500,32.5100,7936141
2019-09-06,32.7100,32.7400,31.4100,31.8600,7029647
2019-09-09,32.0500,32.3900,31.4600,32.2400,7442584
2019-09-10,32.0000,33.7400,31.6500,33.5100,10801078
2019-09-11,33.3800,35.1400,33.0200,34.0000,14686189
2019-09-12,34.1400,34.4862,33.3300,34.0700,7732741
2019-09-13,34.2500,34.4350,32.9400,33.2500,9424110
2019-09-16,33.6000,34.8000,33.4700,34.4300,7957773
2019-09-17,34.7500,34.7500,33.5500,34.2900,5587663
2019-09-18,34.3500,34.8900,33.7500,34.2600,6624182
2019-09-19,34.2000,34.6400,33.6800,33.8200,6883131
2019-09-20,33.9800,34.2173,32.5000,32.6000,12019322
2019-09-23,32.5200,33.0100,32.0600,33.0000,5518477
2019-09-24,33.0000,33.1453,31.0100,31.3000,10619428
2019-09-25,31.2700,31.7200,30.7600,31.6800,7877219
2019-09-26,31.7200,32.1300,31.1300,31.5700,6061897
2019-09-27,31.7100,31.9000,30.1300,30.2900,11872338
2019-09-30,30.4000,30.7350,30.1700,30.4700,5016791
2019-10-01,30.3700,30.5100,28.6500,29.1500,13432250
2019-10-02,28.6700,29.5500,28.3100,29.0000,9367609
2019-10-03,28.9700,29.8800,28.5200,29.7200,9459343
2019-10-04,29.9000,30.1800,28.9000,29.6700,8632493
2019-10-07,30.6000,30.7500,29.8300,30.3700,10144841
2019-10-08,30.0100,30.1500,29.1700,29.2800,7792658
2019-10-09,29.6200,29.6200,28.8100,29.0700,7127738
2019-10-10,29.2100,29.2800,28.5800,28.8700,7776421
2019-10-11,28.9500,30.4000,28.9400,30.1300,10292793
2019-10-14,30.2200,31.5400,29.8186,31.1200,7965440
2019-10-15,31.2000,32.1700,31.1950,32.0000,7903860
2019-10-16,31.8000,32.3800,31.4376,31.8700,7799878
2019-10-17,31.8000,32.9300,31.4500,32.6200,7238010
2019-10-18,32.5500,32.6600,31.2700,32.0600,8073092
2019-10-21,31.9500,32.2828,31.1850,31.4100,7226900
2019-10-22,31.4100,33.8900,30.2200,32.5300,19242183
2019-10-23,32.8700,33.2700,32.1700,33.0500,6833480
2019-10-24,33.0000,33.4200,32.5100,33.2800,6789028
2019-10-25,33.2000,33.4800,32.6100,32.7100,8102136
2019-10-28,32.9000,33.3550,32.5000,33.2200,7586889
2019-10-29,32.3700,32.9200,31.8146,32.4200,9338079
2019-10-30,32.5100,33.8000,32.1100,33.7500,10837750
2019-10-31,33.2300,33.3600,31.2600,31.5000,16124616
2019-11-01,31.4500,31.7000,30.7412,31.3700,10449315
2019-11-04,31.4500,31.7500,30.1200,31.0800,31914952
2019-11-05,29.1300,29.3000,27.9700,28.0200,52114741
2019-11-06,26.0600,27.5500,25.5800,26.9400,133538940
2019-11-07,26.8000,27.4200,26.4500,27.3800,65927562
