Date,Close,Volume,Open,High,Low
11/25/2024,14.79,11781630,14.98,15.4399,14.7206
11/22/2024,14.31,14878990,14.29,14.42,14.07
11/21/2024,15.15,11904810,15.39,15.52,14.81
11/20/2024,14.75,13846270,14.35,14.82,14.24
11/19/2024,13.87,8884403,13.79,14.18,13.705
11/18/2024,13.75,8381096,13.48,13.82,13.475
11/15/2024,13.37,7318165,13.1,13.42,13.0732
11/14/2024,13.15,8651354,13.79,13.9015,13.12
11/13/2024,14.11,9264042,13.49,14.14,13.43
11/12/2024,13.66,9680426,13.66,14.1385,13.4299
11/11/2024,13.8,13101920,13.68,13.88,13.56
11/08/2024,12.53,6011471,12.75,12.89,12.4102
11/07/2024,12.66,7980957,12.62,12.76,12.48
11/06/2024,12.87,7324749,12.79,13.115,12.68
11/05/2024,12.53,8676378,13.1,13.13,12.4427
11/04/2024,13.06,10459420,12.58,13.105,12.53
11/01/2024,12.48,7921995,12.72,12.7767,12.35
10/31/2024,12.71,12949420,12.97,13.07,12.61
10/30/2024,13.23,7399740,13.11,13.4393,13.05
10/29/2024,13.41,6109153,13.44,13.5497,13.2401
10/28/2024,13.34,11750290,13.43,13.5499,13.14
10/25/2024,14.45,6217889,14.1,14.535,14.02
10/24/2024,14.32,8660836,13.89,14.35,13.61
10/23/2024,13.82,7599923,13.51,13.965,13.395
10/22/2024,13.5,8756964,13.28,13.68,13.26
10/21/2024,13.25,6271564,13.12,13.275,13.09
10/18/2024,13.03,6993886,13.1,13.126,12.95
10/17/2024,13.31,5290686,13.55,13.649,13.2657
10/16/2024,13.44,8522250,13.77,13.79,13.3475
10/15/2024,14.01,4195181,14.22,14.355,13.9938
10/14/2024,13.99,5819824,14.35,14.41,13.98
10/11/2024,14.8,3820168,14.97,15.025,14.72
10/10/2024,15.13,5696499,14.74,15.185,14.63
10/09/2024,14.86,5305482,15.18,15.32,14.82
10/08/2024,15.25,4643188,15.43,15.6,15.23
10/07/2024,15.38,5846822,15.66,15.6701,15.22
10/04/2024,15.94,6125164,16.33,16.435,15.93
10/03/2024,16.68,5628926,16.64,16.8,16.475
10/02/2024,16.41,6496255,16.63,16.76,16.14
10/01/2024,16.37,6976805,16.25,16.53,16.05
09/30/2024,16.33,4405033,16.24,16.5742,16.21
09/27/2024,16.37,9982011,15.89,16.45,15.84
09/26/2024,15.47,7273373,16.01,16.035,15.345
09/25/2024,15.85,5305735,16.02,16.09,15.71
09/24/2024,15.81,5523810,15.88,16.08,15.605
09/23/2024,16.09,8030457,15.57,16.1,15.53
09/20/2024,15.34,6978556,14.57,15.4,14.51
09/19/2024,14.61,5843323,14.21,14.6199,14.08
09/18/2024,14.44,3834659,14.81,14.8195,14.375
09/17/2024,14.64,3924967,15.09,15.165,14.62
09/16/2024,14.86,4081766,14.36,14.985,14.33
09/13/2024,14.49,4517534,14.93,15,14.44
09/12/2024,14.83,5360459,14.09,15.03,14.04
09/11/2024,14.25,5735075,14.28,14.5958,14.16
09/10/2024,14.07,5551897,14.03,14.16,13.7901
09/09/2024,13.48,6567861,13.89,13.91,13.45
09/06/2024,14.32,4634085,14.21,14.37,14.02
09/05/2024,14.18,8653491,13.81,14.34,13.8
09/04/2024,13.46,4529403,14.02,14.0699,13.385
09/03/2024,13.89,7417936,13.21,13.96,13.03
08/30/2024,13.37,7076525,13.33,13.52,13.14
08/29/2024,13.43,8137712,12.75,13.47,12.71
08/28/2024,13.2,9308813,12.87,13.4144,12.755
08/27/2024,13.08,7738489,13.131,13.165,12.835
08/26/2024,13.33,7942522,13.54,13.705,13.26
08/23/2024,13.72,4328604,13.54,13.7351,13.53
08/22/2024,13.81,9987347,14.13,14.2,13.58
08/21/2024,14.56,4043988,14.59,14.695,14.245
08/20/2024,14.65,3978899,14.55,14.6756,14.43
08/19/2024,14.69,4987679,14.48,14.85,14.48
08/16/2024,14.07,4797425,14.33,14.415,14.01
08/15/2024,14.57,5999116,14.8,15.22,14.53
08/14/2024,14.74,6560889,14.73,15.07,14.565
08/13/2024,14.33,4345969,14.75,14.825,14.145
08/12/2024,14.4,5573246,14.61,14.74,14.27
08/09/2024,14.28,3717831,14.22,14.35,13.94
08/08/2024,14.18,7151119,13.57,14.42,13.4332
08/07/2024,13.86,4903298,13.78,14.0227,13.63
08/06/2024,13.32,5636067,13.29,13.445,12.973
08/05/2024,12.94,7359049,12.86,13.055,12.575
08/02/2024,13.05,6404980,13.31,13.38,12.71
08/01/2024,13.09,10103490,13.97,14.06,13.01
07/31/2024,13.54,7292117,13.63,13.8001,13.3899
07/30/2024,14.01,5705053,13.26,14.115,13.2247
07/29/2024,13.59,9352017,13.51,13.68,13.23
07/26/2024,13.51,8509671,13.68,13.785,13.49
07/25/2024,13.75,8785424,14.01,14.17,13.65
07/24/2024,14.31,4630314,14.29,14.565,14.23
07/23/2024,14.86,3823996,14.89,14.95,14.6201
07/22/2024,15.01,6541812,14.75,15.205,14.74
07/19/2024,14.3,3667729,14.08,14.39,13.95
07/18/2024,14.11,6383253,13.92,14.35,13.8901
07/17/2024,13.74,10479300,14.23,14.25,13.58
07/16/2024,14.61,4602600,14.65,14.84,14.51
07/15/2024,14.48,8596803,14.85,15.028,14.3901
07/12/2024,15.5,4567879,15.21,15.73,15.1901
07/11/2024,15.22,4023920,15.32,15.415,15.14
07/10/2024,15.51,4097422,15.65,15.74,15.3434
07/09/2024,15.73,3852023,16.16,16.21,15.66
07/08/2024,15.86,3377375,15.83,15.965,15.69
07/05/2024,15.6,4583824,15.96,16.09,15.5
07/03/2024,16.35,3486787,16.25,16.58,16.12
07/02/2024,16.41,5401957,16.35,16.43,16.15
07/01/2024,16.57,4955638,17.08,17.215,16.5443
06/28/2024,17.43,5357809,17.92,17.99,17.34
06/27/2024,17.98,5931793,18.13,18.46,17.87
06/26/2024,18.31,4092304,18.79,18.79,18.26
06/25/2024,18.99,3620137,19.17,19.49,18.92
06/24/2024,19.7,3462669,18.96,19.73,18.92
06/21/2024,18.96,3505818,19.11,19.2899,18.88
06/20/2024,19.03,4698094,19.45,19.465,18.93
06/18/2024,19.94,4244717,19.23,20.01,19.23
06/17/2024,19.16,4276117,19.31,19.37,18.955
06/14/2024,19.86,3853747,20.18,20.37,19.71
06/13/2024,20.11,5317910,20.6,20.72,19.89
06/12/2024,20.83,5717964,21.02,21.39,20.53
06/11/2024,21.53,7231556,20.82,21.56,20.585
06/10/2024,20.19,12210500,20.91,21.16,19.62
06/07/2024,20.18,11183840,19.44,20.3254,19.33
06/06/2024,19.3,8101310,19.47,19.7,18.76
06/05/2024,18.94,7359192,18.2,19.0899,18.15
06/04/2024,18.02,9818105,18.65,18.84,17.63
06/03/2024,18.92,8803528,18.71,18.995,18
05/31/2024,17.59,9163603,17.74,17.96,17.39
05/30/2024,17.56,6480293,17.79,18,17.54
05/29/2024,18.22,6800033,18.87,18.88,18.18
05/28/2024,19.36,5036406,18.91,19.4665,18.773
05/24/2024,19.02,7827125,19.62,19.62,18.92
05/23/2024,20.12,19459520,21.43,21.61,19.81
05/22/2024,20.55,11201560,19.6,20.91,19.5
05/21/2024,19.49,7278543,19.57,19.9009,19.16
05/20/2024,19.82,9304681,19.26,19.865,19.26
05/17/2024,19.1,7106200,18.58,19.19,18.58
05/16/2024,18.17,12255230,18.04,18.755,17.89
05/15/2024,17.6,7566758,17.09,17.73,16.93
05/14/2024,17.17,6484441,17.1,17.53,17
05/13/2024,17.31,6564782,16.68,17.44,16.6699
05/10/2024,16.52,4684704,16.7,16.815,16.455
05/09/2024,16.92,8773208,16.26,16.94,16.23
05/08/2024,15.95,5676050,16.34,16.381,15.85
05/07/2024,16.17,5054830,16.01,16.2501,15.91
05/06/2024,16.06,8740802,16.17,16.53,15.99
05/03/2024,15.67,11410280,15.07,15.7847,14.8731
05/02/2024,14.86,7709392,14.44,14.975,14.4
05/01/2024,14.14,7019894,14.19,14.26,13.98
04/30/2024,14.44,7738315,14.97,14.99,14.31
04/29/2024,14.91,10053740,14.309,14.9682,14.292
04/26/2024,14.06,7256948,14.13,14.24,13.95
04/25/2024,14.37,5896823,14.27,14.5442,14.11
04/24/2024,14.36,8950974,14.9,14.94,14.3173
04/23/2024,15.44,5497055,14.94,15.5,14.93
04/22/2024,15.04,6189361,14.89,15.09,14.78
04/19/2024,14.52,6256852,14.71,14.8,14.38
04/18/2024,14.42,7205227,14.47,14.6,14.34
04/17/2024,14.38,5735419,14.16,14.395,13.98
04/16/2024,14.48,13329070,14.15,15,13.865
04/15/2024,14.14,9363011,14.41,14.585,14.073
04/12/2024,14.89,4676385,14.68,14.895,14.62
04/11/2024,14.85,9391960,15.37,15.39,14.695
04/10/2024,15.67,5986002,15.98,16.04,15.63
04/09/2024,15.85,7835751,15.86,16.085,15.43
04/08/2024,15.41,5459266,15.1,15.47,15.045
04/05/2024,14.87,5235932,14.91,15.245,14.82
04/04/2024,14.9,8334318,15.39,15.405,14.8
04/03/2024,15.46,5600097,15.86,15.86,15.35
04/02/2024,15.48,5999172,15.11,15.725,15.06
04/01/2024,15.39,8293010,15.27,15.49,15.07
03/28/2024,14.57,8144457,14.57,14.92,14.365
03/27/2024,14.35,7758726,14.45,14.5,14.25
03/26/2024,14.96,5762270,15.09,15.145,14.84
03/25/2024,15.04,4823059,14.99,15.1999,14.89
03/22/2024,15.11,3657068,15.01,15.228,14.98
03/21/2024,15.32,5399757,15.32,15.3801,15.03
03/20/2024,15.37,4423066,15.35,15.53,15.31
03/19/2024,15.64,4416397,15.6,15.77,15.3801
03/18/2024,15.34,5285905,15.5,15.57,15.04
03/15/2024,15.13,6186040,15.41,15.435,14.875
03/14/2024,15.57,6018113,15,15.776,14.95
03/13/2024,14.91,6425999,14.89,15.2,14.83
03/12/2024,15.31,6887731,16.06,16.08,15.14
03/11/2024,15.69,4374471,15.95,15.955,15.675
03/08/2024,16.13,4150226,16.13,16.431,16.01
03/07/2024,16.03,6188898,17,17.29,16
03/06/2024,17.29,3053055,17.61,17.6203,17.19
03/05/2024,17.51,5365961,17.21,17.9555,16.96
03/04/2024,17.3,9923390,17.36,17.77,17.015
