Date,Close,Volume,Open,High,Low
11/25/2024,62.76,891198,66.00,66.00,62.55
11/22/2024,65.30,604640,67.09,68.08,64.6793
11/21/2024,67.84,1116044,69.15,71.28,63.49
11/20/2024,66.70,1038245,67.86,67.86,64.4001
11/19/2024,67.87,812520,64.63,67.90,64.46
11/18/2024,64.36,713756,63.59,65.08,61.90
11/15/2024,64.61,1018532,67.19,67.34,63.46
11/14/2024,69.37,743838,70.50,71.05,68.68
11/13/2024,69.48,737293,71.55,71.82,69.06
11/12/2024,71.69,750302,71.53,72.80,69.90
11/11/2024,70.94,870122,73.85,73.895,69.55
11/08/2024,73.81,596255,74.34,75.35,72.67
11/07/2024,74.93,591857,73.12,74.94,73.00
11/06/2024,71.855,990018,70.00,72.3143,68.855
11/05/2024,66.825,538402,64.55,66.875,64.55
11/04/2024,63.875,679902,64.535,66.2775,63.50
11/01/2024,63.795,820084,63.22,65.225,62.97
10/31/2024,61.905,1346726,66.46,66.46,61.34
10/30/2024,67.995,760134,68.50,69.00,66.54
10/29/2024,70.905,687512,68.59,71.655,67.74
10/28/2024,68.65,553022,70.08,70.08,68.50
10/25/2024,69.16,2387238,69.03,71.59,68.995
10/24/2024,68.075,557726,68.37,68.67,66.80
10/23/2024,67.30,902304,69.44,69.595,65.625
10/22/2024,70.525,780768,70.19,71.05,69.225
10/21/2024,70.84,849458,67.67,70.875,67.67
10/18/2024,67.92,504772,69.07,69.07,67.385
10/17/2024,67.44,1394968,69.805,70.50,67.38
10/16/2024,66.25,764764,66.19,66.93,63.955
10/15/2024,64.105,1193544,70.45,71.1125,62.815
10/14/2024,70.975,689080,69.65,71.9377,69.555
10/11/2024,68.225,455242,67.205,68.70,67.00
10/10/2024,68.305,594448,66.335,68.75,65.80
10/09/2024,67.47,761676,67.44,67.665,65.2707
10/08/2024,66.70,987906,64.375,67.225,63.9205
10/07/2024,63.235,857646,61.485,65.125,61.485
10/04/2024,62.035,685674,62.28,62.28,59.6916
10/03/2024,59.94,742318,58.22,61.4832,58.22
10/02/2024,57.745,488714,55.865,58.575,55.025
10/01/2024,55.865,1077278,60.005,60.4267,55.025
09/30/2024,59.955,480364,58.14,60.0849,58.00
09/27/2024,60.295,505442,63.07,63.07,59.0442
09/26/2024,62.74,1175854,64.545,65.05,60.6475
09/25/2024,60.81,978150,59.41,61.77,59.41
09/24/2024,59.08,911736,56.63,59.66,55.62
09/23/2024,56.25,461380,56.14,56.55,55.06
09/20/2024,55.875,783862,56.315,57.02,54.5151
09/19/2024,57.075,1382124,56.60,58.525,56.30
09/18/2024,52.85,1240352,54.88,56.49,52.725
09/17/2024,54.325,756942,56.22,56.60,53.56
09/16/2024,54.885,734518,54.78,55.815,53.125
09/13/2024,56.71,661028,56.225,57.125,55.385
09/12/2024,55.915,1588348,54.715,57.054,53.1801
09/11/2024,54.515,2064924,49.005,54.835,47.32
09/10/2024,48.245,1187202,47.50,48.3925,45.82
09/09/2024,46.765,968104,45.85,46.785,44.70
09/06/2024,44.415,1297298,48.09,48.255,43.381
09/05/2024,48.84,644624,47.265,50.74,47.265
09/04/2024,48.855,1213372,47.51,51.145,47.00
09/03/2024,49.375,1952584,56.61,56.61,48.6075
08/30/2024,59.185,806982,58.99,60.4372,57.22
08/29/2024,56.815,1280920,59.445,61.625,56.255
08/28/2024,61.16,1081574,63.365,63.8875,59.13
08/27/2024,63.775,964974,61.24,64.385,59.95
08/26/2024,62.27,1187192,65.05,66.4338,61.0384
08/23/2024,65.415,1394610,63.21,66.0498,62.595
08/22/2024,61.185,1872738,67.185,67.785,60.72
08/21/2024,65.75,828842,64.58,66.40,64.0601
08/20/2024,64.33,1088292,65.52,66.625,63.195
08/19/2024,66.55,1361828,62.39,66.58,61.355
08/16/2024,62.75,924160,60.98,63.0859,60.275
08/15/2024,61.875,1872000,58.52,62.335,57.765
08/14/2024,56.935,1273976,57.50,57.84,54.255
08/13/2024,56.075,1694686,53.325,56.075,52.205
08/12/2024,50.55,974952,48.935,51.8603,48.795
08/09/2024,48.36,1209880,48.055,49.1673,46.94
08/08/2024,48.465,2360412,45.62,48.61,42.785
08/07/2024,42.965,2354646,50.00,50.69,42.755
08/06/2024,46.825,1727146,46.605,49.59,44.645
08/05/2024,45.10,2666912,38.35,47.51,38.00
08/02/2024,48.97,2885884,47.565,50.375,45.445
08/01/2024,52.765,4768880,60.03,62.015,50.585
07/31/2024,61.035,1838040,58.485,61.60,56.59
07/30/2024,51.035,2105686,57.50,57.775,50.175
07/29/2024,57.015,722464,58.795,61.00,56.775
07/26/2024,58.09,807974,59.815,59.815,56.855
07/25/2024,56.755,2567408,58.00,60.55,52.665
07/24/2024,58.99,2167626,64.43,64.915,58.48
07/23/2024,67.24,851994,66.90,68.71,66.7875
07/22/2024,68.30,2057350,65.56,68.395,65.00
07/19/2024,63.14,1143904,66.39,66.885,62.7351
07/18/2024,66.86,1838004,68.05,68.05,63.0216
07/17/2024,64.42,2054406,69.25,69.56,64.40
07/16/2024,74.89,837510,76.255,76.55,72.67
07/15/2024,76.02,864656,77.41,78.245,74.7687
07/12/2024,76.165,1028090,75.385,79.05,74.475
07/11/2024,74.71,2147138,82.93,82.93,73.83
07/10/2024,81.52,908816,80.40,81.995,79.0645
07/09/2024,78.275,1280106,77.865,80.0915,76.00
07/08/2024,76.06,709326,74.83,77.425,74.625
07/05/2024,73.365,998046,74.965,76.055,73.00
07/03/2024,74.775,749586,69.88,74.975,69.78
07/02/2024,70.29,859402,68.09,70.30,68.04
07/01/2024,70.295,839358,69.695,70.615,65.96
06/28/2024,69.56,931742,70.145,73.46,68.94
06/27/2024,69.11,801768,69.79,71.25,68.27
06/26/2024,71.205,1155012,71.04,72.6993,68.39
06/25/2024,71.12,1253234,68.15,71.30,66.5463
06/24/2024,66.215,1985020,70.54,71.6725,66.005
06/21/2024,73.295,1408184,74.40,76.60,71.34
06/20/2024,77.06,1966736,84.885,85.065,75.715
06/18/2024,82.295,1070990,79.00,82.85,78.825
06/17/2024,78.925,1106708,79.18,79.84,76.34
06/14/2024,77.73,1020568,75.685,78.025,74.80
06/13/2024,75.915,929492,75.50,76.47,73.9455
06/12/2024,71.505,942628,69.69,72.2975,69.445
06/11/2024,67.255,470028,67.41,67.885,65.265
06/10/2024,67.435,812778,65.305,68.53,64.0555
