Date,Open,High,Low,Close,Volume
1990-03-26,1.0063,1.0063,1.0063,1.0063,500
1990-03-27,1.0063,1.0063,1.0063,1.0063,0
1990-03-28,1.0063,1.0063,1.0063,1.0063,0
1990-03-29,1.1039,1.1039,1.1039,1.1039,1500
1990-03-30,1.1023,1.1023,1.1023,1.1023,0
1990-04-02,1.0063,1.0837,1.0063,1.0063,21000
1990-04-03,1.0063,1.0063,1.0063,1.0063,13500
1990-04-04,1.1039,1.1039,1.1039,1.1039,1000
1990-04-05,1.1023,1.1023,1.1023,1.1023,0
1990-04-06,1.0063,1.1039,1.0063,1.1039,1000
1990-04-09,1.0063,1.0063,1.0063,1.0063,500
1990-04-10,1.0063,1.0837,1.0063,1.0837,17000
1990-04-11,1.0837,1.0837,1.0837,1.0837,0
1990-04-12,1.0063,1.0837,1.0063,1.0837,13000
1990-04-16,1.0837,1.0837,1.0837,1.0837,0
1990-04-17,1.0837,1.0837,1.0837,1.0837,1500
1990-04-18,1.0837,1.0837,1.0837,1.0837,1500
1990-04-19,1.0837,1.0837,1.0837,1.0837,0
1990-04-20,1.0837,1.0837,1.0837,1.0837,0
1990-04-23,1.0837,1.0837,1.0837,1.0837,0
1990-04-24,1.0837,1.0837,1.0837,1.0837,0
1990-04-25,1.0063,1.0063,1.0063,1.0063,2000
1990-04-26,1.0063,1.0063,1.0063,1.0063,0
1990-04-27,1.0063,1.0063,1.0063,1.0063,24500
1990-04-30,1.0063,1.0063,1.0063,1.0063,0
1990-05-01,1.0063,1.0063,1.0063,1.0063,2000
1990-05-02,1.0063,1.0063,1.0063,1.0063,0
1990-05-03,1.0063,1.0063,1.0063,1.0063,7500
1990-05-04,1.0063,1.0063,1.0063,1.0063,1000
1990-05-07,1.0063,1.0265,0.9676,1.0265,34500
1990-05-08,0.9289,0.9877,0.9289,0.9877,32500
1990-05-09,0.9289,0.9289,0.9289,0.9289,1500
1990-05-10,0.9289,0.9289,0.9289,0.9289,0
1990-05-11,0.9289,0.9289,0.9289,0.9289,0
1990-05-14,0.9289,0.9289,0.9289,0.9289,7000
1990-05-15,0.9289,0.9289,0.9289,0.9289,0
1990-05-16,0.9289,0.9289,0.8902,0.9289,10000
1990-05-17,0.9676,0.9676,0.8515,0.8515,55500
1990-05-18,0.8902,0.9289,0.8515,0.8515,48500
1990-05-21,0.8515,0.8716,0.8515,0.8515,101000
1990-05-22,0.9289,0.9490,0.8515,0.8515,52500
1990-05-23,0.9289,0.9289,0.9289,0.9289,37500
1990-05-24,0.9490,0.9490,0.9490,0.9490,5000
1990-05-25,0.8515,0.8515,0.8515,0.8515,1000
1990-05-29,0.8515,0.8716,0.8515,0.8716,8000
1990-05-30,0.9490,0.9490,0.9490,0.9490,2500
1990-05-31,0.9475,0.9475,0.9475,0.9475,0
1990-06-01,0.8515,0.8515,0.8515,0.8515,1000
1990-06-04,0.9490,0.9490,0.9490,0.9490,2500
1990-06-05,0.9475,0.9475,0.9475,0.9475,0
1990-06-06,0.9475,0.9475,0.9475,0.9475,0
1990-06-07,0.9490,0.9490,0.9490,0.9490,1000
1990-06-08,0.8515,0.8515,0.8515,0.8515,2000
1990-06-11,0.8515,0.8515,0.8515,0.8515,0
1990-06-12,0.8515,0.8515,0.8515,0.8515,0
1990-06-13,0.8515,0.8515,0.8515,0.8515,3000
1990-06-14,0.8515,0.8515,0.8515,0.8515,0
1990-06-15,0.9490,0.9490,0.9490,0.9490,2000
1990-06-18,0.9475,0.9475,0.9475,0.9475,0
1990-06-19,0.9475,0.9475,0.9475,0.9475,0
1990-06-20,0.8515,0.8515,0.8515,0.8515,500
1990-06-21,0.8515,0.8515,0.8515,0.8515,0
1990-06-22,0.8515,0.8515,0.8515,0.8515,0
1990-06-25,0.8515,0.9490,0.8515,0.8515,2500
1990-06-26,0.9490,0.9490,0.9490,0.9490,5000
1990-06-27,0.9475,0.9475,0.9475,0.9475,0
1990-06-28,0.9475,0.9475,0.9475,0.9475,0
1990-06-29,0.8902,0.8902,0.8902,0.8902,5000
1990-07-02,0.8515,0.8515,0.8515,0.8515,5000
1990-07-03,0.8716,0.9490,0.8329,0.8329,17000
1990-07-05,0.8329,0.8329,0.8329,0.8329,1500
1990-07-06,0.8329,0.9103,0.8329,0.9103,41500
1990-07-09,0.8329,0.8329,0.8329,0.8329,2000
1990-07-10,0.8329,0.8329,0.8329,0.8329,0
1990-07-11,0.8329,0.8329,0.8329,0.8329,0
1990-07-12,0.8329,0.8515,0.8329,0.8515,25000
1990-07-13,0.9289,0.9289,0.8329,0.8902,35000
1990-07-16,0.8329,0.8329,0.8128,0.8329,39000
1990-07-17,0.8128,0.8128,0.8128,0.8128,1500
1990-07-18,0.8128,0.8902,0.8128,0.8716,36000
1990-07-19,0.8701,0.8701,0.8701,0.8701,0
1990-07-20,0.7741,0.7741,0.7741,0.7741,3500
1990-07-23,0.7741,0.7741,0.7741,0.7741,4500
1990-07-24,0.7741,0.7741,0.7741,0.7741,0
1990-07-25,0.7741,0.7741,0.7741,0.7741,0
1990-07-26,0.7741,0.7741,0.7741,0.7741,1000
1990-07-27,0.7741,0.7741,0.7741,0.7741,0
1990-07-30,0.7741,0.7741,0.7741,0.7741,0
1990-07-31,0.7741,0.7741,0.7741,0.7741,0
1990-08-01,0.7741,0.7741,0.7741,0.7741,34500
1990-08-02,0.8515,0.8515,0.7741,0.7741,35000
1990-08-03,0.7741,0.7942,0.7354,0.7354,47500
1990-08-06,0.8128,0.8128,0.8128,0.8128,12500
1990-08-07,0.8128,0.8128,0.8128,0.8128,0
1990-08-08,0.8128,0.8128,0.8128,0.8128,1000
1990-08-09,0.8128,0.8128,0.8128,0.8128,0
1990-08-10,0.6967,0.6967,0.6967,0.6967,500
1990-08-13,0.6967,0.6967,0.6967,0.6967,1500
1990-08-14,0.6967,0.6967,0.6967,0.6967,0
1990-08-15,0.6967,0.6967,0.6967,0.6967,0
1990-08-16,0.7942,0.7942,0.6967,0.7741,13000
1990-08-17,0.7741,0.7741,0.7741,0.7741,0
1990-08-20,0.7741,0.7741,0.7741,0.7741,0
1990-08-21,0.6967,0.6967,0.6967,0.6967,8500
