Date,Open,High,Low,Close,Volume
2008-03-19,13.2407,15.3548,12.2393,12.5731,708486000
2008-03-20,13.0115,14.4647,12.7957,14.3200,198985200
2008-03-24,14.9631,15.0655,13.1295,13.2919,149566400
2008-03-25,13.4922,14.2978,13.3119,14.0752,87092000
2008-03-26,13.9083,14.3489,13.7014,14.2332,43111600
2008-03-27,14.2532,14.4068,13.9417,13.9996,39829600
2008-03-28,14.0418,14.1175,13.8327,13.9662,24675200
2008-03-31,13.9528,14.1264,13.8082,13.8772,22157200
2008-04-01,14.0196,14.1709,13.4210,13.7103,60410800
2008-04-02,13.7503,13.8683,13.4633,13.8683,43836400
2008-04-03,13.7815,14.7517,13.7570,14.5759,100868000
2008-04-04,14.4357,14.5359,14.1865,14.3489,36394400
2008-04-07,14.4691,14.6427,14.2466,14.4736,28301600
2008-04-08,14.5092,15.1857,14.4224,15.1523,53925600
2008-04-09,15.2101,15.2925,14.6004,14.6405,48324400
2008-04-10,14.8363,14.8496,14.4891,14.7117,22372000
2008-04-11,14.5203,14.8585,14.5203,14.7117,26421600
2008-04-14,14.9053,14.9631,14.5826,14.6160,28443600
2008-04-15,14.8074,14.8096,14.2421,14.3200,23888000
2008-04-16,14.4647,14.8986,14.3667,14.7183,25136800
2008-04-17,14.7918,15.0766,14.6894,14.9186,22459600
2008-04-18,15.1545,15.6768,14.9542,15.3548,104099600
2008-04-21,15.5106,16.1337,15.3214,15.7932,58848000
2008-04-22,16.0446,16.1114,15.5773,15.6396,47357600
2008-04-23,15.8332,15.9556,15.5083,15.5951,37319600
2008-04-24,15.8444,16.2427,15.5862,16.0891,38086800
2008-04-25,16.9125,16.9303,16.4474,16.7122,101460000
2008-04-28,16.9615,17.1996,16.6677,16.8302,132517200
2008-04-29,16.3072,17.9985,15.7999,17.9985,197308400
2008-04-30,18.0719,18.8730,18.0408,18.5704,147543600
2008-05-01,18.8441,19.5028,18.6705,19.0043,116395600
2008-05-02,19.4160,19.4716,18.0252,18.4146,136648800
2008-05-05,18.4369,19.0266,17.9851,18.9287,70377200
2008-05-06,19.0021,19.6163,18.8597,19.4783,75913200
2008-05-07,19.8032,19.9924,19.5073,19.6942,100464800
2008-05-08,19.9167,19.9723,19.1245,19.4271,92836400
2008-05-09,19.0867,19.2869,18.3634,18.4391,94312000
2008-05-12,18.6327,18.7996,17.3798,18.2255,147471600
2008-05-13,18.1921,18.5815,17.9785,18.3323,53249600
2008-05-14,18.5459,18.7707,18.1253,18.2989,51400400
2008-05-15,18.3479,18.4547,18.0497,18.3033,36688800
2008-05-16,18.4057,18.4369,18.0830,18.3301,34066800
2008-05-19,18.3167,18.8575,18.2811,18.5415,45473200
2008-05-20,18.4435,18.6572,18.2277,18.4124,40702000
2008-05-21,18.3323,18.5659,17.9184,17.9918,41831600
2008-05-22,17.9295,17.9362,16.9481,17.2040,85283600
2008-05-23,16.8658,17.2040,16.7167,16.9904,42196400
2008-05-27,17.1172,17.5668,16.5476,17.5223,62776400
2008-05-28,17.8672,18.2366,17.7025,18.2299,52996000
2008-05-29,18.5326,19.3493,18.4725,18.9709,100613200
2008-05-30,19.1401,19.4850,19.0956,19.2180,72016000
2008-06-02,19.1846,19.3493,18.8263,19.1534,36856000
2008-06-03,19.3626,19.5718,19.1445,19.4850,48411600
2008-06-04,19.3782,19.6052,18.9776,19.0221,40684400
2008-06-05,19.2402,19.4138,19.0466,19.4138,27059600
2008-06-06,19.1156,19.1356,18.5926,18.6149,41748000
2008-06-09,18.6928,18.9042,17.9273,18.2789,45240000
2008-06-10,17.8138,18.4413,17.7159,17.8716,36048400
2008-06-11,18.0252,18.0252,17.2686,17.2997,56996400
2008-06-12,17.5690,17.9740,17.4800,17.7047,44605600
2008-06-13,17.8360,18.2054,17.8360,18.1431,30689200
2008-06-16,18.1008,18.5815,18.0474,18.5303,34384000
2008-06-17,18.7150,18.9109,18.6216,18.8419,33277600
2008-06-18,18.6260,18.8486,18.5682,18.6616,33724000
2008-06-19,18.5771,18.7818,18.1632,18.7529,36925200
2008-06-20,18.5437,18.8040,18.4146,18.5971,42546800
2008-06-23,18.6505,18.7707,18.0296,18.0385,30141200
2008-06-24,17.8160,18.4569,17.4711,18.3946,49891200
2008-06-25,18.5504,18.7862,18.2166,18.2611,50711600
2008-06-26,17.9362,17.9673,17.3620,17.6024,76562800
2008-06-27,17.5356,18.4413,17.4800,18.3812,176022800
2008-06-30,18.2477,18.4346,17.8694,18.0942,49301200
2008-07-01,17.6246,18.1164,17.6246,18.1164,44921600
2008-07-02,18.2255,18.3367,17.6469,17.6736,33804000
2008-07-03,17.6602,17.7604,17.1907,17.3732,28738800
2008-07-07,17.4689,17.7893,16.4675,16.8280,79944400
2008-07-08,16.6655,17.6914,16.0780,17.5935,95796400
2008-07-09,17.5801,17.6024,16.7790,16.8836,55322000
2008-07-10,16.8591,17.2730,16.4430,17.1907,52812000
2008-07-11,16.8235,17.2352,16.4675,16.5898,54645200
2008-07-14,16.8235,16.9526,16.1337,16.1515,42679600
2008-07-15,15.8577,15.8688,14.9743,15.2257,84268800
2008-07-16,15.2057,16.1470,14.8007,16.0736,92448800
2008-07-17,16.4007,16.7033,15.8777,16.7033,67268800
2008-07-18,16.5209,16.5765,16.0491,16.3339,46632000
2008-07-21,16.4474,16.6766,15.9267,16.0001,52937200
2008-07-22,15.4883,16.5186,15.1100,16.4786,65408000
2008-07-23,16.3562,16.6900,16.1559,16.3006,49942800
2008-07-24,16.2271,16.4074,15.5684,15.5951,36625600
2008-07-25,15.6975,16.1003,15.3704,16.0135,38690800
2008-07-28,16.1136,16.3784,15.6330,15.6997,35699200
2008-07-29,15.8065,16.9058,15.8021,16.9058,49040400
2008-07-30,17.1907,17.5579,16.5275,17.4577,76089200
2008-07-31,16.9615,17.3910,15.9089,16.2583,148888800
2008-08-01,16.3117,16.4897,15.6552,15.9623,61715600
2008-08-04,15.9690,16.3784,15.9111,16.1337,42686000
2008-08-05,16.2894,16.5186,16.0936,16.3784,34354800
2008-08-06,16.2004,16.2026,15.8154,15.9067,40924000
2008-08-07,15.7509,15.8555,15.4304,15.4661,43847200
2008-08-08,15.5261,16.2115,15.3793,16.1559,36354400
2008-08-11,16.1203,17.0238,16.0113,16.6433,55289200
2008-08-12,16.5120,16.6455,16.1559,16.2004,33734400
