Date,Open,High,Low,Close,Volume
2018-07-30,9.6701,9.8695,9.6701,9.8197,329758
2018-07-31,9.8197,9.8197,9.8197,9.8197,8781
2018-08-01,9.9692,9.9692,9.9293,9.9493,80400
2018-08-02,9.9493,9.9593,9.9493,9.9593,21000
2018-08-03,9.9593,9.9593,9.9593,9.9593,0
2018-08-06,10.0589,10.0589,9.9194,9.9293,6600
2018-08-07,9.9194,9.9194,9.9194,9.9194,500
2018-08-08,9.9194,9.9194,9.9194,9.9194,40
2018-08-09,9.8695,9.8695,9.8695,9.8695,500
2018-08-10,9.8695,10.3281,9.8197,9.8197,4060
2018-08-13,9.8197,9.8745,9.7698,9.7798,710771
2018-08-14,10.7169,10.7369,9.7698,9.7698,50082
2018-08-15,9.8197,9.8496,9.8097,9.8197,524698
2018-08-16,9.8197,9.8297,9.8197,9.8297,22925
2018-08-17,9.7898,9.7997,9.7698,9.7997,402100
2018-08-20,9.7997,9.7997,9.7997,9.7997,0
2018-08-21,9.7698,9.7698,9.7698,9.7698,2100
2018-08-22,9.8047,9.8047,9.7698,9.7698,24825
2018-08-23,9.7798,9.8197,9.7200,9.7798,334302
2018-08-24,9.7698,9.7698,9.7698,9.7698,100000
2018-08-27,9.7698,9.7698,9.7200,9.7200,2381009
2018-08-28,9.7300,9.7300,9.6901,9.7200,685101
2018-08-29,9.7670,9.7698,9.7399,9.7698,52564
2018-08-30,9.7698,9.7698,9.7698,9.7698,300
2018-08-31,9.7200,9.7698,9.7001,9.7001,10605
2018-09-04,9.7599,9.7599,9.7599,9.7599,105
2018-09-05,9.7200,9.7698,9.7200,9.7698,2145
2018-09-06,9.7698,9.7698,9.7698,9.7698,3800
2018-09-07,9.7499,9.7499,9.7499,9.7499,4300
2018-09-10,9.7200,9.8396,9.7200,9.8396,125104
2018-09-11,9.7200,9.7200,9.7100,9.7200,179750
2018-09-12,9.7200,9.7698,9.7200,9.7698,483000
2018-09-13,9.7698,9.7698,9.7698,9.7698,10
2018-09-14,9.7046,9.7698,9.7046,9.7698,600
2018-09-17,9.8097,9.8097,9.7200,9.7200,264619
2018-09-18,9.7399,9.7399,9.7200,9.7399,7207
2018-09-19,9.7499,9.8097,9.7399,9.7499,280828
2018-09-20,9.7200,9.7499,9.7001,9.7001,47902
2018-09-21,9.7200,9.7399,9.7200,9.7200,74312
2018-09-24,9.7499,9.7499,9.7399,9.7399,371
2018-09-25,9.7113,9.7399,9.7113,9.7399,47289
2018-09-26,9.7200,9.7200,9.7194,9.7194,2289
2018-09-27,9.7200,9.7399,9.7200,9.7200,8971
2018-09-28,9.7200,9.7399,9.7001,9.7200,65418
2018-10-01,9.7190,9.7200,9.6851,9.7200,8200
2018-10-02,9.7001,9.7300,9.6901,9.7001,359575
2018-10-03,9.7033,9.7033,9.7033,9.7033,840
2018-10-04,9.7100,9.7300,9.6901,9.7300,62808
2018-10-05,9.7300,9.7300,9.6901,9.6901,41310
2018-10-08,9.6901,9.7200,9.6901,9.7200,1984
2018-10-09,9.7499,9.7499,9.6901,9.6901,3300
2018-10-10,9.6901,9.7100,9.6701,9.7100,391323
2018-10-11,9.7100,9.7100,9.6751,9.7100,15941
2018-10-12,9.7001,9.7200,9.7001,9.7200,284376
2018-10-15,9.6701,9.7200,9.6701,9.7001,6246
2018-10-16,9.7200,9.7200,9.6701,9.7100,10080
