Date,Open,High,Low,Close,Volume
2017-05-11,13.0031,13.2184,12.9170,13.1926,3080376
2017-05-12,13.2184,13.6318,13.2012,13.4165,972725
2017-05-15,13.3820,13.5801,13.3477,13.5457,692640
2017-05-16,13.5801,13.7782,13.2529,13.2787,1235828
2017-05-17,13.3218,13.4940,12.9429,12.9945,1080933
2017-05-18,13.0462,13.0462,12.6501,12.7448,1413558
2017-05-19,13.1323,13.1754,12.4865,12.9515,5709753
2017-05-22,12.9170,13.0376,12.8137,12.8826,1442230
2017-05-23,12.8740,12.9213,12.7879,12.9170,1370187
2017-05-24,12.8826,12.9945,12.7534,12.9170,1953322
2017-05-25,12.8912,12.9429,12.7491,12.7879,2504423
2017-05-26,12.8223,12.9601,12.7276,12.9084,2107001
2017-05-30,12.8740,12.9084,12.7104,12.8481,1328500
2017-05-31,12.7965,12.8740,12.6587,12.7190,1114308
2017-06-01,12.7017,12.8783,12.7017,12.8395,1227007
2017-06-02,12.8740,12.9343,12.7534,12.9084,2294217
2017-06-05,13.0806,13.3648,13.0031,13.1409,4910610
2017-06-06,13.0634,13.4079,12.9773,13.3648,3637929
2017-06-07,13.3476,13.5973,13.2184,13.5026,4022683
2017-06-08,13.4337,13.6490,13.3993,13.5370,1956998
2017-06-09,13.5973,13.7609,13.4940,13.6059,1820326
2017-06-12,13.5198,13.8643,13.4337,13.7782,2991736
2017-06-13,13.7696,14.1915,13.7696,14.0796,3229874
2017-06-14,14.0365,14.4671,14.0365,14.4585,5430759
2017-06-15,14.3637,14.5015,14.2173,14.2948,2329979
2017-06-16,14.2948,14.5360,14.1226,14.3810,22643536
2017-06-19,14.3293,14.4585,14.3207,14.3810,2528269
2017-06-20,14.3465,14.4499,14.3078,14.3982,4076758
2017-06-21,14.3982,14.4154,14.2948,14.3810,2813817
2017-06-22,14.4240,14.4240,14.1915,14.3379,4504467
2017-06-23,14.4154,14.5618,14.2948,14.4240,20845063
2017-06-26,14.4240,14.5187,14.3121,14.3810,2591615
2017-06-27,14.3810,14.5101,14.3508,14.3810,2854229
2017-06-28,14.4240,14.5532,14.3207,14.5187,2770830
2017-06-29,14.5101,14.5360,14.3724,14.3810,3179949
2017-06-30,14.3724,14.4843,14.3035,14.4585,1449950
2017-07-03,14.5187,14.6737,14.4585,14.6479,880701
2017-07-05,14.6393,14.6393,14.3379,14.4154,1571813
2017-07-06,14.4843,14.5015,14.1140,14.1829,1432581
2017-07-07,14.3293,14.3465,14.0623,14.1571,1720634
2017-07-10,14.1312,14.2173,14.0451,14.1398,1289964
2017-07-11,14.0968,14.2001,13.9159,14.1571,1709428
2017-07-12,14.1743,14.2776,13.9073,14.0107,2418563
2017-07-13,14.0451,14.0451,13.5973,13.6748,1888543
2017-07-14,13.6877,13.8384,13.6275,13.7954,1298372
2017-07-17,13.7782,13.8514,13.6576,13.7437,1130015
2017-07-18,13.7954,13.9073,13.7351,13.8040,1715700
2017-07-19,13.7437,13.9073,13.6834,13.7437,836029
2017-07-20,13.8212,14.0021,13.7007,13.9504,1209102
2017-07-21,14.0193,14.1398,13.9935,14.1140,1038722
2017-07-24,14.0537,14.4240,13.9504,14.2948,1410729
2017-07-25,14.2948,14.4412,14.0193,14.3035,1975185
2017-07-26,14.3035,14.3637,14.1140,14.2173,1002366
2017-07-27,14.1485,14.2475,14.0968,14.2260,598311
2017-07-28,14.1915,14.2432,14.0968,14.1485,523792
2017-07-31,14.1226,14.2010,14.0882,14.1485,484641
2017-08-01,14.1054,14.3035,14.0623,14.3035,920870
2017-08-02,14.2001,14.2948,14.0193,14.2260,1091961
2017-08-03,14.2948,14.3379,13.8514,13.9332,1056728
2017-08-04,13.9332,14.3724,13.7093,14.3465,1610993
2017-08-07,14.3724,14.7168,14.3724,14.6565,744168
2017-08-08,14.5962,14.8288,14.5101,14.8029,1043509
2017-08-09,14.7340,14.8460,14.6307,14.6996,1450059
2017-08-10,14.6565,14.7857,14.5962,14.6393,1501465
2017-08-11,14.5618,14.9235,14.5360,14.8201,1166528
2017-08-14,14.8201,15.0699,14.6996,14.9665,1239917
2017-08-15,14.9665,15.1129,14.9149,15.0785,1405702
2017-08-16,15.0268,15.2421,14.9924,15.2077,1334260
