Date,Close,Volume,Open,High,Low
11/22/2024,4.93,360244,4.97,4.97,4.91
11/21/2024,4.97,555942,5.01,5.025,4.95
11/20/2024,4.99,787211,4.94,5.00,4.92
11/19/2024,4.95,529135,4.97,5.01,4.94
11/18/2024,4.93,722127,4.86,4.95,4.8501
11/15/2024,4.84,571761,4.80,4.87,4.78
11/14/2024,4.80,550070,4.81,4.84,4.77
11/13/2024,4.86,786786,4.89,4.8964,4.81
11/12/2024,4.94,781737,5.05,5.0782,4.92
11/11/2024,5.04,1048399,5.03,5.06,4.95
11/08/2024,5.11,718821,5.13,5.15,5.06
11/07/2024,5.11,463476,5.13,5.13,5.07
11/06/2024,5.14,471500,5.08,5.16,5.05
11/05/2024,5.15,407529,5.13,5.15,5.07
11/04/2024,5.12,545587,5.10,5.145,5.09
11/01/2024,5.11,575729,5.16,5.18,5.08
10/31/2024,5.14,441433,5.13,5.15,5.08
10/30/2024,5.15,381383,5.12,5.20,5.0802
10/29/2024,5.13,472896,5.05,5.15,5.05
10/28/2024,5.04,482970,5.13,5.13,5.04
10/25/2024,5.11,490549,5.15,5.15,5.09
10/24/2024,5.21,527827,5.19,5.21,5.1401
10/23/2024,5.18,655387,5.11,5.21,5.11
10/22/2024,5.16,519511,5.11,5.18,5.11
10/21/2024,5.14,600127,5.13,5.22,5.13
10/18/2024,5.14,793412,5.26,5.26,5.13
10/17/2024,5.26,779897,5.22,5.28,5.16
10/16/2024,5.22,317630,5.18,5.25,5.17
10/15/2024,5.20,432890,5.24,5.24,5.19
10/14/2024,5.27,519372,5.35,5.375,5.25
10/11/2024,5.38,801835,5.42,5.4725,5.33
10/10/2024,5.43,338565,5.43,5.45,5.39
10/09/2024,5.40,562608,5.425,5.44,5.36
10/08/2024,5.36,610298,5.32,5.377,5.31
10/07/2024,5.37,520142,5.31,5.37,5.31
10/04/2024,5.32,929539,5.34,5.38,5.30
10/03/2024,5.42,790658,5.48,5.5212,5.41
10/02/2024,5.49,1168385,5.41,5.52,5.41
10/01/2024,5.35,879034,5.24,5.3874,5.24
09/30/2024,5.24,741315,5.22,5.28,5.22
09/27/2024,5.21,325684,5.20,5.22,5.16
09/26/2024,5.24,732689,5.30,5.3199,5.22
09/25/2024,5.28,591092,5.19,5.28,5.17
09/24/2024,5.19,632737,5.24,5.26,5.16
09/23/2024,5.21,725942,5.15,5.24,5.15
09/20/2024,5.11,457403,5.11,5.155,5.08
09/19/2024,5.10,782767,5.11,5.12,5.07
09/18/2024,5.17,250818,5.18,5.205,5.1444
09/17/2024,5.18,408084,5.19,5.22,5.13
09/16/2024,5.18,527069,5.24,5.2481,5.14
09/13/2024,5.30,832222,5.26,5.329,5.23
09/12/2024,5.18,831291,5.24,5.275,5.135
09/11/2024,5.17,464951,5.16,5.20,5.1324
09/10/2024,5.14,495270,5.11,5.17,5.11
09/09/2024,5.10,522748,5.08,5.10,5.04
09/06/2024,5.08,978131,5.14,5.1999,5.07
09/05/2024,5.15,747771,5.16,5.18,5.09
09/04/2024,5.21,1036856,5.11,5.215,5.085
09/03/2024,5.08,1091223,4.94,5.09,4.94
08/30/2024,4.97,928215,4.95,4.97,4.91
08/29/2024,4.93,513411,4.85,4.9399,4.8411
08/28/2024,4.88,496520,4.82,4.90,4.82
08/27/2024,4.82,518698,4.72,4.8399,4.72
08/26/2024,4.73,644090,4.74,4.775,4.71
08/23/2024,4.79,651746,4.82,4.82,4.76
