Date,Open,High,Low,Close,Volume
1996-11-15,11.2842,11.6522,10.7936,10.7936,25800
1996-11-18,11.0389,11.0389,10.6710,10.9163,18000
1996-11-19,11.2842,11.2842,10.9114,11.2842,20900
1996-11-20,11.2842,11.2842,10.9114,10.9114,8600
1996-11-21,11.0389,11.0389,10.6710,10.9163,11100
1996-11-22,11.0389,11.0389,10.1190,10.1803,14400
1996-11-25,10.1803,10.5483,9.6897,9.8124,6200
1996-11-26,10.7936,11.1665,10.6759,11.0389,8800
1996-11-27,10.7936,11.1665,10.7936,11.1665,6800
1996-11-29,9.9350,9.9350,9.6897,9.9350,3200
1996-12-02,11.0389,11.7748,11.0389,11.2842,12900
1996-12-03,11.2842,11.5295,11.2842,11.5295,25600
1996-12-04,10.5483,11.1616,10.5483,11.1616,2400
1996-12-05,11.1616,11.4069,10.7936,11.2842,8000
1996-12-06,11.4069,11.4069,11.0389,11.4069,38900
1996-12-09,11.6571,12.0202,11.6571,12.0202,56000
1996-12-10,11.7748,11.8926,11.6571,11.6571,42300
1996-12-11,11.0389,11.0389,10.6710,10.6710,14300
1996-12-12,10.5483,10.7936,10.3030,10.5483,42400
1996-12-13,10.6710,10.7936,10.3030,10.7936,10200
1996-12-16,11.7748,12.1477,11.7748,12.1477,9300
1996-12-17,11.7748,12.0202,11.7748,11.7748,45400
1996-12-18,11.1616,11.2842,10.6710,11.0389,43300
1996-12-19,11.2842,11.2842,10.9163,11.2842,8000
1996-12-20,11.2842,11.2842,10.9163,10.9163,26100
1996-12-23,12.2655,12.5108,12.2655,12.4519,9100
1996-12-24,12.4519,12.4519,12.4519,12.4519,0
1996-12-26,10.7936,11.1616,10.6710,11.0389,14300
1996-12-27,11.1616,11.1616,10.7936,11.1616,3200
1996-12-30,12.6383,12.6383,12.2655,12.5108,1100
1996-12-31,12.3832,12.6383,12.2655,12.6383,2900
1997-01-02,12.2655,12.6383,12.2655,12.3930,19300
1997-01-03,12.6383,12.8836,12.5108,12.8836,53800
1997-01-06,12.8836,13.3743,12.6383,12.6383,148500
1997-01-07,12.6383,13.1290,12.6383,12.7561,11500
1997-01-08,12.6383,13.1290,12.6383,12.7561,11500
1997-01-09,12.7561,13.1290,12.7561,13.1290,5900
1997-01-10,13.1290,13.1290,12.7561,12.7561,13800
1997-01-13,12.7561,12.7561,12.7561,12.7561,1300
1997-01-14,13.1290,13.1290,12.7561,12.8836,12100
1997-01-15,12.5108,13.0014,12.5108,13.0014,31000
1997-01-16,12.7561,13.3743,12.7561,13.3743,26600
1997-01-17,13.2467,13.4920,13.2467,13.2467,6100
1997-01-20,13.2467,13.2467,13.2467,13.2467,5200
1997-01-21,13.3743,13.4920,13.0014,13.0014,11600
1997-01-22,13.0014,13.3743,13.0014,13.2467,26200
1997-01-23,13.0014,13.3743,13.0014,13.2467,19200
1997-01-24,13.0014,13.3743,13.0014,13.0014,8800
1997-01-27,13.0014,13.3743,12.7561,12.8836,23500
1997-01-28,12.7561,13.1290,12.7561,12.7561,4800
1997-01-29,13.0014,13.1290,12.7561,13.1290,16700
1997-01-30,13.2467,13.4920,13.2467,13.2467,5800
1997-01-31,13.2467,13.2467,13.2467,13.2467,1000
1997-02-03,13.2467,13.2467,13.2467,13.2467,3900
1997-02-04,13.2467,13.2467,13.2467,13.2467,11200
1997-02-05,13.4920,13.4920,13.0014,13.0014,33000
1997-02-06,13.0014,13.0014,12.6383,12.6383,8100
1997-02-07,12.6383,13.0014,12.6383,12.6383,7500
1997-02-10,12.6383,12.6383,12.6383,12.6383,600
1997-02-11,12.5108,12.8836,12.3930,12.3930,25100
1997-02-12,12.7561,12.7561,12.2655,12.7561,17800
1997-02-13,12.6383,13.0014,12.5108,13.0014,9900
1997-02-14,13.1290,13.3743,13.1290,13.3743,15300
1997-02-18,13.0014,13.3743,13.0014,13.3743,35900
1997-02-19,13.0014,13.1290,13.0014,13.0014,23600
1997-02-20,12.8836,13.3743,12.8836,13.2467,17200
1997-02-21,13.1290,13.1290,12.5108,12.7561,26000
1997-02-24,12.7561,13.0014,12.6383,13.0014,29200
1997-02-25,12.7561,13.0014,12.6383,13.0014,0
1997-02-26,12.5108,12.5108,12.5108,12.5108,1000
1997-02-27,12.5108,12.7561,12.5108,12.7561,3100
1997-02-28,12.5108,13.0014,12.5108,13.0014,20800
1997-03-03,13.0014,13.0014,12.5108,12.7561,5800
1997-03-04,12.5108,12.5108,12.5108,12.5108,8300
1997-03-05,13.0014,13.0014,13.0014,13.0014,500
1997-03-06,12.7561,12.7561,12.7561,12.7561,1500
1997-03-07,13.0014,13.8649,13.0014,13.8649,79800
1997-03-10,13.9826,14.2279,13.7373,13.9826,24500
1997-03-11,13.9826,13.9826,13.4920,13.9826,12200
1997-03-12,13.6196,13.8649,13.6196,13.7373,2600
1997-03-13,13.6196,13.8649,13.6196,13.7373,2400
1997-03-14,13.6196,13.6196,13.4920,13.4920,28800
1997-03-17,13.7373,13.7373,13.4920,13.4920,5000
1997-03-18,13.4920,13.6196,13.4920,13.6196,14000
1997-03-19,13.8649,13.8649,13.4920,13.6196,98300
1997-03-20,13.9826,13.9826,13.3743,13.6196,89500
1997-03-21,13.7373,13.7373,13.3743,13.6196,5600
1997-03-24,13.6196,13.6196,13.2467,13.2467,20700
1997-03-25,12.7561,13.2467,12.6383,12.7561,36000
1997-03-26,12.7561,12.8836,12.2655,12.2655,26500
1997-03-27,12.5108,12.5108,12.1477,12.5108,20200
1997-03-31,12.1477,12.2655,12.0202,12.2655,8100
1997-04-01,12.2655,12.2655,12.0202,12.0202,2000
1997-04-02,12.0202,12.1477,11.6571,12.0202,38100
1997-04-03,11.7748,11.7748,11.7748,11.7748,700
1997-04-04,11.7748,11.7748,11.6571,11.6571,5300
1997-04-07,11.6571,11.6571,11.6571,11.6571,0
1997-04-08,11.6571,11.6571,11.6571,11.6571,3600
1997-04-09,11.1665,12.0202,10.7936,11.1665,373100
1997-04-10,11.0389,11.2842,11.0389,11.2842,39500
1997-04-11,11.0389,11.1665,10.7936,11.0389,23700
1997-04-14,10.7936,10.7936,10.5483,10.5483,23800
1997-04-15,10.7936,10.7936,10.4306,10.4306,88300
1997-04-16,10.4306,10.4306,10.1852,10.3030,21600
