Date,Open,High,Low,Close,Volume
1970-01-02,0.5324,0.5346,0.5313,0.5346,1174400
1970-01-05,0.5346,0.5432,0.5335,0.5432,1881600
1970-01-06,0.5432,0.5443,0.5367,0.5421,1232000
1970-01-07,0.5421,0.5421,0.5378,0.5389,918400
1970-01-08,0.5389,0.5432,0.5367,0.5399,1075200
1970-01-09,0.5399,0.5421,0.5378,0.5421,1072000
1970-01-12,0.5421,0.5432,0.5378,0.5378,892800
1970-01-13,0.5378,0.5410,0.5357,0.5357,1248000
1970-01-14,0.5357,0.5367,0.5335,0.5367,1328000
1970-01-15,0.5367,0.5367,0.5303,0.5313,1206400
1970-01-16,0.5313,0.5346,0.5313,0.5335,1100800
1970-01-19,0.5335,0.5346,0.5303,0.5335,700800
1970-01-20,0.5335,0.5367,0.5313,0.5313,1241600
1970-01-21,0.5313,0.5346,0.5303,0.5303,841600
1970-01-22,0.5303,0.5313,0.5259,0.5271,1382400
1970-01-23,0.5271,0.5271,0.5184,0.5195,1878400
1970-01-26,0.5195,0.5216,0.5173,0.5206,1043200
1970-01-27,0.5184,0.5184,0.5130,0.5173,2054400
1970-01-28,0.5173,0.5173,0.5001,0.5012,1488000
1970-01-29,0.4968,0.4968,0.4903,0.4903,1548800
1970-01-30,0.4893,0.4893,0.4828,0.4861,2172800
1970-02-02,0.4861,0.4861,0.4828,0.4828,2755200
1970-02-03,0.4828,0.4958,0.4807,0.4926,2572800
1970-02-04,0.4926,0.4936,0.4893,0.4915,2003200
1970-02-05,0.4915,0.4915,0.4893,0.4903,1676800
1970-02-06,0.4840,0.4840,0.4775,0.4785,1635200
1970-02-09,0.4785,0.4807,0.4753,0.4764,1398400
1970-02-10,0.4742,0.4742,0.4548,0.4591,2777600
1970-02-11,0.4591,0.4623,0.4527,0.4623,2316800
1970-02-12,0.4613,0.4613,0.4440,0.4505,2611200
1970-02-13,0.4505,0.4516,0.4440,0.4484,2380800
1970-02-16,0.4376,0.4376,0.4322,0.4344,3497600
1970-02-17,0.4344,0.4344,0.4300,0.4322,3078400
1970-02-18,0.4376,0.4591,0.4376,0.4559,4438400
1970-02-19,0.4623,0.4709,0.4623,0.4623,3376000
1970-02-20,0.4623,0.4764,0.4570,0.4753,4480000
1970-02-24,0.4753,0.4893,0.4721,0.4731,3750400
1970-02-25,0.4731,0.4817,0.4570,0.4807,4771200
1970-02-26,0.4764,0.4764,0.4645,0.4667,3705600
1970-02-27,0.4667,0.4731,0.4656,0.4656,4137600
1970-03-02,0.4656,0.4731,0.4613,0.4613,5107200
1970-03-03,0.4613,0.4634,0.4559,0.4591,5152000
1970-03-04,0.4591,0.4634,0.4591,0.4613,4838400
1970-03-05,0.4613,0.4689,0.4613,0.4656,4912000
1970-03-06,0.4634,0.4634,0.4581,0.4613,4780800
1970-03-09,0.4602,0.4602,0.4559,0.4559,7699200
1970-03-10,0.4559,0.4667,0.4527,0.4645,5878400
1970-03-11,0.4689,0.4742,0.4689,0.4731,3638400
1970-03-12,0.4731,0.4731,0.4656,0.4709,2841600
1970-03-13,0.4709,0.4709,0.4667,0.4709,2582400
1970-03-16,0.4709,0.4709,0.4634,0.4699,2028800
1970-03-17,0.4699,0.4709,0.4656,0.4699,1520000
1970-03-18,0.4699,0.4807,0.4699,0.4742,1958400
1970-03-19,0.4742,0.4785,0.4731,0.4742,1904000
1970-03-20,0.4742,0.4764,0.4721,0.4764,1257600
1970-03-23,0.4764,0.4775,0.4721,0.4753,931200
1970-03-24,0.4764,0.4840,0.4764,0.4828,950400
1970-03-25,0.4840,0.4958,0.4840,0.4936,2720000
1970-03-26,0.4936,0.4968,0.4915,0.4947,1932800
1970-03-30,0.4947,0.4990,0.4926,0.4979,1523200
1970-03-31,0.4968,0.4968,0.4926,0.4936,1728000
1970-04-01,0.4947,0.4968,0.4947,0.4958,1168000
1970-04-02,0.4958,0.4990,0.4936,0.4958,1664000
1970-04-03,0.4958,0.4979,0.4915,0.4979,1219200
1970-04-06,0.4968,0.4968,0.4915,0.4947,1100800
1970-04-07,0.4947,0.4947,0.4828,0.4850,2217600
1970-04-08,0.4850,0.4861,0.4796,0.4850,902400
1970-04-09,0.4850,0.4903,0.4850,0.4871,896000
1970-04-10,0.4871,0.4871,0.4828,0.4828,944000
1970-04-13,0.4828,0.4850,0.4817,0.4817,1081600
1970-04-14,0.4817,0.4828,0.4764,0.4817,1174400
1970-04-15,0.4817,0.4850,0.4807,0.4828,748800
1970-04-16,0.4828,0.4828,0.4764,0.4764,1577600
1970-04-17,0.4753,0.4753,0.4656,0.4667,2560000
1970-04-20,0.4656,0.4656,0.4602,0.4634,1132800
1970-04-21,0.4656,0.4689,0.4656,0.4678,1113600
1970-04-22,0.4678,0.4721,0.4656,0.4699,1212800
1970-04-23,0.4699,0.4709,0.4678,0.4699,1030400
1970-04-24,0.4699,0.4699,0.4645,0.4689,1257600
1970-04-27,0.4689,0.4764,0.4634,0.4634,1833600
1970-04-28,0.4634,0.4656,0.4591,0.4623,1472000
1970-04-29,0.4623,0.4689,0.4602,0.4656,1987200
1970-04-30,0.4656,0.4678,0.4602,0.4623,1916800
1970-05-01,0.4623,0.4678,0.4602,0.4656,902400
1970-05-04,0.4656,0.4656,0.4591,0.4634,787200
1970-05-05,0.4634,0.4645,0.4591,0.4634,1456000
1970-05-06,0.4634,0.4689,0.4602,0.4689,2384000
1970-05-07,0.4667,0.4667,0.4602,0.4613,1168000
1970-05-08,0.4613,0.4623,0.4570,0.4570,1484800
1970-05-11,0.4570,0.4581,0.4537,0.4548,1078400
1970-05-12,0.4537,0.4537,0.4484,0.4527,2352000
1970-05-13,0.4505,0.4505,0.4430,0.4451,1571200
1970-05-14,0.4451,0.4495,0.4440,0.4472,1612800
1970-05-15,0.4472,0.4645,0.4462,0.4613,2160000
1970-05-18,0.4613,0.4667,0.4581,0.4656,1270400
1970-05-19,0.4645,0.4645,0.4559,0.4559,2076800
1970-05-20,0.4559,0.4570,0.4537,0.4548,1225600
1970-05-21,0.4537,0.4537,0.4484,0.4527,1651200
1970-05-22,0.4527,0.4581,0.4495,0.4537,1484800
1970-05-25,0.4527,0.4527,0.4419,0.4419,1648000
1970-05-26,0.4419,0.4505,0.4408,0.4430,2124800
1970-05-27,0.4430,0.4613,0.4430,0.4591,2323200
1970-05-28,0.4623,0.4764,0.4623,0.4764,3852800
1970-05-29,0.4764,0.4903,0.4709,0.4893,2012800
1970-06-01,0.4893,0.4903,0.4785,0.4903,1824000
1970-06-02,0.4903,0.4926,0.4796,0.4903,2179200
1970-06-03,0.4903,0.4903,0.4850,0.4903,1817600
1970-06-04,0.4903,0.4903,0.4796,0.4796,2028800
1970-06-05,0.4764,0.4764,0.4678,0.4699,1692800
1970-06-08,0.4699,0.4764,0.4667,0.4689,1936000
1970-06-09,0.4689,0.4731,0.4689,0.4699,739200
1970-06-10,0.4699,0.4709,0.4656,0.4667,1497600
1970-06-11,0.4667,0.4689,0.4634,0.4667,1228800
1970-06-12,0.4667,0.4699,0.4634,0.4689,688000
1970-06-15,0.4689,0.4785,0.4656,0.4699,1011200
1970-06-16,0.4699,0.4840,0.4689,0.4807,1171200
1970-06-17,0.4807,0.4861,0.4796,0.4817,947200
1970-06-18,0.4817,0.4926,0.4785,0.4871,995200
1970-06-19,0.4882,0.4979,0.4882,0.4947,1436800
1970-06-22,0.4947,0.4947,0.4861,0.4936,1369600
1970-06-23,0.4936,0.4968,0.4861,0.4882,1801600
1970-06-24,0.4861,0.4861,0.4807,0.4817,2121600
1970-06-25,0.4817,0.4871,0.4807,0.4850,1212800
1970-06-26,0.4850,0.4850,0.4742,0.4742,1075200
1970-06-29,0.4742,0.4775,0.4709,0.4721,1222400
1970-06-30,0.4721,0.4753,0.4709,0.4721,998400
1970-07-01,0.4721,0.4775,0.4678,0.4709,1331200
1970-07-02,0.4709,0.4753,0.4709,0.4721,931200
1970-07-06,0.4689,0.4689,0.4570,0.4613,1878400
1970-07-07,0.4613,0.4634,0.4559,0.4602,1830400
1970-07-08,0.4602,0.4699,0.4591,0.4689,1129600
1970-07-09,0.4699,0.4775,0.4699,0.4721,2128000
1970-07-10,0.4721,0.4850,0.4721,0.4850,1577600
1970-07-13,0.4850,0.4915,0.4850,0.4871,867200
1970-07-14,0.4871,0.4882,0.4828,0.4840,1017600
1970-07-15,0.4840,0.4903,0.4817,0.4893,921600
1970-07-16,0.4893,0.5076,0.4893,0.5076,2963200
1970-07-17,0.5098,0.5206,0.5098,0.5130,2726400
1970-07-20,0.5130,0.5184,0.5098,0.5152,2300800
1970-07-21,0.5152,0.5162,0.5109,0.5141,1257600
1970-07-22,0.5087,0.5087,0.4979,0.5054,3536000
1970-07-23,0.5054,0.5162,0.5034,0.5162,1830400
1970-07-24,0.5162,0.5162,0.5120,0.5162,1075200
