Price,Open,High,Low,Close
Ticker,KE=F,KE=F,KE=F,KE=F
Date,,,,
2014-11-10 00:00:00+00:00,570.0,577.0,565.25,573.0
2014-11-11 00:00:00+00:00,573.0,580.25,569.0,578.5
2014-11-12 00:00:00+00:00,578.5,602.5,577.5,599.25
2014-11-13 00:00:00+00:00,599.25,610.0,594.0,605.25
2014-11-14 00:00:00+00:00,605.0,612.5,599.75,605.5
2014-11-17 00:00:00+00:00,605.5,609.75,595.75,596.5
2014-11-18 00:00:00+00:00,598.0,598.75,590.0,593.5
2014-11-19 00:00:00+00:00,594.25,594.25,581.25,586.25
2014-11-20 00:00:00+00:00,587.0,603.0,583.75,602.25
2014-11-21 00:00:00+00:00,601.75,608.25,598.25,604.0
2014-11-24 00:00:00+00:00,603.75,607.5,600.0,604.25
2014-11-25 00:00:00+00:00,603.5,619.25,602.0,617.25
2014-11-26 00:00:00+00:00,617.5,626.5,616.5,621.0
2014-11-28 00:00:00+00:00,618.5,640.0,618.5,637.0
2014-12-01 00:00:00+00:00,633.25,660.5,633.25,660.25
2014-12-02 00:00:00+00:00,663.0,663.25,648.75,648.75
2014-12-03 00:00:00+00:00,638.5,638.5,630.25,631.75
2014-12-04 00:00:00+00:00,624.0,631.25,618.0,627.25
2014-12-05 00:00:00+00:00,628.75,634.25,628.75,632.5
2014-12-08 00:00:00+00:00,638.5,643.25,633.0,634.0
2014-12-09 00:00:00+00:00,629.0,629.5,615.0,617.0
2014-12-10 00:00:00+00:00,615.0,615.0,610.0,614.75
2014-12-11 00:00:00+00:00,609.25,623.5,609.25,623.5
2014-12-12 00:00:00+00:00,636.75,638.5,634.0,634.0
2014-12-15 00:00:00+00:00,633.5,651.5,630.25,647.0
2014-12-16 00:00:00+00:00,643.0,670.0,643.0,654.75
2014-12-17 00:00:00+00:00,653.0,682.75,649.75,681.5
2014-12-18 00:00:00+00:00,678.0,705.75,677.5,683.75
2014-12-19 00:00:00+00:00,681.5,682.5,661.75,666.0
2014-12-22 00:00:00+00:00,664.25,677.75,655.25,657.75
2014-12-23 00:00:00+00:00,657.25,667.5,652.75,664.75
2014-12-24 00:00:00+00:00,666.0,667.75,638.0,644.0
2014-12-26 00:00:00+00:00,646.0,649.25,642.25,644.25
2014-12-29 00:00:00+00:00,645.0,654.75,642.5,647.5
2014-12-30 00:00:00+00:00,647.0,647.0,634.0,636.0
2014-12-31 00:00:00+00:00,635.0,638.75,621.5,626.5
2015-01-02 00:00:00+00:00,627.0,628.0,610.0,617.0
2015-01-05 00:00:00+00:00,615.5,633.0,615.25,624.75
2015-01-06 00:00:00+00:00,624.75,642.0,623.0,631.25
2015-01-07 00:00:00+00:00,633.5,634.0,619.25,620.0
2015-01-08 00:00:00+00:00,620.75,620.75,605.75,607.75
2015-01-09 00:00:00+00:00,608.0,612.5,598.0,600.5
2015-01-12 00:00:00+00:00,599.75,602.25,590.0,590.5
2015-01-13 00:00:00+00:00,590.25,600.25,580.75,581.75
2015-01-14 00:00:00+00:00,582.25,583.25,571.5,575.0
2015-01-15 00:00:00+00:00,577.25,584.5,570.25,573.0
2015-01-16 00:00:00+00:00,577.0,584.75,574.25,577.0
2015-01-20 00:00:00+00:00,576.75,579.75,564.75,577.75
2015-01-21 00:00:00+00:00,578.0,583.25,570.75,572.25
2015-01-22 00:00:00+00:00,570.25,578.25,564.0,564.75
2015-01-23 00:00:00+00:00,564.0,566.75,560.25,564.0
2015-01-26 00:00:00+00:00,564.0,567.5,553.5,554.5
2015-01-27 00:00:00+00:00,555.0,556.5,549.0,550.25
2015-01-28 00:00:00+00:00,549.25,550.75,534.5,535.75
2015-01-29 00:00:00+00:00,536.0,548.75,533.25,544.0
2015-01-30 00:00:00+00:00,544.0,549.5,536.25,540.25
2015-02-02 00:00:00+00:00,539.0,543.25,533.0,534.5
2015-02-03 00:00:00+00:00,534.5,559.75,534.5,559.0
2015-02-04 00:00:00+00:00,560.0,564.75,550.0,552.75
2015-02-05 00:00:00+00:00,551.75,566.5,549.5,564.0
2015-02-06 00:00:00+00:00,564.0,573.25,554.0,561.75
2015-02-09 00:00:00+00:00,560.75,566.75,557.0,563.5
2015-02-10 00:00:00+00:00,561.75,563.5,552.75,554.0
2015-02-11 00:00:00+00:00,552.0,563.75,550.25,559.25
2015-02-12 00:00:00+00:00,557.0,559.5,552.0,554.0
2015-02-13 00:00:00+00:00,553.0,563.5,552.75,562.75
2015-02-17 00:00:00+00:00,564.0,582.25,560.75,562.25
2015-02-18 00:00:00+00:00,564.0,570.0,546.75,548.0
2015-02-19 00:00:00+00:00,548.75,553.0,543.75,544.5
2015-02-20 00:00:00+00:00,543.25,547.25,532.0,533.25
2015-02-23 00:00:00+00:00,533.5,537.0,530.5,531.25
2015-02-24 00:00:00+00:00,532.0,544.25,532.0,535.75
2015-02-25 00:00:00+00:00,535.0,537.5,525.0,528.25
2015-02-26 00:00:00+00:00,527.25,530.25,517.25,527.25
2015-02-27 00:00:00+00:00,527.75,540.25,525.75,534.5
2015-03-02 00:00:00+00:00,536.25,540.0,521.0,521.0
2015-03-03 00:00:00+00:00,523.5,530.5,521.25,530.5
2015-03-04 00:00:00+00:00,525.0,525.0,522.75,523.5
2015-03-05 00:00:00+00:00,522.75,522.75,514.0,514.0
2015-03-06 00:00:00+00:00,515.75,521.75,514.25,520.75
2015-03-09 00:00:00+00:00,531.25,531.25,529.0,529.0
2015-03-10 00:00:00+00:00,526.5,534.75,526.5,534.75
2015-03-11 00:00:00+00:00,538.25,538.75,535.25,538.5
2015-03-12 00:00:00+00:00,539.0,547.25,539.0,546.5
2015-03-13 00:00:00+00:00,549.75,552.75,541.75,541.75
2015-03-16 00:00:00+00:00,540.0,557.5,534.0,555.0
2015-03-17 00:00:00+00:00,556.5,559.5,541.75,542.75
2015-03-18 00:00:00+00:00,541.75,555.0,540.0,553.0
2015-03-19 00:00:00+00:00,557.0,562.5,546.25,550.25
2015-03-20 00:00:00+00:00,549.25,570.25,548.5,569.5
2015-03-23 00:00:00+00:00,571.5,579.25,571.5,574.5
2015-03-24 00:00:00+00:00,572.0,573.25,561.5,565.25
2015-03-25 00:00:00+00:00,565.0,570.0,560.25,563.0
2015-03-26 00:00:00+00:00,561.75,566.75,541.5,543.0
2015-03-27 00:00:00+00:00,542.5,554.25,542.5,553.0
2015-03-30 00:00:00+00:00,556.75,576.75,555.25,576.25
2015-03-31 00:00:00+00:00,576.5,578.25,558.0,559.25
2015-04-01 00:00:00+00:00,560.75,574.5,549.75,572.0
2015-04-02 00:00:00+00:00,571.75,587.75,564.75,582.75
2015-04-06 00:00:00+00:00,583.5,589.5,570.75,572.0
2015-04-07 00:00:00+00:00,570.75,574.75,559.5,565.25
2015-04-08 00:00:00+00:00,566.75,570.0,555.75,561.25
2015-04-09 00:00:00+00:00,561.0,562.25,543.25,551.5
2015-04-10 00:00:00+00:00,551.5,560.25,548.5,558.75
2015-04-13 00:00:00+00:00,546.0,551.75,527.0,529.0
2015-04-14 00:00:00+00:00,530.0,531.75,520.0,521.75
