Price,Open,High,Low,Close
Ticker,ZC=F,ZC=F,ZC=F,ZC=F
Date,,,,
2014-11-10 00:00:00+00:00,366.0,378.75,364.75,369.25
2014-11-11 00:00:00+00:00,368.25,374.5,365.5,373.75
2014-11-12 00:00:00+00:00,373.5,385.0,372.75,377.75
2014-11-13 00:00:00+00:00,377.0,389.0,377.0,386.25
2014-11-14 00:00:00+00:00,385.5,387.0,380.5,381.75
2014-11-17 00:00:00+00:00,381.5,384.25,374.25,377.5
2014-11-18 00:00:00+00:00,377.5,378.75,371.25,372.0
2014-11-19 00:00:00+00:00,371.75,372.0,362.75,363.25
2014-11-20 00:00:00+00:00,363.0,374.75,362.5,373.25
2014-11-21 00:00:00+00:00,372.75,381.5,369.75,372.75
2014-11-24 00:00:00+00:00,372.25,372.75,365.5,367.5
2014-11-25 00:00:00+00:00,367.5,375.25,366.25,374.25
2014-11-26 00:00:00+00:00,374.0,378.75,373.75,378.25
2014-11-28 00:00:00+00:00,377.0,380.25,370.25,375.75
2014-12-01 00:00:00+00:00,374.0,377.75,370.25,375.5
2014-12-02 00:00:00+00:00,375.25,376.75,367.5,367.75
2014-12-03 00:00:00+00:00,367.5,369.5,364.25,368.75
2014-12-04 00:00:00+00:00,368.5,376.75,367.75,376.0
2014-12-05 00:00:00+00:00,375.25,382.5,372.25,381.5
2014-12-08 00:00:00+00:00,380.5,386.25,376.5,377.5
2014-12-09 00:00:00+00:00,377.25,383.75,374.75,383.0
2014-12-10 00:00:00+00:00,382.5,384.75,377.75,382.5
2014-12-11 00:00:00+00:00,382.5,390.5,382.5,390.0
2014-12-12 00:00:00+00:00,389.75,398.5,388.0,396.25
2014-12-15 00:00:00+00:00,407.5,412.5,405.0,408.5
2014-12-16 00:00:00+00:00,407.75,411.5,404.0,406.0
2014-12-17 00:00:00+00:00,405.75,410.0,403.5,408.25
2014-12-18 00:00:00+00:00,408.0,414.0,407.0,411.0
2014-12-19 00:00:00+00:00,410.75,411.25,405.0,410.5
2014-12-22 00:00:00+00:00,409.75,414.25,408.5,411.75
2014-12-23 00:00:00+00:00,411.0,415.75,410.5,414.0
2014-12-24 00:00:00+00:00,413.5,415.0,405.75,407.75
2014-12-26 00:00:00+00:00,410.25,415.0,405.75,414.75
2014-12-29 00:00:00+00:00,414.0,417.0,410.75,412.75
2014-12-30 00:00:00+00:00,411.75,412.75,406.0,406.5
2014-12-31 00:00:00+00:00,406.0,406.5,396.0,397.0
2015-01-02 00:00:00+00:00,396.25,398.5,391.5,395.75
2015-01-05 00:00:00+00:00,395.75,406.75,394.5,406.0
2015-01-06 00:00:00+00:00,405.5,409.5,402.25,405.0
2015-01-07 00:00:00+00:00,404.75,407.25,396.0,396.25
2015-01-08 00:00:00+00:00,396.5,398.75,392.75,394.25
2015-01-09 00:00:00+00:00,394.75,401.5,393.0,400.25
2015-01-12 00:00:00+00:00,399.0,407.0,390.0,402.0
2015-01-13 00:00:00+00:00,402.0,406.5,384.5,385.75
2015-01-14 00:00:00+00:00,386.0,386.25,376.0,381.0
2015-01-15 00:00:00+00:00,382.75,388.0,376.0,380.0
2015-01-16 00:00:00+00:00,380.5,388.0,379.5,387.0
2015-01-20 00:00:00+00:00,385.25,391.0,382.25,390.25
2015-01-21 00:00:00+00:00,390.0,392.5,386.25,388.0
2015-01-22 00:00:00+00:00,387.75,390.5,382.5,383.75
2015-01-23 00:00:00+00:00,384.0,388.5,382.0,386.75
2015-01-26 00:00:00+00:00,385.75,388.25,382.25,384.0
2015-01-27 00:00:00+00:00,383.5,386.0,380.0,381.25
2015-01-28 00:00:00+00:00,380.75,381.5,373.0,373.25
2015-01-29 00:00:00+00:00,373.5,373.5,368.0,371.5
2015-01-30 00:00:00+00:00,372.75,373.0,365.75,370.0
2015-02-02 00:00:00+00:00,369.75,378.5,367.5,369.75
2015-02-03 00:00:00+00:00,370.0,388.5,370.0,385.75
2015-02-04 00:00:00+00:00,385.0,388.25,379.5,383.5
2015-02-05 00:00:00+00:00,382.5,387.5,381.5,385.25
2015-02-06 00:00:00+00:00,385.0,389.5,380.0,385.75
2015-02-09 00:00:00+00:00,385.25,391.75,383.5,391.25
2015-02-10 00:00:00+00:00,390.75,391.5,384.5,388.0
2015-02-11 00:00:00+00:00,388.0,389.75,384.0,385.75
2015-02-12 00:00:00+00:00,385.25,387.75,381.25,383.0
2015-02-13 00:00:00+00:00,383.0,388.5,382.25,387.25
2015-02-17 00:00:00+00:00,387.0,391.0,385.0,389.5
2015-02-18 00:00:00+00:00,389.0,390.5,383.0,383.75
2015-02-19 00:00:00+00:00,383.75,391.25,382.25,389.75
2015-02-20 00:00:00+00:00,389.0,389.5,383.5,385.25
2015-02-23 00:00:00+00:00,385.25,386.0,377.5,378.75
2015-02-24 00:00:00+00:00,379.0,387.0,377.5,377.5
2015-02-25 00:00:00+00:00,378.0,379.5,371.5,375.75
2015-02-26 00:00:00+00:00,376.0,382.25,375.0,380.0
2015-02-27 00:00:00+00:00,379.0,387.25,377.0,384.5
2015-03-02 00:00:00+00:00,383.0,385.5,377.5,378.75
2015-03-03 00:00:00+00:00,379.0,382.75,375.75,382.0
2015-03-04 00:00:00+00:00,382.0,382.25,378.0,381.5
2015-03-05 00:00:00+00:00,381.25,384.75,380.0,382.75
2015-03-06 00:00:00+00:00,381.0,382.5,376.5,379.25
2015-03-09 00:00:00+00:00,379.25,384.75,379.25,383.25
2015-03-10 00:00:00+00:00,383.0,384.5,377.0,382.25
2015-03-11 00:00:00+00:00,382.25,387.75,381.5,384.0
2015-03-12 00:00:00+00:00,384.0,384.75,380.0,382.25
2015-03-13 00:00:00+00:00,383.25,383.75,374.0,374.0
2015-03-16 00:00:00+00:00,380.75,382.25,375.5,379.0
2015-03-17 00:00:00+00:00,379.0,379.75,370.0,371.0
2015-03-18 00:00:00+00:00,371.5,375.25,367.0,374.75
2015-03-19 00:00:00+00:00,377.5,380.5,370.5,373.5
2015-03-20 00:00:00+00:00,373.5,387.5,372.75,385.0
2015-03-23 00:00:00+00:00,385.0,391.75,385.0,390.25
2015-03-24 00:00:00+00:00,389.25,393.75,388.5,393.25
2015-03-25 00:00:00+00:00,392.75,395.75,391.5,395.0
2015-03-26 00:00:00+00:00,394.0,397.0,389.25,391.25
2015-03-27 00:00:00+00:00,391.0,393.5,389.25,391.0
2015-03-30 00:00:00+00:00,391.5,395.0,390.0,394.5
2015-03-31 00:00:00+00:00,394.0,398.5,375.5,376.25
2015-04-01 00:00:00+00:00,377.0,382.25,374.0,381.75
2015-04-02 00:00:00+00:00,381.75,388.5,378.25,386.5
2015-04-06 00:00:00+00:00,386.25,390.0,383.5,385.0
2015-04-07 00:00:00+00:00,385.0,387.25,382.0,383.0
2015-04-08 00:00:00+00:00,383.25,385.0,376.75,379.25
2015-04-09 00:00:00+00:00,379.0,380.0,375.0,378.0
2015-04-10 00:00:00+00:00,378.25,379.5,374.25,377.0
2015-04-13 00:00:00+00:00,375.0,376.0,370.25,370.5
2015-04-14 00:00:00+00:00,371.0,374.75,370.0,373.5
2015-04-15 00:00:00+00:00,372.75,379.0,370.5,376.0
2015-04-16 00:00:00+00:00,375.75,377.75,373.0,376.25
2015-04-17 00:00:00+00:00,376.25,380.75,375.0,379.75
2015-04-20 00:00:00+00:00,379.5,381.75,375.75,378.0
2015-04-21 00:00:00+00:00,377.0,377.0,371.25,373.0
2015-04-22 00:00:00+00:00,373.0,374.0,369.25,372.5
2015-04-23 00:00:00+00:00,372.5,378.0,370.25,370.75
2015-04-24 00:00:00+00:00,371.0,371.25,363.75,364.5
2015-04-27 00:00:00+00:00,363.75,365.25,360.5,360.75
2015-04-28 00:00:00+00:00,360.5,363.5,359.0,361.0
2015-04-29 00:00:00+00:00,361.0,364.5,359.5,363.75
2015-04-30 00:00:00+00:00,364.25,367.75,360.0,362.5
2015-05-01 00:00:00+00:00,362.5,363.0,357.5,359.75
2015-05-04 00:00:00+00:00,359.0,360.75,356.75,358.75
2015-05-05 00:00:00+00:00,357.75,361.75,354.0,361.25
2015-05-06 00:00:00+00:00,361.75,369.0,361.75,366.5
2015-05-07 00:00:00+00:00,365.5,366.25,357.25,357.75
2015-05-08 00:00:00+00:00,357.75,359.0,356.5,358.5
2015-05-11 00:00:00+00:00,359.0,361.0,357.0,358.25
2015-05-12 00:00:00+00:00,358.25,362.0,355.25,357.0
2015-05-13 00:00:00+00:00,356.25,359.0,352.75,356.0
2015-05-14 00:00:00+00:00,356.75,363.75,356.0,361.0
2015-05-15 00:00:00+00:00,367.75,371.5,362.0,365.5
2015-05-18 00:00:00+00:00,365.25,371.25,364.0,368.0
2015-05-19 00:00:00+00:00,367.25,368.5,360.25,362.0
2015-05-20 00:00:00+00:00,362.25,362.5,358.5,360.0
2015-05-21 00:00:00+00:00,360.0,366.5,359.75,365.0
2015-05-22 00:00:00+00:00,364.0,367.75,359.75,360.0
2015-05-26 00:00:00+00:00,361.0,362.5,354.0,355.0
2015-05-27 00:00:00+00:00,355.0,356.5,348.75,349.5
2015-05-28 00:00:00+00:00,349.5,355.0,348.25,353.5
2015-05-29 00:00:00+00:00,353.25,357.0,350.0,351.5
2015-06-01 00:00:00+00:00,350.5,354.25,348.25,352.25
2015-06-02 00:00:00+00:00,352.0,359.5,351.75,359.0
2015-06-03 00:00:00+00:00,359.0,364.0,357.0,359.0
2015-06-04 00:00:00+00:00,358.5,364.5,356.5,363.5
2015-06-05 00:00:00+00:00,362.75,367.25,359.75,360.5
2015-06-08 00:00:00+00:00,360.5,366.25,360.5,365.25
2015-06-09 00:00:00+00:00,364.75,368.5,362.5,365.0
2015-06-10 00:00:00+00:00,364.75,366.5,356.75,357.25
2015-06-11 00:00:00+00:00,357.5,360.0,354.5,356.5
2015-06-12 00:00:00+00:00,356.0,356.75,352.25,353.0
2015-06-15 00:00:00+00:00,353.0,353.25,346.75,348.25
2015-06-16 00:00:00+00:00,349.0,354.25,347.5,354.0
2015-06-17 00:00:00+00:00,353.75,361.25,353.75,359.25
