Price,Open,High,Low,Close
Ticker,ZO=F,ZO=F,ZO=F,ZO=F
Date,,,,
2014-11-10 00:00:00+00:00,340.0,340.0,335.25,336.0
2014-11-11 00:00:00+00:00,335.75,337.5,334.0,336.0
2014-11-12 00:00:00+00:00,336.75,339.5,336.75,338.0
2014-11-13 00:00:00+00:00,340.0,344.5,337.0,338.75
2014-11-14 00:00:00+00:00,338.25,341.5,337.5,339.5
2014-11-17 00:00:00+00:00,341.75,343.0,339.0,339.5
2014-11-18 00:00:00+00:00,339.5,339.5,333.0,334.0
2014-11-19 00:00:00+00:00,334.0,335.0,325.0,326.5
2014-11-20 00:00:00+00:00,326.5,329.0,325.0,325.75
2014-11-21 00:00:00+00:00,329.25,329.25,323.5,326.75
2014-11-24 00:00:00+00:00,324.0,324.0,305.25,305.5
2014-11-25 00:00:00+00:00,305.5,307.0,291.75,299.0
2014-11-26 00:00:00+00:00,299.0,301.5,291.5,295.0
2014-11-28 00:00:00+00:00,297.0,297.5,289.0,294.5
2014-12-01 00:00:00+00:00,290.25,295.75,290.25,295.75
2014-12-02 00:00:00+00:00,298.25,298.25,295.75,296.0
2014-12-03 00:00:00+00:00,301.0,301.0,294.75,295.25
2014-12-04 00:00:00+00:00,296.0,301.0,296.0,298.75
2014-12-05 00:00:00+00:00,303.0,308.0,299.5,299.5
2014-12-08 00:00:00+00:00,326.0,326.0,304.75,304.75
2014-12-09 00:00:00+00:00,314.5,314.75,301.0,301.0
2014-12-10 00:00:00+00:00,304.5,304.5,304.5,304.5
2014-12-11 00:00:00+00:00,304.75,304.75,304.75,304.75
2014-12-12 00:00:00+00:00,300.75,300.75,300.75,300.75
2014-12-15 00:00:00+00:00,312.5,313.75,310.0,313.75
2014-12-16 00:00:00+00:00,313.75,315.5,312.5,314.0
2014-12-17 00:00:00+00:00,315.0,317.0,311.25,315.0
2014-12-18 00:00:00+00:00,316.5,318.0,315.25,316.25
2014-12-19 00:00:00+00:00,316.0,317.0,304.25,310.5
2014-12-22 00:00:00+00:00,306.75,311.75,306.75,309.75
2014-12-23 00:00:00+00:00,309.0,315.0,308.75,309.0
2014-12-24 00:00:00+00:00,309.75,309.75,306.0,307.75
