Price,Open,High,Low,Close
Ticker,ZR=F,ZR=F,ZR=F,ZR=F
Date,,,,
2014-11-10 00:00:00+00:00,1172.5,1172.5,1172.5,1172.5
2014-11-11 00:00:00+00:00,1161.0,1162.0,1161.0,1162.0
2014-11-12 00:00:00+00:00,1178.5,1178.5,1178.5,1178.5
2014-11-13 00:00:00+00:00,1171.5,1171.5,1171.5,1171.5
2014-11-14 00:00:00+00:00,1173.0,1173.0,1173.0,1173.0
2014-11-17 00:00:00+00:00,1193.5,1201.5,1187.5,1191.0
2014-11-18 00:00:00+00:00,1191.0,1201.0,1191.0,1200.0
2014-11-19 00:00:00+00:00,1198.0,1245.0,1197.0,1240.5
2014-11-20 00:00:00+00:00,1240.5,1258.5,1231.0,1258.0
2014-11-21 00:00:00+00:00,1254.5,1260.0,1252.5,1259.5
2014-11-24 00:00:00+00:00,1259.5,1261.5,1243.5,1244.5
2014-11-25 00:00:00+00:00,1240.0,1243.5,1230.5,1237.0
2014-11-26 00:00:00+00:00,1235.5,1246.0,1226.5,1228.0
2014-11-28 00:00:00+00:00,1228.0,1242.0,1228.0,1233.5
2014-12-01 00:00:00+00:00,1229.5,1241.5,1204.5,1214.0
2014-12-02 00:00:00+00:00,1214.0,1225.5,1206.0,1218.5
2014-12-03 00:00:00+00:00,1217.5,1220.5,1211.0,1214.0
2014-12-04 00:00:00+00:00,1214.0,1219.0,1208.0,1212.0
2014-12-05 00:00:00+00:00,1210.0,1214.5,1200.0,1206.5
2014-12-08 00:00:00+00:00,1205.5,1215.0,1201.5,1204.5
2014-12-09 00:00:00+00:00,1201.5,1231.5,1200.0,1229.0
2014-12-10 00:00:00+00:00,1227.5,1229.0,1216.5,1226.0
2014-12-11 00:00:00+00:00,1224.0,1228.0,1203.0,1208.5
2014-12-12 00:00:00+00:00,1208.5,1255.0,1205.0,1235.0
2014-12-15 00:00:00+00:00,1234.5,1249.0,1230.0,1243.0
2014-12-16 00:00:00+00:00,1242.5,1242.5,1205.5,1208.0
2014-12-17 00:00:00+00:00,1209.5,1220.5,1207.5,1211.5
2014-12-18 00:00:00+00:00,1207.0,1212.5,1204.5,1211.0
2014-12-19 00:00:00+00:00,1212.5,1234.5,1209.0,1231.0
2014-12-22 00:00:00+00:00,1237.0,1238.0,1213.0,1216.0
2014-12-23 00:00:00+00:00,1216.0,1227.5,1210.0,1218.5
2014-12-24 00:00:00+00:00,1217.0,1220.0,1212.0,1212.5
2014-12-26 00:00:00+00:00,1212.5,1224.0,1212.5,1216.5
2014-12-29 00:00:00+00:00,1217.0,1217.0,1178.0,1182.0
2014-12-30 00:00:00+00:00,1179.5,1180.0,1164.0,1164.0
2014-12-31 00:00:00+00:00,1161.5,1168.5,1148.0,1149.0
2015-01-02 00:00:00+00:00,1153.0,1153.0,1127.0,1129.0
2015-01-05 00:00:00+00:00,1129.5,1133.0,1129.5,1133.0
2015-01-06 00:00:00+00:00,1133.0,1136.0,1128.0,1136.0
2015-01-07 00:00:00+00:00,1141.0,1141.0,1141.0,1141.0
2015-01-08 00:00:00+00:00,1129.5,1129.5,1129.5,1129.5
2015-01-09 00:00:00+00:00,1135.0,1135.0,1132.5,1132.5
2015-01-12 00:00:00+00:00,1131.0,1131.5,1124.5,1124.5
2015-01-13 00:00:00+00:00,1124.0,1124.0,1124.0,1124.0
2015-01-14 00:00:00+00:00,1098.5,1098.5,1098.5,1098.5
2015-01-15 00:00:00+00:00,1112.0,1134.5,1106.5,1133.0
2015-01-16 00:00:00+00:00,1133.0,1140.0,1125.5,1132.5
2015-01-20 00:00:00+00:00,1134.5,1138.0,1124.0,1126.5
2015-01-21 00:00:00+00:00,1132.0,1139.5,1129.0,1137.0
2015-01-22 00:00:00+00:00,1134.5,1135.0,1115.5,1116.0
2015-01-23 00:00:00+00:00,1116.5,1123.5,1096.0,1101.0
2015-01-26 00:00:00+00:00,1099.5,1099.5,1081.0,1088.5
2015-01-27 00:00:00+00:00,1089.0,1123.0,1089.0,1097.0
2015-01-28 00:00:00+00:00,1100.5,1114.0,1070.5,1073.5
2015-01-29 00:00:00+00:00,1076.5,1137.0,1070.5,1086.0
2015-01-30 00:00:00+00:00,1086.0,1091.5,1052.5,1057.0
2015-02-02 00:00:00+00:00,1057.0,1057.0,1027.5,1030.5
2015-02-03 00:00:00+00:00,1029.0,1049.5,1001.0,1038.5
2015-02-04 00:00:00+00:00,1030.0,1054.5,1014.5,1025.0
2015-02-05 00:00:00+00:00,1026.5,1047.5,1025.5,1045.0
2015-02-06 00:00:00+00:00,1047.5,1075.0,1046.0,1074.0
2015-02-09 00:00:00+00:00,1074.0,1075.0,1042.0,1043.5
2015-02-10 00:00:00+00:00,1049.5,1051.5,1015.0,1023.5
2015-02-11 00:00:00+00:00,1020.0,1040.0,1020.0,1038.0
2015-02-12 00:00:00+00:00,1035.5,1048.0,1032.0,1033.0
2015-02-13 00:00:00+00:00,1031.5,1055.0,1031.5,1052.5
2015-02-17 00:00:00+00:00,1051.5,1068.5,1035.0,1068.0
2015-02-18 00:00:00+00:00,1069.5,1092.5,1063.5,1087.0
