Price,Open,High,Low,Close
Ticker,ZS=F,ZS=F,ZS=F,ZS=F
Date,,,,
2014-11-10 00:00:00+00:00,1040.25,1060.5,1024.25,1027.5
2014-11-11 00:00:00+00:00,1025.75,1075.0,1023.25,1066.5
2014-11-12 00:00:00+00:00,1067.25,1086.75,1044.5,1048.25
2014-11-13 00:00:00+00:00,1048.5,1068.25,1044.75,1050.5
2014-11-14 00:00:00+00:00,1046.5,1047.75,1021.0,1021.0
2014-11-17 00:00:00+00:00,1023.0,1038.5,1014.5,1036.25
2014-11-18 00:00:00+00:00,1036.75,1042.0,1021.0,1023.25
2014-11-19 00:00:00+00:00,1024.0,1025.0,1003.75,1004.75
2014-11-20 00:00:00+00:00,1005.75,1022.25,1005.0,1020.5
2014-11-21 00:00:00+00:00,1020.5,1040.0,1013.5,1039.0
2014-11-24 00:00:00+00:00,1036.25,1038.75,1026.75,1033.75
2014-11-25 00:00:00+00:00,1033.75,1054.0,1033.0,1051.0
2014-11-26 00:00:00+00:00,1049.25,1054.75,1038.5,1047.0
2014-11-28 00:00:00+00:00,1041.0,1051.5,1013.0,1016.0
2014-12-01 00:00:00+00:00,1010.75,1022.5,1006.5,1017.0
2014-12-02 00:00:00+00:00,1017.0,1022.0,995.0,995.75
2014-12-03 00:00:00+00:00,995.5,999.5,983.75,998.25
2014-12-04 00:00:00+00:00,998.5,1016.5,991.5,1010.5
2014-12-05 00:00:00+00:00,1009.75,1040.75,1003.5,1036.0
2014-12-08 00:00:00+00:00,1035.0,1050.5,1030.0,1043.75
2014-12-09 00:00:00+00:00,1043.0,1050.0,1038.5,1049.25
2014-12-10 00:00:00+00:00,1047.75,1060.25,1027.75,1032.0
2014-12-11 00:00:00+00:00,1032.75,1048.25,1025.75,1042.25
2014-12-12 00:00:00+00:00,1039.0,1054.0,1031.5,1047.25
2014-12-15 00:00:00+00:00,1050.0,1055.0,1035.5,1039.5
2014-12-16 00:00:00+00:00,1034.25,1039.0,1021.5,1023.5
2014-12-17 00:00:00+00:00,1022.5,1034.0,1015.0,1027.0
2014-12-18 00:00:00+00:00,1027.0,1040.0,1024.0,1035.0
2014-12-19 00:00:00+00:00,1034.75,1035.75,1022.5,1030.5
2014-12-22 00:00:00+00:00,1029.0,1042.25,1025.25,1038.25
2014-12-23 00:00:00+00:00,1036.5,1048.0,1033.25,1038.5
2014-12-24 00:00:00+00:00,1036.5,1041.5,1025.5,1028.75
2014-12-26 00:00:00+00:00,1028.5,1048.5,1028.5,1047.5
2014-12-29 00:00:00+00:00,1045.75,1061.75,1039.0,1041.75
2014-12-30 00:00:00+00:00,1041.5,1049.75,1036.25,1037.75
2014-12-31 00:00:00+00:00,1035.5,1041.5,1017.5,1019.25
2015-01-02 00:00:00+00:00,1017.75,1017.75,1002.25,1002.5
2015-01-05 00:00:00+00:00,1002.5,1041.25,1001.5,1039.75
2015-01-06 00:00:00+00:00,1037.5,1052.5,1034.0,1051.0
2015-01-07 00:00:00+00:00,1049.75,1055.25,1044.5,1052.75
2015-01-08 00:00:00+00:00,1051.5,1057.0,1042.75,1045.0
2015-01-09 00:00:00+00:00,1044.25,1052.0,1041.25,1051.5
2015-01-12 00:00:00+00:00,1047.0,1058.75,1013.0,1013.5
2015-01-13 00:00:00+00:00,1017.5,1022.25,998.0,1000.0
2015-01-14 00:00:00+00:00,1003.5,1004.0,991.75,992.5
2015-01-15 00:00:00+00:00,1014.5,1019.75,985.25,991.0
2015-01-16 00:00:00+00:00,991.25,996.0,983.0,991.75
2015-01-20 00:00:00+00:00,982.0,986.75,972.25,982.0
2015-01-21 00:00:00+00:00,983.5,991.0,977.5,983.5
2015-01-22 00:00:00+00:00,984.25,992.5,975.0,976.75
2015-01-23 00:00:00+00:00,977.0,980.5,967.25,972.75
2015-01-26 00:00:00+00:00,971.75,984.25,967.0,983.5
2015-01-27 00:00:00+00:00,982.25,985.5,972.25,973.75
2015-01-28 00:00:00+00:00,972.75,977.75,966.25,970.25
2015-01-29 00:00:00+00:00,969.5,977.75,967.0,968.25
2015-01-30 00:00:00+00:00,968.0,972.75,955.0,961.0
2015-02-02 00:00:00+00:00,961.0,970.5,956.5,959.5
2015-02-03 00:00:00+00:00,959.75,999.0,959.75,987.0
2015-02-04 00:00:00+00:00,985.25,990.25,967.5,972.0
2015-02-05 00:00:00+00:00,970.0,982.75,969.25,981.25
2015-02-06 00:00:00+00:00,981.25,987.5,971.25,973.5
2015-02-09 00:00:00+00:00,973.5,983.25,972.0,978.5
2015-02-10 00:00:00+00:00,978.25,986.0,967.0,969.0
2015-02-11 00:00:00+00:00,970.75,981.0,966.0,977.75
2015-02-12 00:00:00+00:00,977.25,985.0,973.5,983.75
2015-02-13 00:00:00+00:00,982.75,997.75,982.75,990.5
2015-02-17 00:00:00+00:00,992.0,1009.0,991.5,1007.75
2015-02-18 00:00:00+00:00,1007.0,1012.25,990.75,995.75
2015-02-19 00:00:00+00:00,995.25,1017.0,993.75,1007.25
2015-02-20 00:00:00+00:00,1006.75,1009.75,998.75,999.25
2015-02-23 00:00:00+00:00,1000.5,1006.5,992.0,999.25
2015-02-24 00:00:00+00:00,999.25,1029.0,999.0,1016.0
2015-02-25 00:00:00+00:00,1015.0,1021.5,1002.0,1007.75
2015-02-26 00:00:00+00:00,1007.5,1024.75,1006.0,1024.0
2015-02-27 00:00:00+00:00,1023.0,1035.5,1020.0,1030.75
2015-03-02 00:00:00+00:00,1029.75,1037.25,1008.75,1011.25
2015-03-03 00:00:00+00:00,1011.75,1015.0,998.5,1008.75
2015-03-04 00:00:00+00:00,1008.75,1010.25,988.25,989.0
2015-03-05 00:00:00+00:00,990.0,991.25,979.0,979.25
2015-03-06 00:00:00+00:00,979.0,980.75,971.0,979.25
2015-03-09 00:00:00+00:00,983.0,993.25,981.25,988.25
2015-03-10 00:00:00+00:00,987.25,989.0,978.0,980.0
2015-03-11 00:00:00+00:00,979.0,991.5,979.0,989.0
2015-03-12 00:00:00+00:00,989.0,992.5,981.75,986.5
2015-03-13 00:00:00+00:00,986.5,986.5,968.25,968.25
2015-03-16 00:00:00+00:00,972.5,978.0,967.5,969.25
2015-03-17 00:00:00+00:00,968.0,973.0,953.5,954.5
2015-03-18 00:00:00+00:00,954.5,967.0,953.5,965.0
2015-03-19 00:00:00+00:00,969.25,980.25,956.5,961.75
2015-03-20 00:00:00+00:00,961.75,980.0,960.0,973.75
2015-03-23 00:00:00+00:00,974.5,990.0,973.25,983.5
2015-03-24 00:00:00+00:00,983.75,985.0,975.75,981.75
2015-03-25 00:00:00+00:00,982.75,987.75,978.0,978.75
2015-03-26 00:00:00+00:00,977.0,981.5,972.0,974.5
2015-03-27 00:00:00+00:00,974.0,976.25,965.0,967.25
2015-03-30 00:00:00+00:00,968.0,976.75,965.0,967.75
2015-03-31 00:00:00+00:00,967.0,981.0,951.25,973.25
2015-04-01 00:00:00+00:00,973.25,991.75,972.75,989.75
2015-04-02 00:00:00+00:00,988.0,993.0,980.75,986.0
2015-04-06 00:00:00+00:00,985.0,990.25,978.0,978.5
2015-04-07 00:00:00+00:00,977.75,984.0,970.0,971.0
2015-04-08 00:00:00+00:00,971.0,975.0,967.75,971.5
2015-04-09 00:00:00+00:00,971.25,972.0,950.25,953.5
2015-04-10 00:00:00+00:00,954.0,958.5,944.5,951.5
2015-04-13 00:00:00+00:00,948.0,957.5,945.75,948.75
2015-04-14 00:00:00+00:00,948.75,961.5,948.5,960.25
2015-04-15 00:00:00+00:00,959.25,976.75,958.75,965.0
2015-04-16 00:00:00+00:00,964.0,970.25,955.5,966.0
2015-04-17 00:00:00+00:00,965.25,972.5,963.0,968.75
2015-04-20 00:00:00+00:00,968.0,981.0,967.5,977.5
2015-04-21 00:00:00+00:00,976.75,977.0,968.75,975.25
2015-04-22 00:00:00+00:00,973.75,976.5,965.25,970.5
2015-04-23 00:00:00+00:00,971.25,983.0,971.0,978.25
2015-04-24 00:00:00+00:00,978.0,981.0,966.75,969.75
2015-04-27 00:00:00+00:00,968.0,979.0,965.0,973.0
2015-04-28 00:00:00+00:00,972.0,988.5,972.0,977.5
2015-04-29 00:00:00+00:00,977.0,989.75,974.0,988.5
2015-04-30 00:00:00+00:00,989.0,997.25,975.0,978.5
2015-05-01 00:00:00+00:00,979.75,980.5,964.5,968.5
2015-05-04 00:00:00+00:00,968.0,984.0,966.75,983.0
2015-05-05 00:00:00+00:00,982.5,994.5,981.5,993.5
2015-05-06 00:00:00+00:00,993.25,1000.5,988.25,990.5
2015-05-07 00:00:00+00:00,990.5,992.5,979.25,981.5
2015-05-08 00:00:00+00:00,982.75,986.25,977.75,984.5
2015-05-11 00:00:00+00:00,983.0,989.0,981.5,983.0
2015-05-12 00:00:00+00:00,982.0,991.25,967.0,967.0
2015-05-13 00:00:00+00:00,974.5,978.5,970.5,975.0
2015-05-14 00:00:00+00:00,976.75,978.75,963.0,963.0
2015-05-15 00:00:00+00:00,957.25,961.25,950.25,953.25
2015-05-18 00:00:00+00:00,953.25,964.5,950.0,954.5
2015-05-19 00:00:00+00:00,953.25,956.0,942.0,946.25
2015-05-20 00:00:00+00:00,946.25,947.25,936.5,941.25
2015-05-21 00:00:00+00:00,941.25,946.5,937.25,938.5
2015-05-22 00:00:00+00:00,938.0,942.5,922.75,924.25
2015-05-26 00:00:00+00:00,923.75,930.5,920.5,922.5
2015-05-27 00:00:00+00:00,922.0,931.75,922.0,927.0
2015-05-28 00:00:00+00:00,927.0,934.25,922.0,926.0
2015-05-29 00:00:00+00:00,926.0,937.5,924.75,934.0
2015-06-01 00:00:00+00:00,931.0,935.0,921.5,926.0
2015-06-02 00:00:00+00:00,926.0,944.5,925.25,940.75
2015-06-03 00:00:00+00:00,941.5,945.5,931.5,935.25
2015-06-04 00:00:00+00:00,934.75,948.75,932.0,946.5
2015-06-05 00:00:00+00:00,944.5,952.0,935.25,937.75
2015-06-08 00:00:00+00:00,938.25,951.0,935.25,944.25
2015-06-09 00:00:00+00:00,946.0,955.0,943.25,951.5
2015-06-10 00:00:00+00:00,951.5,957.75,944.5,949.5
2015-06-11 00:00:00+00:00,947.25,953.0,938.0,940.0
2015-06-12 00:00:00+00:00,939.0,947.0,933.25,940.0
2015-06-15 00:00:00+00:00,940.0,943.75,930.25,937.75
2015-06-16 00:00:00+00:00,939.0,959.0,938.75,957.5
2015-06-17 00:00:00+00:00,957.5,972.0,957.5,969.0
2015-06-18 00:00:00+00:00,967.0,981.75,962.0,977.75
2015-06-19 00:00:00+00:00,976.0,981.5,966.5,971.5
2015-06-22 00:00:00+00:00,972.5,990.0,971.5,989.5
2015-06-23 00:00:00+00:00,989.5,996.0,978.0,987.5
2015-06-24 00:00:00+00:00,987.25,990.5,979.0,981.75
2015-06-25 00:00:00+00:00,981.0,1002.5,980.0,1000.25
2015-06-26 00:00:00+00:00,999.0,1024.5,997.75,1002.0
2015-06-29 00:00:00+00:00,997.25,1014.75,995.0,1002.5
2015-06-30 00:00:00+00:00,1000.5,1059.25,993.75,1056.25
2015-07-01 00:00:00+00:00,1053.5,1060.25,1038.75,1044.0
2015-07-02 00:00:00+00:00,1041.75,1055.0,1032.0,1045.25
