,pair,pearson_corr
42171,"('UZD', 'UZE')",0.911760481076741
42193,"('UZD', 'UZF')",0.9004020685242717
18429,"('MLM', 'VMC')",0.8854537026100647
20392,"('CMS', 'DTE')",0.8769137348075247
39663,"('MHO', 'KBH')",0.8632590727296161
32703,"('VLO', 'MPC')",0.8587477800435597
41241,"('ASB', 'FMBH')",0.8586114943865346
32710,"('VLO', 'PBF')",0.8572222132979369
41206,"('PFS', 'FMBH')",0.8508132504683208
41175,"('PFS', 'ASB')",0.8484939146463707
14302,"('GOLD', 'AEM')",0.8448275229272465
20410,"('CMS', 'WEC')",0.841910657669464
30782,"('TPH', 'CCS')",0.8402918110483831
17355,"('ED', 'WEC')",0.838776948938939
24197,"('VIV', 'TIMB')",0.8381603933676443
17329,"('ED', 'CMS')",0.8377696247306686
20701,"('DTE', 'AEE')",0.8375239739613256
32654,"('PSX', 'VLO')",0.8363391473293222
15396,"('SOJD', 'SOJC')",0.8352483583432366
20710,"('DTE', 'WEC')",0.8332435869044924
42497,"('ARCH', 'HCC')",0.8323090707838365
43267,"('DHT', 'FRO')",0.8238934328156596
30826,"('TPH', 'BZH')",0.82346757880595
17901,"('AEM', 'AGI')",0.8224646868769327
15293,"('SOJD', 'SOJE')",0.8202355171969589
32060,"('DINO', 'PBF')",0.8193160011058873
20971,"('AEE', 'WEC')",0.8160608843338211
43226,"('MTDR', 'SM')",0.8144843198638063
15504,"('SOJE', 'SOJC')",0.8142685410041965
17337,"('ED', 'DTE')",0.8136257986174448
32048,"('DINO', 'VLO')",0.8134301804582846
20707,"('DTE', 'OGE')",0.8117936990065935
43207,"('MTDR', 'VTLE')",0.8113539907781826
19057,"('POR', 'OGE')",0.8090242787508738
20401,"('CMS', 'AEE')",0.8090190266487917
38008,"('EME', 'FIX')",0.8079707451611647
28819,"('LCII', 'THO')",0.8073705461354916
42902,"('AMR', 'HCC')",0.8067815175739569
32659,"('PSX', 'MPC')",0.8058477170022978
31408,"('AN', 'PAG')",0.8038002227445366
19229,"('NI', 'CMS')",0.8034499957851804
39214,"('NVT', 'ETN')",0.8027743265448709
34547,"('RIO', 'VALE')",0.801829779858053
20968,"('AEE', 'OGE')",0.801208393252334
16530,"('CMSD', 'CMSC')",0.8000112760022899
19237,"('NI', 'DTE')",0.7991177187822606
32915,"('MPC', 'PBF')",0.7980187769561176
17346,"('ED', 'AEE')",0.7970765687940806
15368,"('SOJD', 'ELC')",0.7922020668881236
14467,"('EIX', 'DTE')",0.7889573877768263
